Team,ATS Record,Cover %,MOV,ATS +/-
Samford,1-0-0,100.0%,8.0,+3.0
S Methodist,1-0-0,100.0%,17.0,+12.5
Florida,1-0-0,100.0%,37.0,+27.0
Arizona St,1-0-0,100.0%,4.0,+10.0
Ohio,1-0-0,100.0%,12.0,+4.5
Weber St,1-0-0,100.0%,15.0,+11.0
Jacksonville,1-0-0,100.0%,11.0,+5.0
NC-Wilmgton,1-0-0,100.0%,15.0,+11.5
Oregon,1-0-0,100.0%,10.0,+6.5
San Francisco,1-0-0,100.0%,21.0,+10.0
Detroit,1-0-0,100.0%,-6.0,+12.5
New Mexico,1-0-0,100.0%,10.0,+4.0
Northwestern,1-0-0,100.0%,5.0,+0.5
NC Central,2-0-0,100.0%,0.0,+7.3
Oklahoma St,1-0-0,100.0%,6.0,+10.0
Fairfield,1-0-0,100.0%,1.0,+9.5
TX El Paso,2-0-1,100.0%,11.0,+8.7
Mercer,1-0-0,100.0%,-3.0,+0.5
TX-Pan Am,1-0-0,100.0%,25.0,+18.0
Clemson,1-0-0,100.0%,8.0,+7.0
Radford,1-0-0,100.0%,13.0,+20.0
Tennessee,1-0-0,100.0%,15.0,+10.5
Washington,1-0-0,100.0%,7.0,+9.5
Oklahoma,2-0-0,100.0%,5.0,+10.0
Nevada,1-0-0,100.0%,3.0,+1.5
S Dakota St,2-0-0,100.0%,9.5,+14.8
SIU Edward,1-0-0,100.0%,18.0,+12.5
Nebraska,1-0-0,100.0%,14.0,+6.0
Georgia,1-0-0,100.0%,3.0,+9.0
American,1-0-0,100.0%,10.5,+5.0
St Bonavent,1-0-0,100.0%,12.0,+10.0
Alab A&M,1-0-0,100.0%,7.0,+10.0
San Jose St,2-0-0,100.0%,19.3,+9.0
Belmont,1-0-0,100.0%,23.0,+25.0
Auburn,2-0-0,100.0%,13.5,+7.3
Delaware St,1-0-0,100.0%,3.0,+8.5
Temple,1-0-0,100.0%,7.0,+9.0
N Dakota St,2-0-0,100.0%,16.0,+14.8
Vanderbilt,1-0-0,100.0%,16.0,+10.5
Binghamton,2-0-0,100.0%,3.0,+6.8
Butler,1-0-0,100.0%,10.0,+18.5
VMI,1-0-0,100.0%,11.0,+14.0
Notre Dame,1-0-0,100.0%,-11.0,+5.5
Col Charlestn,1-0-0,100.0%,9.0,+10.5
Oakland,1-0-0,100.0%,-6.0,+4.0
Kansas St,1-0-0,100.0%,16.0,+5.5
Grambling St,1-0-0,100.0%,-6.0,+1.0
Neb Omaha,2-0-0,100.0%,-1.0,+4.0
Texas St,1-0-0,100.0%,3.0,+9.0
Presbyterian,2-0-0,100.0%,17.5,+19.5
Fresno St,1-0-0,100.0%,-5.0,+1.5
Wyoming,1-0-0,100.0%,-3.0,+0.5
Elon,2-0-0,100.0%,10.5,+7.0
Charlotte,1-0-0,100.0%,4.0,+9.5
E Michigan,1-0-0,100.0%,4.0,+7.5
Middle Tenn,1-0-0,100.0%,7.0,+8.0
Liberty,2-0-0,100.0%,12.5,+16.3
Rutgers,1-0-0,100.0%,-5.0,+6.5
Cal St Nrdge,1-0-0,100.0%,29.0,+21.0
Chicago St,1-0-0,100.0%,-12.0,+6.0
TX-Arlington,2-0-0,100.0%,2.5,+3.8
BYU,1-0-0,100.0%,11.0,+5.5
Syracuse,1-0-0,100.0%,-5.0,+6.5
