Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Virginia,Virginia,-1.0,122.5.,137,[],False
Kansas,West Virginia,13.5,141.5.,123,[],False
Texas Tech,Central Florida,13.5,147.5.,170,[],False
Dayton,La Salle,17.0,147.,154,[],False
Baylor,Baylor,-11.0,154.,137,[],False
Charlotte,Tulane,2.5,145.5.,151,[],False
Duquesne,Duquesne,1.5,143.5.,122,[],False
Saint Joseph'S,Massachusetts,10.0,151.,153,[],False
George Mason,George Mason,-6.0,138.,126,[],False
Xavier,Xavier,-9.5,134.,166,[],False
Syracuse,Wake Forest,-2.0,144.,152,[],False
St. Bonaventure,St. Bonaventure,2.0,134.,152,[],False
Fordham,Saint Louis,-1.0,154.5.,151,[],False
Kentucky,Kentucky,-25.0,154.5.,142,[],False
Georgia Tech,Georgia Tech,-1.5,143.,161,[],False
Tennessee,Norfolk State,29.5,140.5.,119,[],False
South Florida,South Florida,-1.5,143.5.,144,[],False
Air Force,UNLV,-7.0,133.,135,[],False
Richmond,Richmond,2.5,145.5.,127,[],False
Brigham Young,Brigham Young,-9.5,149.,132,[],False
North Texas,UAB,6.0,139.,153,[],False
Abilene Christian,Stephen F. Austin,3.5,134.5.,119,[],False
Creighton,Creighton,1.0,152.,113,[],False
Duke,Virginia Tech,25.0,136.5.,153,[],False
San Jose St.,Colorado St.,-3.5,141.,122,[],False
Providence,Marquette,-7.0,142.5.,128,[],False
Fresno St.,Fresno St.,14.5,161.,192,[],False
Wyoming,Boise St.,-7.5,136.,125,[],False
Southern Indiana,Morehead St.,1.0,138.5.,138,[],False
Nevada,Utah St.,3.5,145.,133,[],False
