Team,ATS Record,Cover %,MOV,ATS +/-
TN State,3-0-0,100.0%,15.0,+7.2
Maryland ES,3-0-0,100.0%,-8.5,+11.7
Central Ark,4-0-0,100.0%,-12.5,+2.9
Florida A&M,2-0-0,100.0%,4.7,+3.0
San Jose St,7-0-0,100.0%,5.6,+8.6
SC Upstate,4-0-0,100.0%,-11.0,+5.9
Southern,4-0-0,100.0%,0.4,+12.0
St Bonavent,10-1-0,90.9%,11.5,+4.0
Cleveland St,6-1-0,85.7%,16.9,+11.4
W Kentucky,6-1-2,85.7%,3.4,+1.4
Jksnville St,5-1-0,83.3%,6.6,+5.6
Delaware St,5-1-0,83.3%,0.0,+6.8
SE Missouri,5-1-0,83.3%,6.1,+4.5
Central Conn,5-1-0,83.3%,11.9,+2.7
Lg Beach St,5-1-0,83.3%,4.3,+5.2
Denver,4-1-0,80.0%,-4.2,+3.3
Texas St,4-1-1,80.0%,12.1,+3.3
IU Indy,4-1-0,80.0%,9.4,+13.2
Furman,8-2-0,80.0%,13.7,+4.1
Elon,7-2-0,77.8%,9.9,+6.7
Tennessee,9-3-0,75.0%,24.5,+4.6
Florida,9-3-0,75.0%,24.7,+6.2
SE Louisiana,3-1-1,75.0%,-1.0,+3.4
Troy,6-2-0,75.0%,8.0,+4.2
Pacific,3-1-0,75.0%,11.2,+4.6
Drexel,6-2-0,75.0%,-0.1,+4.8
Charl South,3-1-0,75.0%,3.3,+7.4
F Dickinson,3-1-0,75.0%,-14.0,+5.6
Bucknell,3-1-0,75.0%,-2.3,-0.1
Dartmouth,3-1-0,75.0%,9.4,-1.1
Evansville,3-1-0,75.0%,2.3,+9.1
Buffalo,3-1-0,75.0%,-6.4,+6.4
Fresno St,3-1-0,75.0%,-7.5,0.0
LIU,3-1-0,75.0%,-8.3,+5.8
Vanderbilt,8-3-0,72.7%,17.8,+3.2
S Alabama,5-2-0,71.4%,15.2,+4.8
Kansas City,5-2-0,71.4%,9.5,+2.5
Missouri St,5-2-0,71.4%,2.1,+2.9
Middle Tenn,5-2-1,71.4%,4.9,+2.7
McNeese St,5-2-0,71.4%,8.7,+4.3
Binghamton,5-2-0,71.4%,0.0,+3.4
Illinois St,5-2-0,71.4%,8.9,+3.1
Iowa St,7-3-0,70.0%,21.8,+1.3
Oregon St,7-3-0,70.0%,11.5,+2.8
Texas A&M,7-3-0,70.0%,14.3,+2.1
Auburn,7-3-1,70.0%,19.1,+4.8
N Dakota St,7-3-0,70.0%,8.6,+8.3
Lamar,4-2-0,66.7%,-0.2,+10.8
TX-Pan Am,4-2-0,66.7%,12.8,+0.7
Albany,4-2-0,66.7%,7.9,+3.4
Ball St,2-1-0,66.7%,13.2,+10.5
Youngs St,6-3-0,66.7%,2.2,+1.2
Morehead St,4-2-0,66.7%,0.1,-0.9
Queens,4-2-0,66.7%,-0.6,+2.9
Arkansas St,6-3-0,66.7%,11.6,+6.1
IL-Chicago,6-3-0,66.7%,-3.3,+1.7
Rob Morris,6-3-0,66.7%,6.0,+2.5
Liberty,6-3-0,66.7%,21.7,+1.4
N Illinois,2-1-0,66.7%,-15.7,-2.3
Kent St,4-2-1,66.7%,6.8,+3.2
Ste F Austin,4-2-0,66.7%,-1.3,+1.3
Arizona St,6-3-0,66.7%,2.8,+3.2
Cal Poly,4-2-0,66.7%,-0.7,+6.3
Oregon,8-4-0,66.7%,9.7,+1.5
UCSD,6-3-0,66.7%,21.2,+7.0
NC-Wilmgton,6-3-0,66.7%,8.6,+2.6
Hampton,4-2-0,66.7%,1.6,+1.1
Delaware,4-2-0,66.7%,2.7,+1.2
