Team,Over Record,Over %,Under %,Total +/-
VCU,1-0-0,100.0%,0.0%,+1.0
N Dakota St,3-0-0,100.0%,0.0%,+15.3
W Illinois,2-0-0,100.0%,0.0%,+7.3
Vanderbilt,1-0-0,100.0%,0.0%,+9.0
Pittsburgh,1-0-0,100.0%,0.0%,+8.5
Saint Louis,1-0-0,100.0%,0.0%,+21.0
Nevada,1-0-0,100.0%,0.0%,+23.0
Beth-Cook,1-0-0,100.0%,0.0%,+7.5
Citadel,1-0-0,100.0%,0.0%,+9.0
Army,1-0-0,100.0%,0.0%,+20.0
Longwood,3-0-0,100.0%,0.0%,+10.3
LSU,1-0-0,100.0%,0.0%,+63.5
Villanova,2-0-0,100.0%,0.0%,+14.5
E Illinois,1-0-0,100.0%,0.0%,+9.5
Lehigh,1-0-0,100.0%,0.0%,+13.5
Weber St,1-0-0,100.0%,0.0%,+13.5
CS Bakersfld,3-0-0,100.0%,0.0%,+10.2
Portland,4-0-0,100.0%,0.0%,+12.5
Rutgers,1-0-0,100.0%,0.0%,+23.0
Ark Pine Bl,2-0-0,100.0%,0.0%,+13.8
Oklahoma St,1-0-0,100.0%,0.0%,+23.0
Valparaiso,2-0-0,100.0%,0.0%,+10.5
Denver,2-0-0,100.0%,0.0%,+19.5
E Kentucky,1-0-0,100.0%,0.0%,+1.5
Bryant,1-0-0,100.0%,0.0%,+22.0
San Jose St,1-0-0,100.0%,0.0%,+16.0
Geo Mason,1-0-0,100.0%,0.0%,+1.0
Central Mich,1-0-0,100.0%,0.0%,+1.0
Loyola-Chi,1-0-0,100.0%,0.0%,+1.0
W Carolina,1-0-0,100.0%,0.0%,+0.5
Queens,1-0-0,100.0%,0.0%,+26.5
Baylor,1-0-0,100.0%,0.0%,+18.0
NC Central,1-0-0,100.0%,0.0%,+6.0
Arizona St,1-0-0,100.0%,0.0%,+11.5
SC Upstate,2-0-0,100.0%,0.0%,+16.8
Utah Tech,1-0-0,100.0%,0.0%,+13.0
St Marys,1-0-0,100.0%,0.0%,+4.0
Iona,2-0-0,100.0%,0.0%,+7.3
Manhattan,3-0-0,100.0%,0.0%,+15.7
Air Force,1-0-0,100.0%,0.0%,+1.5
UCF,1-0-0,100.0%,0.0%,+63.5
Towson,1-0-0,100.0%,0.0%,+6.5
Mt St Marys,1-0-0,100.0%,0.0%,+56.5
W Michigan,2-0-0,100.0%,0.0%,+17.0
WI-Grn Bay,1-0-0,100.0%,0.0%,+0.5
Prairie View,3-0-0,100.0%,0.0%,+16.5
Georgia,1-0-0,100.0%,0.0%,+8.5
UTSA,2-0-0,100.0%,0.0%,+17.5
