Team,Over Record,Over %,Under %,Total +/-
W Georgia,9-5-0,64.3%,35.7%,+0.6
S Dakota St,82-50-1,62.1%,37.9%,+5.1
Oral Roberts,121-78-2,60.8%,39.2%,+3.4
Bucknell,85-58-3,59.4%,40.6%,+3.3
Iowa St,179-131-6,57.7%,42.3%,+3.3
NJIT,86-63-1,57.7%,42.3%,+1.1
Illinois St,175-132-8,57.0%,43.0%,+2.4
Ball St,181-138-7,56.7%,43.3%,+2.2
Baylor,131-100-5,56.7%,43.3%,+2.8
North Dakota,140-107-1,56.7%,43.3%,+3.1
Marquette,147-113-4,56.5%,43.5%,+3.5
New Orleans,131-101-3,56.5%,43.5%,+1.6
Alcorn St,88-68-0,56.4%,43.6%,+3.1
Prairie View,76-59-1,56.3%,43.7%,+2.9
Iona,110-86-4,56.1%,43.9%,+1.3
WI-Grn Bay,186-146-2,56.0%,44.0%,+2.3
Dayton,119-94-1,55.9%,44.1%,+1.8
UTSA,134-106-3,55.8%,44.2%,+2.4
Lg Beach St,192-152-3,55.8%,44.2%,+2.6
SC Upstate,111-88-0,55.8%,44.2%,+1.4
Florida Intl,205-163-4,55.7%,44.3%,+1.7
Hofstra,139-111-1,55.6%,44.4%,+2.4
Queens,25-20-1,55.6%,44.4%,+0.9
NW State,90-72-4,55.6%,44.4%,+1.6
Denver,181-145-2,55.5%,44.5%,+1.2
Indiana St,187-150-7,55.5%,44.5%,+2.2
Morgan St,86-69-1,55.5%,44.5%,+2.3
Idaho St,214-172-6,55.4%,44.6%,+2.0
Neb Omaha,128-103-2,55.4%,44.6%,+2.0
Youngs St,200-161-1,55.4%,44.6%,+2.6
UCSD,36-29-2,55.4%,44.6%,+3.1
Weber St,121-98-0,55.3%,44.8%,+0.8
S Indiana,27-22-0,55.1%,44.9%,+2.0
Gonzaga,49-40-0,55.1%,44.9%,+3.5
Texas,135-111-1,54.9%,45.1%,+2.8
Delaware St,107-88-2,54.9%,45.1%,+2.1
Loyola-MD,152-125-2,54.9%,45.1%,+1.7
N Colorado,120-99-2,54.8%,45.2%,+2.3
Lamar,83-69-1,54.6%,45.4%,+0.7
Duke,36-30-1,54.6%,45.5%,+0.6
Seattle,78-65-3,54.6%,45.5%,+0.9
Geo Mason,145-121-2,54.5%,45.5%,+1.7
SE Missouri,208-174-6,54.5%,45.6%,+2.4
BYU,96-81-2,54.2%,45.8%,+2.2
Boston Col,212-180-9,54.1%,45.9%,+0.9
Central Ark,94-80-4,54.0%,46.0%,+2.6
S Utah,143-122-5,54.0%,46.0%,+2.0
Geo Wshgtn,171-146-5,53.9%,46.1%,+1.2
Santa Clara,173-148-3,53.9%,46.1%,+1.2
Columbia,134-115-3,53.8%,46.2%,+1.8
Bowling Grn,184-158-2,53.8%,46.2%,+2.0
E Washingtn,163-140-4,53.8%,46.2%,+1.7
Auburn,163-140-3,53.8%,46.2%,+1.7
Army,71-61-0,53.8%,46.2%,+2.2
Boise St,128-110-2,53.8%,46.2%,+1.3
Pacific,165-142-1,53.8%,46.3%,+2.0
Montana St,172-148-0,53.8%,46.3%,+1.1
Arizona,81-70-1,53.6%,46.4%,+2.6
Grd Canyon,45-39-1,53.6%,46.4%,+1.2
High Point,69-60-2,53.5%,46.5%,+0.8
Hsn Christian,93-81-3,53.5%,46.6%,+2.4
Holy Cross,109-95-4,53.4%,46.6%,+0.1
Seton Hall,172-150-5,53.4%,46.6%,+0.8
NC A&T,87-76-1,53.4%,46.6%,+1.5
Sam Hous St,64-56-0,53.3%,46.7%,+0.1
Buffalo,138-121-5,53.3%,46.7%,+2.8
Ohio,123-108-4,53.3%,46.8%,+1.6
NC-Asheville,68-60-4,53.1%,46.9%,+1.2
Stetson,94-83-3,53.1%,46.9%,+1.0
Wake Forest,198-175-6,53.1%,46.9%,+1.0
