Team,ATS Record,Cover %,MOV,ATS +/-
W Georgia,2-1-0,66.7%,-11.7,+1.8
Oakland,104-71-3,59.4%,3.5,+0.4
Connecticut,129-90-5,58.9%,8.4,+1.7
Yale,97-69-8,58.4%,6.2,+1.2
SC Upstate,49-35-2,58.3%,-2.0,+0.7
Southern,60-43-1,58.3%,3.4,+1.8
Longwood,71-51-1,58.2%,2.9,+1.3
Kansas City,61-44-2,58.1%,1.1,+0.7
N Alabama,47-34-2,58.0%,2.2,+2.0
St. Thomas,33-24-0,57.9%,4.7,+1.7
Furman,114-84-3,57.6%,7.0,+1.4
Samford,88-66-3,57.1%,3.8,+1.6
Villanova,156-117-4,57.1%,10.1,+1.2
Nevada,121-91-5,57.1%,6.5,+1.4
Queens,21-16-0,56.8%,1.6,+1.0
Iowa St,109-84-3,56.5%,7.5,+1.5
N Florida,66-51-2,56.4%,1.2,+1.0
UC Irvine,124-96-8,56.4%,6.7,+1.0
Lafayette,50-39-1,56.2%,-2.9,+0.4
Houston,144-113-7,56.0%,12.3,+2.1
S Florida,70-55-6,56.0%,-0.3,+0.8
Jksnville St,84-66-5,56.0%,3.7,+0.9
Davidson,109-87-1,55.6%,4.6,+0.4
E Washingtn,106-85-2,55.5%,5.2,+0.7
Providence,117-94-2,55.5%,3.6,+1.3
Toledo,117-94-0,55.5%,6.9,+1.1
Indiana St,92-74-5,55.4%,3.4,+1.0
Utah St,114-92-5,55.3%,8.4,+2.1
Kansas St,99-80-1,55.3%,3.5,+0.8
New Orleans,47-38-1,55.3%,-2.4,-0.3
Seton Hall,111-90-3,55.2%,3.9,+0.9
Sam Hous St,75-61-4,55.2%,5.8,+1.2
UL Monroe,70-57-1,55.1%,1.0,+1.3
Belmont,127-104-6,55.0%,8.1,+0.3
Canisius,72-59-4,55.0%,0.6,+0.3
Delaware St,28-23-0,54.9%,-3.8,+0.5
Towson,84-69-3,54.9%,3.8,+0.9
TX A&M-CC,68-56-2,54.8%,2.7,+1.0
Morehead St,97-80-3,54.8%,3.6,+1.0
VCU,127-105-4,54.7%,7.2,+0.9
IL-Chicago,75-62-3,54.7%,-0.8,+0.8
St Peters,88-73-0,54.7%,1.1,+1.0
Jackson St,47-39-2,54.7%,0.4,+1.2
Cal St Nrdge,59-49-1,54.6%,-1.9,0.0
North Texas,95-79-3,54.6%,5.1,+1.4
Jacksonville,55-46-1,54.5%,-3.0,+0.2
S Alabama,87-73-2,54.4%,1.3,-0.3
LA Tech,110-93-2,54.2%,6.6,-0.1
Clemson,104-88-4,54.2%,4.9,+1.4
N Iowa,98-83-8,54.1%,4.1,+0.8
S Dakota St,118-100-4,54.1%,7.3,+1.1
Grambling St,59-50-2,54.1%,1.0,+1.4
Colgate,86-73-1,54.1%,5.4,+1.1
IPFW,94-80-3,54.0%,4.1,+1.0
Nebraska,81-69-2,54.0%,2.0,+0.7
UCLA,123-105-4,54.0%,7.8,+1.4
NC Central,62-53-2,53.9%,6.8,+0.2
Baylor,124-106-5,53.9%,9.6,+1.0
Neb Omaha,69-59-0,53.9%,-2.3,+0.3
Lipscomb,83-71-1,53.9%,3.4,+1.0
Utah Valley,77-66-1,53.9%,2.6,+1.2
Rutgers,77-66-3,53.9%,3.1,+1.1
UCSB,99-85-5,53.8%,5.5,+0.3
