Team,Over Record,Over %,Under %,Total +/-
W Georgia,6-0-0,100.0%,0.0%,+8.9
Mercyhurst,4-2-0,66.7%,33.3%,+5.5
San Jose St,45-26-2,63.4%,36.6%,+4.4
Central Mich,36-21-0,63.2%,36.8%,+2.9
Hsn Christian,41-24-0,63.1%,36.9%,+5.5
S Indiana,17-10-0,63.0%,37.0%,+5.5
Denver,67-40-1,62.6%,37.4%,+4.3
Miami (OH),32-20-0,61.5%,38.5%,+5.3
Neb Omaha,67-42-0,61.5%,38.5%,+3.1
New Orleans,42-27-2,60.9%,39.1%,+2.8
NW State,40-26-2,60.6%,39.4%,+4.2
Montana St,80-52-0,60.6%,39.4%,+4.0
South Dakota,61-40-2,60.4%,39.6%,+4.6
E Illinois,67-44-1,60.4%,39.6%,+2.1
Wisconsin,59-39-1,60.2%,39.8%,+2.5
Boston Col,42-28-2,60.0%,40.0%,+3.1
Queens,15-10-1,60.0%,40.0%,+2.9
CS Bakersfld,61-41-0,59.8%,40.2%,+1.8
Temple,52-35-0,59.8%,40.2%,+2.8
Lafayette,28-19-2,59.6%,40.4%,+2.3
Samford,50-34-0,59.5%,40.5%,+7.5
Baylor,57-39-1,59.4%,40.6%,+2.9
Loyola-MD,29-20-0,59.2%,40.8%,+5.6
Lipscomb,46-32-0,59.0%,41.0%,+4.3
Stetson,40-28-1,58.8%,41.2%,+2.4
U Mass,44-31-0,58.7%,41.3%,+4.7
Indiana St,37-27-0,57.8%,42.2%,+1.5
Toledo,37-27-2,57.8%,42.2%,+4.3
NC-Asheville,37-27-4,57.8%,42.2%,+2.5
Rice,67-49-0,57.8%,42.2%,+4.3
Morgan St,45-33-2,57.7%,42.3%,+2.0
Boston U,34-25-0,57.6%,42.4%,+2.1
Pepperdine,72-53-1,57.6%,42.4%,+3.9
Wofford,50-37-0,57.5%,42.5%,+2.9
SIU Edward,54-40-1,57.5%,42.6%,+2.8
N Florida,43-32-0,57.3%,42.7%,+4.3
Mercer,47-35-2,57.3%,42.7%,+2.8
Oklahoma,51-38-2,57.3%,42.7%,+1.9
NC-Wilmgton,63-47-0,57.3%,42.7%,+3.0
Longwood,36-27-1,57.1%,42.9%,+0.9
Columbia,60-45-2,57.1%,42.9%,+1.1
McNeese St,36-27-2,57.1%,42.9%,+4.2
Idaho St,69-52-1,57.0%,43.0%,+2.5
Detroit,57-43-2,57.0%,43.0%,+4.5
Tulane,49-37-0,57.0%,43.0%,+5.3
Ball St,34-26-1,56.7%,43.3%,+1.2
Santa Clara,68-52-4,56.7%,43.3%,+1.8
Villanova,56-43-2,56.6%,43.4%,+2.2
Clemson,52-40-0,56.5%,43.5%,+1.7
Boise St,49-38-0,56.3%,43.7%,+0.3
Alabama,45-35-2,56.3%,43.8%,+1.8
Binghamton,32-25-1,56.1%,43.9%,+1.0
Miss Val St,55-43-0,56.1%,43.9%,+2.9
Sam Hous St,42-33-0,56.0%,44.0%,+0.3
Montana,75-59-1,56.0%,44.0%,+2.9
S Methodist,47-37-2,56.0%,44.1%,+2.6
Georgetown,47-37-0,56.0%,44.1%,+4.4
W Illinois,58-46-1,55.8%,44.2%,+0.3
Charl South,29-23-1,55.8%,44.2%,+1.7
UCSD,29-23-2,55.8%,44.2%,+3.2
Lg Beach St,63-50-0,55.8%,44.3%,+3.1
Geo Wshgtn,44-35-1,55.7%,44.3%,+1.7
Rhode Island,44-35-0,55.7%,44.3%,+2.1
Michigan,54-43-1,55.7%,44.3%,+2.7
IPFW,54-43-4,55.7%,44.3%,+2.0
Texas St,64-51-3,55.7%,44.4%,+1.9
North Dakota,64-51-1,55.7%,44.4%,+2.4
S Dakota St,64-51-1,55.7%,44.4%,+1.2
Lehigh,31-25-0,55.4%,44.6%,+0.4
Delaware,64-52-1,55.2%,44.8%,+2.7
E Washingtn,75-61-0,55.2%,44.9%,+3.0
Grd Canyon,59-48-0,55.1%,44.9%,+1.4
Belmont,59-48-2,55.1%,44.9%,+1.1
Weber St,71-58-3,55.0%,45.0%,+0.3
VMI,44-36-0,55.0%,45.0%,+4.9
La Salle,39-32-0,54.9%,45.1%,+0.9
SE Missouri,57-47-3,54.8%,45.2%,+3.4
Loyola Mymt,69-57-2,54.8%,45.2%,+0.7
Texas Tech,52-43-2,54.7%,45.3%,+1.5
Bucknell,29-24-0,54.7%,45.3%,+1.6
San Francisco,70-58-2,54.7%,45.3%,+1.7
Wyoming,36-30-1,54.6%,45.5%,+3.7
WI-Milwkee,60-50-0,54.6%,45.5%,+1.5
Oral Roberts,60-50-1,54.6%,45.5%,+3.2
Gonzaga,84-70-0,54.6%,45.5%,+0.9
Tulsa,56-47-1,54.4%,45.6%,+0.6
NC State,51-43-0,54.3%,45.7%,+1.0
Duke,51-43-0,54.3%,45.7%,+0.8
Minnesota,52-44-0,54.2%,45.8%,+1.8
Vanderbilt,39-33-1,54.2%,45.8%,+1.4
Army,26-22-0,54.2%,45.8%,+2.8
N Arizona,67-57-1,54.0%,46.0%,+1.7
Wright St,61-52-1,54.0%,46.0%,+2.3
