Team,Over Record,Over %,Under %,Total +/-
W Georgia,10-6-0,62.5%,37.5%,+0.7
New Orleans,216-153-5,58.5%,41.5%,+2.7
North Dakota,209-153-3,57.7%,42.3%,+2.6
Queens,42-32-2,56.8%,43.2%,+1.2
Oral Roberts,229-176-3,56.5%,43.5%,+2.5
NC-Asheville,139-107-5,56.5%,43.5%,+2.1
Idaho St,292-227-6,56.3%,43.7%,+2.4
UCSD,63-49-3,56.3%,43.8%,+3.0
Grd Canyon,141-112-2,55.7%,44.3%,+0.9
Oakland,258-205-6,55.7%,44.3%,+2.6
South Dakota,201-161-5,55.5%,44.5%,+3.2
Neb Omaha,190-153-3,55.4%,44.6%,+2.3
UTSA,191-154-3,55.4%,44.6%,+2.2
Buffalo,332-268-9,55.3%,44.7%,+2.3
Weber St,314-256-6,55.1%,44.9%,+1.5
SE Missouri,298-243-8,55.1%,44.9%,+2.9
Wake Forest,391-320-12,55.0%,45.0%,+1.6
Youngs St,304-250-4,54.9%,45.1%,+2.6
Gard-Webb,142-117-3,54.8%,45.2%,+1.9
Hsn Christian,116-96-3,54.7%,45.3%,+4.0
N Colorado,260-217-7,54.5%,45.5%,+2.5
E Washingtn,315-264-6,54.4%,45.6%,+2.2
S Utah,222-190-6,53.9%,46.1%,+1.5
McNeese St,114-98-2,53.8%,46.2%,+1.9
Bellarmine,65-56-2,53.7%,46.3%,+1.4
Auburn,340-293-4,53.7%,46.3%,+1.6
Howard,123-106-3,53.7%,46.3%,+2.1
Denver,305-263-7,53.7%,46.3%,+1.1
CS Bakersfld,131-113-0,53.7%,46.3%,+1.0
Boston Col,346-299-13,53.6%,46.4%,+1.2
Morgan St,133-115-5,53.6%,46.4%,+1.7
Lipscomb,150-130-3,53.6%,46.4%,+1.8
Stetson,130-113-3,53.5%,46.5%,+1.8
SC Upstate,134-117-0,53.4%,46.6%,+0.5
W Michigan,320-281-6,53.2%,46.8%,+1.2
S Dakota St,228-201-3,53.2%,46.9%,+1.8
NW State,119-105-6,53.1%,46.9%,+1.5
Baylor,326-288-7,53.1%,46.9%,+1.7
IPFW,216-191-9,53.1%,46.9%,+1.3
Iowa St,346-306-12,53.1%,46.9%,+1.5
TX Southern,150-133-3,53.0%,47.0%,+2.5
Florida Intl,283-251-6,53.0%,47.0%,+0.9
Providence,354-314-9,53.0%,47.0%,+1.5
Portland St,284-252-8,53.0%,47.0%,+2.1
Dayton,354-314-8,53.0%,47.0%,+0.7
Delaware,303-269-4,53.0%,47.0%,+1.6
Iowa,376-334-11,53.0%,47.0%,+1.8
Santa Clara,316-281-5,52.9%,47.1%,+1.0
Radford,136-121-1,52.9%,47.1%,+0.6
Nevada,344-306-6,52.9%,47.1%,+1.1
Montana St,299-266-0,52.9%,47.1%,+1.1
N Florida,138-123-4,52.9%,47.1%,+1.9
Montana,304-271-7,52.9%,47.1%,+1.4
Indiana St,322-287-8,52.9%,47.1%,+1.2
Ball St,304-271-11,52.9%,47.1%,+1.2
U Mass,344-308-5,52.8%,47.2%,+1.3
Belmont,220-197-3,52.8%,47.2%,+1.6
Wofford,299-268-6,52.7%,47.3%,+0.7
SIU Edward,184-165-7,52.7%,47.3%,0.0
Abl Christian,107-96-2,52.7%,47.3%,+1.2
S Indiana,39-35-0,52.7%,47.3%,+1.6
Marquette,363-327-5,52.6%,47.4%,+1.3
Central Ark,112-101-4,52.6%,47.4%,+2.0
WI-Grn Bay,310-280-7,52.5%,47.5%,+1.2
Lafayette,124-112-5,52.5%,47.5%,+0.4
Hofstra,311-281-6,52.5%,47.5%,+1.7
WI-Milwkee,318-288-3,52.5%,47.5%,+1.2
Northeastrn,291-264-9,52.4%,47.6%,+0.6
Miss Val St,132-120-4,52.4%,47.6%,+1.3
Campbell,123-112-3,52.3%,47.7%,+0.6
UNLV,362-330-8,52.3%,47.7%,+1.0
Idaho,286-261-6,52.3%,47.7%,+0.9
Colorado St,320-292-9,52.3%,47.7%,+1.3
Le Moyne,24-22-0,52.2%,47.8%,+0.7
VMI,160-147-1,52.1%,47.9%,+2.4
Wyoming,321-295-11,52.1%,47.9%,+1.3
Austin Peay,299-275-12,52.1%,47.9%,+2.7
Gonzaga,381-351-5,52.1%,48.0%,+0.8
Holy Cross,140-129-5,52.0%,48.0%,+0.2
Samford,282-260-4,52.0%,48.0%,+2.0
Incar Word,92-85-3,52.0%,48.0%,+1.4
Alcorn St,118-109-2,52.0%,48.0%,+1.7
Lehigh,131-121-2,52.0%,48.0%,+1.8
F Dickinson,125-116-4,51.9%,48.1%,+2.0
Charlotte,322-299-14,51.9%,48.2%,+1.1
NC State,379-352-10,51.9%,48.2%,+0.7
Bowling Grn,310-288-5,51.8%,48.2%,+0.9
Rhode Island,329-306-4,51.8%,48.2%,+0.6
Toledo,316-294-5,51.8%,48.2%,+1.0
IL-Chicago,317-297-2,51.6%,48.4%,+1.1
Boise St,318-298-7,51.6%,48.4%,+1.1
Brown,223-209-6,51.6%,48.4%,+0.9
N Carolina,449-421-7,51.6%,48.4%,+0.7
Hampton,133-125-2,51.6%,48.5%,+1.7
California,366-344-11,51.6%,48.5%,+0.8
Geo Mason,322-303-6,51.5%,48.5%,+0.6
Oregon St,327-308-3,51.5%,48.5%,+0.5
St. Thomas,52-49-3,51.5%,48.5%,+1.1
Ark Pine Bl,122-115-3,51.5%,48.5%,+0.7
TX-Pan Am,109-103-3,51.4%,48.6%,+0.3
Central Mich,297-281-7,51.4%,48.6%,+1.3
TN State,279-264-3,51.4%,48.6%,+0.9
Lg Beach St,319-302-6,51.4%,48.6%,+1.4
BYU,344-326-8,51.3%,48.7%,+1.6
Prairie View,121-115-2,51.3%,48.7%,+0.5
Wright St,308-293-8,51.3%,48.8%,+0.1
Pepperdine,311-296-7,51.2%,48.8%,+0.8
W Virginia,357-340-9,51.2%,48.8%,+1.1
Missouri St,320-305-5,51.2%,48.8%,+1.0
NC-Wilmgton,302-288-4,51.2%,48.8%,+0.9
Duquesne,292-279-6,51.1%,48.9%,+1.5
La Salle,300-287-5,51.1%,48.9%,+1.1
Coastal Car,148-142-2,51.0%,49.0%,+1.0
Loyola-MD,226-217-10,51.0%,49.0%,+0.8
Pacific,306-294-7,51.0%,49.0%,+0.7
Arkansas St,282-271-9,51.0%,49.0%,+1.3
Fla Atlantic,257-247-7,51.0%,49.0%,+1.5
Detroit,312-300-11,51.0%,49.0%,+1.3
Drake,307-296-8,50.9%,49.1%,+1.2
Ohio,309-298-10,50.9%,49.1%,+1.2
Kansas City,167-161-3,50.9%,49.1%,-0.1
Miss State,341-329-10,50.9%,49.1%,+0.6
Michigan,373-360-9,50.9%,49.1%,+0.4
SE Louisiana,114-110-2,50.9%,49.1%,+0.9
NJIT,115-111-1,50.9%,49.1%,-0.6
Ste F Austin,116-112-2,50.9%,49.1%,+0.3
Delaware St,117-113-2,50.9%,49.1%,+1.5
Utah St,321-310-10,50.9%,49.1%,+1.1
Purdue,378-365-6,50.9%,49.1%,+1.0
New Mexico,335-324-6,50.8%,49.2%,+1.0
Kennesaw St,122-118-4,50.8%,49.2%,+0.4
Washington,353-342-3,50.8%,49.2%,+0.7
Xavier,371-360-12,50.8%,49.3%,+0.9
Pittsburgh,345-335-11,50.7%,49.3%,+0.1
Columbia,211-205-8,50.7%,49.3%,+0.9
Bucknell,143-139-4,50.7%,49.3%,+1.0
Cal St Nrdge,285-277-9,50.7%,49.3%,+1.3
Arkansas,335-326-8,50.7%,49.3%,+0.6
Yale,228-222-5,50.7%,49.3%,+0.8
Missouri,352-343-6,50.7%,49.4%,+0.9
TX A&M-CC,121-118-4,50.6%,49.4%,0.0
Mississippi,337-329-13,50.6%,49.4%,+1.1
Geo Wshgtn,302-295-9,50.6%,49.4%,+0.5
Utah,352-344-7,50.6%,49.4%,+0.5
Bradley,323-316-5,50.6%,49.5%,+0.5
Florida St,340-333-15,50.5%,49.5%,+0.4
Portland,291-285-6,50.5%,49.5%,+0.4
Marshall,298-292-9,50.5%,49.5%,+1.0
Troy,261-256-11,50.5%,49.5%,+0.4
