Team,Over Record,Over %,Under %,Total +/-
New Orleans,80-39-2,67.2%,32.8%,+4.4
Iowa,76-46-0,62.3%,37.7%,+4.7
Miss Val St,75-47-0,61.5%,38.5%,+4.5
Queens,26-17-1,60.5%,39.5%,+1.2
Samford,104-69-2,60.1%,39.9%,+3.7
Le Moyne,13-9-0,59.1%,40.9%,-1.6
North Dakota,107-75-1,58.8%,41.2%,+2.9
Wright St,106-75-0,58.6%,41.4%,+1.5
UCSD,35-25-2,58.3%,41.7%,+6.4
TX A&M-Com,29-21-0,58.0%,42.0%,+4.0
UNLV,88-64-0,57.9%,42.1%,+2.3
Nebraska,67-49-2,57.8%,42.2%,+2.4
Kennesaw St,76-56-2,57.6%,42.4%,+1.7
Arizona St,102-76-1,57.3%,42.7%,+2.5
Howard,64-48-1,57.1%,42.9%,+2.3
Purdue,89-67-2,57.1%,43.0%,+1.9
SE Louisiana,66-50-0,56.9%,43.1%,+3.8
NC State,91-69-2,56.9%,43.1%,+1.9
Norfolk St,67-51-0,56.8%,43.2%,+1.1
Gard-Webb,82-63-1,56.6%,43.5%,+3.2
Rice,108-83-1,56.5%,43.5%,+2.2
Dartmouth,74-57-2,56.5%,43.5%,+2.7
Lehigh,74-57-0,56.5%,43.5%,+3.6
NC-Asheville,71-55-5,56.4%,43.7%,+2.1
Coppin St,67-52-1,56.3%,43.7%,+1.5
SIU Edward,105-82-4,56.2%,43.9%,+0.2
W Virginia,106-83-2,56.1%,43.9%,+2.1
Lg Beach St,97-76-2,56.1%,43.9%,+2.2
High Point,74-58-2,56.1%,43.9%,+3.5
Grd Canyon,79-62-0,56.0%,44.0%,+1.0
Morgan St,56-44-2,56.0%,44.0%,+3.2
E Washingtn,113-89-1,55.9%,44.1%,+2.8
American,80-63-0,55.9%,44.1%,+1.2
Texas St,107-85-3,55.7%,44.3%,+1.5
Oregon St,103-82-0,55.7%,44.3%,+0.9
Geo Mason,85-68-0,55.6%,44.4%,+0.7
Dayton,90-72-2,55.6%,44.4%,+1.5
Oakland,101-81-1,55.5%,44.5%,+1.9
VA Tech,81-65-1,55.5%,44.5%,+3.3
CS Bakersfld,76-61-0,55.5%,44.5%,+1.2
Columbia,76-61-3,55.5%,44.5%,+2.1
Wofford,108-87-1,55.4%,44.6%,+1.2
Fresno St,83-67-2,55.3%,44.7%,+1.4
Bowling Grn,104-84-1,55.3%,44.7%,+2.2
S Indiana,26-21-0,55.3%,44.7%,+2.1
F Dickinson,73-59-2,55.3%,44.7%,+4.1
Neb Omaha,85-69-1,55.2%,44.8%,+1.7
Indiana St,98-80-1,55.1%,44.9%,+2.1
N Colorado,98-80-3,55.1%,44.9%,+2.2
Loyola-MD,71-58-1,55.0%,45.0%,+2.5
Charlotte,104-85-9,55.0%,45.0%,+2.3
LSU,99-81-3,55.0%,45.0%,+2.4
South Dakota,77-63-2,55.0%,45.0%,+4.6
Lipscomb,83-68-1,55.0%,45.0%,+1.6
S Utah,94-77-2,55.0%,45.0%,+2.0
Miss State,105-86-0,55.0%,45.0%,+2.0
Ark Pine Bl,67-55-3,54.9%,45.1%,+1.9
Alcorn St,62-51-2,54.9%,45.1%,+1.6
U Mass,85-70-0,54.8%,45.2%,+2.5
Gonzaga,125-103-1,54.8%,45.2%,+1.2
Hawaii,80-66-6,54.8%,45.2%,+0.5
Montana,109-90-1,54.8%,45.2%,+2.6
Boston U,81-67-2,54.7%,45.3%,-0.2
S Dakota St,93-77-0,54.7%,45.3%,+2.4
TX El Paso,111-92-4,54.7%,45.3%,+1.4
Auburn,106-88-1,54.6%,45.4%,+2.2
Toledo,108-90-1,54.6%,45.5%,+1.9
Kentucky,103-86-1,54.5%,45.5%,+3.0
Oral Roberts,79-66-0,54.5%,45.5%,+1.8
Stetson,73-61-1,54.5%,45.5%,+2.5
SE Missouri,99-83-4,54.4%,45.6%,+3.0
WI-Grn Bay,93-78-2,54.4%,45.6%,+0.8
Wyoming,87-73-2,54.4%,45.6%,+1.3
Nevada,94-79-2,54.3%,45.7%,+1.9
TX-Pan Am,65-55-1,54.2%,45.8%,+1.2
Pepperdine,104-88-3,54.2%,45.8%,+1.5
Florida St,78-66-2,54.2%,45.8%,+0.7
St Johns,73-62-3,54.1%,45.9%,+3.4
McNeese St,60-51-0,54.1%,46.0%,+0.7
Alabama,102-87-5,54.0%,46.0%,+1.4
Idaho St,96-82-3,53.9%,46.1%,+2.1
Loyola Mymt,98-84-2,53.9%,46.2%,+0.4
CS Fullerton,84-72-3,53.9%,46.2%,+3.4
TX-Arlington,106-91-2,53.8%,46.2%,+1.1
NW State,64-55-2,53.8%,46.2%,+1.2
Montana St,107-92-0,53.8%,46.2%,+2.3
Detroit,93-80-3,53.8%,46.2%,+2.8
Hofstra,115-99-0,53.7%,46.3%,+2.4
WI-Milwkee,94-81-0,53.7%,46.3%,+1.5
Chattanooga,102-88-4,53.7%,46.3%,+1.1
Sacred Hrt,73-63-3,53.7%,46.3%,+2.3
App State,97-84-2,53.6%,46.4%,+0.1
Campbell,75-65-3,53.6%,46.4%,-0.1
Incar Word,60-52-1,53.6%,46.4%,+2.1
S Methodist,61-53-1,53.5%,46.5%,+0.3
UTSA,100-87-2,53.5%,46.5%,+1.6
UAB,109-95-5,53.4%,46.6%,+3.2
Denver,78-68-1,53.4%,46.6%,+1.8
Portland,95-83-0,53.4%,46.6%,+0.8
Youngs St,96-84-0,53.3%,46.7%,+1.7
Colorado St,80-70-2,53.3%,46.7%,+1.9
E Illinois,105-92-2,53.3%,46.7%,+1.6
Lafayette,73-64-2,53.3%,46.7%,+0.2
TX A&M-CC,66-58-3,53.2%,46.8%,-0.2
VMI,92-81-1,53.2%,46.8%,+2.0
Marshall,109-96-3,53.2%,46.8%,+1.1
Duquesne,76-67-1,53.2%,46.9%,+2.0
Sam Hous St,59-52-0,53.2%,46.9%,+0.9
SC Upstate,68-60-0,53.1%,46.9%,+0.1
TN State,94-83-2,53.1%,46.9%,+1.0
Air Force,77-68-1,53.1%,46.9%,+1.6
N Illinois,95-84-3,53.1%,46.9%,+1.2
Delaware,104-92-1,53.1%,46.9%,+1.6
Radford,71-63-1,53.0%,47.0%,-0.1
Utah St,80-71-2,53.0%,47.0%,+1.4
Arizona,109-97-4,52.9%,47.1%,+2.3
Texas Tech,95-85-2,52.8%,47.2%,+1.3
Brown,76-68-1,52.8%,47.2%,+2.1
Buffalo,96-86-2,52.8%,47.3%,+0.8
Illinois,77-69-2,52.7%,47.3%,+2.4
Furman,97-87-2,52.7%,47.3%,+0.7
Ball St,98-88-3,52.7%,47.3%,+1.7
NC Central,60-54-0,52.6%,47.4%,0.0
Boston Col,71-64-1,52.6%,47.4%,+1.1
Kansas St,92-83-1,52.6%,47.4%,+1.5
New Mexico,72-65-0,52.6%,47.5%,+2.0
Missouri St,93-84-1,52.5%,47.5%,+2.0
N Florida,74-67-1,52.5%,47.5%,+1.2
Stanford,96-87-2,52.5%,47.5%,+1.5
Holy Cross,77-70-3,52.4%,47.6%,-0.1
Murray St,99-90-3,52.4%,47.6%,+0.4
Binghamton,66-60-2,52.4%,47.6%,+1.1
Cleveland St,90-82-4,52.3%,47.7%,+0.3
Butler,79-72-6,52.3%,47.7%,+2.5
La Salle,80-73-2,52.3%,47.7%,+1.2
S Carolina,92-84-3,52.3%,47.7%,+0.5
Coastal Car,92-84-0,52.3%,47.7%,+1.6
Austin Peay,104-95-2,52.3%,47.7%,+2.7
Nicholls,60-55-2,52.2%,47.8%,+2.1
Florida Intl,98-90-2,52.1%,47.9%,+0.5
W Carolina,111-102-1,52.1%,47.9%,+0.7
Harvard,75-69-0,52.1%,47.9%,+0.9
Wm & Mary,102-94-3,52.0%,48.0%,+2.1
Louisiana,102-94-3,52.0%,48.0%,+1.3
Valparaiso,90-83-0,52.0%,48.0%,+0.8
Santa Clara,92-85-3,52.0%,48.0%,+0.5
Texas A&M,94-87-0,51.9%,48.1%,+1.3
Georgia,95-88-1,51.9%,48.1%,+1.0
Bellarmine,41-38-1,51.9%,48.1%,+2.1
Syracuse,83-77-1,51.9%,48.1%,+0.2
Arkansas St,100-93-4,51.8%,48.2%,+1.5
Georgia St,104-97-0,51.7%,48.3%,+1.5
Weber St,106-99-2,51.7%,48.3%,+1.0
Connecticut,76-71-2,51.7%,48.3%,+0.7
Army,77-72-0,51.7%,48.3%,-0.9
Hampton,63-59-1,51.6%,48.4%,+1.8
Hsn Christian,65-61-2,51.6%,48.4%,+2.3
Florida,98-92-1,51.6%,48.4%,+1.3
Temple,67-63-3,51.5%,48.5%,+1.1
Oregon,104-98-2,51.5%,48.5%,+0.7
San Jose St,71-67-2,51.5%,48.6%,+1.3
Northeastrn,107-101-1,51.4%,48.6%,+0.9
Utah,95-90-2,51.4%,48.7%,+0.5
Abl Christian,57-54-1,51.4%,48.7%,-0.1
