Team,ATS Record,Cover %,MOV,ATS +/-
Indiana St,1-0-0,100.0%,-5.0,+4.0
W Kentucky,3-0-1,100.0%,11.8,+5.8
Cal St Nrdge,2-0-0,100.0%,6.5,+6.8
Prairie View,4-0-0,100.0%,-2.0,+14.9
Fla Gulf Cst,4-0-0,100.0%,4.5,+9.4
Arizona,2-0-0,100.0%,42.5,+19.0
Neb Omaha,3-0-0,100.0%,-14.0,+7.0
UTSA,2-0-0,100.0%,2.5,+17.0
Auburn,4-0-1,100.0%,25.6,+11.8
Delaware St,2-0-0,100.0%,-9.5,+9.0
TX-Pan Am,2-0-0,100.0%,-8.0,+17.0
Col Charlestn,2-0-0,100.0%,12.5,+6.3
Tennessee,3-0-0,100.0%,27.0,+9.5
Iowa St,2-0-0,100.0%,9.5,+2.3
Nevada,2-0-0,100.0%,31.0,+11.8
W Virginia,2-0-0,100.0%,1.5,+5.8
Santa Clara,5-0-0,100.0%,19.2,+15.8
E Kentucky,1-0-0,100.0%,15.0,+5.0
Idaho St,3-0-0,100.0%,-7.0,+9.8
Liberty,1-0-0,100.0%,21.0,+26.5
Morehead St,4-0-0,100.0%,-8.8,+3.5
Oregon St,3-0-0,100.0%,6.7,+5.7
App State,1-0-0,100.0%,3.0,+10.0
Miami (OH),1-0-0,100.0%,14.0,+2.5
Texas A&M,2-0-0,100.0%,19.5,+2.5
Yale,1-0-0,100.0%,25.0,+13.5
N Iowa,3-0-0,100.0%,22.0,+14.8
San Jose St,1-0-0,100.0%,7.0,+1.0
TX A&M-CC,2-0-0,100.0%,17.0,+12.0
Lafayette,2-0-0,100.0%,-6.0,+2.5
Kent St,1-0-0,100.0%,16.0,+13.5
Elon,3-0-0,100.0%,7.3,+13.5
Arizona St,6-1-0,85.7%,5.9,+9.1
SE Missouri,6-1-0,85.7%,0.4,+3.0
Furman,6-1-0,85.7%,12.4,+7.7
Wash State,6-1-0,85.7%,6.0,+4.1
F Dickinson,6-1-0,85.7%,-11.6,+3.9
Norfolk St,5-1-0,83.3%,8.0,+11.3
South Dakota,5-1-1,83.3%,-3.4,+2.8
Detroit,5-1-0,83.3%,-10.3,+8.4
Purdue,5-1-0,83.3%,18.7,+9.1
Mt St Marys,4-1-0,80.0%,4.2,+3.4
Alabama,4-1-0,80.0%,17.2,+3.8
Cleveland St,4-1-0,80.0%,6.8,+9.7
LA Tech,4-1-0,80.0%,4.4,-0.4
Nebraska,4-1-0,80.0%,8.0,+6.9
Samford,4-1-0,80.0%,12.6,+6.6
Kansas City,4-1-0,80.0%,-2.2,+1.2
VCU,4-1-0,80.0%,12.0,+3.7
Drexel,4-1-0,80.0%,-1.2,+4.3
Maine,4-1-0,80.0%,4.4,+6.2
S Illinois,4-1-1,80.0%,8.7,+9.0
Michigan,4-1-0,80.0%,24.2,+6.1
Pacific,4-1-0,80.0%,-11.4,-0.2
Loyola Mymt,4-1-0,80.0%,7.0,+8.5
Troy,4-1-0,80.0%,6.0,+1.2
Arkansas St,3-1-0,75.0%,13.0,+10.9
Rob Morris,3-1-0,75.0%,7.0,+8.0
