Team,Over Record,Over %,Under %,Total +/-
W Georgia,13-7-0,65.0%,35.0%,+1.5
New Orleans,127-75-4,62.9%,37.1%,+3.4
North Dakota,176-124-3,58.7%,41.3%,+3.1
South Dakota,171-122-4,58.4%,41.6%,+3.8
Oral Roberts,168-122-2,57.9%,42.1%,+2.4
Denver,166-127-2,56.7%,43.3%,+2.3
Hsn Christian,114-88-2,56.4%,43.6%,+4.3
Queens,44-34-2,56.4%,43.6%,+0.8
Morgan St,108-84-3,56.3%,43.8%,+2.6
Grd Canyon,137-107-2,56.2%,43.9%,+1.1
UCSD,65-51-3,56.0%,44.0%,+2.9
NC-Asheville,121-95-5,56.0%,44.0%,+1.6
N Colorado,166-131-4,55.9%,44.1%,+2.5
Wake Forest,177-140-6,55.8%,44.2%,+1.8
E Washingtn,177-140-2,55.8%,44.2%,+2.8
Wofford,170-135-4,55.7%,44.3%,+1.8
Samford,161-128-2,55.7%,44.3%,+3.5
Iowa,187-149-6,55.7%,44.4%,+2.8
Stetson,122-98-3,55.5%,44.6%,+2.2
Howard,114-92-3,55.3%,44.7%,+2.8
Wyoming,173-140-6,55.3%,44.7%,+2.4
Columbia,126-102-6,55.3%,44.7%,+2.2
S Utah,163-132-6,55.3%,44.8%,+2.0
Florida St,182-148-7,55.2%,44.9%,+1.3
McNeese St,107-87-2,55.2%,44.9%,+2.0
Gard-Webb,129-105-2,55.1%,44.9%,+1.6
Le Moyne,27-22-0,55.1%,44.9%,+1.7
Oregon St,180-147-1,55.1%,45.0%,+0.8
Mercyhurst,11-9-0,55.0%,45.0%,+2.4
Neb Omaha,166-136-3,55.0%,45.0%,+2.2
SC Upstate,120-99-0,54.8%,45.2%,+0.9
Boston Col,172-142-6,54.8%,45.2%,+1.7
Gonzaga,201-166-1,54.8%,45.2%,+1.5
Youngs St,164-136-1,54.7%,45.3%,+2.5
Rice,165-137-1,54.6%,45.4%,+1.9
Indiana St,170-142-2,54.5%,45.5%,+1.8
WI-Milwkee,171-143-0,54.5%,45.5%,+2.0
Bowling Grn,165-138-2,54.5%,45.5%,+1.7
Montana,170-143-1,54.3%,45.7%,+2.0
WI-Grn Bay,170-143-5,54.3%,45.7%,+1.9
CS Bakersfld,126-106-0,54.3%,45.7%,+1.1
UNLV,177-149-1,54.3%,45.7%,+2.0
Hampton,121-102-2,54.3%,45.7%,+2.3
UTSA,155-131-2,54.2%,45.8%,+2.3
Ball St,159-135-5,54.1%,45.9%,+1.8
Weber St,159-135-5,54.1%,45.9%,+1.6
Loyola-MD,114-97-2,54.0%,46.0%,+0.9
Idaho St,150-128-3,54.0%,46.0%,+1.8
S Indiana,42-36-0,53.9%,46.2%,+1.9
IPFW,162-139-4,53.8%,46.2%,+1.7
Montana St,165-142-0,53.8%,46.3%,+1.7
Northeastrn,165-142-2,53.8%,46.3%,+1.2
Delaware,161-139-2,53.7%,46.3%,+1.7
NC-Wilmgton,162-140-1,53.6%,46.4%,+1.8
Dayton,177-153-5,53.6%,46.4%,+0.6
Santa Clara,164-142-5,53.6%,46.4%,+1.2
Air Force,159-138-3,53.5%,46.5%,+1.6
S Dakota St,168-146-3,53.5%,46.5%,+2.0
Wright St,171-149-1,53.4%,46.6%,+1.5
Tulane,156-136-3,53.4%,46.6%,+2.2
Ark Pine Bl,112-98-3,53.3%,46.7%,+1.3
Syracuse,178-156-4,53.3%,46.7%,+1.4
S Methodist,164-144-4,53.3%,46.8%,+1.5
U Mass,165-145-0,53.2%,46.8%,+1.7
Central Ark,110-97-4,53.1%,46.9%,+2.2
SIU Edward,150-133-7,53.0%,47.0%,+0.2
Florida Intl,151-134-4,53.0%,47.0%,+1.2
Lipscomb,135-120-2,52.9%,47.1%,+1.5
W Virginia,181-161-3,52.9%,47.1%,+1.5
Geo Mason,164-146-2,52.9%,47.1%,+0.6
Bellarmine,66-59-2,52.8%,47.2%,+1.3
N Florida,124-111-3,52.8%,47.2%,+1.7
Baylor,174-156-4,52.7%,47.3%,+1.6
Alcorn St,107-96-2,52.7%,47.3%,+1.7
Delaware St,107-96-2,52.7%,47.3%,+1.9
Lg Beach St,166-149-2,52.7%,47.3%,+2.0
LSU,176-158-4,52.7%,47.3%,+1.9
San Jose St,157-141-4,52.7%,47.3%,+1.5
N Dakota St,159-143-3,52.7%,47.4%,+1.7
Michigan,184-166-5,52.6%,47.4%,+0.7
Furman,154-139-4,52.6%,47.4%,+0.2
Holy Cross,123-111-4,52.6%,47.4%,0.0
E Illinois,155-140-2,52.5%,47.5%,+1.1
TX Southern,135-122-3,52.5%,47.5%,+2.4
Belmont,167-151-3,52.5%,47.5%,+1.3
Miss Val St,115-104-3,52.5%,47.5%,+1.4
Auburn,179-162-1,52.5%,47.5%,+1.4
Toledo,169-153-3,52.5%,47.5%,+1.8
Abl Christian,107-97-2,52.5%,47.6%,+1.0
SE Missouri,151-137-5,52.4%,47.6%,+2.1
Cornell,120-109-4,52.4%,47.6%,+2.2
Lafayette,112-102-4,52.3%,47.7%,+0.2
Indiana,180-164-4,52.3%,47.7%,+0.9
Loyola Mymt,159-145-4,52.3%,47.7%,-0.4
Bucknell,125-114-3,52.3%,47.7%,+1.4
Buffalo,161-147-4,52.3%,47.7%,+1.5
Campbell,116-106-3,52.3%,47.8%,+0.2
U Penn,129-118-4,52.2%,47.8%,+1.1
Norfolk St,117-107-1,52.2%,47.8%,+0.2
Yale,129-118-1,52.2%,47.8%,+2.3
Incar Word,94-86-3,52.2%,47.8%,+1.4
American,118-108-0,52.2%,47.8%,+1.1
Oakland,169-155-2,52.2%,47.8%,+1.6
SE Louisiana,110-101-2,52.1%,47.9%,+1.1
Purdue,184-169-3,52.1%,47.9%,+1.3
Prairie View,112-103-1,52.1%,47.9%,+0.9
Oregon,188-173-5,52.1%,47.9%,+1.0
Idaho,151-139-5,52.1%,47.9%,+1.2
Colorado St,164-151-4,52.1%,47.9%,+1.2
VA Tech,166-153-5,52.0%,48.0%,+1.4
DePaul,167-154-4,52.0%,48.0%,+1.0
F Dickinson,117-108-4,52.0%,48.0%,+2.1
Winthrop,120-111-3,52.0%,48.1%,+2.0
Alabama,180-167-7,51.9%,48.1%,+0.9
Boston U,127-118-2,51.8%,48.2%,-0.2
Nevada,171-159-4,51.8%,48.2%,+1.3
Detroit,159-148-5,51.8%,48.2%,+2.3
NC State,174-162-2,51.8%,48.2%,+0.7
La Salle,161-150-2,51.8%,48.2%,+0.7
Pepperdine,163-152-4,51.8%,48.3%,+1.0
NW State,104-97-4,51.7%,48.3%,+1.1
Rhode Island,165-154-2,51.7%,48.3%,+0.1
Richmond,165-154-4,51.7%,48.3%,+0.9
W Illinois,137-128-1,51.7%,48.3%,+0.9
Charlotte,154-144-11,51.7%,48.3%,+1.3
Kentucky,187-175-1,51.7%,48.3%,+1.5
New Mexico,162-152-2,51.6%,48.4%,+1.5
Utah St,163-153-5,51.6%,48.4%,+1.1
Central Mich,151-142-3,51.5%,48.5%,+1.0
Pacific,151-142-4,51.5%,48.5%,+1.3
Minnesota,168-158-4,51.5%,48.5%,+0.8
Portland,153-144-4,51.5%,48.5%,+1.1
TX-Pan Am,103-97-3,51.5%,48.5%,+0.5
Radford,121-114-1,51.5%,48.5%,-0.1
Lehigh,110-104-1,51.4%,48.6%,+1.6
Nebraska,166-157-5,51.4%,48.6%,+0.8
Texas St,150-142-6,51.4%,48.6%,+0.1
Sacred Hrt,113-107-3,51.4%,48.6%,+1.6
Austin Peay,152-144-5,51.4%,48.7%,+2.7
Ohio St,178-169-3,51.3%,48.7%,+1.2
Hofstra,160-152-1,51.3%,48.7%,+1.5
Illinois St,162-154-5,51.3%,48.7%,+0.6
Marshall,164-156-4,51.3%,48.8%,+1.5
Utah,171-163-4,51.2%,48.8%,+1.0
W Carolina,152-145-2,51.2%,48.8%,+0.9
Connecticut,176-168-2,51.2%,48.8%,+1.4
Kennesaw St,111-106-4,51.2%,48.9%,+0.2
TX A&M-CC,111-106-4,51.2%,48.9%,0.0
Murray St,156-149-3,51.2%,48.9%,+0.3
Sam Hous St,113-108-0,51.1%,48.9%,+0.6
VMI,139-133-1,51.1%,48.9%,+1.7
NJIT,116-111-1,51.1%,48.9%,-0.5
Vanderbilt,171-164-6,51.0%,49.0%,+1.0
Providence,172-165-7,51.0%,49.0%,+0.5
Georgia St,154-148-1,51.0%,49.0%,+1.2
Ohio,155-149-5,51.0%,49.0%,+1.3
Fresno St,157-151-2,51.0%,49.0%,+0.8
Missouri St,159-153-2,51.0%,49.0%,+1.2
Cleveland St,159-153-6,51.0%,49.0%,+0.5
St. Thomas,53-51-3,51.0%,49.0%,+0.9
Coastal Car,136-131-2,50.9%,49.1%,+1.2
St Johns,169-163-6,50.9%,49.1%,+1.7
N Arizona,152-147-4,50.8%,49.2%,+0.8
Colgate,121-117-2,50.8%,49.2%,+0.2
Arizona,181-175-5,50.8%,49.2%,+1.0
Brown,121-117-1,50.8%,49.2%,+0.9
Louisiana,153-148-5,50.8%,49.2%,+0.7
Harvard,125-121-1,50.8%,49.2%,-0.2
St Josephs,163-158-2,50.8%,49.2%,+1.0
Clemson,164-159-4,50.8%,49.2%,+0.3
Georgetown,169-164-0,50.8%,49.3%,+1.2
Georgia,171-166-1,50.7%,49.3%,+0.3
Portland St,143-139-5,50.7%,49.3%,+1.2
Xavier,178-173-7,50.7%,49.3%,+0.9
Wm & Mary,145-141-4,50.7%,49.3%,+1.6
LA Tech,151-147-4,50.7%,49.3%,-0.2
James Mad,151-147-2,50.7%,49.3%,+1.1
UAB,161-157-9,50.6%,49.4%,+1.9
California,169-165-5,50.6%,49.4%,+0.2
Wisconsin,179-175-7,50.6%,49.4%,+0.3
W Michigan,148-145-4,50.5%,49.5%,+1.0
GA Southern,149-146-3,50.5%,49.5%,-0.1
Col Charlestn,161-158-2,50.5%,49.5%,+0.4
Arkansas,176-173-5,50.4%,49.6%,+0.5
S Mississippi,144-142-5,50.4%,49.7%,+0.6
E Carolina,146-144-3,50.3%,49.7%,+0.3
Temple,159-157-5,50.3%,49.7%,+0.7
Geo Wshgtn,159-157-4,50.3%,49.7%,+1.3
N Iowa,160-158-2,50.3%,49.7%,+1.0
Washington,168-166-2,50.3%,49.7%,+0.7
Texas Tech,168-166-5,50.3%,49.7%,+0.2
Marquette,172-170-3,50.3%,49.7%,+1.2
Ste F Austin,105-104-2,50.2%,49.8%,+0.5
High Point,113-112-4,50.2%,49.8%,+0.7
Tulsa,154-153-3,50.2%,49.8%,0.0
TX Christian,167-166-5,50.2%,49.9%,+0.6
Illinois,168-167-6,50.2%,49.9%,+1.0
Chattanooga,151-151-4,50.0%,50.0%,+0.5
Drake,159-159-2,50.0%,50.0%,+1.5
N Carolina,188-188-4,50.0%,50.0%,+0.7
Navy,114-114-2,50.0%,50.0%,-1.0
BYU,165-165-3,50.0%,50.0%,+1.1
TX A&M-Com,41-41-0,50.0%,50.0%,+2.2
