Team,Over Record,Over %,Under %,Total +/-
Syracuse,70-38-0,64.8%,35.2%,+4.9
S Dakota St,84-47-1,64.1%,35.9%,+5.8
New Orleans,66-39-2,62.9%,37.1%,+3.3
Delaware St,72-43-1,62.6%,37.4%,+5.3
Santa Clara,66-40-4,62.3%,37.7%,+2.7
NJIT,75-46-1,62.0%,38.0%,+3.0
Sacred Hrt,79-50-0,61.2%,38.8%,+5.3
Northeastrn,87-56-1,60.8%,39.2%,+2.8
Weber St,83-54-1,60.6%,39.4%,+2.9
Fresno St,79-52-1,60.3%,39.7%,+2.3
Columbia,68-45-3,60.2%,39.8%,+3.1
Central Ark,74-49-2,60.2%,39.8%,+3.7
S Indiana,25-17-0,59.5%,40.5%,+4.3
Michigan,66-45-0,59.5%,40.5%,+2.6
Oral Roberts,91-63-2,59.1%,40.9%,+2.6
Iowa St,65-45-1,59.1%,40.9%,+4.2
North Dakota,91-63-1,59.1%,40.9%,+4.3
UNLV,69-48-0,59.0%,41.0%,+3.9
South Dakota,79-55-3,59.0%,41.0%,+4.9
UTSA,79-55-2,59.0%,41.0%,+5.5
NC-Asheville,63-44-4,58.9%,41.1%,+3.1
Wright St,83-58-0,58.9%,41.1%,+3.2
Lg Beach St,91-64-0,58.7%,41.3%,+5.0
Morgan St,62-44-1,58.5%,41.5%,+2.4
Oregon St,66-47-0,58.4%,41.6%,+0.2
NC A&T,66-47-0,58.4%,41.6%,+3.0
W Georgia,7-5-0,58.3%,41.7%,0.0
Indiana St,74-54-2,57.8%,42.2%,+4.6
LSU,63-46-1,57.8%,42.2%,+3.4
Denver,82-60-1,57.8%,42.3%,+1.7
Illinois St,73-54-2,57.5%,42.5%,+2.5
Seattle,58-43-2,57.4%,42.6%,+2.0
Providence,62-46-4,57.4%,42.6%,+0.5
Holy Cross,66-49-3,57.4%,42.6%,+1.5
St Josephs,73-55-0,57.0%,43.0%,+3.4
Boston Col,61-46-4,57.0%,43.0%,+1.2
Tulane,62-47-0,56.9%,43.1%,+2.7
Toledo,83-63-1,56.9%,43.2%,+4.2
Bowling Grn,79-60-0,56.8%,43.2%,+2.7
Arizona,63-48-0,56.8%,43.2%,+4.1
Buffalo,77-59-1,56.6%,43.4%,+2.7
Youngs St,86-66-0,56.6%,43.4%,+1.9
Hampton,61-47-0,56.5%,43.5%,+2.8
Alcorn St,75-58-0,56.4%,43.6%,+2.8
Old Dominion,71-55-2,56.4%,43.7%,+2.2
Nebraska,68-53-1,56.2%,43.8%,+2.4
Cornell,73-57-1,56.2%,43.9%,+3.3
U Mass,64-50-0,56.1%,43.9%,+2.1
Louisiana,78-61-2,56.1%,43.9%,+1.5
Stetson,65-51-3,56.0%,44.0%,+1.8
San Diego,70-55-1,56.0%,44.0%,+2.1
Georgetown,63-50-0,55.8%,44.3%,+2.7
Florida St,60-48-3,55.6%,44.4%,+0.7
NC-Wilmgton,75-60-1,55.6%,44.4%,+2.8
Michigan St,60-48-1,55.6%,44.4%,+1.2
E Kentucky,81-65-1,55.5%,44.5%,+2.3
Gonzaga,56-45-0,55.5%,44.6%,+3.5
Louisville,61-49-1,55.5%,44.6%,+2.5
San Jose St,72-58-1,55.4%,44.6%,+3.0
Sam Hous St,63-51-0,55.3%,44.7%,+0.8
W Virginia,58-47-2,55.2%,44.8%,+2.2
E Carolina,58-47-3,55.2%,44.8%,+0.6
Charlotte,69-56-5,55.2%,44.8%,+1.5
Montana,85-69-0,55.2%,44.8%,+3.0
Idaho St,85-69-2,55.2%,44.8%,+1.7
Mercer,80-65-2,55.2%,44.8%,+2.6
WI-Grn Bay,91-74-2,55.2%,44.9%,+2.1
SC Upstate,70-57-0,55.1%,44.9%,+0.6
New Mexico,65-53-0,55.1%,44.9%,+3.6
Hawaii,51-42-4,54.8%,45.2%,+2.3
Detroit,91-75-4,54.8%,45.2%,+3.6
Dayton,58-48-3,54.7%,45.3%,+0.8
E Washingtn,94-78-2,54.7%,45.4%,+1.5
Marshall,77-64-2,54.6%,45.4%,+1.9
VMI,77-64-1,54.6%,45.4%,+1.9
High Point,55-46-1,54.5%,45.5%,+1.1
NC-Grnsboro,74-62-4,54.4%,45.6%,+2.1
Norfolk St,62-52-0,54.4%,45.6%,-0.3
UCSD,31-26-2,54.4%,45.6%,+2.6
Texas A&M,56-47-1,54.4%,45.6%,+1.1
Georgia,63-53-0,54.3%,45.7%,+1.8
NW State,63-53-1,54.3%,45.7%,+2.1
Wake Forest,63-53-4,54.3%,45.7%,+1.2
Prairie View,70-59-1,54.3%,45.7%,+1.9
Manhattan,77-65-1,54.2%,45.8%,+1.8
