Team,Over Record,Over %,Under %,Total +/-
Utah Tech,16-8-0,66.7%,33.3%,+4.7
Queens,17-9-0,65.4%,34.6%,+1.1
New Orleans,82-44-1,65.1%,34.9%,+4.9
Morgan St,39-22-0,63.9%,36.1%,+5.0
Oral Roberts,72-43-0,62.6%,37.4%,+2.6
TX A&M-Com,10-6-0,62.5%,37.5%,+9.7
Weber St,72-48-2,60.0%,40.0%,+2.3
W Georgia,3-2-0,60.0%,40.0%,-6.7
Winthrop,74-51-2,59.2%,40.8%,+4.8
Prairie View,26-18-1,59.1%,40.9%,+2.4
North Dakota,52-36-1,59.1%,40.9%,+2.6
Grd Canyon,36-25-1,59.0%,41.0%,+0.2
St Fran (PA),47-33-0,58.8%,41.3%,+2.9
Bellarmine,27-19-0,58.7%,41.3%,+1.6
N Dakota St,49-35-0,58.3%,41.7%,+3.6
Northeastrn,123-89-4,58.0%,42.0%,+2.3
South Dakota,69-50-2,58.0%,42.0%,+3.4
Delaware,132-98-2,57.4%,42.6%,+2.3
NC-Asheville,66-49-1,57.4%,42.6%,+2.6
IPFW,86-64-2,57.3%,42.7%,+2.1
Ark Pine Bl,29-22-1,56.9%,43.1%,+5.9
Hsn Christian,54-41-1,56.8%,43.2%,+5.7
Jacksonville,51-39-0,56.7%,43.3%,+2.4
NC A&T,47-36-0,56.6%,43.4%,+3.0
Portland St,65-50-1,56.5%,43.5%,+2.5
NJIT,62-48-1,56.4%,43.6%,+0.6
S Dakota St,65-51-2,56.0%,44.0%,+3.1
Providence,224-176-5,56.0%,44.0%,+2.2
N Colorado,57-45-1,55.9%,44.1%,+2.1
Neb Omaha,59-47-1,55.7%,44.3%,+3.6
Buffalo,220-176-8,55.6%,44.4%,+2.1
Yale,41-33-1,55.4%,44.6%,+3.0
Wake Forest,262-211-8,55.4%,44.6%,+1.4
Niagara,93-75-2,55.4%,44.6%,+3.1
SC Upstate,73-59-0,55.3%,44.7%,+0.6
Hofstra,136-110-3,55.3%,44.7%,+2.2
Boston Col,222-180-9,55.2%,44.8%,+1.7
Coastal Car,39-32-0,54.9%,45.1%,+2.7
Radford,68-56-0,54.8%,45.2%,+0.4
Bowling Grn,227-187-2,54.8%,45.2%,+1.9
F Dickinson,40-33-2,54.8%,45.2%,+3.3
Alab A&M,23-19-0,54.8%,45.2%,+1.0
WI-Milwkee,118-98-0,54.6%,45.4%,+2.4
Oregon St,102-85-0,54.6%,45.5%,+1.3
St. Thomas,12-10-1,54.6%,45.5%,+3.6
Miss State,236-197-5,54.5%,45.5%,+1.8
Youngs St,115-96-0,54.5%,45.5%,+3.1
Abl Christian,49-41-1,54.4%,45.6%,+2.7
TX Southern,37-31-1,54.4%,45.6%,+3.7
S Car State,37-31-0,54.4%,45.6%,+1.7
UTSA,56-47-0,54.4%,45.6%,+2.2
Drake,209-176-7,54.3%,45.7%,+2.2
E Washingtn,70-59-1,54.3%,45.7%,+1.8
Auburn,236-199-1,54.3%,45.8%,+1.7
Gard-Webb,65-55-1,54.2%,45.8%,+1.4
Colorado St,203-172-6,54.1%,45.9%,+2.1
Delaware St,33-28-1,54.1%,45.9%,+2.5
Towson,126-107-5,54.1%,45.9%,+1.7
San Diego,73-62-2,54.1%,45.9%,+0.5
WI-Grn Bay,107-91-1,54.0%,46.0%,+1.6
Kennesaw St,47-40-0,54.0%,46.0%,+1.9
Mississippi,242-207-6,53.9%,46.1%,+2.2
Coppin St,35-30-0,53.9%,46.2%,+1.8
Holy Cross,84-72-4,53.9%,46.2%,+0.8
Stonehill,14-12-1,53.9%,46.2%,+5.7
Duquesne,212-182-5,53.8%,46.2%,+1.7
Lg Beach St,93-80-2,53.8%,46.2%,+2.3
N Florida,50-43-3,53.8%,46.2%,+1.2
North Texas,72-62-1,53.7%,46.3%,+1.4
Nevada,167-144-4,53.7%,46.3%,+1.3
IL-Chicago,146-126-2,53.7%,46.3%,+1.8
W Michigan,219-189-5,53.7%,46.3%,+1.3
Lafayette,81-70-3,53.6%,46.4%,+0.7
Xavier,234-203-6,53.6%,46.5%,+1.4
N Carolina,235-204-1,53.5%,46.5%,+1.0
Rider,108-94-3,53.5%,46.5%,+1.5
McNeese St,47-41-0,53.4%,46.6%,+0.8
Iona,95-83-2,53.4%,46.6%,+1.0
NC State,239-209-8,53.4%,46.7%,+1.0
Indiana St,217-190-6,53.3%,46.7%,+1.4
Dayton,219-192-7,53.3%,46.7%,+0.6
Oakland,66-58-1,53.2%,46.8%,+2.2
UCLA,133-117-2,53.2%,46.8%,+1.3
Lamar,52-46-1,53.1%,46.9%,+0.7
Santa Clara,73-65-0,52.9%,47.1%,+1.8
Iowa,228-203-7,52.9%,47.1%,+2.0
TN State,73-65-0,52.9%,47.1%,+0.9
Liberty,55-49-1,52.9%,47.1%,+0.2
Cornell,38-34-1,52.8%,47.2%,+2.0
Iowa St,202-181-8,52.7%,47.3%,+1.5
UL Monroe,58-52-3,52.7%,47.3%,+1.2
Navy,87-78-2,52.7%,47.3%,-0.2
Denver,97-87-0,52.7%,47.3%,+1.2
Stetson,49-44-1,52.7%,47.3%,+1.8
American,89-80-0,52.7%,47.3%,+0.7
Incar Word,40-36-1,52.6%,47.4%,+2.1
Fresno St,170-153-3,52.6%,47.4%,+1.9
Wright St,121-109-2,52.6%,47.4%,+1.3
Pacific,81-73-1,52.6%,47.4%,+0.8
Ball St,223-201-8,52.6%,47.4%,+1.4
Geo Mason,195-176-3,52.6%,47.4%,+0.5
Charlotte,154-139-6,52.6%,47.4%,+1.8
Howard,31-28-1,52.5%,47.5%,+1.9
Old Dominion,124-112-2,52.5%,47.5%,+0.5
TN Tech,73-66-1,52.5%,47.5%,+1.4
Vermont,74-67-1,52.5%,47.5%,+0.3
Ste F Austin,55-50-1,52.4%,47.6%,+0.3
NW State,45-41-2,52.3%,47.7%,+1.0
Wyoming,195-178-7,52.3%,47.7%,+0.7
U Penn,71-65-2,52.2%,47.8%,+1.3
New Mexico,197-181-5,52.1%,47.9%,+1.6
Murray St,99-91-2,52.1%,47.9%,+0.8
Oklahoma St,188-173-4,52.1%,47.9%,+1.1
Missouri St,217-200-4,52.0%,48.0%,+0.9
UNLV,219-202-2,52.0%,48.0%,+1.1
Geo Wshgtn,196-181-5,52.0%,48.0%,+1.6
Wofford,118-109-4,52.0%,48.0%,+1.0
Rhode Island,218-202-3,51.9%,48.1%,+0.6
Baylor,179-166-3,51.9%,48.1%,+1.6
S Indiana,14-13-0,51.9%,48.2%,-0.4
Idaho,71-66-1,51.8%,48.2%,+0.2
Wichita St,206-192-2,51.8%,48.2%,+1.4
Canisius,89-83-3,51.7%,48.3%,+2.6
Grambling St,30-28-0,51.7%,48.3%,+0.4
TX-Pan Am,30-28-2,51.7%,48.3%,+1.9
U Mass,224-210-5,51.6%,48.4%,+0.7
Utah,148-139-3,51.6%,48.4%,+1.0
VA Tech,185-174-5,51.5%,48.5%,+1.4
Pepperdine,69-65-2,51.5%,48.5%,+0.3
Notre Dame,192-181-3,51.5%,48.5%,+1.9
Campbell,54-51-2,51.4%,48.6%,+0.2
BYU,128-121-4,51.4%,48.6%,+2.0
Tulane,183-173-8,51.4%,48.6%,+1.2
Cal St Nrdge,94-89-1,51.4%,48.6%,+2.4
Indiana,225-213-8,51.4%,48.6%,+0.7
Valparaiso,133-126-1,51.4%,48.7%,+1.1
VMI,76-72-0,51.4%,48.7%,+0.2
Michigan,219-208-2,51.3%,48.7%,+0.4
Samford,100-95-2,51.3%,48.7%,+1.0
Marquette,203-193-3,51.3%,48.7%,+1.5
Loyola-Chi,166-158-2,51.2%,48.8%,+0.5
E Carolina,188-179-5,51.2%,48.8%,+0.9
NC-Grnsboro,129-123-5,51.2%,48.8%,+0.6
Missouri,218-208-4,51.2%,48.8%,+0.6
Toledo,220-210-3,51.2%,48.8%,+0.5
Connecticut,202-193-4,51.1%,48.9%,+0.9
Princeton,69-66-1,51.1%,48.9%,+1.5
LIU,23-22-0,51.1%,48.9%,+2.8
N Iowa,211-202-3,51.1%,48.9%,+1.0
AR Lit Rock,72-69-0,51.1%,48.9%,+0.8
N Mex State,72-69-3,51.1%,48.9%,+0.5
Marshall,146-140-4,51.1%,49.0%,+0.9
Arkansas,222-213-5,51.0%,49.0%,+0.5
Purdue,223-214-2,51.0%,49.0%,+0.5
Florida St,185-178-8,51.0%,49.0%,+0.2
Sam Hous St,54-52-0,50.9%,49.1%,+2.8
S Carolina,224-216-7,50.9%,49.1%,+0.5
Evansville,208-201-2,50.9%,49.1%,+1.2
NC Central,30-29-0,50.9%,49.2%,+0.1
TN Martin,60-58-4,50.9%,49.2%,+3.1
Col Charlestn,92-89-0,50.8%,49.2%,-0.1
S Mississippi,123-119-1,50.8%,49.2%,+0.9
Temple,221-214-9,50.8%,49.2%,+1.3
Bradley,232-225-3,50.8%,49.2%,+1.2
S Illinois,216-210-5,50.7%,49.3%,0.0
Loyola-MD,114-111-7,50.7%,49.3%,-0.2
Utah Valley,39-38-0,50.7%,49.4%,+0.5
Brown,39-38-2,50.7%,49.4%,-1.5
Mt St Marys,40-39-5,50.6%,49.4%,-0.3
Pittsburgh,193-189-8,50.5%,49.5%,-0.1
N Kentucky,50-49-1,50.5%,49.5%,+0.8
Richmond,214-210-5,50.5%,49.5%,+0.8
Furman,121-119-4,50.4%,49.6%,-0.3
SE Missouri,73-72-2,50.3%,49.7%,+2.2
UCF,169-167-5,50.3%,49.7%,+0.7
Boston U,91-90-3,50.3%,49.7%,-0.9
Manhattan,97-96-3,50.3%,49.7%,+1.2
DePaul,208-206-5,50.2%,49.8%,+0.4
Central Ark,48-48-3,50.0%,50.0%,+2.4
Nebraska,197-197-6,50.0%,50.0%,+0.5
CS Bakersfld,27-27-0,50.0%,50.0%,-0.8
Chattanooga,109-109-2,50.0%,50.0%,+0.7
IU Indy,71-71-2,50.0%,50.0%,+0.9
Troy,57-57-2,50.0%,50.0%,+0.6
Montana,58-58-1,50.0%,50.0%,-0.3
Nicholls,44-44-1,50.0%,50.0%,+1.8
Marist,95-95-2,50.0%,50.0%,+2.1
S Utah,41-41-2,50.0%,50.0%,+0.1
Le Moyne,8-8-0,50.0%,50.0%,+2.5
NC-Wilmgton,121-121-1,50.0%,50.0%,0.0
App State,79-79-2,50.0%,50.0%,+1.2
Kentucky,254-255-9,49.9%,50.1%,+0.3
LSU,216-217-4,49.9%,50.1%,+1.2
Utah St,140-141-4,49.8%,50.2%,+0.6
California,126-127-4,49.8%,50.2%,-0.7
Georgia St,106-107-1,49.8%,50.2%,+0.5
Arizona St,110-111-1,49.8%,50.2%,+0.5
Oregon,106-107-3,49.8%,50.2%,+1.5
Penn St,205-207-3,49.8%,50.2%,+0.2
Ohio,207-209-5,49.8%,50.2%,+1.3
