Team,ATS Record,Cover %,MOV,ATS +/-
Ste F Austin,2-0-0,100.0%,13.2,+6.0
TX El Paso,3-0-0,100.0%,17.0,+10.8
S Carolina,2-0-0,100.0%,24.0,+14.8
Toledo,3-0-0,100.0%,10.5,+2.2
Illinois St,4-0-0,100.0%,11.8,+6.0
SIU Edward,2-0-0,100.0%,35.8,+12.3
Dartmouth,4-0-0,100.0%,24.7,+8.9
Coastal Car,3-0-0,100.0%,17.6,+11.8
San Jose St,5-0-0,100.0%,14.7,+9.1
Texas St,2-0-1,100.0%,22.8,+7.8
F Dickinson,4-0-0,100.0%,22.0,+9.6
Oakland,2-0-0,100.0%,14.7,+26.8
S Car State,5-0-0,100.0%,30.4,+29.3
Mercer,1-0-0,100.0%,47.7,+2.5
Hsn Christian,5-0-0,100.0%,1.4,+5.3
Mt St Marys,4-0-0,100.0%,8.4,+8.0
Monmouth,3-0-0,100.0%,7.3,+15.0
North Dakota,3-0-0,100.0%,14.2,+4.7
Middle Tenn,3-0-0,100.0%,23.2,+7.3
NC A&T,3-0-0,100.0%,13.8,+8.0
Lipscomb,2-0-0,100.0%,38.0,+17.3
LIU,4-0-0,100.0%,16.3,+6.6
Tulane,7-1-0,87.5%,14.4,+5.9
Xavier,6-1-0,85.7%,21.1,+9.6
Tulsa,6-1-0,85.7%,11.7,+6.1
Bucknell,5-1-0,83.3%,-6.2,+3.2
Jackson St,5-1-0,83.3%,-7.7,+8.5
Alcorn St,5-1-0,83.3%,-7.1,+6.9
Mississippi,5-1-0,83.3%,22.8,+5.3
IPFW,5-1-0,83.3%,22.0,+3.4
IL-Chicago,5-1-0,83.3%,11.8,+3.3
Clemson,4-1-0,80.0%,11.2,+3.8
San Francisco,4-1-0,80.0%,18.5,+8.8
Vanderbilt,4-1-0,80.0%,21.2,+4.5
UCSB,4-1-0,80.0%,20.6,+7.3
Yale,4-1-0,80.0%,21.3,+8.3
Manhattan,4-1-0,80.0%,5.7,+6.0
Le Moyne,4-1-0,80.0%,16.0,+10.4
Elon,4-1-0,80.0%,22.5,+12.5
Pittsburgh,4-1-0,80.0%,18.6,+6.2
UC Riverside,4-1-0,80.0%,0.2,-0.4
Coppin St,4-1-0,80.0%,-5.5,+9.5
Central Ark,4-1-0,80.0%,2.1,+3.8
Old Dominion,4-1-0,80.0%,7.9,+4.6
Incar Word,4-1-0,80.0%,16.8,+4.9
Radford,4-1-0,80.0%,19.7,+4.6
Youngs St,4-1-1,80.0%,20.6,+5.3
IU Indy,4-1-0,80.0%,18.1,+11.8
St Bonavent,4-1-0,80.0%,10.3,+3.9
Missouri,4-1-0,80.0%,21.2,+13.5
Rob Morris,4-1-0,80.0%,8.0,+2.0
Indiana St,3-1-0,75.0%,24.0,+9.1
Bowling Grn,6-2-1,75.0%,6.8,+5.3
Oregon St,3-1-0,75.0%,15.6,+1.0
Denver,3-1-0,75.0%,2.8,+1.4
Beth-Cook,3-1-1,75.0%,-0.8,+5.9
Troy,3-1-0,75.0%,14.4,+4.9
TX-Pan Am,3-1-0,75.0%,24.3,+3.3
Norfolk St,3-1-0,75.0%,22.3,+3.5
Presbyterian,3-1-0,75.0%,22.4,+3.0
NC-Asheville,3-1-0,75.0%,30.3,+11.0
S Alabama,3-1-0,75.0%,26.5,+10.6
Montana,3-1-0,75.0%,13.3,+2.5
NC-Grnsboro,3-1-0,75.0%,22.7,+4.0
Morgan St,3-1-0,75.0%,19.9,+2.5
Kansas,3-1-0,75.0%,13.0,+1.9
Texas Tech,3-1-0,75.0%,37.5,+11.0
Niagara,3-1-0,75.0%,6.0,+3.6
Evansville,3-1-0,75.0%,10.8,+9.9
W Kentucky,3-1-1,75.0%,0.5,-1.2
Binghamton,3-1-0,75.0%,10.2,+3.0
Arkansas St,5-2-0,71.4%,17.5,+2.4
Siena,5-2-0,71.4%,2.4,+6.6
Texas A&M,5-2-0,71.4%,19.1,+2.4
