Rank,Hotness Score,Matchup,Time,Location
1,98.7,#8 Arizona  at  #28 BYU,11:00 PM,Marriott Center
1,98.7,#17 Baylor  at  #12 Texas Tech,9:00 PM,United Supermarkets Arena
1,98.7,#15 Michigan St  at  #25 UCLA,10:00 PM,Pauley Pavilion presented by Wescom
4,98.5,#19 Marquette  at  #18 St Johns,6:30 PM,Madison Square Garden
5,98.1,#20 Kentucky  at  #26 Mississippi,7:00 PM,The Sandy and John Black Pavilion at Ole Miss
6,97.2,#38 Oklahoma  at  #1 Auburn,9:00 PM,Neville Arena
7,96.3,#11 Purdue  at  #54 Iowa,7:00 PM,Carver-Hawkeye Arena
8,95.8,#57 Vanderbilt  at  #6 Florida,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center
9,95.7,#53 Indiana  at  #22 Wisconsin,9:00 PM,Kohl Center
10,94.2,#58 USC  at  #51 Northwestern,9:00 PM,Welsh-Ryan Arena
11,92.8,#63 Kansas St  at  #61 Arizona St,10:00 PM,Desert Financial Arena
12,91.6,#88 Georgetown  at  #43 Xavier,8:30 PM,Cintas Center
13,91.3,#70 Notre Dame  at  #72 Florida St,7:00 PM,Donald L. Tucker Center
14,90.9,#103 Oklahoma St  at  #2 Houston,8:00 PM,Fertitta Center
15,90.8,#94 Minnesota  at  #45 Penn St,7:00 PM,Bryce Jordan Center
16,90.6,#99 GA Tech  at  #31 Clemson,9:00 PM,Littlejohn Coliseum
17,89.0,#55 Boise St  at  #109 UNLV,11:00 PM,Thomas & Mack Center
18,85.5,#121 Davidson  at  #73 Dayton,7:00 PM,University of Dayton Arena
19,84.2,#96 St Bonavent  at  #117 Loyola-Chi,9:00 PM,Joseph J. Gentile Arena
20,82.7,#85 Drake  at  #135 Murray St,7:00 PM,CFSB Center
21,81.0,#49 Utah St  at  #172 Wyoming,8:30 PM,Arena-Auditorium
22,79.2,#184 La Salle  at  #41 VCU,7:00 PM,Stuart C. Siegel Center
23,77.7,#112 Saint Louis  at  #156 U Mass,7:00 PM,William D. Mullins Memorial Center
24,63.3,#141 Wichita St  at  #230 Charlotte,7:00 PM,Dale F. Halton Arena
25,61.3,#170 Miami (OH)  at  #219 Central Mich,7:00 PM,McGuirk Arena
26,60.7,#267 Ball St  at  #101 Akron,7:00 PM,James A. Rhodes Arena
27,59.3,#76 Nevada  at  #290 Air Force,9:00 PM,Clune Arena
28,51.2,#175 San Jose St  at  #274 Fresno St,10:00 PM,Save Mart Center
29,48.7,#147 Kent St  at  #309 E Michigan,6:30 PM,George Gervin GameAbove Center
30,46.4,#307 W Michigan  at  #163 Ohio,7:00 PM,Convocation Center
31,35.4,#350 Buffalo  at  #181 Toledo,7:00 PM,Savage Arena
32,28.5,#333 E Illinois  at  #249 SIU Edward,8:30 PM,First Community Arena at the Vadalabene Center
33,17.5,#349 N Illinois  at  #297 Bowling Grn,7:00 PM,Stroh Center
34,14.6,#363 Ark Pine Bl  vs.  #291 TX Southern,6:30 PM,H.O. Clemmons Arena (K. L. Johnson Complex)
