Team,ATS Record,Cover %,MOV,ATS +/-
Gard-Webb,84-54-2,60.9%,-6.2,+1.8
SE Louisiana,74-50-1,59.7%,-8.1,+0.7
Jksnville St,166-116-10,58.9%,-5.4,+1.2
Campbell,66-48-3,57.9%,-8.4,+1.5
TX A&M-CC,68-50-1,57.6%,-5.3,+1.6
Yale,178-131-13,57.6%,-2.6,+1.8
St Peters,185-137-7,57.5%,-5.5,+1.3
Mercyhurst,8-6-1,57.1%,-12.6,+0.5
Marquette,166-125-4,57.0%,-1.7,+0.7
Jackson St,86-65-2,57.0%,-8.5,+0.8
Lipscomb,83-63-2,56.9%,-4.4,+1.6
UC Davis,138-105-3,56.8%,-6.5,+1.5
Rob Morris,89-68-0,56.7%,-4.1,+0.3
F Dickinson,81-62-0,56.6%,-7.2,+1.2
Boston Col,158-121-12,56.6%,-5.2,+1.7
Stetson,73-56-5,56.6%,-10.0,+0.2
IPFW,129-99-1,56.6%,-7.3,+0.6
Princeton,177-136-6,56.6%,0.7,+0.9
Col Charlestn,161-124-7,56.5%,1.4,+1.5
Merrimack,48-37-3,56.5%,-3.5,+1.7
Miami,164-127-10,56.4%,-1.8,+1.4
NW State,71-55-3,56.4%,-8.9,+0.4
Norfolk St,72-56-1,56.3%,-6.2,+0.8
Lafayette,77-60-1,56.2%,-6.1,+0.8
St Marys,164-128-5,56.2%,1.4,+1.3
Hofstra,174-136-12,56.1%,-0.8,+1.5
Hsn Christian,66-52-1,55.9%,-14.8,0.0
Cornell,171-135-9,55.9%,-5.4,+1.3
Central Conn,76-60-2,55.9%,-5.8,+1.1
Stony Brook,82-65-2,55.8%,-4.7,+0.2
Nevada,167-133-9,55.7%,-2.2,+1.0
Providence,165-132-7,55.6%,-3.1,+1.4
N Colorado,136-109-8,55.5%,-5.9,+1.4
Colgate,77-62-2,55.4%,-4.9,+1.2
Loyola-MD,161-130-4,55.3%,-7.3,+0.9
Oakland,131-106-3,55.3%,-4.5,+0.6
Wichita St,164-133-8,55.2%,0.2,+0.6
Temple,191-155-8,55.2%,0.0,+0.7
Bucknell,80-65-2,55.2%,-3.2,+1.0
Florida A&M,70-57-0,55.1%,-13.1,+0.5
San Diego,178-145-4,55.1%,-5.5,+1.6
Lehigh,76-62-0,55.1%,-4.8,+0.7
Seton Hall,164-135-5,54.9%,-3.5,+0.9
NJIT,68-56-2,54.8%,-10.4,+0.5
Kent St,194-161-9,54.7%,-0.6,+0.7
Albany,71-59-5,54.6%,-4.4,+0.8
NC Central,65-54-2,54.6%,-8.3,+0.2
Columbia,149-124-4,54.6%,-6.7,+0.5
N Illinois,203-169-9,54.6%,-8.3,+0.4
TX-Arlington,104-87-3,54.5%,-4.4,+1.5
SC Upstate,75-63-6,54.4%,-9.6,+0.6
U Penn,170-143-7,54.3%,-1.8,+0.6
WI-Milwkee,198-167-13,54.3%,-4.7,+0.6
Canisius,175-148-15,54.2%,-5.7,+0.1
Louisville,157-133-6,54.1%,0.8,+1.0
Wofford,190-161-7,54.1%,-5.3,+0.8
Mass Lowell,66-56-0,54.1%,-5.0,+0.3
Towson,156-133-8,54.0%,-6.5,+0.9
Vanderbilt,157-134-8,54.0%,-4.9,+0.9
Army,70-60-2,53.9%,-8.1,-0.2
Maryland BC,71-61-2,53.8%,-6.4,+1.6
Utah Valley,72-62-2,53.7%,-4.7,+1.1
St. Thomas,29-25-2,53.7%,-3.6,+0.6
Navy,73-63-1,53.7%,-4.8,+1.3
Davidson,163-141-4,53.6%,0.4,+0.7
St Josephs,181-157-10,53.6%,-1.6,+1.0
S Methodist,160-139-6,53.5%,-2.8,-0.2
S Dakota St,107-93-2,53.5%,-4.1,+0.4
Brown,162-141-4,53.5%,-6.3,+1.3
Jacksonville,78-68-2,53.4%,-7.2,-0.1
Boise St,181-158-6,53.4%,-1.4,+1.1
Georgetown,158-138-6,53.4%,-2.4,+1.1
Marist,166-145-7,53.4%,-6.1,+0.6
E Kentucky,175-153-5,53.4%,-6.6,+0.2
S Florida,167-146-7,53.4%,-6.4,+0.6
USC,168-147-2,53.3%,-2.9,+0.5
Memphis,154-135-6,53.3%,1.6,+0.8
North Texas,178-156-13,53.3%,-7.1,+0.2
E Tenn St,116-102-6,53.2%,-2.6,+0.8
Boston U,84-74-6,53.2%,-2.3,+1.3
