Team,Over Record,Over %,Under %,Total +/-
TX A&M-Com,1-0-0,100.0%,0.0%,+10.5
UL Monroe,4-0-0,100.0%,0.0%,+26.0
South Dakota,10-0-0,100.0%,0.0%,+13.4
Idaho,3-0-0,100.0%,0.0%,+9.0
Hsn Christian,2-0-0,100.0%,0.0%,+20.5
Stony Brook,1-0-0,100.0%,0.0%,+17.0
N Florida,10-0-0,100.0%,0.0%,+16.9
Austin Peay,3-0-0,100.0%,0.0%,+13.3
Ark Pine Bl,1-0-0,100.0%,0.0%,+10.5
Alab A&M,4-0-0,100.0%,0.0%,+17.3
Fordham,7-1-0,87.5%,12.5%,+18.5
Wyoming,6-1-0,85.7%,14.3%,+5.2
Howard,6-1-0,85.7%,14.3%,+21.1
Delaware,6-1-0,85.7%,14.3%,+13.1
IL-Chicago,5-1-0,83.3%,16.7%,+12.8
Siena,5-1-0,83.3%,16.7%,+18.0
TN State,5-1-0,83.3%,16.7%,+10.5
Le Moyne,5-1-0,83.3%,16.7%,+17.8
Lindenwood,5-1-0,83.3%,16.7%,+5.0
VA Tech,5-1-0,83.3%,16.7%,+0.7
Jackson St,5-1-0,83.3%,16.7%,+12.4
North Dakota,5-1-0,83.3%,16.7%,+8.3
Winthrop,13-3-0,81.3%,18.8%,+14.2
Hampton,4-1-0,80.0%,20.0%,+1.0
Central Ark,4-1-0,80.0%,20.0%,+2.5
American,7-2-0,77.8%,22.2%,+6.8
N Arizona,7-2-0,77.8%,22.2%,+5.5
Belmont,10-3-0,76.9%,23.1%,+9.5
Charl South,3-1-0,75.0%,25.0%,+3.1
NC Central,6-2-0,75.0%,25.0%,+13.8
Stetson,3-1-0,75.0%,25.0%,+8.5
Florida A&M,3-1-0,75.0%,25.0%,+16.3
Miami,9-3-0,75.0%,25.0%,+9.9
IU Indy,3-1-0,75.0%,25.0%,+11.3
VMI,3-1-0,75.0%,25.0%,-0.5
California,9-3-0,75.0%,25.0%,+9.8
Maryland BC,6-2-0,75.0%,25.0%,+5.1
N Colorado,9-3-0,75.0%,25.0%,+8.3
Bellarmine,3-1-0,75.0%,25.0%,+5.1
E Michigan,3-1-0,75.0%,25.0%,+20.8
Ohio,11-4-1,73.3%,26.7%,+6.2
USC,8-3-0,72.7%,27.3%,+5.0
S Car State,8-3-0,72.7%,27.3%,+5.5
Temple,8-3-0,72.7%,27.3%,+11.4
Colgate,10-4-0,71.4%,28.6%,+7.8
Villanova,10-4-1,71.4%,28.6%,+4.2
Idaho St,5-2-0,71.4%,28.6%,+5.1
UTSA,5-2-0,71.4%,28.6%,+4.3
LSU,7-3-0,70.0%,30.0%,+7.5
Loyola Mymt,7-3-0,70.0%,30.0%,+1.7
La Salle,7-3-0,70.0%,30.0%,+5.9
Miami (OH),9-4-0,69.2%,30.8%,+6.0
N Dakota St,9-4-0,69.2%,30.8%,+6.1
St. Thomas,9-4-1,69.2%,30.8%,+8.7
Rhode Island,11-5-0,68.8%,31.3%,+3.1
NC-Wilmgton,11-5-0,68.8%,31.3%,+3.6
Dayton,11-5-0,68.8%,31.3%,+1.1
IPFW,11-5-0,68.8%,31.3%,+10.3
Portland,4-2-0,66.7%,33.3%,+13.5
CS Bakersfld,6-3-0,66.7%,33.3%,+2.3
Denver,2-1-0,66.7%,33.3%,+13.8
Army,6-3-0,66.7%,33.3%,+0.2
