Team,Over Record,Over %,Under %,Total +/-
Auburn,1-0-0,100.0%,0.0%,+7.5
NC-Asheville,3-0-1,100.0%,0.0%,+14.5
NC Central,10-1-0,90.9%,9.1%,+10.2
Howard,10-1-0,90.9%,9.1%,+10.8
Illinois St,8-1-0,88.9%,11.1%,+13.4
South Dakota,7-1-0,87.5%,12.5%,+6.0
Temple,7-1-0,87.5%,12.5%,+13.4
Illinois,7-1-0,87.5%,12.5%,+3.9
North Dakota,12-2-0,85.7%,14.3%,+9.4
Oregon,6-1-0,85.7%,14.3%,+4.0
Texas,6-1-1,85.7%,14.3%,+2.9
Gard-Webb,11-2-1,84.6%,15.4%,+8.3
Maryland,5-1-0,83.3%,16.7%,+8.6
St. Thomas,5-1-0,83.3%,16.7%,+11.3
San Diego St,4-1-0,80.0%,20.0%,+6.4
VCU,4-1-0,80.0%,20.0%,+1.3
Yale,4-1-0,80.0%,20.0%,+7.3
Northwestern,8-2-0,80.0%,20.0%,+5.6
Wisconsin,4-1-0,80.0%,20.0%,+5.0
North Texas,4-1-0,80.0%,20.0%,+9.0
Geo Mason,4-1-0,80.0%,20.0%,+6.5
Weber St,11-3-0,78.6%,21.4%,+8.8
W Carolina,11-3-1,78.6%,21.4%,+3.2
USC,7-2-0,77.8%,22.2%,+0.3
UCF,7-2-0,77.8%,22.2%,+19.3
Butler,10-3-0,76.9%,23.1%,+4.6
IPFW,6-2-0,75.0%,25.0%,+8.1
Marist,3-1-0,75.0%,25.0%,+0.3
Miami (OH),3-1-0,75.0%,25.0%,+12.0
Memphis,3-1-0,75.0%,25.0%,+7.9
SE Missouri,6-2-0,75.0%,25.0%,-1.1
Michigan St,3-1-0,75.0%,25.0%,+7.4
S Dakota St,6-2-0,75.0%,25.0%,+7.9
Ball St,8-3-0,72.7%,27.3%,+7.8
Northeastrn,8-3-0,72.7%,27.3%,+6.5
Loyola-MD,8-3-0,72.7%,27.3%,+3.1
TN Tech,8-3-0,72.7%,27.3%,+7.5
Dayton,5-2-0,71.4%,28.6%,+6.9
Delaware St,5-2-0,71.4%,28.6%,+10.4
SIU Edward,5-2-0,71.4%,28.6%,+5.6
Columbia,5-2-0,71.4%,28.6%,+13.3
Oregon St,5-2-0,71.4%,28.6%,+4.8
Gonzaga,5-2-0,71.4%,28.6%,+6.7
N Dakota St,5-2-0,71.4%,28.6%,+15.0
SC Upstate,12-5-0,70.6%,29.4%,+3.9
Washington,7-3-0,70.0%,30.0%,+1.8
Air Force,14-6-0,70.0%,30.0%,+1.7
American,7-3-0,70.0%,30.0%,+6.1
CS Bakersfld,9-4-0,69.2%,30.8%,+6.9
Idaho,9-4-0,69.2%,30.8%,+5.1
Le Moyne,11-5-0,68.8%,31.3%,+4.9
Dartmouth,6-3-1,66.7%,33.3%,+10.1
Queens,6-3-0,66.7%,33.3%,+3.2
San Jose St,6-3-1,66.7%,33.3%,+2.7
Indiana,6-3-0,66.7%,33.3%,+1.3
Boston Col,8-4-0,66.7%,33.3%,+8.9
UCLA,4-2-0,66.7%,33.3%,+0.1
Connecticut,4-2-0,66.7%,33.3%,+0.6
Virginia,8-4-0,66.7%,33.3%,+1.7
Wake Forest,4-2-0,66.7%,33.3%,-0.5
Miss State,4-2-0,66.7%,33.3%,+2.3
Creighton,4-2-0,66.7%,33.3%,+4.6
Radford,6-3-0,66.7%,33.3%,+1.1
Oklahoma,4-2-0,66.7%,33.3%,-0.8
Providence,8-4-0,66.7%,33.3%,+7.0
Ohio,6-3-1,66.7%,33.3%,+2.2
Manhattan,6-3-0,66.7%,33.3%,+7.9
St Peters,8-4-0,66.7%,33.3%,+3.9
Furman,4-2-0,66.7%,33.3%,+9.0
Arizona,4-2-0,66.7%,33.3%,+1.6
Winthrop,6-3-0,66.7%,33.3%,+6.9
Xavier,6-3-0,66.7%,33.3%,+7.7
Alabama,2-1-0,66.7%,33.3%,+12.0
UTSA,8-4-0,66.7%,33.3%,-1.0
DePaul,8-4-0,66.7%,33.3%,+6.2
Maryland BC,8-4-0,66.7%,33.3%,+4.9
Hsn Christian,8-4-0,66.7%,33.3%,-0.2
N Florida,6-3-0,66.7%,33.3%,+8.7
Mt St Marys,6-3-0,66.7%,33.3%,+10.8
Wm & Mary,6-3-0,66.7%,33.3%,+5.2
Alab A&M,10-5-0,66.7%,33.3%,+6.0
TN State,8-4-0,66.7%,33.3%,+5.4
Boise St,4-2-0,66.7%,33.3%,+1.1
TX A&M-CC,4-2-0,66.7%,33.3%,-5.3
Lg Beach St,11-6-0,64.7%,35.3%,+2.3
Sam Hous St,9-5-0,64.3%,35.7%,+0.4
Missouri St,9-5-0,64.3%,35.7%,+5.0
Texas St,7-4-1,63.6%,36.4%,+6.6
E Carolina,7-4-0,63.6%,36.4%,+2.1
Ste F Austin,7-4-0,63.6%,36.4%,+2.9
U Penn,7-4-2,63.6%,36.4%,-2.3
NC A&T,12-7-0,63.2%,36.8%,+0.5
Lamar,5-3-0,62.5%,37.5%,-3.1
Central Ark,10-6-0,62.5%,37.5%,+1.2
IL-Chicago,5-3-0,62.5%,37.5%,+9.8
Belmont,5-3-0,62.5%,37.5%,+1.6
Elon,5-3-0,62.5%,37.5%,+2.9
Stanford,5-3-0,62.5%,37.5%,+5.1
TX-Pan Am,5-3-0,62.5%,37.5%,+3.4
Baylor,5-3-0,62.5%,37.5%,-2.1
Army,5-3-0,62.5%,37.5%,+0.6
N Alabama,5-3-0,62.5%,37.5%,+6.4
IU Indy,10-6-0,62.5%,37.5%,+5.9
Colorado St,5-3-0,62.5%,37.5%,+2.1
Fresno St,11-7-0,61.1%,38.9%,+6.0
E Kentucky,6-4-0,60.0%,40.0%,+6.6
Clemson,3-2-0,60.0%,40.0%,+6.5
Fla Atlantic,6-4-0,60.0%,40.0%,+7.1
Cornell,3-2-1,60.0%,40.0%,+19.0
Incar Word,6-4-0,60.0%,40.0%,+3.5
Charl South,9-6-1,60.0%,40.0%,+0.2
Richmond,9-6-0,60.0%,40.0%,+1.5
LSU,6-4-0,60.0%,40.0%,+5.3
NC-Wilmgton,3-2-0,60.0%,40.0%,-3.6
S Methodist,3-2-0,60.0%,40.0%,-2.9
Navy,9-6-0,60.0%,40.0%,+1.0
Morgan St,6-4-0,60.0%,40.0%,+6.9
Portland,9-6-0,60.0%,40.0%,+6.0
Purdue,3-2-0,60.0%,40.0%,-1.0
Merrimack,6-4-0,60.0%,40.0%,-1.1
Wyoming,7-5-0,58.3%,41.7%,+1.4
S Car State,7-5-0,58.3%,41.7%,-1.7
Oral Roberts,7-5-0,58.3%,41.7%,+6.0
Siena,7-5-0,58.3%,41.7%,+4.2
GA Southern,7-5-0,58.3%,41.7%,+5.6
Delaware,7-5-0,58.3%,41.7%,+4.0
Mercer,7-5-0,58.3%,41.7%,+3.7
Mercyhurst,7-5-0,58.3%,41.7%,+4.0
W Illinois,8-6-0,57.1%,42.9%,-0.5
BYU,4-3-0,57.1%,42.9%,-0.9
Florida Intl,8-6-0,57.1%,42.9%,-1.3
Cal Poly,8-6-0,57.1%,42.9%,+5.9
Niagara,8-6-0,57.1%,42.9%,+2.0
Maine,4-3-1,57.1%,42.9%,+0.9
Rhode Island,4-3-0,57.1%,42.9%,+0.8
Kentucky,4-3-0,57.1%,42.9%,+2.3
Pittsburgh,4-3-1,57.1%,42.9%,+2.9
Rob Morris,4-3-0,57.1%,42.9%,+2.5
Longwood,4-3-0,57.1%,42.9%,+3.5
UAB,4-3-0,57.1%,42.9%,+5.5
Portland St,4-3-0,57.1%,42.9%,-3.7
LA Tech,4-3-0,57.1%,42.9%,-0.1
Cal St Nrdge,4-3-0,57.1%,42.9%,+9.7
Denver,9-7-0,56.3%,43.8%,+2.7
Ark Pine Bl,9-7-0,56.3%,43.8%,+2.4
N Iowa,5-4-0,55.6%,44.4%,+3.8
Prairie View,10-8-0,55.6%,44.4%,+5.3
UC Riverside,5-4-0,55.6%,44.4%,+3.3
Brown,5-4-0,55.6%,44.4%,+4.9
TX Southern,5-4-1,55.6%,44.4%,+3.8
Bryant,5-4-0,55.6%,44.4%,+2.0
Florida St,5-4-0,55.6%,44.4%,+0.7
Iowa,5-4-0,55.6%,44.4%,+2.4
NJIT,10-8-0,55.6%,44.4%,-2.5
Canisius,11-9-0,55.0%,45.0%,+2.4
Indiana St,6-5-0,54.6%,45.5%,+3.5
Rice,6-5-0,54.6%,45.5%,-1.0
Minnesota,6-5-0,54.6%,45.5%,+2.4
Bucknell,7-6-0,53.9%,46.2%,+7.9
Hampton,7-6-0,53.9%,46.2%,-1.0
Valparaiso,7-6-0,53.9%,46.2%,+1.0
Murray St,7-6-0,53.9%,46.2%,+0.4
Iona,7-6-0,53.9%,46.2%,-3.4
Citadel,8-7-0,53.3%,46.7%,+0.9
Lafayette,8-7-0,53.3%,46.7%,+1.4
Stetson,9-8-0,52.9%,47.1%,+3.8
Miami,9-8-0,52.9%,47.1%,+5.4
W Georgia,10-9-0,52.6%,47.4%,-0.7
New Orleans,10-9-0,52.6%,47.4%,+4.0
Bellarmine,11-10-0,52.4%,47.6%,+4.4
Coppin St,8-8-1,50.0%,50.0%,-1.0
Binghamton,5-5-1,50.0%,50.0%,+3.3
Marshall,5-5-0,50.0%,50.0%,-0.1
Quinnipiac,4-4-0,50.0%,50.0%,+0.6
Fla Gulf Cst,5-5-1,50.0%,50.0%,-1.7
N Carolina,5-5-0,50.0%,50.0%,+2.6
Georgia St,7-7-0,50.0%,50.0%,+1.9
Florida A&M,6-6-0,50.0%,50.0%,+2.7
Tennessee,2-2-0,50.0%,50.0%,-11.0
Montana,3-3-0,50.0%,50.0%,+1.7
Central Mich,6-6-0,50.0%,50.0%,0.0
WI-Milwkee,4-4-0,50.0%,50.0%,-6.5
Rutgers,5-5-1,50.0%,50.0%,-1.0
UL Monroe,9-9-0,50.0%,50.0%,+3.9
Chicago St,10-10-0,50.0%,50.0%,-0.7
St Marys,2-2-0,50.0%,50.0%,+0.9
UCSD,2-2-0,50.0%,50.0%,+5.1
N Arizona,5-5-0,50.0%,50.0%,-6.0
Coastal Car,7-7-0,50.0%,50.0%,-0.1
Neb Omaha,5-5-0,50.0%,50.0%,-0.6
Boston U,6-6-0,50.0%,50.0%,0.0
U Mass,6-6-0,50.0%,50.0%,+3.0
Fairfield,7-7-0,50.0%,50.0%,-3.5
Louisville,3-3-0,50.0%,50.0%,+4.1
Texas Tech,2-2-0,50.0%,50.0%,-7.8
N Colorado,3-3-0,50.0%,50.0%,-2.3
Utah St,1-1-1,50.0%,50.0%,+5.7
Samford,2-2-0,50.0%,50.0%,+14.1
Sacred Hrt,6-6-0,50.0%,50.0%,+4.7
St Fran (PA),6-6-0,50.0%,50.0%,+1.8
Idaho St,4-4-1,50.0%,50.0%,+2.1
Bradley,3-3-0,50.0%,50.0%,-1.0
Buffalo,7-7-0,50.0%,50.0%,+0.4
San Francisco,3-3-0,50.0%,50.0%,-2.7
Chattanooga,4-4-0,50.0%,50.0%,+4.5
San Diego,10-11-0,47.6%,52.4%,+0.3
N Hampshire,8-9-0,47.1%,52.9%,-0.4
E Washingtn,7-8-0,46.7%,53.3%,-2.9
CS Fullerton,7-8-1,46.7%,53.3%,+0.8
Rider,7-8-0,46.7%,53.3%,+0.4
Grambling St,6-7-1,46.2%,53.9%,-0.3
Beth-Cook,6-7-0,46.2%,53.9%,-5.1
N Illinois,6-7-1,46.2%,53.9%,+1.4
LIU,6-7-0,46.2%,53.9%,-0.4
Cal Baptist,5-6-0,45.5%,54.6%,-0.7
Albany,5-6-0,45.5%,54.6%,-2.4
VMI,5-6-1,45.5%,54.6%,-2.7
E Michigan,5-6-0,45.5%,54.6%,-1.1
Kansas St,5-6-0,45.5%,54.6%,-0.1
Wright St,5-6-0,45.5%,54.6%,+2.1
California,5-6-0,45.5%,54.6%,-2.7
Fordham,5-6-0,45.5%,54.6%,+4.4
TX A&M-Com,9-11-0,45.0%,55.0%,-0.8
UC Davis,4-5-0,44.4%,55.6%,-7.6
St Josephs,4-5-0,44.4%,55.6%,+5.1
Stony Brook,8-10-0,44.4%,55.6%,-0.5
Hawaii,4-5-1,44.4%,55.6%,-1.5
Ohio St,4-5-0,44.4%,55.6%,-0.6
SE Louisiana,4-5-0,44.4%,55.6%,-0.5
E Tenn St,4-5-0,44.4%,55.6%,-3.6
Villanova,4-5-1,44.4%,55.6%,-5.9
Pacific,8-10-0,44.4%,55.6%,+0.7
Monmouth,7-9-0,43.8%,56.3%,+4.7
Alcorn St,7-9-0,43.8%,56.3%,-2.9
Jackson St,7-9-0,43.8%,56.3%,-3.0
Detroit,7-9-1,43.8%,56.3%,-0.8
Louisiana,7-9-0,43.8%,56.3%,-2.4
UCSB,3-4-0,42.9%,57.1%,-6.2
Nicholls,3-4-0,42.9%,57.1%,-3.1
TN Martin,6-8-0,42.9%,57.1%,+1.3
St Bonavent,3-4-0,42.9%,57.1%,-3.4
Geo Wshgtn,3-4-1,42.9%,57.1%,-8.1
Troy,3-4-0,42.9%,57.1%,+1.0
Lipscomb,3-4-0,42.9%,57.1%,-5.3
