Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,6-2-0,75.0%,11.3,+4.8
Southern,44-25-0,63.8%,9.1,+3.4
Beth-Cook,38-24-1,61.3%,4.6,+1.6
UCSD,31-20-2,60.8%,9.8,+0.9
Utah Tech,32-21-0,60.4%,4.8,+0.9
Norfolk St,41-27-1,60.3%,9.1,+4.0
S Dakota St,103-68-1,60.2%,12.5,+3.1
Utah Valley,65-43-0,60.2%,12.2,+2.8
NC Central,45-31-2,59.2%,16.7,+2.4
St. Thomas,24-17-0,58.5%,14.7,+2.7
Longwood,50-36-2,58.1%,5.1,+1.7
Alab A&M,50-36-0,58.1%,3.9,+1.7
Queens,18-13-1,58.1%,9.8,+1.1
NC-Asheville,51-37-0,58.0%,9.4,+1.2
South Dakota,85-62-3,57.8%,10.1,+1.3
Miss Val St,37-27-0,57.8%,2.4,+1.2
BYU,216-159-10,57.6%,14.2,+1.9
Tarleton St,27-20-1,57.5%,14.6,+1.0
Sam Hous St,44-33-1,57.1%,14.1,+1.8
Utah,215-162-11,57.0%,12.4,+1.9
Florida A&M,46-35-0,56.8%,2.2,+1.4
N Florida,56-43-2,56.6%,6.1,+2.1
Houston,200-154-10,56.5%,11.3,+2.1
Michigan St,224-174-4,56.3%,15.5,+1.2
Ohio,200-156-4,56.2%,9.5,+1.1
Colgate,60-47-1,56.1%,6.6,+2.1
Vermont,66-52-3,55.9%,12.0,+1.5
Iowa St,208-164-9,55.9%,11.3,+1.2
Bradley,204-162-16,55.7%,7.2,+1.8
Middle Tenn,170-135-5,55.7%,9.1,+1.0
N Alabama,39-31-1,55.7%,10.9,+1.1
Utah St,200-159-9,55.7%,13.8,+1.7
Indiana,240-191-4,55.7%,11.5,+1.1
Belmont,90-72-5,55.6%,11.8,+1.2
Le Moyne,10-8-0,55.6%,12.0,+3.8
Nebraska,201-162-8,55.4%,7.8,+0.9
Lindenwood,16-13-1,55.2%,6.5,-1.4
IL-Chicago,192-157-8,55.0%,4.0,0.0
Duke,231-189-13,55.0%,20.4,+1.2
New Mexico,210-172-10,55.0%,11.8,+1.0
Villanova,201-165-5,54.9%,11.6,+0.8
S Mississippi,164-135-6,54.9%,8.1,+0.6
S Car State,34-28-3,54.8%,4.9,+2.4
Saint Louis,217-179-5,54.8%,7.3,+0.5
Nevada,185-153-7,54.7%,8.9,+0.6
Arkansas St,162-134-6,54.7%,8.8,+0.5
Central Ark,41-34-2,54.7%,2.6,-0.2
Furman,138-115-4,54.6%,9.4,+0.4
UAB,195-163-9,54.5%,11.2,+0.7
Auburn,199-167-9,54.4%,9.7,+1.4
LA Tech,163-137-3,54.3%,11.6,+1.1
Arkansas,204-172-9,54.3%,12.7,+1.0
Miss State,198-168-12,54.1%,9.9,+0.7
Tennessee,215-183-6,54.0%,12.5,+1.3
TX A&M-CC,47-40-4,54.0%,9.1,+0.6
Stanford,218-186-8,54.0%,10.9,+0.8
Presbyterian,41-35-3,54.0%,4.7,+0.1
Abl Christian,41-35-2,54.0%,13.7,+1.6
Liberty,69-59-3,53.9%,9.6,-0.1
Purdue,210-180-10,53.9%,13.9,+1.8
Creighton,213-183-10,53.8%,13.3,+1.1
N Carolina,216-187-6,53.6%,14.4,+0.4
Tulsa,194-168-9,53.6%,8.9,+0.4
Akron,180-156-7,53.6%,11.9,+0.9
Denver,163-142-6,53.4%,4.9,+0.8
Gonzaga,196-171-9,53.4%,22.0,+1.4
Davidson,157-137-4,53.4%,14.1,+0.5
Ohio St,230-201-8,53.4%,13.9,+1.0
LIU,32-28-2,53.3%,5.7,+0.5
NC-Wilmgton,162-142-7,53.3%,7.2,+0.4
Colorado,204-180-9,53.1%,9.4,+1.0
Michigan,212-187-4,53.1%,9.7,+0.4
TX-Arlington,78-69-4,53.1%,8.5,-0.3
Xavier,215-191-10,53.0%,12.9,+1.2
Weber St,144-128-7,52.9%,12.1,+0.4
W Virginia,203-181-2,52.9%,10.6,+0.9
Clemson,198-177-5,52.8%,9.4,+0.8
Oklahoma,195-175-5,52.7%,12.8,+1.1
Wisconsin,215-193-10,52.7%,13.2,+1.0
TX El Paso,189-170-9,52.7%,8.6,+0.4
Virginia,199-179-6,52.7%,11.1,+0.5
Kansas St,191-172-6,52.6%,10.0,+0.9
San Diego St,192-173-9,52.6%,10.8,+0.4
Indiana St,179-162-8,52.5%,5.4,+0.9
Drake,179-162-4,52.5%,7.4,+0.9
UCLA,229-208-7,52.4%,11.2,+0.5
Texas Tech,208-189-4,52.4%,10.4,+0.7
Iowa,213-194-9,52.3%,11.3,+0.8
Hampton,46-42-1,52.3%,5.3,+0.2
Memphis,221-202-13,52.3%,13.2,+1.0
Maryland,204-187-10,52.2%,13.7,+0.2
Wake Forest,198-182-14,52.1%,8.1,+0.9
Kansas City,74-68-1,52.1%,5.2,+0.4
UTSA,77-71-4,52.0%,5.3,+1.1
Florida St,193-178-11,52.0%,8.7,+0.3
Wright St,181-167-7,52.0%,8.4,+0.8
UCF,135-125-7,51.9%,7.7,+0.3
GA Tech,198-184-4,51.8%,7.1,-0.3
Butler,199-185-10,51.8%,11.4,+1.0
Penn St,187-174-11,51.8%,5.3,+0.4
Texas A&M,181-169-5,51.7%,9.2,-0.2
Minnesota,213-199-11,51.7%,8.2,+0.1
Kansas,214-200-8,51.7%,17.9,+1.2
WI-Grn Bay,172-161-7,51.7%,6.4,+0.1
Ark Pine Bl,32-30-1,51.6%,0.9,+0.2
Alcorn St,32-30-0,51.6%,6.1,+1.5
Geo Wshgtn,178-167-5,51.6%,6.5,+0.3
Illinois,197-185-14,51.6%,12.8,+1.0
Wash State,198-186-2,51.6%,5.1,+0.6
E Washingtn,134-126-5,51.5%,9.5,+0.8
Delaware St,34-32-1,51.5%,4.3,-0.3
VA Tech,191-180-4,51.5%,8.4,+0.6
SE Louisiana,35-33-3,51.5%,7.2,-0.5
Charlotte,175-165-7,51.5%,6.0,+0.3
Connecticut,197-186-8,51.4%,14.7,+0.2
Evansville,182-172-10,51.4%,4.5,+0.4
Morgan St,37-35-1,51.4%,5.7,+0.3
VMI,78-74-0,51.3%,6.8,-0.5
SIU Edward,78-74-1,51.3%,1.9,+0.3
Oregon,219-208-8,51.3%,11.1,+1.0
Fla Gulf Cst,60-57-1,51.3%,7.2,0.0
Mississippi,193-184-9,51.2%,9.6,-0.2
IPFW,91-87-4,51.1%,9.8,+0.1
Dayton,208-199-6,51.1%,10.5,+0.5
Austin Peay,140-134-8,51.1%,8.1,+0.5
Mercer,71-68-4,51.1%,7.3,+0.3
Alabama,189-181-8,51.1%,11.3,+1.2
Maryland ES,24-23-2,51.1%,0.4,-0.7
Toledo,176-169-5,51.0%,8.5,+0.8
Towson,132-127-5,51.0%,2.4,-0.2
AR Lit Rock,152-147-12,50.8%,6.4,+0.2
Oregon St,195-189-5,50.8%,4.1,-0.1
St Bonavent,168-163-6,50.8%,5.3,-0.3
TN Tech,134-130-9,50.8%,8.3,-0.2
Drexel,140-136-11,50.7%,6.0,+0.1
W Kentucky,177-172-8,50.7%,9.4,-0.3
Geo Mason,182-177-10,50.7%,7.4,+0.5
Yale,109-106-3,50.7%,8.8,-0.2
Oklahoma St,183-178-7,50.7%,11.7,+0.9
Wm & Mary,147-143-8,50.7%,5.0,-0.2
Missouri,192-187-15,50.7%,10.7,+0.6
St Marys,197-192-5,50.6%,12.4,+0.3
Baylor,170-166-9,50.6%,12.2,+0.9
Lamar,45-44-3,50.6%,8.8,+0.1
Wagner,51-50-2,50.5%,6.1,-1.2
UC Irvine,155-152-8,50.5%,9.0,-0.1
Maryland BC,53-52-0,50.5%,2.5,+0.5
UL Monroe,106-104-3,50.5%,5.2,+0.4
High Point,56-55-0,50.5%,8.8,-0.1
Grd Canyon,61-60-2,50.4%,12.7,+1.3
Lipscomb,63-62-1,50.4%,8.3,-0.4
