Team,ATS Record,Cover %,MOV,ATS +/-
Hofstra,88-55-5,61.5%,2.3,+2.1
Gard-Webb,75-49-2,60.5%,-4.1,+1.6
St Marys,62-41-2,60.2%,7.4,+2.4
Providence,68-46-2,59.7%,-1.8,+2.0
SE Louisiana,72-49-1,59.5%,-7.8,+0.8
Wichita St,66-45-3,59.5%,2.9,+0.8
UC Davis,88-61-1,59.1%,-2.3,+2.3
Toledo,88-62-1,58.7%,1.5,+1.4
Virginia,68-48-3,58.6%,2.8,+0.4
NW State,69-49-3,58.5%,-10.8,+0.8
Campbell,62-45-3,57.9%,-3.9,+1.6
Towson,74-54-4,57.8%,0.2,+1.7
S Florida,67-49-5,57.8%,-7.9,+1.0
Stony Brook,73-54-2,57.5%,-3.2,+0.4
Vanderbilt,66-49-3,57.4%,-5.8,+1.0
Lafayette,70-52-1,57.4%,-6.6,+1.2
Kansas St,67-50-1,57.3%,-5.3,+0.6
Jksnville St,87-65-6,57.2%,-2.9,+1.3
Yale,73-55-6,57.0%,1.6,+1.5
Stetson,66-50-5,56.9%,-9.6,+0.7
Jackson St,79-60-2,56.8%,-8.5,+0.9
Santa Clara,63-48-3,56.8%,-4.3,+1.3
N Colorado,84-64-5,56.8%,-2.6,+2.0
Temple,68-52-5,56.7%,-3.0,+0.2
Rob Morris,77-59-0,56.6%,-5.8,+0.2
Lipscomb,74-57-2,56.5%,-2.0,+2.0
Baylor,61-47-4,56.5%,0.0,+0.4
Merrimack,48-37-3,56.5%,-3.5,+1.7
Hsn Christian,62-48-1,56.4%,-13.3,+0.1
Florida A&M,71-55-0,56.4%,-13.8,+0.9
Texas A&M,58-45-3,56.3%,-1.5,+1.8
E Washingtn,99-77-2,56.3%,-2.9,+1.5
Arizona,63-49-2,56.3%,5.1,+0.5
Buffalo,78-61-3,56.1%,-1.0,+2.0
Utah Valley,69-54-2,56.1%,-3.5,+1.6
GA Tech,70-55-1,56.0%,-6.0,+1.6
Central Conn,71-56-1,55.9%,-9.8,+1.0
Mississippi,67-53-1,55.8%,-3.7,+0.4
Boise St,72-57-2,55.8%,1.1,+1.2
TX A&M-CC,63-50-1,55.8%,-3.6,+1.3
St Peters,88-70-1,55.7%,-3.4,+1.0
USC,64-51-0,55.7%,-1.9,+0.1
S Alabama,79-63-4,55.6%,-5.6,-0.2
Chattanooga,86-69-1,55.5%,-1.5,+1.0
Seton Hall,67-54-2,55.4%,-2.6,+0.7
Elon,83-67-0,55.3%,-6.6,+1.2
NJIT,68-55-2,55.3%,-7.6,+0.5
Northwestern,63-51-3,55.3%,-5.1,+0.9
Oakland,90-73-3,55.2%,-3.0,+0.8
Sam Hous St,64-52-3,55.2%,-2.7,+0.7
Texas,60-49-0,55.1%,-3.2,+0.3
Loyola-Chi,66-54-4,55.0%,-0.8,-0.1
Georgetown,62-51-1,54.9%,-6.0,+1.6
Loyola Mymt,68-56-6,54.8%,-6.3,+0.5
North Texas,70-58-6,54.7%,-3.0,+0.7
Cal St Nrdge,82-68-4,54.7%,-7.5,+0.7
UCSB,77-64-3,54.6%,-0.4,+0.7
Lehigh,66-55-0,54.6%,-4.2,+0.6
Geo Mason,66-55-2,54.6%,-3.6,+1.9
F Dickinson,73-61-0,54.5%,-6.9,+0.6
Davidson,68-57-1,54.4%,0.3,+0.6
Albany,62-52-4,54.4%,-2.1,+0.9
N Arizona,87-73-3,54.4%,-10.2,-0.3
Portland St,81-68-5,54.4%,-4.3,+0.5
Marquette,63-53-2,54.3%,-1.3,+0.8
Morehead St,89-75-5,54.3%,-4.6,+0.6
Bucknell,70-59-2,54.3%,-3.7,+0.6
Navy,64-54-1,54.2%,-2.0,+1.1
Mass Lowell,65-55-0,54.2%,-4.3,+0.3
IPFW,86-73-1,54.1%,-3.0,+0.4
