Team,ATS Record,Cover %,MOV,ATS +/-
Miss Val St,1-0-0,100.0%,9.0,+7.5
Utah Tech,17-6-1,73.9%,7.1,+2.9
Queens,22-10-2,68.8%,7.1,+2.8
St. Thomas,37-22-0,62.7%,7.8,+1.9
Yale,107-64-5,62.6%,10.5,+2.7
UCSD,33-21-0,61.1%,7.8,+1.0
Sam Hous St,68-46-3,59.7%,9.3,+2.2
S Mississippi,47-32-3,59.5%,5.5,+0.3
Maryland ES,16-11-1,59.3%,5.7,+0.7
New Orleans,43-30-1,58.9%,5.7,+1.5
NC Central,64-45-2,58.7%,8.7,+1.6
Utah Valley,72-51-1,58.5%,8.7,+1.6
Hampton,30-22-1,57.7%,6.0,+1.5
Nevada,136-100-5,57.6%,9.5,+1.3
Davidson,123-92-1,57.2%,9.3,+1.2
Furman,120-90-3,57.1%,10.2,+1.3
Auburn,131-100-7,56.7%,11.7,+1.7
Utah,115-88-5,56.7%,13.2,+2.1
Middle Tenn,90-69-3,56.6%,7.8,+1.0
Villanova,178-137-3,56.5%,12.3,+0.9
St Fran (PA),44-34-2,56.4%,4.7,-0.3
Michigan St,157-122-2,56.3%,11.9,+0.7
WI-Grn Bay,64-50-2,56.1%,6.7,+0.4
VCU,144-113-5,56.0%,10.5,+1.1
Baylor,135-106-6,56.0%,12.5,+1.0
Marshall,107-84-2,56.0%,7.7,+0.8
Houston,159-125-7,56.0%,14.9,+2.2
Utah St,122-96-3,56.0%,11.0,+1.6
Tarleton St,25-20-1,55.6%,7.3,+0.6
Iowa St,109-88-2,55.3%,12.3,+1.0
Creighton,135-109-3,55.3%,11.3,+0.9
North Texas,94-76-6,55.3%,8.7,+0.7
South Dakota,79-64-3,55.2%,6.7,+0.5
St Marys,153-124-6,55.2%,13.0,+1.5
Nebraska,74-60-2,55.2%,10.5,+0.7
UCF,90-73-3,55.2%,9.3,+1.2
Abl Christian,64-52-2,55.2%,9.0,+1.3
UC Irvine,129-105-9,55.1%,8.8,+0.7
Connecticut,135-110-4,55.1%,12.6,+1.1
San Jose St,28-23-2,54.9%,5.5,+0.3
VMI,28-23-0,54.9%,5.5,+0.4
Navy,62-51-2,54.9%,4.7,-0.5
TX A&M-CC,57-47-3,54.8%,6.3,0.0
Maine,23-19-0,54.8%,4.1,-0.9
S Illinois,87-72-6,54.7%,6.9,+0.5
Iowa,117-97-5,54.7%,12.2,+0.9
BYU,141-117-5,54.7%,11.6,+1.0
USC,124-103-0,54.6%,10.1,+0.6
U Penn,65-54-1,54.6%,6.1,-0.3
Indiana St,89-74-5,54.6%,7.7,+0.7
S Dakota St,125-104-2,54.6%,10.2,+1.4
Hsn Christian,18-15-0,54.6%,3.8,-0.3
GA Tech,62-52-1,54.4%,9.3,+0.2
E Washingtn,94-79-2,54.3%,8.1,+1.2
Seattle,83-70-1,54.3%,9.7,+1.7
St Bonavent,109-92-6,54.2%,7.8,+0.6
Virginia,152-129-6,54.1%,11.2,+0.1
Alab A&M,20-17-0,54.1%,6.6,-0.1
Stony Brook,55-47-6,53.9%,6.0,-0.6
Wake Forest,78-67-6,53.8%,10.2,+1.1
Valparaiso,81-70-2,53.6%,8.2,+0.2
Bradley,89-77-8,53.6%,8.5,+1.5
Norfolk St,67-58-4,53.6%,9.5,+1.7
Longwood,60-52-1,53.6%,6.5,0.0
Louisiana,98-85-4,53.6%,6.5,-0.1
LA Tech,114-99-2,53.5%,8.4,-0.4
Belmont,133-116-6,53.4%,10.3,+0.4
Butler,102-89-3,53.4%,11.0,+1.3
Purdue,152-133-9,53.3%,12.4,+1.3
Le Moyne,8-7-0,53.3%,10.3,+5.2
Merrimack,48-42-0,53.3%,5.9,+0.4
Kennesaw St,33-29-3,53.2%,6.9,+0.9
