Team,Over Record,Over %,Under %,Total +/-
Colorado St,4-0-0,100.0%,0.0%,+5.8
Army,4-0-0,100.0%,0.0%,+25.6
Mercer,1-0-0,100.0%,0.0%,+13.5
Fla Gulf Cst,3-0-0,100.0%,0.0%,+4.0
IPFW,6-0-0,100.0%,0.0%,+23.6
Stanford,1-0-0,100.0%,0.0%,+6.5
E Washingtn,3-0-0,100.0%,0.0%,+9.7
Weber St,1-0-0,100.0%,0.0%,+8.0
Texas Tech,3-0-1,100.0%,0.0%,+6.0
UCSD,3-0-0,100.0%,0.0%,+13.8
TX El Paso,3-0-0,100.0%,0.0%,+13.7
Florida Intl,3-0-0,100.0%,0.0%,+8.0
N Florida,2-0-0,100.0%,0.0%,+19.5
Illinois St,4-0-0,100.0%,0.0%,+18.6
Denver,4-0-0,100.0%,0.0%,+13.4
Mercyhurst,2-0-0,100.0%,0.0%,+7.5
W Georgia,4-0-0,100.0%,0.0%,+6.6
South Dakota,4-0-0,100.0%,0.0%,+18.3
Miami,7-1-0,87.5%,12.5%,+12.4
E Michigan,6-1-0,85.7%,14.3%,+18.0
W Carolina,6-1-0,85.7%,14.3%,+3.6
E Kentucky,5-1-0,83.3%,16.7%,+6.5
Boston Col,5-1-0,83.3%,16.7%,+6.3
Manhattan,5-1-0,83.3%,16.7%,+20.9
Neb Omaha,5-1-0,83.3%,16.7%,+6.9
Lindenwood,5-1-0,83.3%,16.7%,+5.7
N Alabama,5-1-0,83.3%,16.7%,+9.3
Gard-Webb,5-1-0,83.3%,16.7%,+7.5
Grd Canyon,4-1-0,80.0%,20.0%,+4.7
Idaho,4-1-0,80.0%,20.0%,+3.3
N Colorado,4-1-0,80.0%,20.0%,+2.9
Ark Pine Bl,4-1-0,80.0%,20.0%,+4.0
Bellarmine,4-1-0,80.0%,20.0%,+11.2
Central Ark,4-1-0,80.0%,20.0%,+7.0
W Illinois,4-1-0,80.0%,20.0%,+3.3
S Car State,4-1-0,80.0%,20.0%,+9.0
Maryland BC,4-1-0,80.0%,20.0%,+12.4
Oregon St,4-1-0,80.0%,20.0%,+7.8
U Mass,4-1-0,80.0%,20.0%,+7.0
Cal Poly,4-1-0,80.0%,20.0%,+22.5
N Dakota St,4-1-0,80.0%,20.0%,+3.4
Iowa,7-2-0,77.8%,22.2%,+10.8
Miss Val St,3-1-0,75.0%,25.0%,+6.3
Columbia,3-1-0,75.0%,25.0%,+4.4
Indiana St,3-1-0,75.0%,25.0%,+8.6
Wm & Mary,3-1-0,75.0%,25.0%,+5.0
NC A&T,3-1-0,75.0%,25.0%,-0.6
Morgan St,3-1-0,75.0%,25.0%,+3.4
High Point,3-1-0,75.0%,25.0%,+12.9
Ball St,3-1-0,75.0%,25.0%,+1.1
Norfolk St,3-1-0,75.0%,25.0%,+3.0
Marquette,3-1-1,75.0%,25.0%,+6.1
N Arizona,3-1-0,75.0%,25.0%,+1.6
TN Martin,3-1-0,75.0%,25.0%,+28.1
NC-Grnsboro,3-1-0,75.0%,25.0%,-0.8
N Mex State,3-1-0,75.0%,25.0%,+8.0
N Hampshire,3-1-0,75.0%,25.0%,+11.3
Charl South,3-1-1,75.0%,25.0%,+2.7
Cal St Nrdge,3-1-0,75.0%,25.0%,+5.8
Jacksonville,3-1-0,75.0%,25.0%,+8.1
James Mad,3-1-0,75.0%,25.0%,+7.5
Washington,6-2-0,75.0%,25.0%,+4.2
Butler,3-1-0,75.0%,25.0%,+3.0
Northwestern,6-2-0,75.0%,25.0%,+2.8
UTSA,6-2-0,75.0%,25.0%,+0.3
Abl Christian,3-1-0,75.0%,25.0%,+7.4
Cornell,3-1-1,75.0%,25.0%,+25.7
Missouri St,3-1-0,75.0%,25.0%,+27.8
Queens,3-1-0,75.0%,25.0%,+7.0
USC,8-3-0,72.7%,27.3%,+4.6
Air Force,5-2-0,71.4%,28.6%,+2.4
Maryland,5-2-0,71.4%,28.6%,+7.9
Belmont,5-2-0,71.4%,28.6%,+6.7
Arizona,5-2-0,71.4%,28.6%,+2.9
NC Central,5-2-0,71.4%,28.6%,+7.1
