Team,ATS Record,Cover %,MOV,ATS +/-
Cal St Nrdge,3-0-0,100.0%,12.3,+5.7
Alcorn St,2-0-1,100.0%,-15.8,+8.3
NC-Wilmgton,8-0-0,100.0%,6.3,+6.3
Alabama St,2-0-0,100.0%,0.0,+14.0
NW State,2-0-0,100.0%,-18.5,+11.3
UC Irvine,2-0-0,100.0%,12.0,+7.5
Brown,3-0-0,100.0%,9.3,+9.7
TX-Pan Am,1-0-0,100.0%,35.0,+3.5
W Kentucky,5-0-2,100.0%,14.5,+5.3
Central Conn,6-1-0,85.7%,12.3,+8.2
Fla Gulf Cst,6-1-0,85.7%,2.4,+5.7
Mercyhurst,6-1-1,85.7%,6.1,+6.0
UC Riverside,5-1-0,83.3%,0.5,+7.0
Queens,9-2-0,81.8%,5.7,+5.9
LA Tech,4-1-0,80.0%,3.2,+1.2
Binghamton,4-1-0,80.0%,5.0,+3.4
Yale,4-1-0,80.0%,4.8,+3.3
Jksnville St,4-1-0,80.0%,4.0,+7.8
Florida A&M,4-1-0,80.0%,1.8,+0.2
Purdue,14-4-0,77.8%,11.7,+5.3
F Dickinson,7-2-0,77.8%,-1.3,+3.9
Drexel,7-2-0,77.8%,-2.3,+2.3
VCU,10-3-0,76.9%,16.1,+5.4
Rob Morris,13-4-0,76.5%,2.9,+1.7
Maine,3-1-0,75.0%,9.3,+7.8
Elon,3-1-0,75.0%,0.5,+0.3
Norfolk St,6-2-0,75.0%,7.0,+8.4
Middle Tenn,3-1-1,75.0%,4.2,-1.6
Denver,6-2-0,75.0%,0.1,+5.1
Siena,6-2-0,75.0%,0.3,+4.4
St. Thomas,6-2-0,75.0%,7.1,+3.4
SE Missouri,6-2-0,75.0%,7.4,+4.1
South Dakota,3-1-1,75.0%,14.9,+1.9
Hsn Christian,3-1-0,75.0%,-10.2,+2.0
E Kentucky,3-1-0,75.0%,-1.0,+7.4
Manhattan,3-1-0,75.0%,-1.5,+4.5
IPFW,14-5-0,73.7%,7.2,+2.6
Iowa St,8-3-0,72.7%,16.4,+3.0
Chattanooga,13-5-0,72.2%,10.9,+4.2
Auburn,10-4-1,71.4%,15.1,+2.5
