Team,Over Record,Over %,Under %,Total +/-
Manhattan,4-0-0,100.0%,0.0%,+14.0
TN State,4-0-0,100.0%,0.0%,+15.4
TX A&M-CC,3-0-0,100.0%,0.0%,+14.3
South Dakota,5-0-0,100.0%,0.0%,+9.2
Sam Hous St,3-0-0,100.0%,0.0%,+15.3
U Penn,2-0-1,100.0%,0.0%,+11.7
Idaho,7-1-0,87.5%,12.5%,+7.4
Morgan St,7-1-0,87.5%,12.5%,+18.4
Northeastrn,6-1-0,85.7%,14.3%,+3.0
Bellarmine,6-1-0,85.7%,14.3%,+9.5
TN Martin,5-1-0,83.3%,16.7%,+31.8
North Dakota,5-1-0,83.3%,16.7%,+8.8
N Colorado,5-1-0,83.3%,16.7%,+13.9
Northwestern,14-3-0,82.4%,17.7%,+5.6
Sacred Hrt,4-1-0,80.0%,20.0%,+12.1
Jksnville St,4-1-0,80.0%,20.0%,+12.2
Utah Tech,4-1-0,80.0%,20.0%,+3.5
Alab A&M,4-1-0,80.0%,20.0%,+4.5
Yale,4-1-0,80.0%,20.0%,+13.3
St Peters,4-1-0,80.0%,20.0%,+5.1
Coppin St,4-1-0,80.0%,20.0%,+5.2
Temple,11-3-0,78.6%,21.4%,+9.8
Wm & Mary,7-2-0,77.8%,22.2%,+5.7
USC,13-4-0,76.5%,23.5%,+2.8
Niagara,3-1-0,75.0%,25.0%,+6.3
Cal Poly,6-2-0,75.0%,25.0%,+12.1
Cornell,3-1-1,75.0%,25.0%,+8.6
Delaware,3-1-0,75.0%,25.0%,+6.9
UCSD,3-1-0,75.0%,25.0%,+5.6
E Kentucky,3-1-0,75.0%,25.0%,+2.8
IL-Chicago,12-4-0,75.0%,25.0%,+8.2
Albany,6-2-0,75.0%,25.0%,+6.1
Texas St,6-2-0,75.0%,25.0%,+8.6
San Diego,6-2-0,75.0%,25.0%,+4.8
St. Thomas,6-2-0,75.0%,25.0%,+16.9
Maryland,14-5-0,73.7%,26.3%,+5.9
Ball St,11-4-0,73.3%,26.7%,+8.3
Winthrop,11-4-0,73.3%,26.7%,+14.2
Auburn,11-4-0,73.3%,26.7%,+4.5
Ohio,11-4-0,73.3%,26.7%,+4.8
Virginia,10-4-0,71.4%,28.6%,+3.1
St Fran (PA),5-2-0,71.4%,28.6%,+3.9
Bryant,5-2-0,71.4%,28.6%,+6.8
Texas,12-5-2,70.6%,29.4%,+3.7
NC Central,7-3-0,70.0%,30.0%,+7.0
