Team,ATS Record,Cover %,MOV,ATS +/-
Utah Valley,8-0-0,100.0%,23.4,+10.1
Florida A&M,8-1-0,88.9%,17.9,+6.1
Oregon St,14-2-0,87.5%,16.9,+8.1
S Car State,7-1-0,87.5%,27.8,+18.0
N Alabama,12-2-0,85.7%,17.7,+6.6
Jackson St,5-1-0,83.3%,12.7,+3.6
Tarleton St,8-2-0,80.0%,9.5,+3.2
N Iowa,11-3-0,78.6%,15.5,+4.5
Rob Morris,11-3-0,78.6%,9.7,+3.3
Morgan St,7-2-0,77.8%,15.0,+4.2
LIU,7-2-1,77.8%,11.6,+1.8
S Mississippi,7-2-0,77.8%,7.8,+4.1
San Jose St,9-3-0,75.0%,2.4,+1.3
Portland St,6-2-0,75.0%,22.1,+5.5
Binghamton,6-2-0,75.0%,7.7,+3.5
NC-Asheville,6-2-0,75.0%,21.8,+3.4
Yale,6-2-0,75.0%,24.1,+9.0
Texas A&M,9-3-1,75.0%,17.5,+3.3
Monmouth,6-2-0,75.0%,6.6,+6.8
Mercyhurst,6-2-0,75.0%,11.3,+4.8
Boston U,9-3-0,75.0%,8.5,+3.3
VCU,8-3-0,72.7%,24.8,+4.9
Boise St,8-3-0,72.7%,23.2,+8.1
Wash State,8-3-0,72.7%,10.5,+1.2
SIU Edward,8-3-0,72.7%,17.1,+5.7
Hsn Christian,8-3-0,72.7%,3.3,+2.5
Florida,10-4-0,71.4%,24.5,+5.9
Alcorn St,5-2-0,71.4%,11.9,+8.6
Utah Tech,5-2-0,71.4%,5.0,+0.6
W Kentucky,7-3-3,70.0%,10.6,+2.7
Detroit,7-3-0,70.0%,1.5,+3.7
S Dakota St,7-3-0,70.0%,20.4,+5.7
SE Missouri,7-3-0,70.0%,15.8,+4.6
South Dakota,7-3-1,70.0%,12.4,+2.0
UCSD,7-3-0,70.0%,22.8,+3.3
Drexel,7-3-0,70.0%,5.8,+2.1
Fresno St,7-3-2,70.0%,-3.8,+0.1
Kennesaw St,7-3-0,70.0%,13.0,+4.3
Florida St,9-4-0,69.2%,6.7,+0.1
Marshall,9-4-0,69.2%,10.3,+1.7
Ohio St,10-5-0,66.7%,16.5,+4.6
NC-Wilmgton,10-5-0,66.7%,12.9,+0.4
Central Conn,6-3-0,66.7%,15.4,+0.2
Kansas City,6-3-0,66.7%,21.6,+4.1
Hampton,6-3-0,66.7%,11.8,+3.1
Arkansas St,8-4-0,66.7%,16.5,+2.5
Dartmouth,6-3-0,66.7%,21.4,+10.7
TX A&M-CC,6-3-2,66.7%,21.7,+3.3
St. Thomas,6-3-0,66.7%,18.2,+2.0
Samford,8-4-0,66.7%,17.1,+0.7
BYU,10-5-0,66.7%,22.1,+4.2
UC Irvine,6-3-0,66.7%,14.5,+1.1
Miss Val St,4-2-0,66.7%,-8.5,-0.5
La Salle,8-4-0,66.7%,7.3,+3.1
Utah,11-6-0,64.7%,14.0,+0.7
Houston,9-5-0,64.3%,26.5,+4.8
Michigan St,9-5-0,64.3%,16.7,+2.3
Vanderbilt,9-5-0,64.3%,16.2,+2.4
Georgia St,9-5-0,64.3%,5.7,+3.0
UCLA,9-5-1,64.3%,20.1,+4.6
Colorado St,9-5-0,64.3%,13.8,+3.3
Elon,7-4-0,63.6%,13.2,+3.2
Central Mich,7-4-0,63.6%,15.5,+6.5
Brown,7-4-0,63.6%,9.5,+3.2
UC Riverside,7-4-1,63.6%,9.1,+3.0
