Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,7-2-0,77.8%,10.8,+5.1
Southern,45-24-0,65.2%,13.4,+3.6
UCSD,32-20-2,61.5%,10.0,+1.1
Utah Tech,33-21-0,61.1%,4.7,+1.0
S Dakota St,75-48-1,61.0%,16.4,+3.4
Michigan St,103-66-1,61.0%,15.2,+1.5
Furman,76-50-2,60.3%,14.4,+1.6
Beth-Cook,38-25-1,60.3%,8.4,+1.2
Houston,96-64-6,60.0%,18.8,+3.7
Norfolk St,39-26-1,60.0%,16.0,+3.8
Alab A&M,49-33-0,59.8%,1.1,+1.8
Nevada,92-62-3,59.7%,10.8,+1.7
St. Thomas,25-17-0,59.5%,14.7,+2.7
N Florida,57-39-2,59.4%,11.0,+2.4
Longwood,51-35-2,59.3%,6.6,+1.7
Utah Valley,58-40-0,59.2%,11.3,+2.9
Tarleton St,29-20-1,59.2%,14.2,+1.3
Utah St,86-61-2,58.5%,13.6,+2.2
South Dakota,69-49-3,58.5%,10.2,+1.2
Sam Hous St,43-31-1,58.1%,15.9,+1.9
NC-Asheville,48-35-0,57.8%,12.1,+1.4
Indiana St,78-57-6,57.8%,7.6,+1.6
Middle Tenn,79-58-1,57.7%,8.8,+1.4
Utah,98-72-7,57.7%,13.6,+2.7
Queens,19-14-1,57.6%,9.4,+0.5
N Alabama,42-31-1,57.5%,11.0,+1.3
Indiana,108-80-0,57.5%,11.2,+0.7
VA Tech,93-69-0,57.4%,11.1,+1.6
NC Central,39-29-2,57.4%,20.0,+1.4
Iowa,99-74-6,57.2%,13.1,+1.4
S Car State,36-27-3,57.1%,5.6,+2.9
Miss Val St,36-27-0,57.1%,-6.0,+0.8
Liberty,65-49-3,57.0%,15.8,+0.7
BYU,91-69-6,56.9%,14.0,+1.5
Bradley,83-63-6,56.9%,8.7,+2.4
Oregon St,97-74-1,56.7%,5.4,+1.7
LA Tech,78-60-1,56.5%,14.3,+0.8
Arkansas St,75-58-2,56.4%,6.4,+0.4
TX-Arlington,71-55-3,56.4%,9.7,+0.4
Auburn,89-69-5,56.3%,12.1,+2.1
Colgate,58-45-1,56.3%,10.9,+2.0
Purdue,90-70-5,56.3%,17.2,+2.8
Kansas City,54-42-1,56.3%,10.0,+1.5
UAB,86-67-5,56.2%,12.8,+0.6
Villanova,86-67-1,56.2%,14.5,+0.9
Ohio,82-64-2,56.2%,9.9,+1.1
S Mississippi,69-54-2,56.1%,5.0,+1.7
Clemson,92-72-3,56.1%,10.2,+1.5
UC Irvine,65-51-4,56.0%,15.0,+1.0
Florida A&M,42-33-0,56.0%,1.4,+1.4
Hampton,47-37-1,56.0%,6.2,+0.9
Drake,80-63-1,55.9%,10.8,+1.7
Charlotte,82-65-3,55.8%,4.0,+0.9
Creighton,97-77-3,55.8%,13.5,+1.8
St Bonavent,79-63-1,55.6%,8.7,+1.0
Colorado,94-75-6,55.6%,10.3,+1.6
Belmont,75-60-5,55.6%,12.8,+0.9
Tulsa,86-69-6,55.5%,6.3,+0.9
Florida St,92-74-4,55.4%,9.6,+1.0
Central Ark,42-34-2,55.3%,2.0,-0.1
Boise St,79-64-3,55.2%,14.9,+2.3
Miss State,91-74-3,55.2%,9.3,+1.0
Abl Christian,43-35-2,55.1%,13.5,+1.9
Wm & Mary,65-53-3,55.1%,8.2,+0.3
Gonzaga,87-71-4,55.1%,25.7,+1.9
New Mexico,82-67-4,55.0%,9.7,+0.9
Lindenwood,17-14-1,54.8%,6.5,-0.9
Oregon,99-82-1,54.7%,13.0,+1.7
U Penn,64-53-1,54.7%,4.6,-0.1
Lamar,41-34-3,54.7%,9.9,+0.9
Yale,48-40-3,54.6%,15.9,+1.3
S Alabama,79-66-0,54.5%,7.5,+1.4
Akron,75-63-1,54.4%,13.5,+1.6
UCLA,94-79-4,54.3%,13.0,+1.3
Stanford,90-76-3,54.2%,7.8,+1.1
TX A&M-CC,45-38-2,54.2%,10.1,+0.7
Vermont,58-49-3,54.2%,15.3,+1.1
Nebraska,91-77-3,54.2%,6.0,+0.1
LIU,33-28-2,54.1%,5.7,+0.6
St Marys,94-80-4,54.0%,15.2,+1.3
Iowa St,88-75-2,54.0%,12.4,+1.2
Texas Tech,96-82-2,53.9%,14.5,+1.6
UTSA,69-59-4,53.9%,5.4,+1.5
TN Tech,64-55-6,53.8%,5.4,+0.3
Murray St,72-62-1,53.7%,14.8,+0.7
San Diego St,81-70-5,53.6%,14.1,+0.8
