Team,Over Record,Over %,Under %,Total +/-
USC,7-0-0,100.0%,0.0%,+6.9
Indiana St,10-1-0,90.9%,9.1%,+15.8
Yale,8-1-1,88.9%,11.1%,+12.3
Northwestern,8-1-0,88.9%,11.1%,+4.9
High Point,8-1-0,88.9%,11.1%,+13.1
UCF,7-1-0,87.5%,12.5%,+20.8
Oregon St,7-1-0,87.5%,12.5%,+7.1
Temple,8-2-0,80.0%,20.0%,+6.3
Murray St,8-2-1,80.0%,20.0%,+7.4
San Jose St,8-2-0,80.0%,20.0%,+8.7
IU Indy,11-3-0,78.6%,21.4%,+8.3
TX El Paso,7-2-0,77.8%,22.2%,+4.8
Northeastrn,10-3-0,76.9%,23.1%,+5.9
Rob Morris,10-3-0,76.9%,23.1%,+4.9
W Illinois,10-3-0,76.9%,23.1%,+2.1
E Kentucky,10-3-0,76.9%,23.1%,+6.3
Fresno St,10-3-0,76.9%,23.1%,+5.5
Morgan St,9-3-0,75.0%,25.0%,+10.8
Cal Poly,12-4-0,75.0%,25.0%,+8.2
TX A&M-CC,9-3-0,75.0%,25.0%,+3.7
Virginia,6-2-0,75.0%,25.0%,+10.7
VCU,6-2-0,75.0%,25.0%,+4.0
Maryland,6-2-0,75.0%,25.0%,+6.3
NJIT,11-4-0,73.3%,26.7%,+2.7
Ohio,8-3-0,72.7%,27.3%,+3.1
Duquesne,5-2-0,71.4%,28.6%,+6.5
Maryland BC,10-4-0,71.4%,28.6%,+5.7
Hawaii,5-2-1,71.4%,28.6%,+10.4
Cal St Nrdge,10-4-0,71.4%,28.6%,+7.1
Boston Col,5-2-0,71.4%,28.6%,+12.2
Missouri,5-2-0,71.4%,28.6%,+3.6
Iowa,5-2-0,71.4%,28.6%,+12.1
St. Thomas,10-4-0,71.4%,28.6%,+6.4
Bowling Grn,7-3-0,70.0%,30.0%,+3.4
Alabama,7-3-0,70.0%,30.0%,+11.6
UNLV,7-3-0,70.0%,30.0%,-3.4
Weber St,9-4-0,69.2%,30.8%,+3.2
South Dakota,9-4-0,69.2%,30.8%,+7.2
W Carolina,9-4-0,69.2%,30.8%,-1.9
Lg Beach St,9-4-0,69.2%,30.8%,+3.4
Abl Christian,9-4-0,69.2%,30.8%,+1.2
N Florida,11-5-0,68.8%,31.3%,+4.5
Ark Pine Bl,11-5-0,68.8%,31.3%,+7.3
Sacred Hrt,8-4-0,66.7%,33.3%,+10.1
Delaware,8-4-0,66.7%,33.3%,+3.0
E Carolina,6-3-0,66.7%,33.3%,+11.3
Le Moyne,10-5-0,66.7%,33.3%,+6.0
Idaho St,8-4-1,66.7%,33.3%,+4.4
Gard-Webb,10-5-0,66.7%,33.3%,+5.7
Montana,8-4-0,66.7%,33.3%,+6.2
Loyola-MD,10-5-0,66.7%,33.3%,+0.6
Syracuse,6-3-0,66.7%,33.3%,+4.9
NC A&T,10-5-0,66.7%,33.3%,+1.2
Wisconsin,6-3-0,66.7%,33.3%,+3.1
Old Dominion,6-3-1,66.7%,33.3%,+4.1
Illinois St,6-3-1,66.7%,33.3%,+3.8
NC-Asheville,8-4-2,66.7%,33.3%,+5.1
Air Force,8-4-0,66.7%,33.3%,-0.5
