Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,16-10-1,61.5%,-3.3,+1.5
Yale,144-106-9,57.6%,7.7,+1.7
Florida A&M,121-91-0,57.1%,-7.9,+1.1
NC Central,120-91-5,56.9%,5.9,+0.8
UCSD,71-54-2,56.8%,4.1,+1.5
SE Louisiana,123-94-4,56.7%,-1.4,+0.2
St. Thomas,63-49-2,56.3%,4.9,+1.6
Houston,194-152-7,56.1%,12.6,+2.4
Villanova,208-164-5,55.9%,9.8,+0.7
Furman,171-135-6,55.9%,7.3,+1.1
S Car State,120-95-4,55.8%,-5.4,+1.4
Utah Valley,139-111-2,55.6%,3.3,+1.7
Nevada,190-153-6,55.4%,5.3,+0.9
S Alabama,175-141-4,55.4%,1.5,+0.7
Rob Morris,134-109-2,55.1%,-1.0,+0.2
Sam Hous St,124-102-5,54.9%,6.0,+1.1
S Dakota St,179-148-4,54.7%,7.2,+1.3
Norfolk St,124-103-4,54.6%,4.3,+1.3
Creighton,194-162-6,54.5%,6.8,+1.0
North Texas,167-140-8,54.4%,4.2,+0.8
St Peters,175-147-2,54.4%,0.5,+0.8
Michigan St,200-168-4,54.4%,8.2,+0.6
E Washingtn,176-148-4,54.3%,4.0,+1.4
TX A&M-CC,123-104-3,54.2%,2.8,+0.8
Stony Brook,130-110-8,54.2%,1.4,0.0
TX-Arlington,170-144-7,54.1%,2.8,+0.7
Penn St,183-155-7,54.1%,2.2,+0.8
Colgate,133-113-3,54.1%,4.3,+1.0
Baylor,180-154-8,53.9%,9.1,+0.8
St Marys,183-157-7,53.8%,10.4,+1.2
UC Irvine,177-152-11,53.8%,6.9,+0.7
Boise St,177-153-6,53.6%,7.4,+1.3
NW State,111-96-6,53.6%,-4.4,+0.7
Maine,112-97-4,53.6%,-6.6,0.0
Oakland,181-157-5,53.6%,1.4,-0.1
Davidson,174-151-3,53.5%,5.1,+0.4
N Florida,130-113-3,53.5%,0.3,+0.7
Hampton,124-108-2,53.5%,-1.5,+0.8
Jksnville St,160-140-7,53.3%,2.8,+0.8
St Bonavent,169-148-10,53.3%,4.0,+0.6
VCU,186-163-6,53.3%,7.0,+0.7
Iowa St,182-160-5,53.2%,5.3,+0.7
Clemson,176-155-6,53.2%,5.0,+0.9
Utah Tech,68-60-3,53.1%,-3.3,0.0
Liberty,130-115-5,53.1%,8.1,+0.1
GA Tech,175-155-4,53.0%,-0.2,+0.4
Toledo,179-159-1,53.0%,5.9,+0.3
BYU,179-159-9,53.0%,8.3,+1.0
Jackson St,117-104-3,52.9%,-2.9,+0.4
Queens,45-40-3,52.9%,1.3,+0.5
Auburn,182-162-8,52.9%,6.0,+1.0
LA Tech,165-147-3,52.9%,7.0,-0.2
Virginia,184-164-7,52.9%,8.2,-0.2
Lipscomb,139-124-3,52.9%,3.8,+0.5
UC Davis,158-141-7,52.8%,1.5,+0.5
Oregon,196-175-4,52.8%,6.6,+0.5
Providence,184-165-5,52.7%,3.3,+0.8
Duke,195-175-8,52.7%,12.5,+0.5
Morehead St,166-149-9,52.7%,2.5,+0.1
Hofstra,168-151-6,52.7%,5.3,+0.3
Arkansas St,161-145-7,52.6%,0.1,0.0
Connecticut,184-166-6,52.6%,7.2,+0.6
Purdue,186-168-11,52.5%,9.8,+1.1
W Kentucky,173-157-6,52.4%,3.3,-0.1
South Dakota,160-146-5,52.3%,1.9,0.0
Monmouth,172-157-7,52.3%,-0.6,+0.1
Belmont,172-157-8,52.3%,7.2,+0.3
Stetson,117-107-7,52.2%,-3.0,+0.4
Longwood,118-108-3,52.2%,-0.6,+0.8
USC,189-173-0,52.2%,4.1,+0.2
Miss State,178-163-6,52.2%,3.9,+0.5
Kansas St,179-164-5,52.2%,1.9,+0.1
Indiana St,167-153-10,52.2%,1.7,+0.2
Maryland BC,121-111-2,52.2%,0.2,+1.2
UCF,170-156-3,52.2%,1.7,+0.5
Alcorn St,110-101-5,52.1%,-4.6,+0.1
IPFW,163-150-4,52.1%,4.2,+0.3
Santa Clara,165-152-8,52.1%,1.0,+0.5
Seton Hall,178-164-5,52.1%,3.0,+0.1
Bucknell,130-120-2,52.0%,1.0,+0.3
Campbell,120-111-3,52.0%,2.1,+0.9
