Team,Over Record,Over %,Under %,Total +/-
Queens,24-10-0,70.6%,29.4%,+7.0
Le Moyne,15-7-0,68.2%,31.8%,+5.7
W Georgia,6-3-0,66.7%,33.3%,+2.4
Hsn Christian,54-29-1,65.1%,34.9%,+10.0
Idaho St,135-74-1,64.6%,35.4%,+5.7
Neb Omaha,82-46-3,64.1%,35.9%,+5.8
CS Bakersfld,55-31-0,64.0%,36.1%,+4.6
Oakland,118-67-2,63.8%,36.2%,+6.0
UCSD,35-20-0,63.6%,36.4%,+5.7
SE Louisiana,47-27-0,63.5%,36.5%,+4.1
Wofford,139-84-4,62.3%,37.7%,+4.4
TX Southern,56-34-2,62.2%,37.8%,+5.4
McNeese St,48-30-2,61.5%,38.5%,+2.9
Lindenwood,19-12-1,61.3%,38.7%,+4.7
TX A&M-Com,20-13-0,60.6%,39.4%,+6.6
Howard,47-31-1,60.3%,39.7%,+5.1
F Dickinson,53-35-3,60.2%,39.8%,+5.7
Lipscomb,76-51-2,59.8%,40.2%,+5.1
South Dakota,89-60-1,59.7%,40.3%,+3.9
SE Missouri,130-90-4,59.1%,40.9%,+4.1
IPFW,102-71-5,59.0%,41.0%,+3.0
North Dakota,83-58-2,58.9%,41.1%,+1.7
Gard-Webb,50-35-1,58.8%,41.2%,+3.2
Radford,54-38-1,58.7%,41.3%,+2.0
Norfolk St,41-29-0,58.6%,41.4%,+3.8
E Tenn St,94-67-1,58.4%,41.6%,+2.5
S Car State,39-28-0,58.2%,41.8%,+4.2
Colorado St,160-117-6,57.8%,42.2%,+3.7
St Bonavent,153-112-2,57.7%,42.3%,+4.4
UL Monroe,120-88-7,57.7%,42.3%,+2.8
N Florida,58-43-1,57.4%,42.6%,+3.4
Colgate,62-46-1,57.4%,42.6%,+0.7
Boston U,70-52-3,57.4%,42.6%,+3.6
WI-Milwkee,153-114-2,57.3%,42.7%,+2.8
Lafayette,59-44-2,57.3%,42.7%,+1.9
Denver,143-107-3,57.2%,42.8%,+2.9
Beth-Cook,37-28-0,56.9%,43.1%,+3.4
NC-Asheville,50-38-1,56.8%,43.2%,+1.4
N Colorado,113-86-4,56.8%,43.2%,+3.2
