Team,Over Record,Over %,Under %,Total +/-
Queens,24-10-0,70.6%,29.4%,+7.0
Le Moyne,15-7-0,68.2%,31.8%,+5.7
Wofford,83-42-2,66.4%,33.6%,+6.4
SE Louisiana,48-26-0,64.9%,35.1%,+4.3
CS Bakersfield,55-30-0,64.7%,35.3%,+4.8
Omaha,70-40-3,63.6%,36.4%,+5.5
UCSD,35-20-0,63.6%,36.4%,+5.7
Hou Christian,52-30-1,63.4%,36.6%,+9.8
Milwaukee,86-51-0,62.8%,37.2%,+4.8
McNeese,48-29-2,62.3%,37.7%,+3.1
Loyola Mymt,92-56-3,62.2%,37.8%,+3.1
Howard,47-29-1,61.8%,38.2%,+5.7
Florida St,100-63-4,61.4%,38.7%,+3.6
Lindenwood,19-12-1,61.3%,38.7%,+4.7
Gardner-Webb,49-31-1,61.3%,38.8%,+3.4
Loyola MD,51-33-1,60.7%,39.3%,+1.9
Wyoming,91-59-2,60.7%,39.3%,+4.0
UL Monroe,80-52-3,60.6%,39.4%,+4.0
E Texas A&M,20-13-0,60.6%,39.4%,+6.6
Air Force,89-58-1,60.5%,39.5%,+3.8
F Dickinson,53-35-3,60.2%,39.8%,+5.7
South Dakota,71-47-1,60.2%,39.8%,+3.7
N Colorado,74-49-2,60.2%,39.8%,+4.9
Oakland,80-53-0,60.2%,39.9%,+5.3
Oral Roberts,66-44-0,60.0%,40.0%,+3.1
Texas So,51-34-2,60.0%,40.0%,+4.9
W Georgia,6-4-0,60.0%,40.0%,-0.2
E Illinois,73-49-2,59.8%,40.2%,+4.2
North Dakota,70-47-2,59.8%,40.2%,+2.3
Radford,52-35-1,59.8%,40.2%,+1.8
New Orleans,46-31-1,59.7%,40.3%,+3.5
Denver,75-51-1,59.5%,40.5%,+3.9
E Washington,69-47-0,59.5%,40.5%,+6.0
Wake Forest,95-65-2,59.4%,40.6%,+2.3
SE Missouri St,70-48-2,59.3%,40.7%,+4.0
Boston U,64-44-2,59.3%,40.7%,+4.6
Colorado St,87-60-3,59.2%,40.8%,+4.4
S Carolina St,39-27-0,59.1%,40.9%,+4.4
Iowa,102-71-4,59.0%,41.0%,+4.0
