Team,ATS Record,Cover %,MOV,ATS +/-
UCSD,4-0-0,100.0%,15.8,+7.9
Florida,3-0-0,100.0%,21.7,+13.8
Auburn,2-0-0,100.0%,28.0,+9.3
S Carolina St,11-1-0,91.7%,9.3,+12.3
Norfolk St,6-1-0,85.7%,10.0,+6.4
Robert Morris,6-1-0,85.7%,4.0,+1.9
Syracuse,12-2-2,85.7%,0.2,+3.2
CS Northridge,6-1-0,85.7%,12.3,+9.6
Charleston,6-1-0,85.7%,10.3,+3.8
NC Asheville,5-1-0,83.3%,18.1,+8.2
Wisconsin,5-1-0,83.3%,8.2,+5.3
Hou Christian,13-3-0,81.3%,-1.9,+3.8
Alabama,4-1-0,80.0%,6.8,+3.7
Purdue FW,8-2-0,80.0%,9.8,+4.3
Liberty,4-1-0,80.0%,12.2,+7.3
Yale,4-1-0,80.0%,17.5,+7.5
Manhattan,8-2-0,80.0%,3.6,+4.0
Montana,4-1-1,80.0%,11.6,+4.8
West Virginia,8-2-1,80.0%,7.3,+8.4
N Iowa,8-2-0,80.0%,9.1,+5.1
UC Irvine,4-1-0,80.0%,8.6,+2.4
UC Riverside,8-2-0,80.0%,1.4,+5.8
VCU,4-1-0,80.0%,16.8,+8.0
Maryland,4-1-1,80.0%,25.2,+11.3
Clemson,4-1-0,80.0%,12.4,+5.6
VMI,11-3-0,78.6%,3.5,+4.2
Oregon St,7-2-0,77.8%,14.8,+4.3
N Alabama,7-2-0,77.8%,15.0,+7.1
South Dakota,7-2-1,77.8%,8.3,+3.2
N Arizona,10-3-0,76.9%,5.5,+5.5
Kent St,6-2-0,75.0%,13.4,+6.8
SE Missouri St,6-2-0,75.0%,12.5,+8.7
Jacksonville St,6-2-0,75.0%,6.9,+4.4
Utah St,3-1-0,75.0%,20.0,+13.3
Michigan St,3-1-1,75.0%,8.2,+4.4
Chattanooga,6-2-0,75.0%,5.6,+2.8
UAB,6-2-0,75.0%,19.7,+3.0
C Michigan,11-4-0,73.3%,5.9,+7.9
UC Davis,8-3-0,72.7%,4.5,+2.7
Dartmouth,8-3-0,72.7%,-2.3,+6.0
Radford,8-3-0,72.7%,10.9,+5.8
Idaho St,8-3-0,72.7%,5.4,+2.9
F Dickinson,10-4-0,71.4%,3.6,+2.2
Rice,10-4-1,71.4%,2.5,+2.9
Bethune,10-4-1,71.4%,-3.3,+3.0
SMU,5-2-0,71.4%,12.0,+4.7
Boise St,5-2-0,71.4%,17.3,+6.8
San Diego St,5-2-0,71.4%,8.0,+6.5
Elon,7-3-0,70.0%,9.5,+3.8
G Washington,7-3-0,70.0%,6.3,+7.1
American,7-3-1,70.0%,-4.2,-0.7
Brown,7-3-0,70.0%,5.1,+4.0
Mt St Mary's,7-3-0,70.0%,-1.4,-0.6
Xavier,7-3-0,70.0%,10.1,+3.7
Georgetown,7-3-1,70.0%,1.3,+1.8
Saint Joseph's,7-3-0,70.0%,15.4,+8.3
FGCU,9-4-0,69.2%,1.1,+3.5
Holy Cross,11-5-0,68.8%,-2.1,+3.2
Portland St,6-3-0,66.7%,10.8,+0.4
Kentucky,6-3-0,66.7%,7.9,+5.8
Arizona,6-3-0,66.7%,12.7,+2.8
Troy,6-3-0,66.7%,9.3,+0.2
Iona,10-5-0,66.7%,-0.1,-0.9
Drake,2-1-0,66.7%,5.7,-0.5
Omaha,8-4-0,66.7%,-4.7,+1.8
Alcorn St,10-5-2,66.7%,-13.0,+3.4
Boston U,10-5-0,66.7%,0.3,+2.8
Lindenwood,8-4-0,66.7%,9.4,+2.5
Illinois St,8-4-0,66.7%,2.0,+3.2
California,10-5-0,66.7%,-3.7,0.0
Louisiana Tech,6-3-0,66.7%,1.8,+0.3
Portland,11-6-0,64.7%,-2.5,+4.8
Jackson St,11-6-0,64.7%,-8.6,+4.9
Monmouth,11-6-1,64.7%,-2.0,+4.0
Saint Peter's,9-5-0,64.3%,-1.1,+0.4
Oklahoma St,9-5-0,64.3%,-1.4,+1.1
Presbyterian,9-5-0,64.3%,9.7,+3.3
San Jose St,9-5-0,64.3%,-1.4,-1.8
Wofford,9-5-0,64.3%,4.5,+4.3
Mercyhurst,9-5-0,64.3%,1.3,+3.0
Drexel,9-5-0,64.3%,3.3,+1.4
Arizona St,9-5-0,64.3%,0.9,+4.0
Siena,9-5-0,64.3%,-0.1,+4.0
Jacksonville,7-4-0,63.6%,4.1,+0.8
Georgia,7-4-0,63.6%,-2.3,+1.5
Davidson,7-4-0,63.6%,2.4,-0.6
Indiana,7-4-0,63.6%,-1.5,+2.7
BYU,5-3-0,62.5%,6.0,-0.1
North Dakota,10-6-0,62.5%,0.6,+1.4
J Madison,5-3-0,62.5%,8.8,-2.1
UCLA,5-3-0,62.5%,3.3,-1.5
Texas A&M-CC,5-3-1,62.5%,16.1,+0.5
Mercer,10-6-0,62.5%,0.8,-0.8
Nicholls,5-3-1,62.5%,11.5,+4.1
Ohio St,8-5-0,61.5%,5.1,+0.6
NW State,8-5-1,61.5%,1.9,+2.5
Rutgers,8-5-1,61.5%,-1.8,+0.5
Binghamton,8-5-0,61.5%,0.1,+0.4
Bucknell,8-5-1,61.5%,-4.1,+0.4
Florida A&M,8-5-0,61.5%,-10.9,-0.7
UT Arlington,8-5-0,61.5%,3.7,+2.4
Northeastern,8-5-0,61.5%,2.8,+3.4
Washington,8-5-0,61.5%,-3.8,-2.2
Stonehill,8-5-1,61.5%,0.6,+4.1
Santa Clara,6-4-0,60.0%,7.3,+4.6
Memphis,3-2-0,60.0%,12.0,+6.6
Detroit Mercy,12-8-0,60.0%,-10.2,+0.9
Oakland,9-6-1,60.0%,-1.3,+3.4
Toledo,6-4-0,60.0%,-1.6,-4.7
Bowling Green,9-6-1,60.0%,2.5,+1.6
Providence,9-6-0,60.0%,-3.0,+1.4
High Point,3-2-0,60.0%,10.8,+1.3
Tarleton St,9-6-0,60.0%,-1.4,+2.2
Cornell,6-4-0,60.0%,6.7,+1.6
SE Louisiana,6-4-0,60.0%,1.8,+3.8
Miami OH,3-2-1,60.0%,13.3,+0.9
Ohio,7-5-0,58.3%,4.3,0.0
E Kentucky,7-5-0,58.3%,5.8,+3.1
Villanova,7-5-0,58.3%,8.5,+3.9
Campbell,7-5-0,58.3%,4.0,+4.6
Wagner,7-5-0,58.3%,4.8,+0.6
C Arkansas,11-8-1,57.9%,-3.6,+0.7
Georgia Tech,8-6-0,57.1%,2.9,+2.9
St Francis PA,8-6-0,57.1%,3.9,+1.3
Samford,4-3-0,57.1%,14.0,-1.9
Idaho,8-6-0,57.1%,1.4,+3.1
NC Greensboro,4-3-0,57.1%,21.8,+2.9
NC Wilmington,4-3-0,57.1%,3.0,-2.6
Utah Valley,4-3-0,57.1%,1.3,+1.1
Notre Dame,8-6-1,57.1%,-2.3,-0.1
Missouri,4-3-0,57.1%,15.3,+3.6
Fresno St,12-9-1,57.1%,-10.4,-0.4
Harvard,8-6-0,57.1%,-4.9,+0.1
SIU Edward,4-3-1,57.1%,4.1,+1.2
St Thomas,4-3-0,57.1%,11.6,+1.0
Fairfield,9-7-1,56.3%,-5.8,-0.5
Florida Intl,9-7-1,56.3%,-1.9,+1.4
Niagara,9-7-0,56.3%,-1.9,+0.3
Lehigh,9-7-0,56.3%,0.2,+0.5
Penn,9-7-0,56.3%,-7.6,+0.2
W Kentucky,5-4-2,55.6%,1.4,-0.5
Lafayette,10-8-0,55.6%,2.4,+1.0
Quinnipiac,5-4-0,55.6%,5.2,+0.5
Vanderbilt,5-4-0,55.6%,0.7,+0.6
Colorado St,5-4-0,55.6%,8.4,+4.8
Middle Tenn,5-4-0,55.6%,3.7,+1.3
Dayton,5-4-0,55.6%,5.6,+1.2
Utah Tech,10-8-0,55.6%,-4.4,+1.0
Towson,5-4-0,55.6%,3.7,-4.2
S Dakota St,5-4-0,55.6%,16.4,+4.0
Kennesaw St,5-4-0,55.6%,6.7,+1.6
Stony Brook,11-9-1,55.0%,-5.5,-0.8
Marshall,6-5-1,54.6%,4.3,+0.3
Illinois,6-5-0,54.6%,4.9,-2.3
Texas,6-5-0,54.6%,5.2,+2.1
Arkansas,6-5-0,54.6%,0.6,+0.8
UT Rio Grande,6-5-1,54.6%,3.1,+1.2
Little Rock,6-5-0,54.6%,1.2,+0.4
San Diego,13-11-0,54.2%,-10.2,-1.0
LSU,7-6-0,53.9%,-4.5,+0.6
Morgan St,7-6-0,53.9%,-5.1,-1.3
