Team,Over Record,Over %,Under %,Total +/-
C Arkansas,39-16-1,70.9%,29.1%,+8.7
SC Upstate,36-16-0,69.2%,30.8%,+4.5
Holy Cross,35-16-1,68.6%,31.4%,+4.9
N Kentucky,38-19-1,66.7%,33.3%,+5.4
North Dakota,48-24-1,66.7%,33.3%,+5.3
Mercyhurst,4-2-0,66.7%,33.3%,+2.5
New Orleans,49-26-3,65.3%,34.7%,+4.1
Utah Tech,21-12-0,63.6%,36.4%,+4.0
Lamar,32-19-0,62.8%,37.3%,+0.3
Milwaukee,84-50-0,62.7%,37.3%,+3.8
Stonehill,15-9-0,62.5%,37.5%,+2.7
McNeese,31-19-1,62.0%,38.0%,+3.4
NC A&T,37-24-0,60.7%,39.3%,+3.7
Stetson,29-19-2,60.4%,39.6%,+3.3
Tulane,70-46-4,60.3%,39.7%,+2.9
St Thomas,18-12-1,60.0%,40.0%,+4.8
Purdue FW,59-40-0,59.6%,40.4%,+5.3
Oral Roberts,63-43-2,59.4%,40.6%,+2.1
Portland St,62-43-3,59.1%,41.0%,+4.0
South Dakota,53-37-1,58.9%,41.1%,+1.6
Winthrop,31-22-1,58.5%,41.5%,+2.9
Marshall,69-49-2,58.5%,41.5%,+4.4
Providence,122-88-5,58.1%,41.9%,+3.1
Weber St,47-34-1,58.0%,42.0%,-0.6
UTSA,29-21-0,58.0%,42.0%,+4.2
Idaho,58-42-3,58.0%,42.0%,+1.4
Evansville,77-56-0,57.9%,42.1%,+2.7
Le Moyne,11-8-0,57.9%,42.1%,+7.3
IU Indy,52-38-1,57.8%,42.2%,+3.3
Rhode Island,89-66-2,57.4%,42.6%,+2.1
Iowa St,78-58-1,57.4%,42.7%,+1.9
Ball St,60-45-3,57.1%,42.9%,+3.2
NJIT,33-25-0,56.9%,43.1%,+0.4
Syracuse,114-87-2,56.7%,43.3%,+3.8
Wake Forest,127-97-2,56.7%,43.3%,+2.1
Kansas City,43-33-1,56.6%,43.4%,+1.8
S Dakota St,52-40-1,56.5%,43.5%,+3.6
Abl Christian,27-21-0,56.3%,43.8%,+3.7
NW State,27-21-3,56.3%,43.8%,+4.2
Sacramento St,60-47-1,56.1%,43.9%,+1.9
Buffalo,65-51-1,56.0%,44.0%,+3.4
San Diego,72-57-0,55.8%,44.2%,+0.4
Denver,84-67-0,55.6%,44.4%,+1.5
Villanova,114-91-6,55.6%,44.4%,+1.2
Delaware St,35-28-1,55.6%,44.4%,+4.7
Yale,35-28-0,55.6%,44.4%,+2.2
Murray St,55-44-1,55.6%,44.4%,+2.5
S Alabama,61-49-2,55.5%,44.6%,+2.7
SE Missouri St,56-45-1,55.5%,44.6%,+1.4
Boston College,108-87-6,55.4%,44.6%,+2.4
Presbyterian,26-21-1,55.3%,44.7%,+1.5
Tulsa,85-69-1,55.2%,44.8%,+2.1
Howard,32-26-0,55.2%,44.8%,+3.1
Montana,59-48-0,55.1%,44.9%,-0.2
Maine,33-27-0,55.0%,45.0%,+1.2
N Dakota St,44-36-0,55.0%,45.0%,+2.7
Mt St Mary's,28-23-1,54.9%,45.1%,+1.2
UMBC,28-23-0,54.9%,45.1%,+3.2
Wofford,57-47-2,54.8%,45.2%,+3.1
Niagara,74-61-1,54.8%,45.2%,+4.6
Pacific,57-47-1,54.8%,45.2%,+2.3
NC Asheville,23-19-0,54.8%,45.2%,+0.6
Mississippi,75-62-3,54.7%,45.3%,+2.3
Xavier,107-89-3,54.6%,45.4%,+1.0
Virginia Tech,90-75-4,54.6%,45.5%,+2.2
Michigan,124-104-1,54.4%,45.6%,+0.8
Oakland,56-47-1,54.4%,45.6%,+3.6
Baylor,72-61-2,54.1%,45.9%,+2.8
Troy,53-45-1,54.1%,45.9%,+1.2
Hou Christian,20-17-0,54.1%,46.0%,+8.2
