Team,ATS Record,Cover %,MOV,ATS +/-
St Thomas,45-24-2,65.2%,3.6,+3.5
Omaha,109-76-2,58.9%,-2.6,+1.1
UCSD,43-30-0,58.9%,2.8,+1.4
Memphis,239-168-8,58.7%,8.3,+1.7
Queens,34-24-1,58.6%,1.0,+1.2
Mercyhurst,11-8-0,57.9%,-3.6,+2.0
Robert Morris,110-81-2,57.6%,0.8,+0.7
S Carolina St,80-60-5,57.1%,-2.1,+1.1
Jackson St,85-65-1,56.7%,-1.2,+0.5
Nevada,234-179-9,56.7%,2.7,+0.5
Hampton,88-69-1,56.1%,0.2,+0.8
Stony Brook,94-74-5,56.0%,-0.9,+0.5
Florida A&M,80-63-0,55.9%,-5.7,+0.7
Utah Valley,97-77-2,55.8%,1.9,+2.0
Colgate,80-64-4,55.6%,0.1,+1.7
Yale,222-178-11,55.5%,2.0,+0.9
Jacksonville St,199-160-10,55.4%,-1.7,+0.6
Oakland,159-128-6,55.4%,1.0,-0.1
Creighton,230-186-10,55.3%,6.6,+0.8
Wisconsin,204-166-11,55.1%,6.9,+1.0
Louisville,209-173-13,54.7%,6.5,+0.8
Presbyterian,79-66-4,54.5%,-7.5,-0.6
NC Central,74-62-2,54.4%,0.0,+0.6
Butler,236-198-15,54.4%,6.7,+1.4
SE Louisiana,75-63-3,54.4%,-3.0,+0.2
VCU,246-207-15,54.3%,5.8,+0.8
Texas A&M,230-194-8,54.3%,1.2,+0.1
Utah,249-211-14,54.1%,3.2,+0.6
Gardner-Webb,92-78-2,54.1%,-0.9,+0.9
Duke,238-202-10,54.1%,13.7,+1.1
Furman,207-176-4,54.1%,0.3,+0.5
S Alabama,234-199-8,54.0%,-0.4,+0.2
Campbell,89-76-1,53.9%,-3.8,+1.0
Akron,243-208-10,53.9%,4.0,+0.6
Weber St,231-200-7,53.6%,2.1,+0.2
Villanova,212-184-10,53.5%,7.2,+1.1
Lafayette,91-79-1,53.5%,-2.4,-0.2
Florida St,168-146-13,53.5%,3.6,+0.6
Houston,207-181-7,53.4%,3.9,+1.2
Boston College,167-146-13,53.4%,0.1,+0.8
E Tennessee St,154-135-6,53.3%,2.6,+0.4
Ohio,253-222-10,53.3%,2.2,+0.3
San Diego St,226-199-10,53.2%,4.7,+0.9
C Arkansas,67-59-6,53.2%,-7.7,-0.1
UCF,154-136-5,53.1%,2.7,+0.7
Stetson,86-76-5,53.1%,-4.7,+0.7
Cornell,199-176-9,53.1%,-1.4,+0.6
N Texas,235-208-15,53.1%,-1.5,+0.1
Miami,183-162-10,53.0%,3.2,+0.7
Wichita St,204-181-10,53.0%,4.9,0.0
St Bonaventure,205-182-9,53.0%,1.0,+0.2
Stanford,286-254-13,53.0%,4.4,+0.4
UAB,251-223-10,53.0%,4.3,+0.6
S Dakota St,145-129-2,52.9%,3.6,+1.2
Davidson,183-163-8,52.9%,5.2,+0.6
F Dickinson,83-74-1,52.9%,-3.0,+1.5
Towson,222-199-10,52.7%,-2.7,+0.4
Temple,213-191-10,52.7%,2.9,+0.3
Purdue FW,136-122-5,52.7%,-1.5,+0.3
Illinois Chicago,233-209-12,52.7%,-1.9,+0.1
NW State,78-70-3,52.7%,-2.2,+0.8
Navy,100-90-3,52.6%,-1.2,+0.7
Drake,224-202-11,52.6%,-0.3,+0.2
Belmont,135-122-6,52.5%,6.8,+0.9
North Carolina,220-199-12,52.5%,8.1,+0.4
Tarleton St,42-38-1,52.5%,-1.9,+1.3
Louisiana Tech,247-224-5,52.4%,2.9,+0.3
Wofford,217-197-6,52.4%,0.7,+0.6
Kansas St,217-197-8,52.4%,2.2,+0.4
Sam Houston,77-70-4,52.4%,2.3,+0.8
UConn,209-190-7,52.4%,7.9,+0.9
Manhattan,156-142-9,52.4%,-1.1,0.0
Michigan,192-175-2,52.3%,4.1,+1.2
Texas A&M-CC,81-74-5,52.3%,0.3,+1.0
Xavier,211-193-11,52.2%,6.6,+0.5
Tennessee,228-209-5,52.2%,4.8,+0.4
New Hampshire,74-68-4,52.1%,-5.2,-0.4
Syracuse,211-194-8,52.1%,5.4,+0.3
Grambling,64-59-0,52.0%,-6.3,+1.7
Seattle,90-83-1,52.0%,0.2,+0.9
Gonzaga,283-261-14,52.0%,13.5,+1.0
G Washington,183-169-8,52.0%,0.8,+0.4
Canisius,184-170-14,52.0%,-1.8,-0.2
Tenn Tech,210-194-10,52.0%,-2.2,-0.3
Green Bay,228-211-17,51.9%,-0.9,+0.4
Marquette,187-173-5,51.9%,5.6,+1.0
Lipscomb,94-87-2,51.9%,0.3,-0.2
Iowa St,229-212-11,51.9%,2.2,+0.3
Radford,81-75-2,51.9%,-1.1,+0.4
Northwestern,163-151-5,51.9%,-1.1,0.0
UTSA,125-116-5,51.9%,-2.0,+0.7
Air Force,194-180-7,51.9%,-3.7,0.0
Kent St,236-219-15,51.9%,3.9,+0.7
Georgia So,199-185-9,51.8%,-0.9,+0.5
Idaho,231-215-9,51.8%,-3.3,+0.4
Princeton,220-205-9,51.8%,3.9,0.0
N Illinois,232-217-11,51.7%,-4.2,-0.1
NC Asheville,82-77-2,51.6%,-0.9,-0.2
Maine,66-62-2,51.6%,-4.5,+1.0
Sacramento St,190-179-10,51.5%,-5.6,0.0
New Mexico,210-198-8,51.5%,3.8,0.0
Monmouth,106-100-4,51.5%,-1.8,-0.1
Alcorn St,75-71-3,51.4%,-3.6,0.0
West Virginia,211-200-8,51.3%,3.8,+0.5
W Kentucky,252-239-8,51.3%,2.4,-0.2
Santa Clara,237-225-11,51.3%,-1.1,-0.2
UCLA,279-265-9,51.3%,4.2,+0.1
Saint Joseph's,200-190-11,51.3%,0.8,0.0
Kentucky,241-229-7,51.3%,9.2,+0.6
Tulsa,208-198-12,51.2%,1.7,-0.3
Mississippi St,229-218-14,51.2%,2.2,+0.2
Ohio St,187-178-6,51.2%,6.9,+0.4
UTEP,252-240-14,51.2%,1.2,-0.1
Dayton,211-201-8,51.2%,4.7,+0.5
Pacific,256-244-12,51.2%,0.0,+0.1
Little Rock,215-205-8,51.2%,-0.1,+0.8
E Washington,217-207-11,51.2%,0.1,+0.3
NC Wilmington,240-229-11,51.2%,0.2,+0.3
BYU,244-233-12,51.2%,6.5,+1.1
Iowa,178-170-8,51.2%,4.6,+0.8
N Florida,90-86-3,51.1%,-3.8,+0.4
