Team,ATS Record,Cover %,MOV,ATS +/-
Presbyterian,35-19-2,64.8%,-4.3,+1.7
UCSD,37-24-1,60.7%,5.1,+1.3
Yale,169-114-7,59.7%,3.1,+1.9
SE Louisiana,48-33-1,59.3%,-2.1,0.0
N Alabama,37-26-1,58.7%,0.5,+1.4
Abl Christian,44-31-0,58.7%,3.1,+0.6
Nevada,142-101-7,58.4%,4.7,+1.3
Le Moyne,14-10-0,58.3%,1.0,+1.6
Jackson St,57-41-2,58.2%,-1.8,+0.8
LIU,36-26-1,58.1%,-2.3,+1.1
Milwaukee,153-111-9,58.0%,0.9,+1.6
St Francis PA,53-39-1,57.6%,-3.8,+1.8
Vermont,57-42-2,57.6%,4.7,+1.6
Gardner-Webb,42-32-1,56.8%,-0.8,+1.4
Wisconsin,139-106-7,56.7%,9.0,+1.4
NC Central,51-39-1,56.7%,2.3,+2.3
UCF,81-62-2,56.6%,4.0,+0.1
Utah Valley,70-54-0,56.5%,3.1,+1.8
Norfolk St,58-45-3,56.3%,-0.2,+1.6
Canisius,126-98-9,56.3%,-1.4,+0.6
Florida A&M,63-49-0,56.3%,-6.4,+1.1
N Florida,50-39-1,56.2%,-3.0,+1.2
Miami,123-96-3,56.2%,7.2,+0.8
NW State,46-36-3,56.1%,-1.9,-0.2
Chattanooga,120-94-2,56.1%,4.8,+1.3
S Dakota St,102-80-3,56.0%,3.3,+0.9
Hampton,47-37-1,56.0%,0.8,+0.7
Houston,110-87-5,55.8%,7.7,+1.7
S Carolina St,55-44-3,55.6%,-3.1,+0.6
Sam Houston,50-40-3,55.6%,5.1,+1.0
Grand Canyon,67-54-2,55.4%,5.8,+0.4
New Mexico,129-104-8,55.4%,6.7,+0.1
Princeton,150-121-5,55.4%,5.8,+0.9
FGCU,52-42-0,55.3%,0.5,+1.6
Marquette,125-101-2,55.3%,8.3,+0.7
Creighton,113-92-4,55.1%,9.5,+0.7
Lehigh,38-31-1,55.1%,0.0,-0.1
Colgate,39-32-3,54.9%,-0.3,+1.3
Utah St,150-124-2,54.7%,9.8,+2.0
Monmouth,70-58-2,54.7%,-2.2,+1.0
Delaware,112-93-2,54.6%,0.7,+0.9
Duke,126-105-3,54.6%,17.7,+1.1
Saint Peter's,120-100-3,54.6%,-2.7,+0.6
Mercyhurst,6-5-0,54.6%,-6.6,-0.5
Dayton,121-101-6,54.5%,7.3,+1.7
Bucknell,37-31-1,54.4%,1.0,+1.8
Iowa St,113-95-4,54.3%,9.5,+1.0
Oregon St,172-145-5,54.3%,-0.4,+0.2
Villanova,128-108-2,54.2%,9.4,+0.6
Navy,33-28-0,54.1%,-1.4,+0.5
E Tennessee St,80-68-5,54.1%,3.8,+1.0
Louisiana Tech,174-148-6,54.0%,4.5,+0.6
Binghamton,41-35-1,54.0%,-4.4,+0.9
Robert Morris,55-47-0,53.9%,1.0,+0.3
Morehead St,130-112-8,53.7%,0.6,+0.8
Coastal Car,65-56-3,53.7%,2.1,+0.4
Stanford,166-143-6,53.7%,7.5,+0.9
UT Arlington,87-75-3,53.7%,1.6,+0.9
Xavier,125-108-12,53.7%,8.5,+0.9
Illinois Chicago,140-121-4,53.6%,-0.5,+0.6
Santa Clara,171-148-7,53.6%,1.6,+0.3
Siena,122-106-6,53.5%,0.9,+0.9
Kentucky,115-100-7,53.5%,12.0,+0.3
Air Force,108-94-3,53.5%,-0.4,-0.2
Drake,95-83-2,53.4%,3.4,+0.9
George Mason,96-84-5,53.3%,3.1,+0.9
Jacksonville St,112-98-5,53.3%,1.1,+0.3
E Kentucky,121-106-4,53.3%,0.0,+0.8
Indiana,135-119-5,53.2%,5.9,+0.4
UCSB,178-157-7,53.1%,3.5,+0.1
Texas A&M-CC,43-38-4,53.1%,3.7,-0.4
Wake Forest,107-95-4,53.0%,5.4,+1.3
Tenn Tech,134-119-4,53.0%,0.4,-0.3
