Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,15-9-1,62.5%,-7.4,+1.8
Saint Peter's,96-60-1,61.5%,-4.7,+2.4
Lipscomb,65-41-2,61.3%,-5.8,+2.7
Toledo,53-34-1,60.9%,-3.2,+1.9
Penn St,107-69-2,60.8%,-4.6,+1.9
Oakland,92-60-2,60.5%,-7.0,+1.3
SE Louisiana,82-55-1,59.9%,-9.2,+0.6
Florida A&M,101-68-0,59.8%,-11.3,+1.8
Providence,98-66-2,59.8%,-3.3,+2.2
S Alabama,103-71-2,59.2%,-5.1,+1.7
Hofstra,55-38-4,59.1%,-3.7,+2.3
Temple,91-63-5,59.1%,-5.2,+1.5
Jacksonville St,89-63-5,58.6%,-5.5,+2.3
Gardner-Webb,72-51-0,58.5%,-7.0,+1.5
S Carolina St,90-65-4,58.1%,-12.0,+1.7
Boise St,60-44-2,57.7%,-3.2,+1.6
Harvard,62-46-1,57.4%,-4.8,+1.5
Wichita St,47-35-5,57.3%,-4.9,+0.7
S Dakota St,52-39-2,57.1%,-5.4,+1.7
UT Arlington,84-63-3,57.1%,-5.7,+2.4
Kentucky,36-27-1,57.1%,-1.7,+2.7
NC Central,58-44-3,56.9%,-9.3,+0.3
W Kentucky,71-54-1,56.8%,-5.2,+1.1
Kansas St,97-74-1,56.7%,-5.8,+1.2
Seton Hall,89-68-0,56.7%,-5.4,+0.4
Jackson St,74-57-3,56.5%,-11.6,+1.1
Loyola Chi,61-47-1,56.5%,-5.0,+0.7
Houston,32-25-0,56.1%,-2.7,+3.3
Robert Morris,84-66-2,56.0%,-7.7,+0.4
Portland St,91-72-6,55.8%,-5.5,+1.2
N Florida,79-63-2,55.6%,-9.7,+1.2
UAB,55-44-3,55.6%,-3.9,+2.2
Wisconsin,61-49-6,55.5%,-2.1,+2.5
Colgate,36-29-2,55.4%,-7.3,+1.5
Texas,74-60-1,55.2%,-3.9,+1.5
Norfolk St,54-44-1,55.1%,-9.5,+0.7
Chattanooga,73-60-0,54.9%,-6.1,+1.3
Furman,51-42-3,54.8%,-6.4,+0.8
Stony Brook,75-62-2,54.7%,-8.1,+0.4
Oregon,52-43-1,54.7%,-3.8,+1.0
Santa Clara,88-73-6,54.7%,-8.1,+0.3
Presbyterian,88-73-3,54.7%,-8.2,+0.4
E Tennessee St,65-54-2,54.6%,-4.7,+1.7
Campbell,71-59-2,54.6%,-5.0,+1.7
Texas A&M-CC,66-55-0,54.6%,-7.7,+1.5
Maine,90-75-4,54.6%,-10.2,+0.5
