Team,Over Record,Over %,Under %,Total +/-
Mercyhurst,1-0-0,100.0%,0.0%,+12.5
Utah Valley,15-5-0,75.0%,25.0%,+7.5
Marshall,21-7-0,75.0%,25.0%,+5.6
NW State,15-6-2,71.4%,28.6%,+3.7
Clemson,24-10-0,70.6%,29.4%,+6.3
W Michigan,21-9-0,70.0%,30.0%,+5.0
Grand Canyon,16-7-0,69.6%,30.4%,+1.6
Army,9-4-0,69.2%,30.8%,+5.8
S Utah,11-5-0,68.8%,31.3%,+7.5
Sacramento St,11-5-0,68.8%,31.3%,+9.8
W Illinois,11-5-0,68.8%,31.3%,+6.5
Bethune,10-5-0,66.7%,33.3%,+2.7
Bucknell,10-5-0,66.7%,33.3%,+4.1
N Colorado,18-9-0,66.7%,33.3%,+5.1
American,4-2-0,66.7%,33.3%,+9.8
Bellarmine,6-3-0,66.7%,33.3%,+2.4
W Carolina,21-11-0,65.6%,34.4%,+6.8
Wofford,22-12-0,64.7%,35.3%,+2.8
Dayton,29-16-0,64.4%,35.6%,+4.5
UMass,21-12-0,63.6%,36.4%,+7.0
Wagner,7-4-0,63.6%,36.4%,+8.3
Texas So,12-7-0,63.2%,36.8%,+2.6
Marquette,29-17-0,63.0%,37.0%,+2.8
Gardner-Webb,20-12-1,62.5%,37.5%,+4.0
Tennessee,28-17-1,62.2%,37.8%,+3.4
E Tennessee St,23-14-1,62.2%,37.8%,+2.9
Florida Atlantic,21-13-0,61.8%,38.2%,+5.7
Texas St,16-10-0,61.5%,38.5%,+3.7
Oakland,24-15-1,61.5%,38.5%,+3.6
Abl Christian,11-7-0,61.1%,38.9%,+2.4
Albany,14-9-0,60.9%,39.1%,+3.2
Montana St,17-11-0,60.7%,39.3%,+1.1
Ohio,20-13-2,60.6%,39.4%,+3.6
Georgetown,23-15-1,60.5%,39.5%,+4.7
UAB,29-19-1,60.4%,39.6%,+6.7
F Dickinson,9-6-0,60.0%,40.0%,+7.8
Incarnate Word,6-4-0,60.0%,40.0%,+1.1
SIU Edward,9-6-0,60.0%,40.0%,-1.0
Arizona St,18-12-1,60.0%,40.0%,+4.0
Cleveland St,19-13-0,59.4%,40.6%,+1.5
Lamar,16-11-0,59.3%,40.7%,+4.6
Coastal Car,13-9-0,59.1%,40.9%,+0.5
CS Northridge,17-12-2,58.6%,41.4%,+1.9
La Salle,17-12-1,58.6%,41.4%,+2.4
Maryland,24-17-1,58.5%,41.5%,+2.3
UC Riverside,14-10-0,58.3%,41.7%,+4.1
UTEP,36-26-1,58.1%,41.9%,+1.7
N Illinois,11-8-0,57.9%,42.1%,+7.0
SC Upstate,11-8-0,57.9%,42.1%,+3.1
Toledo,22-16-0,57.9%,42.1%,+2.6
UTSA,15-11-0,57.7%,42.3%,+6.9
Siena,19-14-1,57.6%,42.4%,+1.0
Oregon,31-23-0,57.4%,42.6%,+2.9
Lehigh,8-6-0,57.1%,42.9%,+4.2
LSU,20-15-0,57.1%,42.9%,+0.3
Rutgers,12-9-0,57.1%,42.9%,+0.1
New Orleans,16-12-1,57.1%,42.9%,+2.4
Kennesaw St,12-9-0,57.1%,42.9%,+1.4
Southern,8-6-0,57.1%,42.9%,-0.1
C Michigan,12-9-0,57.1%,42.9%,+3.9
E Michigan,12-9-0,57.1%,42.9%,-1.9
Syracuse,29-22-1,56.9%,43.1%,+3.6
NC State,25-19-0,56.8%,43.2%,+1.3
Vanderbilt,21-16-2,56.8%,43.2%,+1.3
Michigan,26-20-4,56.5%,43.5%,-0.3
Colorado,26-20-0,56.5%,43.5%,+2.4
Morehead St,13-10-0,56.5%,43.5%,+3.0
Chicago St,9-7-0,56.3%,43.8%,+0.9
Gonzaga,32-25-0,56.1%,43.9%,+1.1
Portland St,14-11-1,56.0%,44.0%,+4.1
Purdue,24-19-1,55.8%,44.2%,+1.3
Kansas City,15-12-0,55.6%,44.4%,+1.1
Arkansas,20-16-0,55.6%,44.4%,+1.4
Idaho St,10-8-1,55.6%,44.4%,+2.1
Nebraska,15-12-0,55.6%,44.4%,+1.8
North Dakota,20-16-0,55.6%,44.4%,+2.7
Boise St,16-13-0,55.2%,44.8%,+2.3
Furman,16-13-0,55.2%,44.8%,+1.7
Brown,70-57-1,55.1%,44.9%,+3.1
Hampton,17-14-1,54.8%,45.2%,-0.2
Kansas St,18-15-0,54.6%,45.5%,+0.5
Alabama St,12-10-0,54.6%,45.5%,+1.4
N Alabama,6-5-0,54.6%,45.5%,+4.1
Buffalo,18-15-0,54.6%,45.5%,+0.3
Florida,25-21-0,54.4%,45.7%,+1.5
Minnesota,19-16-0,54.3%,45.7%,+1.2
Chattanooga,20-17-1,54.1%,46.0%,+2.1
California,20-17-2,54.1%,46.0%,+3.2
UNLV,21-18-0,53.9%,46.2%,0.0
Missouri,21-18-1,53.9%,46.2%,-0.8
South Dakota,14-12-0,53.9%,46.2%,+3.6
Louisiana,21-18-1,53.9%,46.2%,-1.5
UT Martin,7-6-1,53.9%,46.2%,-0.7
S Dakota St,22-19-0,53.7%,46.3%,+3.0
Air Force,15-13-0,53.6%,46.4%,+1.3
Fresno St,15-13-0,53.6%,46.4%,+5.4
Charleston So,8-7-0,53.3%,46.7%,-0.1
Villanova,26-23-2,53.1%,46.9%,+1.5
SE Louisiana,9-8-0,52.9%,47.1%,+4.8
McNeese,9-8-0,52.9%,47.1%,+3.6
San Diego,18-16-0,52.9%,47.1%,+4.0
J Madison,18-16-0,52.9%,47.1%,-0.3
Virginia Tech,20-18-0,52.6%,47.4%,+0.4
G Washington,20-18-0,52.6%,47.4%,-2.0
Montana,20-18-0,52.6%,47.4%,+0.9
Nevada,21-19-0,52.5%,47.5%,+0.8
Miami,21-19-0,52.5%,47.5%,-0.9
UConn,32-29-0,52.5%,47.5%,-0.4
DePaul,11-10-0,52.4%,47.6%,+2.4
NC A&T,11-10-0,52.4%,47.6%,+2.9
Wright St,22-20-1,52.4%,47.6%,-1.2
New Mexico St,25-23-1,52.1%,47.9%,+0.7
Columbia,63-58-3,52.1%,47.9%,+2.3
E Carolina,13-12-0,52.0%,48.0%,+1.9
N Kentucky,13-12-0,52.0%,48.0%,-0.9
Vermont,13-12-1,52.0%,48.0%,+0.6
SE Missouri St,14-13-0,51.9%,48.2%,-1.3
S Florida,15-14-0,51.7%,48.3%,+2.5
TCU,16-15-0,51.6%,48.4%,+0.3
Belmont,17-16-0,51.5%,48.5%,-2.8
Mississippi,17-16-0,51.5%,48.5%,+0.2
Portland,19-18-0,51.4%,48.7%,+0.6
Rice,19-18-1,51.4%,48.7%,-0.3
Texas A&M,19-18-0,51.4%,48.7%,+1.6
Iowa St,20-19-1,51.3%,48.7%,+2.6
Santa Clara,20-19-0,51.3%,48.7%,+0.3
Delaware,20-19-0,51.3%,48.7%,+2.3
Alabama,20-19-2,51.3%,48.7%,-1.0
Denver,21-20-0,51.2%,48.8%,-3.2
Oral Roberts,21-20-1,51.2%,48.8%,+2.2
Iowa,22-21-1,51.2%,48.8%,+2.1
Ohio St,22-21-2,51.2%,48.8%,+2.7
St John's,22-21-0,51.2%,48.8%,+0.9
Niagara,22-21-0,51.2%,48.8%,+1.8
Weber St,24-23-0,51.1%,48.9%,+1.6
Utah St,30-29-0,50.9%,49.2%,-1.1
Hawai'i,31-30-1,50.8%,49.2%,+2.2
Kansas,32-31-0,50.8%,49.2%,-1.0
Yale,64-62-0,50.8%,49.2%,+0.4
Penn,65-64-2,50.4%,49.6%,+0.6
Illinois,25-25-0,50.0%,50.0%,+0.4
West Virginia,21-21-0,50.0%,50.0%,-2.1
Memphis,25-25-2,50.0%,50.0%,+0.7
Grambling,6-6-0,50.0%,50.0%,+0.1
C Arkansas,6-6-0,50.0%,50.0%,+0.6
Milwaukee,21-21-1,50.0%,50.0%,-2.6
St Francis PA,4-4-0,50.0%,50.0%,-3.0
Harvard,65-65-1,50.0%,50.0%,+0.2
AR-Pine Bluff,5-5-0,50.0%,50.0%,-4.3
VMI,9-9-0,50.0%,50.0%,+3.1
George Mason,21-21-0,50.0%,50.0%,-3.3
Sacred Heart,9-9-0,50.0%,50.0%,+2.7
UCSD,5-5-0,50.0%,50.0%,-6.2
Campbell,12-12-1,50.0%,50.0%,-1.1
Jackson St,7-7-0,50.0%,50.0%,-2.2
Colgate,6-6-0,50.0%,50.0%,-1.6
Prairie View,6-6-0,50.0%,50.0%,+2.9
Howard,10-10-0,50.0%,50.0%,+0.9
Seattle,10-10-0,50.0%,50.0%,+1.5
SF Austin,10-10-0,50.0%,50.0%,-0.6
Sam Houston,12-12-0,50.0%,50.0%,+0.2
San Jose St,8-8-1,50.0%,50.0%,+1.5
Jacksonville St,12-12-0,50.0%,50.0%,-1.1
Rider,16-16-1,50.0%,50.0%,0.0
Northwestern,15-15-0,50.0%,50.0%,+0.9
Alcorn St,7-7-0,50.0%,50.0%,+4.8
Illinois St,25-26-0,49.0%,51.0%,-0.5
Northeastern,22-23-0,48.9%,51.1%,+1.9
Saint Joseph's,22-23-0,48.9%,51.1%,+0.2
USC,21-22-0,48.8%,51.2%,-0.5
Charlotte,20-21-3,48.8%,51.2%,-1.4
Louisiana Tech,19-20-1,48.7%,51.3%,-2.4
Seton Hall,18-19-0,48.7%,51.4%,-2.0
Boston College,18-19-1,48.7%,51.4%,-0.6
Tulsa,17-18-1,48.6%,51.4%,-1.4
Troy,17-18-0,48.6%,51.4%,-1.7
North Carolina,34-36-1,48.6%,51.4%,+1.9
Wyoming,16-17-0,48.5%,51.5%,+1.6
San Francisco,16-17-0,48.5%,51.5%,+1.4
Evansville,15-16-0,48.4%,51.6%,+1.6
Butler,15-16-1,48.4%,51.6%,-0.8
William & Mary,14-15-0,48.3%,51.7%,-0.6
UT Arlington,14-15-0,48.3%,51.7%,-1.8
Detroit Mercy,13-14-0,48.2%,51.9%,+4.5
Princeton,64-69-0,48.1%,51.9%,0.0
E Washington,12-13-0,48.0%,52.0%,+0.7
FGCU,12-13-0,48.0%,52.0%,-1.1
Kentucky,23-25-1,47.9%,52.1%,+0.6
Dartmouth,57-62-2,47.9%,52.1%,+0.5
Presbyterian,11-12-0,47.8%,52.2%,-0.9
Louisville,21-23-1,47.7%,52.3%,-0.3
High Point,10-11-1,47.6%,52.4%,-0.8
Texas A&M-CC,10-11-1,47.6%,52.4%,-0.3
Fordham,10-11-1,47.6%,52.4%,-2.9
New Mexico,18-20-1,47.4%,52.6%,+0.2
Loyola MD,9-10-0,47.4%,52.6%,-1.9
Samford,9-10-1,47.4%,52.6%,-1.4
Baylor,17-19-1,47.2%,52.8%,-1.0
Virginia,17-19-0,47.2%,52.8%,-6.1
The Citadel,8-9-0,47.1%,52.9%,-1.7
Southern Miss,24-27-1,47.1%,52.9%,-0.2
Idaho,8-9-0,47.1%,52.9%,-5.2
Kent St,24-27-1,47.1%,52.9%,-1.3
Binghamton,7-8-0,46.7%,53.3%,+0.9
Pepperdine,21-24-0,46.7%,53.3%,-1.5
Pacific,14-16-0,46.7%,53.3%,0.0
St Bonaventure,13-15-0,46.4%,53.6%,-0.8
SMU,13-15-1,46.4%,53.6%,-1.4
NC Asheville,13-15-0,46.4%,53.6%,-3.4
Illinois Chicago,13-15-0,46.4%,53.6%,+2.0
Drake,25-29-1,46.3%,53.7%,0.0
Bryant,6-7-0,46.2%,53.9%,-0.7
E Illinois,6-7-0,46.2%,53.9%,-0.7
Iona,24-28-0,46.2%,53.9%,-0.2
Middle Tenn,24-28-0,46.2%,53.9%,+2.5
Lafayette,6-7-0,46.2%,53.9%,-1.3
Colorado St,18-21-0,46.2%,53.9%,-1.2
Green Bay,16-19-0,45.7%,54.3%,+0.3
Long Beach St,21-25-2,45.7%,54.4%,-1.1
Austin Peay,15-18-0,45.5%,54.6%,-0.6
BYU,20-24-0,45.5%,54.6%,-0.2
Norfolk St,15-18-1,45.5%,54.6%,-2.0
Quinnipiac,10-12-0,45.5%,54.6%,-1.8
Indiana,15-18-0,45.5%,54.6%,-3.7
LIU,5-6-1,45.5%,54.6%,-7.8
St Thomas,5-6-0,45.5%,54.6%,-2.1
Texas,24-29-0,45.3%,54.7%,-1.8
Temple,19-23-1,45.2%,54.8%,-1.9
Delaware St,9-11-0,45.0%,55.0%,+2.5
S Alabama,18-22-1,45.0%,55.0%,-4.0
Washington,18-22-0,45.0%,55.0%,-0.1
N Dakota St,22-27-1,44.9%,55.1%,-2.7
VCU,24-30-1,44.4%,55.6%,-2.4
New Hampshire,4-5-1,44.4%,55.6%,-5.5
Murray St,16-20-0,44.4%,55.6%,-1.0
Rhode Island,16-20-0,44.4%,55.6%,-1.6
NJIT,4-5-0,44.4%,55.6%,-5.0
Wisconsin,20-25-1,44.4%,55.6%,-0.3
San Diego St,27-34-0,44.3%,55.7%,-2.1
Missouri St,23-29-0,44.2%,55.8%,-0.4
Duke,30-38-0,44.1%,55.9%,-1.6
Coppin St,11-14-0,44.0%,56.0%,-1.1
CS Fullerton,18-23-0,43.9%,56.1%,-2.9
Creighton,18-23-0,43.9%,56.1%,-2.0
Georgia,14-18-0,43.8%,56.3%,-3.0
Drexel,14-18-0,43.8%,56.3%,-1.1
NC Wilmington,21-27-0,43.8%,56.3%,-2.4
Cornell,52-67-2,43.7%,56.3%,-1.1
Georgia So,17-22-0,43.6%,56.4%,-3.4
Nicholls,10-13-0,43.5%,56.5%,-0.6
UCF,10-13-1,43.5%,56.5%,-2.1
Washington St,10-13-2,43.5%,56.5%,-2.7
CS Bakersfield,10-13-0,43.5%,56.5%,+0.4
Arkansas St,13-17-2,43.3%,56.7%,-0.9
South Carolina,13-17-1,43.3%,56.7%,+0.2
Providence,13-17-1,43.3%,56.7%,-2.8
N Iowa,22-29-0,43.1%,56.9%,-2.0
Miss Valley St,6-8-1,42.9%,57.1%,-0.6
Wake Forest,12-16-1,42.9%,57.1%,-0.7
Penn St,15-20-0,42.9%,57.1%,-2.2
Cal Baptist,6-8-0,42.9%,57.1%,-0.9
Ball St,6-8-1,42.9%,57.1%,-0.4
Davidson,20-27-0,42.6%,57.5%,-2.1
Bradley,20-27-0,42.6%,57.5%,-4.0
App State,17-23-0,42.5%,57.5%,-2.1
Utah,17-23-0,42.5%,57.5%,-2.4
Valparaiso,14-19-1,42.4%,57.6%,+0.6
Miami OH,11-15-0,42.3%,57.7%,-1.8
Houston,19-26-1,42.2%,57.8%,-1.1
Hofstra,19-26-0,42.2%,57.8%,-3.0
Lipscomb,8-11-0,42.1%,57.9%,-1.6
Florida St,16-22-1,42.1%,57.9%,-2.2
Oregon St,10-14-0,41.7%,58.3%,-4.6
Maine,5-7-1,41.7%,58.3%,-5.7
UCLA,20-28-0,41.7%,58.3%,-1.5
Purdue FW,10-14-0,41.7%,58.3%,-1.2
Omaha,10-14-0,41.7%,58.3%,-2.9
Arizona,22-31-0,41.5%,58.5%,-0.7
Liberty,14-20-0,41.2%,58.8%,+1.4
Tulane,14-20-0,41.2%,58.8%,-2.4
Pittsburgh,16-23-0,41.0%,59.0%,-2.9
Stanford,16-23-2,41.0%,59.0%,-1.7
Florida Intl,13-19-0,40.6%,59.4%,-4.5
IU Indy,13-19-0,40.6%,59.4%,-1.8
Richmond,15-22-0,40.5%,59.5%,-1.5
Texas Tech,15-22-0,40.5%,59.5%,-1.4
Saint Louis,15-22-0,40.5%,59.5%,-4.5
Indiana St,19-28-0,40.4%,59.6%,-2.8
UC Irvine,23-34-0,40.4%,59.7%,-4.2
Jacksonville,8-12-0,40.0%,60.0%,-4.2
Alabama A&M,4-6-1,40.0%,60.0%,-3.5
Stetson,10-15-0,40.0%,60.0%,-0.7
UL Monroe,8-12-1,40.0%,60.0%,-3.6
Charleston,22-33-1,40.0%,60.0%,-3.7
Longwood,10-15-0,40.0%,60.0%,-3.7
S Carolina St,8-12-0,40.0%,60.0%,-1.4
