Team,ATS Record,Cover %,MOV,ATS +/-
Dartmouth,9-0-1,100.0%,10.1,+5.6
Ball St,5-1-1,83.3%,13.5,+2.9
VCU,8-2-0,80.0%,14.2,+3.4
Toledo,3-1-0,75.0%,14.3,+0.3
South Carolina,12-4-0,75.0%,12.9,+6.1
Kent St,7-3-1,70.0%,14.3,+3.3
Butler,16-7-0,69.6%,9.9,+4.5
Nebraska,20-9-0,69.0%,8.3,+7.1
Boston U,11-5-0,68.8%,3.3,+5.0
Brown,13-6-1,68.4%,3.8,+3.1
Utah Valley,37-18-0,67.3%,7.5,+3.4
Cornell,12-6-1,66.7%,6.4,+4.8
Missouri,12-6-1,66.7%,5.1,+0.6
Purdue,16-8-0,66.7%,16.6,+5.0
Akron,12-6-0,66.7%,11.9,+4.2
Mississippi St,9-5-0,64.3%,12.8,+6.4
Santa Clara,59-33-1,64.1%,0.4,+2.4
Maine,16-9-0,64.0%,1.2,+2.9
Portland St,63-37-5,63.0%,2.7,+2.4
SC Upstate,17-10-0,63.0%,-1.8,+1.2
Nevada,17-10-1,63.0%,7.2,+3.1
UCLA,47-28-1,62.7%,8.4,+3.0
NJIT,23-14-2,62.2%,-1.4,+1.6
West Virginia,29-18-0,61.7%,4.8,+2.4
Temple,8-5-0,61.5%,3.2,+2.3
Wichita St,8-5-1,61.5%,6.9,+3.3
Davidson,8-5-0,61.5%,5.2,+1.4
Hou Christian,27-17-1,61.4%,-2.9,+3.0
Virginia Tech,19-12-0,61.3%,2.9,+1.7
Robert Morris,41-26-0,61.2%,-0.7,+1.0
Arkansas,11-7-0,61.1%,11.2,+4.6
Tarleton St,20-13-0,60.6%,2.1,+1.9
Texas Tech,21-14-0,60.0%,9.3,+4.0
Vanderbilt,9-6-0,60.0%,8.4,+2.1
Lehigh,12-8-0,60.0%,1.0,+1.9
Missouri St,9-6-0,60.0%,7.1,+0.3
St Bonaventure,6-4-0,60.0%,8.1,+2.9
Dayton,9-6-0,60.0%,3.7,+0.4
Texas A&M-CC,33-22-1,60.0%,2.2,+0.1
Miami,21-14-0,60.0%,3.1,+3.2
Wisconsin,12-8-1,60.0%,7.9,+2.5
Villanova,15-10-0,60.0%,7.5,-0.2
N Texas,49-33-3,59.8%,2.5,+1.5
USC,40-27-0,59.7%,4.7,+1.2
Merrimack,34-23-1,59.7%,3.5,+3.0
Alcorn St,47-32-3,59.5%,-2.8,+1.2
UC Davis,47-32-0,59.5%,1.1,+1.5
Hampton,38-26-0,59.4%,-0.4,+2.4
St Thomas,19-13-2,59.4%,4.0,+1.3
Saint Peter's,51-35-1,59.3%,2.3,+2.2
Michigan St,16-11-1,59.3%,7.7,+1.1
SMU,13-9-0,59.1%,15.1,+4.5
Drake,10-7-1,58.8%,8.0,+2.8
Gardner-Webb,20-14-0,58.8%,5.2,+3.3
Lamar,24-17-2,58.5%,2.1,+2.3
Binghamton,14-10-0,58.3%,-5.2,+0.7
LSU,7-5-1,58.3%,6.4,+2.9
UConn,14-10-0,58.3%,5.6,+1.9
E Carolina,7-5-0,58.3%,4.1,+2.2
UMass Lowell,21-15-1,58.3%,0.7,0.0
Miss Valley St,46-33-0,58.2%,-14.0,+1.1
South Dakota,39-28-1,58.2%,1.6,+0.6
Illinois Chicago,36-26-1,58.1%,-0.7,+0.4
NC Greensboro,29-21-0,58.0%,7.3,+2.5
Yale,11-8-1,57.9%,11.4,+1.3
Boise St,15-11-0,57.7%,8.6,+1.7
New Mexico St,30-22-1,57.7%,9.6,+1.3
Stetson,30-22-1,57.7%,-0.2,+1.7
Lipscomb,38-28-1,57.6%,2.5,+1.5
Sam Houston,23-17-1,57.5%,4.6,+1.4
Loyola Mymt,55-41-3,57.3%,-1.4,+0.3
Kentucky,16-12-2,57.1%,16.1,+2.0
Samford,36-27-0,57.1%,2.8,+1.4
Alabama,8-6-1,57.1%,5.2,+1.5
Lafayette,12-9-0,57.1%,-9.4,-2.1
S Illinois,4-3-1,57.1%,11.0,-0.7
Arkansas St,49-37-2,57.0%,0.1,+0.4
Florida A&M,37-28-0,56.9%,-6.6,+0.9
C Arkansas,25-19-2,56.8%,-6.8,+1.0
Mercer,30-23-0,56.6%,4.6,+1.4
Southern Miss,44-34-1,56.4%,-3.4,+1.3
Valparaiso,27-21-0,56.3%,9.1,+0.1
UMass,9-7-0,56.3%,3.6,-1.6
Elon,50-39-1,56.2%,-0.5,+2.2
Nicholls,23-18-0,56.1%,0.9,+1.3
Sacred Heart,37-29-0,56.1%,-0.2,+1.1
VMI,28-22-2,56.0%,-1.6,-0.2
Creighton,14-11-1,56.0%,11.8,+1.8
UC Irvine,42-33-2,56.0%,7.4,+2.1
California,33-26-0,55.9%,-3.1,-0.3
Norfolk St,38-30-0,55.9%,6.3,+0.7
F Dickinson,38-30-1,55.9%,-0.3,+2.0
Virginia,24-19-1,55.8%,7.4,+0.8
Southern,40-32-1,55.6%,3.6,+2.5
Murray St,40-32-1,55.6%,10.5,+1.0
W Georgia,5-4-0,55.6%,-7.3,+0.5
Morehead St,56-45-6,55.5%,2.1,+0.4
E Washington,61-49-2,55.5%,4.2,+1.6
S Dakota St,36-29-1,55.4%,8.6,+1.5
UCSD,21-17-0,55.3%,4.4,+1.8
San Diego St,16-13-0,55.2%,12.6,+2.1
Belmont,43-35-4,55.1%,10.5,+0.1
Baylor,27-22-1,55.1%,8.9,+1.4
N Dakota St,38-31-0,55.1%,4.8,+2.6
N Kentucky,38-31-1,55.1%,4.3,+0.2
App State,49-40-5,55.1%,2.8,+0.8
Iowa,11-9-0,55.0%,13.6,+2.1
Memphis,11-9-0,55.0%,5.7,-1.3
Wofford,29-24-0,54.7%,9.5,+2.8
Liberty,29-24-1,54.7%,6.2,-0.2
Monmouth,47-39-1,54.7%,-1.1,-1.1
Houston,18-15-2,54.6%,8.5,+1.4
Bellarmine,18-15-0,54.6%,-2.7,+1.7
Xavier,12-10-1,54.6%,3.6,+2.0
Saint Joseph's,12-10-0,54.6%,-2.5,-1.3
UCSB,37-31-4,54.4%,6.7,+1.2
NC Wilmington,44-37-2,54.3%,3.9,+1.2
Towson,45-38-1,54.2%,2.3,+0.5
Charlotte,39-33-3,54.2%,-0.8,+0.5
SE Louisiana,26-22-2,54.2%,-2.9,+0.8
William & Mary,47-40-3,54.0%,-0.8,-0.6
North Carolina,27-23-4,54.0%,7.7,+0.1
NC Central,35-30-0,53.9%,4.7,-1.1
