Team,Over Record,Over %,Under %,Total +/-
Iowa St,3-0-0,100.0%,0.0%,+32.7
W Illinois,1-0-0,100.0%,0.0%,+24.0
Detroit Mercy,1-0-0,100.0%,0.0%,+9.5
Rice,2-0-0,100.0%,0.0%,+1.5
Jacksonville,1-0-0,100.0%,0.0%,+9.5
San Francisco,2-0-0,100.0%,0.0%,+5.3
Furman,2-0-0,100.0%,0.0%,+24.0
California,1-0-0,100.0%,0.0%,+12.0
Longwood,1-0-0,100.0%,0.0%,+1.5
G Washington,2-0-0,100.0%,0.0%,+10.3
Marshall,1-0-0,100.0%,0.0%,+1.5
Wyoming,1-0-0,100.0%,0.0%,+2.5
Indiana,2-0-0,100.0%,0.0%,+14.8
Gardner-Webb,1-0-0,100.0%,0.0%,+1.5
William & Mary,2-0-0,100.0%,0.0%,+15.3
C Arkansas,1-0-0,100.0%,0.0%,+7.5
Chattanooga,1-0-0,100.0%,0.0%,+11.5
Georgia Tech,1-0-0,100.0%,0.0%,+4.0
Purdue,2-0-0,100.0%,0.0%,+8.8
South Dakota,1-0-0,100.0%,0.0%,+9.0
Grambling,2-0-0,100.0%,0.0%,+5.3
American,1-0-0,100.0%,0.0%,+23.0
Portland,1-0-0,100.0%,0.0%,+9.0
S Florida,1-0-0,100.0%,0.0%,+38.0
San Diego,1-0-0,100.0%,0.0%,+27.0
NC Central,3-0-0,100.0%,0.0%,+5.0
App State,1-0-0,100.0%,0.0%,+3.0
Fresno St,1-0-0,100.0%,0.0%,+15.0
Temple,1-0-0,100.0%,0.0%,+18.5
Canisius,1-0-0,100.0%,0.0%,+18.5
Maine,2-0-0,100.0%,0.0%,+4.3
Texas A&M,1-0-0,100.0%,0.0%,+4.5
E Michigan,1-0-0,100.0%,0.0%,+4.0
Rutgers,1-0-0,100.0%,0.0%,+22.5
Middle Tenn,2-0-0,100.0%,0.0%,+19.5
Oakland,1-0-0,100.0%,0.0%,+23.5
Oregon St,1-0-0,100.0%,0.0%,+23.5
Troy,2-0-0,100.0%,0.0%,+18.8
Stanford,1-0-0,100.0%,0.0%,+4.5
Abl Christian,1-0-0,100.0%,0.0%,+2.5
Wofford,4-0-0,100.0%,0.0%,+13.5
Coastal Car,1-0-0,100.0%,0.0%,+13.0
Virginia,1-0-0,100.0%,0.0%,+7.5
Delaware St,1-0-0,100.0%,0.0%,+14.5
Seton Hall,1-0-0,100.0%,0.0%,+2.0
Ohio,1-0-0,100.0%,0.0%,+9.0
Grand Canyon,1-0-0,100.0%,0.0%,+29.5
Dayton,2-0-0,100.0%,0.0%,+17.8
Howard,1-0-0,100.0%,0.0%,+17.5
Drexel,2-0-0,100.0%,0.0%,+26.8
Samford,1-0-0,100.0%,0.0%,+3.0
Portland St,2-0-0,100.0%,0.0%,+4.8
San Diego St,1-0-0,100.0%,0.0%,+7.5
Kansas,1-0-0,100.0%,0.0%,+12.0
La Salle,3-0-0,100.0%,0.0%,+17.5
Alabama A&M,1-0-0,100.0%,0.0%,+13.0
Alabama,2-0-0,100.0%,0.0%,+14.3
Vanderbilt,1-0-0,100.0%,0.0%,+2.0
Texas St,1-0-0,100.0%,0.0%,+24.0
S Utah,1-0-0,100.0%,0.0%,+4.0
