Team,Over Record,Over %,Under %,Total +/-
W Georgia,8-1-0,88.9%,11.1%,+8.1
Miami,7-1-0,87.5%,12.5%,+11.4
Iowa,7-1-0,87.5%,12.5%,+12.1
Notre Dame,6-1-0,85.7%,14.3%,+8.6
Lafayette,6-1-0,85.7%,14.3%,+5.7
Indiana St,6-1-0,85.7%,14.3%,+9.4
Buffalo,5-1-0,83.3%,16.7%,+8.3
Norfolk St,9-2-0,81.8%,18.2%,+8.7
Canisius,9-2-0,81.8%,18.2%,+13.7
South Dakota,9-2-0,81.8%,18.2%,+10.0
Furman,4-1-0,80.0%,20.0%,+5.1
Baylor,8-2-0,80.0%,20.0%,+2.4
N Florida,8-2-0,80.0%,20.0%,+7.7
UMBC,11-3-0,78.6%,21.4%,+9.0
Georgia,7-2-0,77.8%,22.2%,+2.7
Robert Morris,7-2-0,77.8%,22.2%,+12.1
Gonzaga,10-3-0,76.9%,23.1%,+3.3
Washington,6-2-0,75.0%,25.0%,+3.6
SIU Edward,9-3-0,75.0%,25.0%,+7.3
E Carolina,6-2-0,75.0%,25.0%,+10.9
UC Riverside,12-4-0,75.0%,25.0%,+8.0
Dayton,9-3-0,75.0%,25.0%,+6.1
Delaware,12-4-0,75.0%,25.0%,+6.0
Virginia Tech,6-2-0,75.0%,25.0%,+4.9
Temple,9-3-0,75.0%,25.0%,+8.1
Air Force,6-2-0,75.0%,25.0%,+5.4
Pepperdine,9-3-0,75.0%,25.0%,+10.7
Texas Tech,9-3-1,75.0%,25.0%,+3.7
Le Moyne,9-3-0,75.0%,25.0%,+7.8
Gardner-Webb,6-2-0,75.0%,25.0%,+6.5
Oregon St,11-4-0,73.3%,26.7%,+7.6
NJIT,8-3-0,72.7%,27.3%,+0.1
Siena,8-3-1,72.7%,27.3%,+6.2
N Texas,8-3-1,72.7%,27.3%,+2.6
N Dakota St,8-3-0,72.7%,27.3%,+11.0
Mercyhurst,8-3-0,72.7%,27.3%,+8.0
UTSA,5-2-0,71.4%,28.6%,+2.1
Miami OH,5-2-0,71.4%,28.6%,+4.1
Ohio,5-2-1,71.4%,28.6%,+3.8
IU Indy,5-2-0,71.4%,28.6%,+7.5
Howard,10-4-0,71.4%,28.6%,+5.4
UMass,5-2-0,71.4%,28.6%,+9.4
UTEP,10-4-1,71.4%,28.6%,+5.5
Xavier,7-3-0,70.0%,30.0%,+9.1
Charlotte,7-3-0,70.0%,30.0%,+7.4
NC Central,7-3-0,70.0%,30.0%,+5.3
E Kentucky,9-4-0,69.2%,30.8%,+5.3
Northeastern,9-4-1,69.2%,30.8%,+2.8
N Colorado,9-4-0,69.2%,30.8%,+2.7
Pittsburgh,4-2-1,66.7%,33.3%,+10.1
Weber St,8-4-1,66.7%,33.3%,+5.1
C Michigan,4-2-0,66.7%,33.3%,+4.1
St Thomas,6-3-1,66.7%,33.3%,+7.8
W Illinois,8-4-0,66.7%,33.3%,+2.7
Creighton,6-3-0,66.7%,33.3%,+3.7
Idaho St,8-4-1,66.7%,33.3%,+1.5
Loyola MD,6-3-0,66.7%,33.3%,+3.6
G Washington,6-3-0,66.7%,33.3%,0.0
C Arkansas,6-3-0,66.7%,33.3%,+0.7
N Arizona,8-4-0,66.7%,33.3%,-1.6
S Alabama,6-3-0,66.7%,33.3%,+6.7
North Carolina,6-3-0,66.7%,33.3%,+5.7
Portland,8-4-0,66.7%,33.3%,+8.5
Arkansas,6-3-0,66.7%,33.3%,+2.2
S Carolina St,8-4-0,66.7%,33.3%,+7.8
Delaware St,8-4-0,66.7%,33.3%,+4.9
Columbia,8-4-0,66.7%,33.3%,+6.5
Bradley,4-2-0,66.7%,33.3%,+4.6
Cornell,9-5-1,64.3%,35.7%,+11.2
Illinois,7-4-0,63.6%,36.4%,+8.1
Duke,7-4-1,63.6%,36.4%,-0.1
St Francis PA,7-4-0,63.6%,36.4%,+4.2
J Madison,7-4-0,63.6%,36.4%,+4.8
SE Missouri St,7-4-0,63.6%,36.4%,+4.9
Davidson,5-3-0,62.5%,37.5%,+5.3
Alabama,5-3-1,62.5%,37.5%,+6.6
Bowling Green,5-3-0,62.5%,37.5%,+7.2
Rutgers,5-3-1,62.5%,37.5%,+3.8
E Michigan,5-3-0,62.5%,37.5%,+4.8
NC Greensboro,5-3-0,62.5%,37.5%,-1.0
Montana,10-6-0,62.5%,37.5%,+4.8
Illinois St,5-3-0,62.5%,37.5%,+5.2
