Team,ATS Record,Cover %,MOV,ATS +/-
Stonehill,2-0-0,100.0%,7.5,+15.3
Mercyhurst,1-0-0,100.0%,-28.0,+2.0
S Carolina St,10-2-1,83.3%,-6.2,+2.9
San Jose St,8-2-0,80.0%,4.9,+5.1
Ohio St,11-3-0,78.6%,2.4,+5.7
Michigan,20-6-0,76.9%,7.8,+6.8
Liberty,19-6-0,76.0%,10.3,+3.3
Samford,9-3-1,75.0%,3.8,+5.0
Incarnate Word,9-3-0,75.0%,2.1,+4.1
Colgate,8-3-0,72.7%,8.6,+2.8
E Tennessee St,16-6-1,72.7%,4.4,+3.5
St Thomas,8-3-0,72.7%,3.1,+6.2
New Hampshire,5-2-2,71.4%,-2.8,-2.3
Memphis,17-7-0,70.8%,3.6,+3.8
Richmond,12-5-0,70.6%,-0.8,+3.8
Manhattan,14-6-1,70.0%,-0.3,+3.5
Mississippi,7-3-1,70.0%,0.8,+2.4
UMBC,7-3-0,70.0%,3.6,+1.0
Cleveland St,14-6-0,70.0%,-0.2,+1.7
Jacksonville St,9-4-1,69.2%,3.1,+2.7
NC A&T,11-5-1,68.8%,-4.3,+2.2
Belmont,11-5-0,68.8%,3.3,+0.7
Stony Brook,11-5-0,68.8%,1.7,+4.3
Vanderbilt,11-5-0,68.8%,1.3,+3.3
New Mexico,13-6-0,68.4%,3.8,+3.3
CS Bakersfield,15-7-0,68.2%,4.6,+2.8
Iowa St,15-7-0,68.2%,8.0,+6.3
Georgia St,16-8-0,66.7%,4.8,+1.5
Green Bay,16-8-0,66.7%,1.4,+4.6
San Francisco,12-6-1,66.7%,3.4,+3.8
Virginia Tech,12-6-0,66.7%,2.7,+3.9
Kentucky,8-4-0,66.7%,8.1,+0.6
Valparaiso,14-7-0,66.7%,6.4,+5.1
Utah Tech,8-4-0,66.7%,-0.9,+2.2
Iona,21-11-1,65.6%,3.8,+1.7
Grand Canyon,13-7-1,65.0%,7.3,+2.4
Drake,22-12-2,64.7%,5.4,+3.3
Texas,11-6-1,64.7%,1.9,+3.8
Delaware St,9-5-0,64.3%,-6.1,+1.4
Alabama St,9-5-1,64.3%,-5.1,+1.8
App State,14-8-0,63.6%,5.3,+3.6
Sacramento St,7-4-1,63.6%,-4.3,+1.2
Mt St Mary's,7-4-0,63.6%,0.7,+4.3
Old Dominion,19-11-1,63.3%,2.0,+2.9
Elon,12-7-0,63.2%,1.9,+3.2
Charlotte,12-7-0,63.2%,-5.5,-1.8
Buffalo,12-7-1,63.2%,2.0,-1.0
Gonzaga,17-10-1,63.0%,9.6,+0.4
Jacksonville,10-6-1,62.5%,-1.3,+3.1
Wisconsin,15-9-1,62.5%,2.9,+2.2
E Washington,10-6-0,62.5%,4.3,+1.5
Louisiana Tech,15-9-0,62.5%,4.6,+0.5
Sacred Heart,10-6-0,62.5%,2.8,+5.8
NW State,10-6-0,62.5%,-10.1,+3.0
Loyola Chi,18-11-1,62.1%,8.5,+2.1
Pepperdine,13-8-1,61.9%,-0.2,+2.5
Howard,8-5-0,61.5%,1.2,+3.2
SIU Edward,8-5-0,61.5%,0.6,+4.4
Morehead St,8-5-0,61.5%,3.3,+1.7
Niagara,11-7-1,61.1%,-1.4,-0.1
Seton Hall,11-7-0,61.1%,1.4,-0.4
Kansas,15-10-0,60.0%,5.2,-0.5
Lindenwood,3-2-0,60.0%,-2.0,+4.8
Idaho St,6-4-1,60.0%,5.0,+5.0
N Illinois,6-4-0,60.0%,8.3,+0.9
The Citadel,6-4-1,60.0%,-5.5,+1.4
Penn St,12-8-1,60.0%,-3.2,0.0
Harvard,35-24-0,59.3%,3.7,+2.5
Houston,16-11-0,59.3%,7.5,+1.0
Auburn,13-9-0,59.1%,2.6,+2.4
Radford,13-9-0,59.1%,3.1,+2.1
Nevada,13-9-0,59.1%,1.9,+0.6
Temple,10-7-0,58.8%,-1.5,+2.4
Wyoming,10-7-0,58.8%,-3.9,+1.5
E Carolina,10-7-0,58.8%,1.9,+3.4
Fairfield,17-12-1,58.6%,-2.3,+2.4
Utah,7-5-0,58.3%,-0.2,-2.8
Binghamton,7-5-1,58.3%,-3.7,+1.8
E Kentucky,7-5-0,58.3%,-3.0,-1.3
NC Central,11-8-0,57.9%,-0.2,-1.0
Arkansas St,11-8-0,57.9%,0.4,+1.5
St John's,11-8-0,57.9%,-2.3,-1.0
VCU,15-11-2,57.7%,3.2,+3.1
Oakland,19-14-1,57.6%,0.8,-0.3
Texas A&M-CC,8-6-0,57.1%,0.7,+3.3
Navy,8-6-1,57.1%,2.7,+1.7
Coppin St,8-6-1,57.1%,-14.7,+0.7
Syracuse,8-6-1,57.1%,-4.0,+0.8
UMass Lowell,8-6-1,57.1%,0.5,+3.2
Wright St,20-15-0,57.1%,7.3,+2.4
Rutgers,4-3-0,57.1%,-10.4,+0.3
E Michigan,4-3-0,57.1%,0.4,+0.1
N Iowa,17-13-2,56.7%,-0.1,+0.1
Alabama,13-10-0,56.5%,1.3,+0.6
Hampton,13-10-0,56.5%,-2.7,+2.4
Campbell,13-10-0,56.5%,3.2,+1.4
Kent St,13-10-1,56.5%,0.4,-0.4
San Diego St,18-14-0,56.3%,2.8,+0.5
Detroit Mercy,9-7-0,56.3%,2.5,+2.0
Saint Louis,9-7-0,56.3%,0.2,-0.8
Baylor,9-7-0,56.3%,7.5,-0.4
Duke,14-11-0,56.0%,9.5,-0.9
Yale,34-27-2,55.7%,6.7,+0.7
Tennessee St,5-4-0,55.6%,0.4,-0.6
Maine,5-4-1,55.6%,-5.5,-1.0
Oklahoma,10-8-0,55.6%,3.2,+2.7
Oregon St,5-4-1,55.6%,-1.4,+0.9
Texas St,10-8-2,55.6%,3.4,+4.6
Creighton,11-9-1,55.0%,-0.9,-0.9
Boise St,11-9-1,55.0%,2.0,+0.6
Texas A&M,11-9-1,55.0%,-0.8,-0.4
Quinnipiac,11-9-0,55.0%,-3.2,+1.2
W Kentucky,17-14-0,54.8%,3.4,+2.6
S Dakota St,18-15-2,54.6%,5.2,+2.1
UCSD,6-5-0,54.6%,1.3,+1.8
Oral Roberts,13-11-0,54.2%,0.5,+1.9
Omaha,13-11-0,54.2%,-2.5,+1.5
Longwood,14-12-0,53.9%,0.1,+2.0
Clemson,7-6-1,53.9%,1.4,+0.8
Delaware,14-12-0,53.9%,-0.3,+1.3
Maryland,7-6-0,53.9%,1.5,+0.6
N Arizona,7-6-1,53.9%,-4.3,+0.9
Wake Forest,7-6-0,53.9%,-2.1,-1.7
Long Beach St,15-13-1,53.6%,-4.7,-0.4
Charleston,15-13-1,53.6%,1.2,0.0
Washington,8-7-0,53.3%,-3.1,-1.3
SF Austin,8-7-1,53.3%,4.1,+0.3
Albany,8-7-0,53.3%,3.6,+1.2
NC Wilmington,17-15-0,53.1%,1.5,+2.2
Nebraska,9-8-0,52.9%,-0.1,+1.3
Middle Tenn,18-16-1,52.9%,-0.3,+2.4
Kennesaw St,9-8-0,52.9%,-4.2,-0.6
SMU,9-8-1,52.9%,5.5,+1.1
Montana St,9-8-1,52.9%,1.1,+1.1
NC State,9-8-0,52.9%,-1.5,+2.6
Kansas St,9-8-0,52.9%,-4.6,-1.9
UAB,18-16-0,52.9%,-1.1,-1.2
Marshall,9-8-1,52.9%,2.8,+2.4
La Salle,9-8-0,52.9%,-4.9,+0.1
CS Northridge,9-8-0,52.9%,-0.5,+3.9
Marquette,9-8-1,52.9%,-2.9,+0.9
UC Irvine,18-16-1,52.9%,5.9,-0.4
N Dakota St,20-18-1,52.6%,2.7,+0.5
Saint Joseph's,10-9-0,52.6%,-5.4,-1.2
Notre Dame,10-9-0,52.6%,-4.7,-1.1
Wofford,11-10-0,52.4%,0.3,-1.0
Florida,11-10-0,52.4%,4.2,+3.5
Troy,11-10-0,52.4%,-1.4,+0.2
Colorado St,12-11-0,52.2%,0.3,+2.4
Weber St,13-12-0,52.0%,-0.9,-0.3
Dartmouth,27-25-1,51.9%,-1.8,+0.8
Gardner-Webb,14-13-0,51.9%,2.3,+2.4
Utah St,14-13-0,51.9%,2.1,+0.5
UCSB,14-13-0,51.9%,3.1,-0.3
Penn,31-29-0,51.7%,-0.9,-1.0
UTEP,16-15-1,51.6%,0.3,0.0
North Carolina,18-17-1,51.4%,2.8,+0.2
Princeton,28-27-1,50.9%,4.4,-0.4
J Madison,10-10-0,50.0%,2.6,-1.3
LSU,8-8-0,50.0%,-4.4,-2.4
Purdue,12-12-1,50.0%,4.4,+0.8
N Kentucky,12-12-0,50.0%,3.1,+1.1
Evansville,12-12-2,50.0%,-1.0,+0.9
Nicholls,7-7-0,50.0%,1.2,-1.4
Morgan St,7-7-1,50.0%,-1.6,-0.9
American,4-4-0,50.0%,0.0,+1.1
Miss Valley St,2-2-0,50.0%,-19.3,-0.5
St Bonaventure,8-8-1,50.0%,0.6,+2.8
C Arkansas,4-4-1,50.0%,-6.6,-1.1
BYU,10-10-0,50.0%,4.0,+0.9
SE Missouri St,9-9-0,50.0%,-5.7,-1.1
Boston College,9-9-0,50.0%,-1.4,+3.8
Villanova,13-13-1,50.0%,5.5,0.0
Wagner,4-4-0,50.0%,0.1,-1.8
South Carolina,5-5-1,50.0%,1.4,+0.5
Georgia So,12-12-0,50.0%,1.5,-1.8
C Connecticut,7-7-0,50.0%,-8.2,+1.0
Purdue FW,10-10-0,50.0%,-2.7,-0.6
Bellarmine,4-4-1,50.0%,14.0,+3.3
Alabama A&M,3-3-1,50.0%,-6.9,+1.7
Lafayette,6-6-0,50.0%,0.3,-1.0
Lipscomb,8-8-0,50.0%,-1.4,-1.6
UL Monroe,7-7-1,50.0%,-9.9,-4.5
Texas So,7-7-0,50.0%,-0.8,+0.8
Marist,9-9-0,50.0%,-2.5,+1.7
AR-Pine Bluff,2-2-0,50.0%,-8.0,+1.9
Tennessee,13-13-0,50.0%,0.5,+1.1
Presbyterian,9-9-1,50.0%,-2.8,+1.6
Florida A&M,6-6-0,50.0%,-13.4,+0.3
S Illinois,13-13-0,50.0%,-2.4,-0.7
E Texas A&M,2-2-0,50.0%,-5.3,-2.9
Maryland ES,3-3-0,50.0%,-22.7,-6.2
