Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,17-10-1,63.0%,-3.1,+2.0
Florida A&M,144-108-0,57.1%,-6.6,+1.2
UCSD,75-57-2,56.8%,0.8,+1.5
SE Louisiana,134-103-4,56.5%,-1.1,+0.3
NC Central,143-110-5,56.5%,2.4,+1.1
St Thomas,66-51-2,56.4%,5.1,+1.6
Yale,324-258-17,55.7%,2.5,+1.2
Robert Morris,164-133-2,55.2%,0.3,+0.4
Queens,50-41-3,55.0%,1.1,+0.6
S Carolina St,140-115-7,54.9%,-3.4,+0.9
Utah Valley,156-129-2,54.7%,3.4,+1.6
S Dakota St,252-210-6,54.6%,3.8,+1.2
UT Arlington,211-177-9,54.4%,1.6,+0.6
Texas A&M-CC,139-118-7,54.1%,1.7,+0.7
Nevada,403-343-16,54.0%,3.7,+0.7
NW State,131-112-7,53.9%,-2.2,+0.3
Norfolk St,152-130-6,53.9%,0.0,+1.1
Colgate,146-125-4,53.9%,0.2,+1.1
Villanova,474-408-12,53.7%,7.0,+0.6
Michigan St,490-424-14,53.6%,8.7,+0.6
Creighton,461-400-17,53.5%,7.1,+0.7
Sam Houston,144-125-7,53.5%,4.7,+0.6
Lipscomb,160-140-3,53.3%,1.6,+0.5
Purdue FW,236-207-8,53.3%,0.4,+0.3
Cornell,305-268-12,53.2%,-0.6,+0.6
Iowa St,426-376-17,53.1%,4.4,+0.6
E Tennessee St,254-225-12,53.0%,4.0,+0.5
N Florida,149-132-3,53.0%,-3.2,+0.5
Davidson,385-342-14,53.0%,6.3,+0.4
Jacksonville St,298-265-16,52.9%,-0.2,+0.3
Duke,503-448-19,52.9%,14.1,+0.7
Oakland,262-234-7,52.8%,1.0,-0.1
Louisiana Tech,389-348-12,52.8%,4.0,+0.2
Utah St,421-377-13,52.8%,7.7,+1.1
Houston,420-376-16,52.8%,5.1,+1.2
Illinois Chicago,419-376-17,52.7%,-1.2,-0.1
Stony Brook,151-136-8,52.6%,-0.2,-0.1
Wisconsin,467-421-22,52.6%,7.1,+0.7
Tarleton St,71-64-1,52.6%,2.2,+0.9
Xavier,457-412-25,52.6%,7.1,+0.7
New Mexico,420-379-19,52.6%,5.1,+0.1
Hampton,147-133-2,52.5%,0.2,+0.7
Memphis,454-411-20,52.5%,7.8,+0.7
Kent St,425-386-27,52.4%,5.1,+0.6
Vermont,165-150-7,52.4%,6.1,+0.6
Temple,455-414-19,52.4%,3.0,+0.3
NC Wilmington,400-364-24,52.4%,0.9,+0.3
Gardner-Webb,145-132-2,52.4%,0.2,+0.8
South Dakota,204-186-6,52.3%,1.3,0.0
Jackson St,136-124-3,52.3%,-2.8,0.0
Wofford,355-324-9,52.3%,2.4,+0.4
BYU,435-397-18,52.3%,7.6,+1.0
Texas A&M,397-363-14,52.2%,2.9,-0.1
Utah Tech,70-64-3,52.2%,-3.7,-0.1
Gonzaga,468-428-21,52.2%,14.3,+1.1
Omaha,192-176-2,52.2%,-3.0,0.0
San Diego St,424-389-20,52.2%,5.4,+0.5
VCU,436-401-20,52.1%,6.2,+0.8
Weber St,352-324-12,52.1%,4.3,+0.2
Penn St,409-377-21,52.0%,-0.2,+0.4
Mississippi St,416-384-26,52.0%,4.0,+0.4
Marquette,428-395-14,52.0%,5.5,+0.4
Stetson,132-122-7,52.0%,-3.9,0.0
Saint Peter's,337-312-14,51.9%,-2.4,+0.4
Belmont,230-213-8,51.9%,5.5,+0.6
Monmouth,205-190-8,51.9%,-2.4,-0.1
Butler,440-408-23,51.9%,5.5,+0.7
UConn,454-421-12,51.9%,8.7,+0.4
Miami,413-383-19,51.9%,3.7,+0.2
North Carolina,488-453-19,51.9%,9.2,+0.5
UAB,421-391-16,51.9%,4.8,+0.3
Wichita St,411-382-23,51.8%,5.7,+0.4
N Alabama,101-94-3,51.8%,0.1,+0.6
UCF,291-271-8,51.8%,2.5,+0.2
Merrimack,88-82-3,51.8%,0.9,+0.4
Stanford,444-414-20,51.8%,5.0,+0.2
Florida,445-415-17,51.7%,9.6,+0.7
Saint Louis,422-394-10,51.7%,1.9,+0.1
Manhattan,361-337-15,51.7%,-0.5,-0.1
Akron,411-384-15,51.7%,5.3,+0.4
S Alabama,382-357-13,51.7%,1.5,+0.1
Tennessee,445-416-11,51.7%,6.3,+0.4
Middle Tenn,373-349-14,51.7%,2.6,+0.3
Princeton,337-316-10,51.6%,4.5,+0.2
Utah,416-390-23,51.6%,4.9,+0.3
Baylor,390-366-17,51.6%,5.4,+0.6
Kansas City,182-171-4,51.6%,-1.8,0.0
N Texas,372-350-20,51.5%,0.7,+0.1
NC Asheville,137-129-5,51.5%,0.2,-0.2
Auburn,403-380-20,51.5%,3.7,+0.3
Hofstra,350-330-21,51.5%,2.9,+0.4
Longwood,124-117-3,51.5%,-4.3,+0.9
E Washington,359-339-13,51.4%,1.0,+0.5
Oregon,450-425-18,51.4%,5.1,+0.5
Maryland ES,109-103-5,51.4%,-8.9,-0.7
Binghamton,127-120-4,51.4%,-4.5,+0.3
Furman,332-314-9,51.4%,2.3,+0.2
Vanderbilt,424-402-17,51.3%,2.7,+0.2
