Team,Over Record,Over %,Under %,Total +/-
Le Moyne,14-4-0,77.8%,22.2%,+5.0
LSU,7-2-0,77.8%,22.2%,+16.3
Butler,15-5-0,75.0%,25.0%,+6.9
VCU,6-2-0,75.0%,25.0%,+8.0
Mercyhurst,6-2-0,75.0%,25.0%,+8.6
Ball St,5-2-0,71.4%,28.6%,+9.1
Creighton,15-6-0,71.4%,28.6%,+6.0
Iowa,12-5-1,70.6%,29.4%,+7.6
N Alabama,25-11-0,69.4%,30.6%,+9.1
UMass,9-4-0,69.2%,30.8%,+5.7
Cornell,11-5-0,68.8%,31.3%,+4.7
Cincinnati,13-6-0,68.4%,31.6%,+6.9
NC Asheville,19-9-0,67.9%,32.1%,+4.4
SE Louisiana,32-16-1,66.7%,33.3%,+6.1
Howard,39-21-0,65.0%,35.0%,+3.8
Texas A&M,13-7-0,65.0%,35.0%,+9.2
UCSD,24-13-1,64.9%,35.1%,+7.8
E Kentucky,54-30-1,64.3%,35.7%,+4.6
Georgia,9-5-0,64.3%,35.7%,+3.1
Indiana St,9-5-0,64.3%,35.7%,+7.2
Radford,21-12-0,63.6%,36.4%,+2.8
Missouri St,7-4-0,63.6%,36.4%,-1.6
Furman,28-16-0,63.6%,36.4%,+3.8
Richmond,7-4-0,63.6%,36.4%,+4.1
La Salle,7-4-0,63.6%,36.4%,+0.3
San Diego St,17-10-0,63.0%,37.0%,+2.9
CS Fullerton,39-23-0,62.9%,37.1%,+5.0
Columbia,15-9-2,62.5%,37.5%,+5.0
Saint Louis,5-3-0,62.5%,37.5%,+3.3
Princeton,10-6-0,62.5%,37.5%,+3.6
Bowling Green,5-3-0,62.5%,37.5%,+8.8
Georgia St,46-28-0,62.2%,37.8%,+5.8
Maine,16-10-0,61.5%,38.5%,-0.6
UT Rio Grande,33-21-1,61.1%,38.9%,+2.6
Lehigh,11-7-1,61.1%,38.9%,+1.7
Charleston,50-32-1,61.0%,39.0%,+3.6
UTSA,39-25-1,60.9%,39.1%,+3.7
North Dakota,43-28-1,60.6%,39.4%,+3.2
Baylor,29-19-0,60.4%,39.6%,+4.4
S Alabama,50-33-3,60.2%,39.8%,+2.9
S Utah,53-35-1,60.2%,39.8%,+2.3
Bucknell,15-10-1,60.0%,40.0%,+2.8
Minnesota,15-10-1,60.0%,40.0%,+2.7
Utah St,12-8-1,60.0%,40.0%,+4.1
Fordham,6-4-0,60.0%,40.0%,+0.2
Sacramento St,54-37-2,59.3%,40.7%,+3.9
Nevada,16-11-0,59.3%,40.7%,+4.2
Youngstown St,43-30-0,58.9%,41.1%,+4.7
Oregon,43-30-1,58.9%,41.1%,+2.8
Loyola Chi,10-7-0,58.8%,41.2%,-1.6
Wisconsin,10-7-0,58.8%,41.2%,+1.6
Tarleton St,20-14-0,58.8%,41.2%,+2.3
Florida St,24-17-0,58.5%,41.5%,+0.9
Florida Atlantic,38-27-3,58.5%,41.5%,+2.4
Vanderbilt,7-5-0,58.3%,41.7%,+2.9
Idaho St,56-40-1,58.3%,41.7%,+3.1
Hampton,35-25-0,58.3%,41.7%,+3.3
Florida Intl,42-30-1,58.3%,41.7%,+4.6
E Carolina,7-5-0,58.3%,41.7%,+1.1
Delaware St,32-23-0,58.2%,41.8%,+4.1
Denver,32-23-1,58.2%,41.8%,+2.5
New Orleans,25-18-1,58.1%,41.9%,+1.9
Gonzaga,58-42-1,58.0%,42.0%,+3.1
Stetson,29-21-1,58.0%,42.0%,+3.5
Wake Forest,11-8-0,57.9%,42.1%,+2.6
Colorado St,11-8-1,57.9%,42.1%,+2.7
Arizona,44-32-0,57.9%,42.1%,+2.7
Norfolk St,37-27-0,57.8%,42.2%,+1.8
C Arkansas,26-19-1,57.8%,42.2%,+1.1
Samford,30-22-1,57.7%,42.3%,+3.1
UCSB,38-28-0,57.6%,42.4%,+1.4
NC Central,35-26-0,57.4%,42.6%,+1.2
Charlotte,35-26-2,57.4%,42.6%,+2.9
Northwestern,8-6-2,57.1%,42.9%,+2.3
Lindenwood,16-12-1,57.1%,42.9%,+2.8
Presbyterian,16-12-0,57.1%,42.9%,+5.0
Oregon St,45-34-0,57.0%,43.0%,+0.9
Monmouth,45-34-1,57.0%,43.0%,+2.9
Alcorn St,46-35-2,56.8%,43.2%,+3.9
Campbell,21-16-0,56.8%,43.2%,+2.1
IU Indy,38-29-0,56.7%,43.3%,+3.7
Gardner-Webb,17-13-1,56.7%,43.3%,+4.9
Loyola Mymt,51-39-1,56.7%,43.3%,+1.4
Santa Clara,47-36-1,56.6%,43.4%,+2.8
Texas A&M-CC,30-23-1,56.6%,43.4%,+0.5
Portland,56-43-1,56.6%,43.4%,+2.1
Queens,13-10-1,56.5%,43.5%,+1.6
Montana,54-42-0,56.3%,43.8%,+1.9
SE Missouri St,50-39-0,56.2%,43.8%,+2.4
West Virginia,23-18-1,56.1%,43.9%,+6.5
Holy Cross,14-11-1,56.0%,44.0%,-1.4
UC Irvine,38-30-2,55.9%,44.1%,+3.0
Texas Tech,19-15-0,55.9%,44.1%,+3.7
Mercer,24-19-1,55.8%,44.2%,+2.9
E Michigan,10-8-0,55.6%,44.4%,+0.6
E Tennessee St,25-20-1,55.6%,44.4%,+1.3
Green Bay,45-36-1,55.6%,44.4%,+1.8
Charleston So,15-12-1,55.6%,44.4%,+3.9
W Georgia,5-4-0,55.6%,44.4%,+3.5
SC Upstate,15-12-0,55.6%,44.4%,+1.4
Portland St,52-42-2,55.3%,44.7%,+2.8
Rutgers,11-9-1,55.0%,45.0%,+0.7
Rice,39-32-1,54.9%,45.1%,-0.2
E Washington,56-46-2,54.9%,45.1%,+3.2
South Dakota,34-28-0,54.8%,45.2%,+3.4
California,29-24-1,54.7%,45.3%,+1.0
Washington St,35-29-0,54.7%,45.3%,+2.2
Army,6-5-0,54.6%,45.5%,+1.0
Iona,48-40-1,54.6%,45.5%,+3.9
SF Austin,18-15-0,54.6%,45.5%,+5.7
Washington,37-31-0,54.4%,45.6%,+2.0
Oklahoma St,19-16-0,54.3%,45.7%,-0.5
Southern Miss,38-32-1,54.3%,45.7%,+2.1
