Team,ATS Record,Cover %,MOV,ATS +/-
Utah Tech,18-8-1,69.2%,6.2,+2.0
Queens,25-12-2,67.6%,6.9,+2.3
UCSD,42-23-0,64.6%,9.8,+1.9
St Thomas,41-27-0,60.3%,7.6,+1.2
Maryland ES,16-11-1,59.3%,5.7,+0.7
Sam Houston,79-55-4,59.0%,8.7,+1.9
Tarleton St,28-20-1,58.3%,7.6,+1.1
Utah Valley,83-61-1,57.6%,8.5,+1.5
Yale,179-135-6,57.0%,8.3,+1.2
BYU,339-256-9,57.0%,12.1,+1.8
Southern Miss,171-133-8,56.3%,6.5,+0.2
St Francis PA,45-35-2,56.3%,4.7,-0.3
Furman,177-140-5,55.8%,8.6,+0.7
S Dakota St,177-140-3,55.8%,10.1,+1.3
Navy,67-53-2,55.8%,5.0,-0.1
NC Central,73-58-2,55.7%,8.9,+1.3
Abl Christian,66-53-2,55.5%,9.0,+1.3
Iowa St,238-192-6,55.4%,10.9,+1.1
Houston,254-206-12,55.2%,12.2,+1.5
Kennesaw St,38-31-3,55.1%,6.7,+0.7
Illinois Chicago,161-132-8,55.0%,6.0,-0.2
Nevada,268-221-10,54.8%,8.7,+0.6
Davidson,272-225-8,54.7%,9.9,+0.6
Utah St,309-256-11,54.7%,10.9,+1.4
N Alabama,41-34-0,54.7%,7.3,+0.5
Texas A&M-CC,65-54-5,54.6%,6.1,-0.1
Michigan St,383-319-10,54.6%,11.3,+0.6
Villanova,345-289-7,54.4%,10.2,+0.4
Colorado St,206-173-9,54.4%,9.0,+1.3
North Carolina,410-345-14,54.3%,12.2,+0.7
UCF,150-127-6,54.2%,8.0,+0.6
Vermont,124-105-6,54.2%,10.9,+0.7
Saint Mary's,308-261-13,54.1%,11.6,+0.9
New Mexico,276-234-11,54.1%,9.5,+0.3
Nebraska,168-144-5,53.9%,8.3,+0.5
Robert Morris,65-56-0,53.7%,6.1,+0.2
Oklahoma St,256-221-10,53.7%,9.9,+0.9
Utah,259-225-9,53.5%,10.8,+0.8
NC Wilmington,193-168-6,53.5%,7.0,+0.3
Longwood,62-54-1,53.5%,6.2,-0.2
Green Bay,178-155-8,53.5%,6.3,+0.2
Stanford,295-257-12,53.4%,10.0,+0.4
Texas A&M,204-179-8,53.3%,8.5,-0.2
E Michigan,123-108-3,53.3%,5.7,+0.1
Alabama A&M,25-22-0,53.2%,7.5,+0.6
San Diego St,286-252-12,53.2%,9.7,+0.7
Tulsa,225-199-9,53.1%,8.4,+0.1
Hampton,35-31-1,53.0%,5.6,+1.0
Louisiana Tech,220-195-5,53.0%,8.3,+0.2
Denver,143-127-5,53.0%,6.4,0.0
UT Martin,100-89-3,52.9%,4.5,-0.6
Duke,466-415-17,52.9%,14.5,+0.5
VCU,312-278-15,52.9%,9.8,+0.8
NC Asheville,66-59-3,52.8%,5.6,-0.2
Auburn,225-202-11,52.7%,9.9,+0.8
South Dakota,88-79-3,52.7%,6.0,+0.1
E Washington,168-151-5,52.7%,7.1,+0.6
Bradley,201-181-14,52.6%,7.3,+0.8
Creighton,324-292-13,52.6%,9.4,+0.2
Akron,273-247-12,52.5%,8.4,+0.7
Michigan,263-239-6,52.4%,9.5,+0.3
Stony Brook,66-60-6,52.4%,6.0,-0.7
Wichita St,275-250-13,52.4%,9.6,+0.4
Norfolk St,79-72-4,52.3%,9.1,+1.3
Middle Tenn,196-179-8,52.3%,7.8,+0.2
NW State,35-32-4,52.2%,5.2,+0.4
S Carolina St,35-32-2,52.2%,6.9,+0.8
Seattle,94-86-2,52.2%,9.0,+1.2
Illinois,298-273-20,52.2%,10.5,+0.5
E Tennessee St,144-132-8,52.2%,7.9,+0.2
Binghamton,25-23-0,52.1%,4.6,-0.1
Louisiana,205-189-12,52.0%,6.8,+0.4
Florida,348-321-12,52.0%,10.7,+0.6
Xavier,324-299-16,52.0%,9.9,+0.3
Wisconsin,328-303-10,52.0%,10.2,+0.3
UTEP,212-196-9,52.0%,7.2,-0.1
Buffalo,191-177-6,51.9%,7.2,+0.3
West Virginia,259-240-4,51.9%,9.8,+0.5
Kent St,275-255-20,51.9%,7.4,+0.1
Toledo,234-217-5,51.9%,7.7,+0.4
Colgate,97-90-1,51.9%,9.1,+0.7
Liberty,112-104-4,51.9%,10.4,-0.1
Gonzaga,407-378-20,51.9%,15.6,+1.1
Belmont,170-158-7,51.8%,10.5,+0.5
Tenn Tech,129-120-8,51.8%,5.7,-0.5
Memphis,321-299-16,51.8%,11.2,+0.5
Ohio St,309-288-10,51.8%,11.4,+0.5
Purdue,314-293-15,51.7%,11.0,+0.7
Butler,285-266-14,51.7%,10.0,+0.9
Indiana,272-254-10,51.7%,10.5,+0.1
Louisville,319-298-16,51.7%,11.6,+0.5
Evansville,137-128-11,51.7%,5.3,-0.1
Kansas,428-400-12,51.7%,12.7,+0.8
Saint Louis,215-201-8,51.7%,7.7,-0.2
Texas St,93-87-5,51.7%,5.4,0.0
Vanderbilt,205-192-7,51.6%,9.5,+0.1
Austin Peay,161-151-13,51.6%,7.1,+0.5
Mississippi St,232-218-15,51.6%,9.1,+0.5
Weber St,202-190-11,51.5%,7.5,+0.2
Drake,170-160-3,51.5%,7.6,+0.3
Baylor,223-210-7,51.5%,10.4,+0.6
UConn,343-323-9,51.5%,10.7,+0.2
Virginia,264-249-11,51.5%,9.9,+0.1
Alcorn St,37-35-2,51.4%,6.9,+0.7
Maryland,280-266-12,51.3%,10.1,-0.1
Georgia St,162-154-6,51.3%,6.1,0.0
N Texas,164-156-10,51.3%,6.8,-0.3
UL Monroe,62-59-1,51.2%,5.4,+0.5
AR-Pine Bluff,21-20-0,51.2%,8.0,+2.7
Temple,275-262-11,51.2%,7.8,-0.2
Portland,128-122-7,51.2%,5.8,-0.3
Monmouth,90-86-4,51.1%,5.9,-0.3
UC Irvine,235-225-13,51.1%,7.2,-0.1
Merrimack,49-47-0,51.0%,5.4,-0.1
St Bonaventure,197-189-11,51.0%,7.0,-0.1
Colorado,224-215-8,51.0%,8.9,+0.4
Indiana St,176-169-6,51.0%,6.5,+0.1
Bucknell,76-73-1,51.0%,6.6,+0.3
Kansas St,210-202-9,51.0%,8.5,+0.1
Ohio,240-231-4,51.0%,7.1,0.0
Boston U,80-77-3,51.0%,4.4,-0.9
LIU,30-29-2,50.9%,5.4,-0.1
Northwestern,152-147-5,50.8%,8.6,-0.1
Saint Joseph's,218-211-8,50.8%,7.6,+0.1
Grand Canyon,93-90-3,50.8%,11.2,+0.8
Georgia,175-170-6,50.7%,7.7,0.0
Marquette,255-248-9,50.7%,9.6,+0.2
Penn St,152-148-11,50.7%,7.8,0.0
New Mexico St,196-191-12,50.7%,8.4,0.0
Wofford,167-163-6,50.6%,7.3,-0.1
Murray St,251-245-15,50.6%,9.8,+0.4
UCLA,310-303-14,50.6%,10.4,+0.1
Texas Tech,218-214-6,50.5%,11.1,+0.6
Oregon,286-281-14,50.4%,9.3,+0.1
USC,241-237-8,50.4%,8.6,-0.1
UAB,246-242-10,50.4%,8.0,-0.4
Valparaiso,133-131-6,50.4%,7.3,-0.1
Bryant,67-66-1,50.4%,7.2,0.0
California,216-213-12,50.4%,8.0,-0.4
S Illinois,224-221-16,50.3%,6.9,-0.1
Loyola Chi,192-190-9,50.3%,7.2,-0.3
Air Force,114-113-3,50.2%,6.3,0.0
Towson,118-117-4,50.2%,5.6,-0.3
Iowa,236-234-13,50.2%,10.3,+0.1
Penn,174-173-11,50.1%,8.3,0.0
S Alabama,175-174-8,50.1%,5.7,-0.5
Kentucky,378-376-19,50.1%,11.6,+0.1
Montana,210-209-15,50.1%,7.2,0.0
Charleston So,27-27-0,50.0%,7.0,+0.3
Arkansas,232-232-10,50.0%,8.9,0.0
UT Arlington,97-97-5,50.0%,5.3,-1.0
Syracuse,301-301-8,50.0%,9.2,-0.4
Southern,62-62-0,50.0%,6.8,+0.2
Sacred Heart,53-53-1,50.0%,4.7,-0.4
Minnesota,195-195-10,50.0%,8.6,-0.7
G Washington,181-181-8,50.0%,7.4,-0.1
Bethune,39-39-2,50.0%,3.9,-0.8
Stetson,31-31-1,50.0%,4.7,-0.8
Le Moyne,9-9-0,50.0%,8.8,+3.9
Mercyhurst,2-2-0,50.0%,4.0,+1.4
Stonehill,13-13-0,50.0%,2.7,-1.3
Hou Christian,18-18-0,50.0%,2.7,-1.7
Dayton,288-289-14,49.9%,8.5,-0.2
Mississippi,219-220-10,49.9%,7.5,-1.0
Bowling Green,166-167-8,49.9%,5.5,-0.6
W Kentucky,261-263-12,49.8%,7.1,-0.5
Saint Peter's,122-123-3,49.8%,4.9,-0.2
Alabama,251-253-9,49.8%,8.8,+0.4
N Arizona,118-119-2,49.8%,5.5,-0.2
George Mason,222-224-17,49.8%,7.9,+0.1
Boise St,231-233-8,49.8%,8.7,+0.4
Cornell,106-107-1,49.8%,6.4,-0.6
Wright St,211-213-12,49.8%,6.8,0.0
Marshall,192-194-12,49.7%,6.8,0.0
UNLV,231-234-8,49.7%,8.3,-0.3
Cleveland St,156-158-12,49.7%,6.1,-0.2
SMU,213-216-12,49.7%,8.5,-0.1
Washington,228-232-7,49.6%,9.4,+0.3
Clemson,233-237-4,49.6%,8.8,+0.3
UCSB,226-230-14,49.6%,6.7,-0.5
Missouri,215-219-10,49.5%,9.4,-0.1
Wake Forest,197-201-13,49.5%,8.9,+0.2
Arizona,372-380-13,49.5%,12.0,+0.5
N Dakota St,139-142-2,49.5%,7.6,+0.7
DePaul,138-141-4,49.5%,7.2,-0.8
Oakland,137-140-4,49.5%,6.9,-0.7
CS Bakersfield,46-47-1,49.5%,7.4,+1.0
Mercer,91-93-3,49.5%,6.2,-0.5
SE Louisiana,43-44-3,49.4%,4.7,-0.5
Washington St,167-171-2,49.4%,8.8,+0.5
Princeton,211-216-5,49.4%,7.7,-0.4
Detroit Mercy,167-171-9,49.4%,7.0,+0.2
Georgia Tech,165-169-2,49.4%,8.0,-0.8
App State,150-154-4,49.3%,5.5,-0.7
Chattanooga,174-179-10,49.3%,6.2,-0.8
Georgia So,129-133-10,49.2%,5.4,-0.4
William & Mary,124-128-6,49.2%,4.0,-1.1
N Iowa,217-224-12,49.2%,6.2,-0.8
Morehead St,153-158-5,49.2%,6.6,-0.1
Wagner,60-62-2,49.2%,5.0,-1.7
Little Rock,146-151-10,49.2%,6.0,+0.3
UMBC,55-57-1,49.1%,5.8,0.0
Pittsburgh,246-256-10,49.0%,9.4,-0.3
St John's,191-199-9,49.0%,8.5,-0.3
FGCU,71-74-1,49.0%,5.2,-1.2
Montana St,142-148-8,49.0%,5.3,-0.8
Lamar,46-48-0,48.9%,5.3,-0.3
