Team,ATS Record,Cover %,MOV,ATS +/-
CS Fullerton,1-0-0,100.0%,-10.0,+5.5
Syracuse,1-0-0,100.0%,38.0,+16.5
Mercer,1-0-0,100.0%,-15.0,+13.0
Evansville,1-0-0,100.0%,-31.0,+3.0
Miami OH,1-0-0,100.0%,15.0,+7.5
Morgan St,1-0-0,100.0%,-17.0,+11.5
E Tennessee St,1-0-0,100.0%,12.0,+5.5
Gonzaga,2-0-0,100.0%,35.0,+15.5
Tenn Tech,2-0-0,100.0%,-8.5,+5.0
Georgia,2-0-0,100.0%,55.0,+26.5
Mt St Mary's,2-0-0,100.0%,-16.5,+6.0
CS Northridge,1-0-0,100.0%,8.0,+2.0
Bucknell,1-0-0,100.0%,8.0,+5.5
Michigan,1-0-0,100.0%,43.0,+18.5
Norfolk St,1-0-0,100.0%,-10.0,+3.5
San Francisco,1-0-0,100.0%,11.0,+1.5
Cleveland St,3-0-0,100.0%,-1.7,+10.7
NJIT,1-0-0,100.0%,11.0,+25.5
Butler,2-0-0,100.0%,14.0,+6.3
Iowa St,2-0-0,100.0%,39.0,+3.3
SC Upstate,2-0-0,100.0%,-5.5,+6.5
Iowa,1-0-0,100.0%,32.0,+9.5
Weber St,1-0-0,100.0%,-3.0,+12.5
Duke,2-0-0,100.0%,35.0,+12.5
Siena,1-0-0,100.0%,16.0,+6.0
E Michigan,1-0-0,100.0%,22.0,+19.0
Tennessee St,1-0-0,100.0%,-8.0,+5.5
Creighton,1-0-0,100.0%,39.0,+5.5
Wright St,3-0-0,100.0%,6.3,+15.2
USC,2-0-0,100.0%,25.0,+4.8
Elon,1-0-0,100.0%,-7.0,+2.5
St Bonaventure,1-0-0,100.0%,6.0,+5.0
Wichita St,1-0-0,100.0%,17.0,+10.5
Jacksonville,1-0-0,100.0%,-17.0,+3.0
Vanderbilt,2-0-0,100.0%,28.0,+10.0
Oklahoma St,1-0-0,100.0%,24.0,+3.0
Coppin St,2-0-0,100.0%,-18.0,+5.5
UT Martin,1-0-0,100.0%,5.0,+22.5
Davidson,2-0-0,100.0%,11.5,+10.3
Colorado St,1-0-0,100.0%,34.0,+24.0
N Arizona,2-0-0,100.0%,-20.5,+1.3
N Alabama,2-0-0,100.0%,-22.0,+3.0
Hofstra,1-0-0,100.0%,-4.0,+5.5
Minnesota,1-0-0,100.0%,27.0,+1.0
Murray St,1-0-0,100.0%,8.0,+2.5
Texas A&M-CC,1-0-0,100.0%,-11.0,+12.5
Pittsburgh,2-0-0,100.0%,16.5,+2.0
N Texas,2-0-0,100.0%,14.5,+9.3
Portland St,1-0-0,100.0%,-10.0,+0.5
NC A&T,1-0-0,100.0%,-19.0,+4.0
Boise St,1-0-0,100.0%,20.0,+3.5
Buffalo,3-0-0,100.0%,8.7,+12.3
Liberty,1-0-0,100.0%,15.0,+4.5
New Orleans,1-0-0,100.0%,4.0,+26.0
Fairfield,1-0-0,100.0%,-8.0,+7.5
Prairie View,1-0-0,100.0%,-18.0,+16.5
San Jose St,2-0-0,100.0%,-14.0,+4.5
W Illinois,1-0-0,100.0%,-5.0,+11.5
St John's,1-0-0,100.0%,13.5,+8.0
UC Davis,1-0-0,100.0%,12.0,+10.0
Pepperdine,1-0-0,100.0%,-11.0,+18.5
Columbia,2-0-0,100.0%,-6.5,+3.3
SF Austin,3-0-0,100.0%,15.7,+14.5
Nevada,1-0-0,100.0%,27.0,+17.5
Bowling Green,2-0-0,100.0%,29.0,+20.8
New Mexico St,1-0-0,100.0%,8.0,+11.5
Montana St,1-0-0,100.0%,-6.0,+6.0
Saint Mary's,2-0-0,100.0%,23.5,+9.3
Stony Brook,2-0-0,100.0%,2.0,+10.5
San Diego St,1-0-0,100.0%,32.0,+7.0
Akron,1-0-0,100.0%,14.0,+5.5
UCSD,3-0-0,100.0%,10.3,+6.7
S Dakota St,2-0-0,100.0%,1.0,+2.8
Hampton,1-0-0,100.0%,-4.0,+1.5
Morehead St,1-0-0,100.0%,-16.0,+6.5
William & Mary,1-0-0,100.0%,-4.0,+5.5
Kansas St,1-0-0,100.0%,29.0,+10.0
Florida Atlantic,1-0-0,100.0%,5.0,+3.0
Harvard,1-0-0,100.0%,23.0,+15.5
Virginia Tech,3-0-0,100.0%,24.0,+14.7
Duquesne,2-0-0,100.0%,5.0,+2.0
Florida St,1-0-0,100.0%,32.0,+5.0
Tarleton St,1-0-0,100.0%,-20.0,+1.5
Indiana,1-0-0,100.0%,23.0,+20.0
Idaho St,1-0-0,100.0%,3.0,+7.5
Montana,1-0-0,100.0%,9.0,+19.5
Tulane,1-0-0,100.0%,13.0,+5.0
Denver,2-0-0,100.0%,-12.5,+7.5
American,1-0-0,100.0%,-14.0,+6.0
Utah St,1-0-0,100.0%,3.0,+0.5
Marist,1-0-0,100.0%,-4.0,+9.0
Texas A&M,2-0-0,100.0%,32.0,+6.3
Lafayette,2-0-0,100.0%,-15.5,+3.0
SIU Edward,1-0-0,100.0%,2.0,+9.5
Navy,1-0-0,100.0%,21.0,+18.5
Tulsa,1-0-0,100.0%,17.0,+20.5
New Haven,2-0-0,100.0%,-5.5,+15.0
E Illinois,3-1-0,75.0%,-15.3,+1.8
Nebraska,3-1-0,75.0%,22.0,+1.6
Wagner,3-1-0,75.0%,-9.8,+7.0
Rhode Island,3-1-0,75.0%,14.0,+0.6
Illinois,3-1-0,75.0%,31.0,+8.1
Saint Louis,3-1-0,75.0%,26.0,+5.6
W Michigan,3-1-0,75.0%,0.8,+4.4
Notre Dame,3-1-0,75.0%,18.3,+5.9
Troy,2-1-0,66.7%,-0.7,+2.8
Clemson,2-1-0,66.7%,36.0,+8.2
E Washington,2-1-0,66.7%,-13.7,+2.3
Holy Cross,2-1-0,66.7%,-24.3,+3.3
Colgate,2-1-0,66.7%,-11.0,+4.8
Bethune,2-1-0,66.7%,-18.0,+2.8
Wisconsin,2-1-0,66.7%,29.3,+3.8
Towson,2-1-0,66.7%,1.3,+2.3
Miss Valley St,2-1-0,66.7%,-21.3,+6.0
N Illinois,2-1-0,66.7%,-11.3,+3.3
Winthrop,2-1-0,66.7%,-1.7,-0.5
N Dakota St,2-1-0,66.7%,-2.3,+1.2
S Florida,2-1-0,66.7%,16.7,+5.5
AR-Pine Bluff,2-1-0,66.7%,-26.3,+1.3
North Carolina,2-1-0,66.7%,22.7,+4.7
Chicago St,2-1-0,66.7%,-18.7,+2.8
VCU,2-1-0,66.7%,6.7,+2.5
Marshall,2-1-0,66.7%,8.3,+7.5
C Michigan,2-1-0,66.7%,-5.7,-1.0
W Georgia,2-1-0,66.7%,-15.3,+0.5
Hawai'i,2-1-0,66.7%,11.7,+4.7
NC State,2-1-0,66.7%,26.0,+5.2
Illinois Chicago,2-1-0,66.7%,7.0,+2.3
Arkansas,2-1-0,66.7%,22.0,+2.0
Kentucky,2-1-0,66.7%,40.0,+7.0
Grambling,2-1-0,66.7%,-10.7,+1.5
Mercyhurst,2-1-0,66.7%,-6.0,+9.3
Colorado,1-1-0,50.0%,17.0,-0.3
Southern,1-1-0,50.0%,-25.0,+0.8
NC Central,1-1-0,50.0%,-33.5,-1.0
Canisius,1-1-0,50.0%,-18.5,-4.8
Georgetown,1-1-0,50.0%,13.5,+1.8
George Mason,1-1-0,50.0%,15.0,+3.0
San Diego,1-1-0,50.0%,0.5,-1.0
S Alabama,1-1-0,50.0%,2.0,+0.8
Youngstown St,1-1-0,50.0%,-3.0,+11.8
North Dakota,2-2-0,50.0%,-9.8,+1.1
UT Rio Grande,1-1-0,50.0%,-17.5,+3.0
Kansas,1-1-0,50.0%,15.0,+1.3
Missouri,2-2-0,50.0%,20.5,-5.3
Le Moyne,1-1-0,50.0%,-14.0,+4.3
UMass,1-1-0,50.0%,7.5,0.0
California,1-1-0,50.0%,18.5,+2.8
Maryland ES,2-2-0,50.0%,-31.8,+1.3
Rice,1-1-0,50.0%,-8.0,-1.8
Long Beach St,1-1-0,50.0%,-17.5,+1.0
Coastal Car,1-1-0,50.0%,0.5,+2.8
Arizona,1-1-0,50.0%,20.5,+4.5
Virginia,1-1-0,50.0%,26.5,-3.8
TCU,1-1-0,50.0%,18.5,-6.5
Quinnipiac,1-1-0,50.0%,-6.0,+2.5
UL Monroe,1-1-0,50.0%,-20.5,+2.0
S Illinois,1-1-0,50.0%,8.0,+2.5
UC Riverside,1-1-0,50.0%,1.0,0.0
Arkansas St,1-1-0,50.0%,-10.5,-8.8
SE Missouri St,1-1-0,50.0%,-15.0,+7.0
Austin Peay,1-1-0,50.0%,3.0,+5.0
Louisiana,1-1-0,50.0%,-2.5,-2.3
NC Asheville,1-1-0,50.0%,-10.0,-4.0
UAB,2-2-0,50.0%,10.3,+1.9
Niagara,1-1-0,50.0%,-4.5,+0.8
Georgia So,1-1-0,50.0%,0.0,0.0
Boston College,2-2-0,50.0%,7.0,-0.1
Ohio,1-1-0,50.0%,-14.5,-0.8
Omaha,1-1-0,50.0%,-5.0,0.0
BYU,1-1-0,50.0%,25.0,+1.0
Wofford,1-1-0,50.0%,-7.0,+1.8
Washington,1-1-0,50.0%,29.0,-2.0
Tennessee,1-1-0,50.0%,27.0,-0.5
S Carolina St,1-1-0,50.0%,-34.5,-9.0
Miami,1-1-0,50.0%,28.5,+10.3
Penn St,1-1-0,50.0%,11.0,-0.8
Texas Tech,1-1-0,50.0%,17.0,+4.3
Alabama St,1-1-0,50.0%,-12.5,+8.5
Binghamton,1-1-0,50.0%,-23.0,-5.0
Dayton,1-1-0,50.0%,24.5,+1.0
Grand Canyon,2-2-0,50.0%,6.3,-4.6
IU Indy,1-1-0,50.0%,-10.0,+4.8
Temple,1-1-0,50.0%,6.5,-3.8
Queens,1-1-0,50.0%,5.0,+4.5
Auburn,1-1-0,50.0%,21.5,-2.5
Lehigh,1-1-0,50.0%,-20.0,+7.0
Jackson St,1-1-0,50.0%,-47.0,-13.3
Kennesaw St,1-1-0,50.0%,0.5,-1.3
Valparaiso,2-2-0,50.0%,-5.5,-1.3
South Dakota,1-1-0,50.0%,1.5,-1.3
Georgia St,1-1-0,50.0%,-16.0,+0.3
C Connecticut,1-1-0,50.0%,-10.5,+2.8
Saint Peter's,1-1-0,50.0%,-8.5,-4.8
SE Louisiana,2-2-0,50.0%,-13.3,+3.8
G Washington,1-1-0,50.0%,12.0,+1.8
High Point,1-1-0,50.0%,4.5,+2.3
Boston U,1-1-0,50.0%,-11.5,-1.5
Iona,1-1-0,50.0%,9.5,+4.3
Ball St,1-1-0,50.0%,-10.0,+1.3
Texas St,1-1-0,50.0%,-12.5,-12.3
Charleston So,1-1-0,50.0%,-10.5,-2.8
CS Bakersfield,1-1-0,50.0%,-24.5,-5.0
Wyoming,1-1-0,50.0%,12.0,+1.3
Maine,1-1-0,50.0%,-15.5,-3.5
Northwestern,1-1-0,50.0%,23.5,+1.5
Seattle,1-1-0,50.0%,19.0,+8.5
Northeastern,1-1-0,50.0%,1.0,+2.3
Texas,1-1-0,50.0%,10.0,-0.5
Loyola Mymt,1-1-0,50.0%,9.5,+2.5
Seton Hall,1-1-0,50.0%,17.0,-0.8
Villanova,1-1-0,50.0%,2.5,+1.8
Cal Baptist,1-1-0,50.0%,10.0,+7.3
Stonehill,1-1-0,50.0%,-15.5,+4.0
LIU,1-1-0,50.0%,-9.0,+0.8
Utah Tech,2-2-0,50.0%,-0.5,-3.0
Michigan St,1-2-0,33.3%,11.0,-5.3
DePaul,1-2-0,33.3%,8.3,-13.5
Cincinnati,1-2-0,33.3%,19.3,-6.3
Nicholls,1-2-0,33.3%,-13.0,-2.7
UConn,1-2-0,33.3%,38.0,+0.7
Saint Joseph's,1-2-0,33.3%,-5.0,-8.7
Fresno St,1-2-0,33.3%,-1.7,-4.2
Army,1-2-0,33.3%,-28.3,-8.2
Mississippi,1-2-0,33.3%,24.3,-3.3
Ohio St,1-2-0,33.3%,14.3,-8.3
Marquette,1-2-0,33.3%,7.3,-7.8
Idaho,1-2-0,33.3%,-3.3,+0.3
UNLV,1-2-0,33.3%,0.0,-6.2
Fordham,1-2-0,33.3%,-4.7,-11.8
Detroit Mercy,1-2-0,33.3%,-19.7,-6.2
Manhattan,1-2-0,33.3%,-6.3,-7.0
Bradley,1-2-0,33.3%,4.7,+5.0
West Virginia,1-2-0,33.3%,20.0,-0.3
Drake,1-2-0,33.3%,4.3,+1.7
Oregon St,1-2-0,33.3%,-2.3,-3.2
UCF,1-2-0,33.3%,9.7,+2.0
Georgia Tech,1-2-0,33.3%,14.3,-5.3
Louisville,1-2-0,33.3%,40.0,+4.7
St Thomas,1-2-0,33.3%,0.0,-6.3
Charlotte,1-2-0,33.3%,4.7,-1.7
Oklahoma,1-3-0,25.0%,10.3,-4.4
Radford,1-3-0,25.0%,-12.0,-14.9
Florida A&M,0-3-0,0.0%,-30.7,-10.7
Mississippi St,0-2-0,0.0%,15.5,-10.5
Purdue FW,0-3-0,0.0%,-19.0,-7.3
Stanford,0-1-0,0.0%,10.0,-0.5
South Carolina,0-1-0,0.0%,19.0,-4.0
Kansas City,0-2-0,0.0%,-18.5,-9.8
N Kentucky,0-2-0,0.0%,-25.5,-8.8
Samford,0-2-0,0.0%,-1.5,-4.8
C Arkansas,0-2-0,0.0%,-38.5,-5.3
Abl Christian,0-2-0,0.0%,-4.0,-3.0
Indiana St,0-1-0,0.0%,-16.0,-11.5
Charleston,0-2-0,0.0%,-12.0,-10.5
W Carolina,0-1-0,0.0%,-31.0,-9.0
Providence,0-2-0,0.0%,2.0,-10.5
Bryant,0-3-0,0.0%,-21.0,-10.3
Albany,0-3-0,0.0%,-22.3,-5.7
F Dickinson,0-3-0,0.0%,-27.7,-2.7
Florida,0-1-0,0.0%,-6.0,-9.5
Richmond,0-1-0,0.0%,4.0,-5.5
Oregon,0-3-0,0.0%,5.7,-8.0
Howard,0-2-0,0.0%,-12.0,-4.5
FGCU,0-1-0,0.0%,-43.0,-14.5
J Madison,0-2-0,0.0%,0.0,-5.0
Milwaukee,0-2-0,0.0%,-3.0,-7.3
Cal Poly,0-1-0,0.0%,-30.0,-5.0
Louisiana Tech,0-1-0,0.0%,-27.0,-17.5
Houston,0-2-0,0.0%,17.5,-13.5
Rider,0-1-0,0.0%,-34.0,-7.5
Sacred Heart,0-1-0,0.0%,-17.0,-12.5
E Carolina,0-1-0,0.0%,3.0,-2.5
La Salle,0-1-0,0.0%,-14.0,-6.0
Texas So,0-3-0,0.0%,-33.0,-12.0
Southern Miss,0-2-0,0.0%,-5.5,-2.8
NC Greensboro,0-1-0,0.0%,-29.0,-10.0
Air Force,0-1-1,0.0%,-18.0,-9.0
Delaware St,0-3-0,0.0%,-14.0,-5.8
