Team,ATS Record,Cover %,MOV,ATS +/-
Green Bay,1-0-0,100.0%,-7.0,+18.5
SC Upstate,1-0-0,100.0%,1.0,+10.5
E Texas A&M,1-0-0,100.0%,-22.0,+0.5
Holy Cross,1-0-0,100.0%,-18.0,+3.0
South Dakota,1-0-0,100.0%,-16.0,+13.5
Liberty,1-0-0,100.0%,20.0,+12.5
UC Davis,1-0-0,100.0%,12.0,+10.0
App State,1-0-0,100.0%,12.0,+1.5
Idaho St,1-0-0,100.0%,-16.0,+5.0
Missouri,1-0-0,100.0%,38.0,+14.5
E Washington,1-0-0,100.0%,-8.0,+1.5
Lipscomb,1-0-0,100.0%,-5.0,+1.5
Southern,1-0-0,100.0%,-18.0,+6.5
Robert Morris,1-0-0,100.0%,2.0,+9.5
Princeton,1-0-0,100.0%,11.0,+3.5
Maine,1-0-0,100.0%,-12.0,+6.0
Hawai'i,1-0-0,100.0%,30.0,+14.0
Samford,1-0-1,100.0%,1.5,+10.3
Georgia,1-0-0,100.0%,65.0,+31.0
Niagara,1-0-0,100.0%,11.0,+5.0
N Alabama,1-0-0,100.0%,-7.0,+5.5
Canisius,1-0-0,100.0%,-19.0,+2.0
Oakland,1-0-0,100.0%,-4.0,+9.5
New Haven,1-0-0,100.0%,6.0,+17.0
Milwaukee,2-1-0,66.7%,-9.3,+7.0
Miss Valley St,1-1-0,50.0%,-6.0,+5.8
Presbyterian,1-1-0,50.0%,3.7,+0.5
Morehead St,1-1-0,50.0%,-33.0,-3.8
Brown,1-1-0,50.0%,-7.0,-5.0
St Thomas,1-1-0,50.0%,1.0,+1.0
Alcorn St,1-2-0,33.3%,-19.7,-1.0
Utah Tech,1-2-0,33.3%,2.5,-5.2
Vermont,0-0-0,0.0%,51.0,--
CS Northridge,0-1-0,0.0%,-22.0,-17.5
UTSA,0-1-0,0.0%,-17.0,-23.0
NC Asheville,0-0-0,0.0%,38.0,--
Evansville,0-0-0,0.0%,29.0,--
Montana St,0-0-0,0.0%,70.0,--
Montana,0-0-0,0.0%,34.0,--
Manhattan,0-1-0,0.0%,-30.0,-14.0
Fordham,0-0-0,0.0%,34.0,--
Clemson,0-1-0,0.0%,20.0,-5.5
Texas A&M-CC,0-1-0,0.0%,-8.0,-4.5
Illinois St,0-1-0,0.0%,2.0,-6.5
Hampton,0-0-0,0.0%,-6.0,--
Penn,0-2-0,0.0%,-15.5,-5.3
Troy,0-1-0,0.0%,-9.0,-13.0
Harvard,0-2-0,0.0%,-3.0,-13.0
Maryland ES,0-1-0,0.0%,-65.0,-31.0
Norfolk St,0-0-0,0.0%,64.0,--
Sacramento St,0-1-0,0.0%,2.0,-4.5
Fresno St,0-1-0,0.0%,-1.0,-10.5
S Alabama,0-1-0,0.0%,29.5,-9.5
Mercer,0-0-0,0.0%,39.0,--
Marquette,0-1-0,0.0%,18.0,-6.5
Fairfield,0-2-0,0.0%,-10.0,-6.0
N Dakota St,0-1-0,0.0%,-12.0,-10.0
CS Fullerton,0-1-0,0.0%,-28.0,-5.5
Coppin St,0-2-0,0.0%,-25.5,-11.3
Little Rock,0-1-0,0.0%,-40.0,-19.0
Alabama A&M,0-1-0,0.0%,-47.0,-17.0
Lafayette,0-0-0,0.0%,35.0,--
VMI,0-1-0,0.0%,-38.0,-14.5
E Kentucky,0-1-0,0.0%,-30.0,-1.0
Rider,0-1-0,0.0%,-28.0,-9.5
S Indiana,0-1-0,0.0%,-4.0,-1.5
North Dakota,0-0-0,0.0%,70.0,--
Purdue FW,0-0-0,0.0%,81.0,--
NC Central,0-2-0,0.0%,-33.0,-10.5
West Virginia,0-1-0,0.0%,8.0,-7.5
Delaware St,0-1-0,0.0%,-11.0,-5.0
AR-Pine Bluff,0-1-0,0.0%,-22.0,-2.0
Cornell,0-1-0,0.0%,-11.0,-3.5
IU Indy,0-1-0,0.0%,-32.0,-11.0
Texas St,0-0-0,0.0%,59.0,--
Utah,0-1-0,0.0%,18.0,-3.0
Prairie View,0-0-0,0.0%,41.0,--
Binghamton,0-0-0,0.0%,10.0,--
Loyola Mymt,0-1-0,0.0%,8.0,-1.5
Queens,0-0-0,0.0%,11.0,--
J Madison,0-0-0,0.0%,14.0,--
UT Arlington,0-0-0,0.0%,56.0,--
Cal Poly,0-1-0,0.0%,7.0,-0.5
Tarleton St,0-1-0,0.0%,-36.0,-21.0
N Texas,0-1-0,0.0%,-31.0,-16.5
S Utah,0-1-0,0.0%,-72.0,-37.0
Lindenwood,0-1-0,0.0%,28.0,-6.0
Mercyhurst,0-0-0,0.0%,50.0,--
Stonehill,0-0-1,0.0%,-39.0,0.0
