Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,11-5-0,68.8%,2.3,+5.0
NC Central,62-39-3,61.4%,0.0,+1.7
SE Louisiana,71-46-2,60.7%,-2.2,+0.8
Kansas,96-67-4,58.9%,12.2,+2.2
UT Arlington,99-70-6,58.6%,0.3,+1.6
Cornell,164-121-5,57.5%,-1.8,+1.4
Utah Valley,62-46-1,57.4%,4.3,+2.6
Stony Brook,70-52-4,57.4%,-1.2,+1.0
Michigan St,132-99-4,57.1%,8.8,+1.2
Florida A&M,91-69-0,56.9%,-7.9,+1.2
Queens,25-19-3,56.8%,0.9,+0.9
S Dakota St,78-60-1,56.5%,2.4,+2.0
Colgate,52-40-2,56.5%,-0.4,+0.8
Boston U,78-60-0,56.5%,0.5,+0.4
Mississippi St,181-140-8,56.4%,1.2,+0.7
Presbyterian,84-65-4,56.4%,-4.1,+0.6
Norfolk St,58-45-0,56.3%,-1.8,+1.7
St Thomas,27-21-2,56.3%,6.1,+1.9
Tarleton St,36-28-0,56.3%,2.1,+1.0
E Tennessee St,96-75-7,56.1%,3.4,+0.8
Valparaiso,135-106-5,56.0%,1.5,+0.6
North Carolina,131-103-9,56.0%,8.1,+1.3
Ohio,183-144-5,56.0%,2.6,+0.6
Robert Morris,80-63-2,55.9%,-0.8,+0.3
Wofford,157-124-3,55.9%,2.5,+0.7
Texas A&M-CC,63-50-3,55.8%,0.3,+0.9
UCSD,30-24-1,55.6%,1.2,+1.0
Gonzaga,72-58-2,55.4%,15.0,+1.8
UAB,152-123-4,55.3%,5.5,+1.0
Nevada,141-115-4,55.1%,1.7,+1.1
C Arkansas,82-67-5,55.0%,-6.1,-0.2
NC Asheville,62-51-2,54.9%,-1.8,+0.2
Boise St,164-135-4,54.9%,4.3,+1.2
NW State,69-57-3,54.8%,-4.0,+0.1
Hampton,76-63-2,54.7%,-1.1,+0.6
Binghamton,77-64-3,54.6%,-4.7,+1.2
Akron,135-113-8,54.4%,5.8,+0.4
Hou Christian,80-67-3,54.4%,-5.2,+0.1
Syracuse,144-121-6,54.3%,4.3,+0.8
Campbell,64-54-1,54.2%,-3.4,+1.1
Yale,122-103-4,54.2%,1.6,+1.2
W Kentucky,158-134-7,54.1%,2.5,+0.2
UC Davis,134-114-4,54.0%,-2.0,+0.3
Auburn,169-144-13,54.0%,0.5,+0.8
BYU,136-116-7,54.0%,6.0,+1.5
Kentucky,112-96-3,53.9%,9.6,+1.0
UC Irvine,163-140-6,53.8%,2.9,+0.8
Dayton,142-122-11,53.8%,5.9,+1.1
Maryland,146-126-6,53.7%,5.4,+0.3
Lehigh,64-56-1,53.3%,-0.6,0.0
George Mason,166-146-6,53.2%,2.7,+0.9
Creighton,135-119-4,53.2%,5.4,+0.7
Kent St,136-120-9,53.1%,4.8,+0.6
Lindenwood,26-23-0,53.1%,1.6,-0.3
Charleston,124-110-1,53.0%,4.2,+1.0
