Team,Over Record,Over %,Under %,Total +/-
Queens,30-15-2,66.7%,33.3%,+3.6
Le Moyne,25-13-0,65.8%,34.2%,+3.6
Kentucky,57-33-0,63.3%,36.7%,+3.6
Grand Canyon,46-29-0,61.3%,38.7%,+3.6
NC Asheville,56-36-2,60.9%,39.1%,+2.3
Samford,76-49-1,60.8%,39.2%,+5.6
Loyola MD,78-51-2,60.5%,39.5%,+3.1
North Dakota,95-63-1,60.1%,39.9%,+3.3
Texas St,66-44-4,60.0%,40.0%,+2.8
Incarnate Word,75-50-2,60.0%,40.0%,+3.5
Tulane,95-64-2,59.8%,40.3%,+3.9
New Orleans,74-50-1,59.7%,40.3%,+3.0
South Carolina,75-51-4,59.5%,40.5%,+3.3
Oregon,57-39-0,59.4%,40.6%,+2.1
Weber St,67-46-3,59.3%,40.7%,+2.6
Oregon St,99-68-1,59.3%,40.7%,+2.6
Omaha,95-66-0,59.0%,41.0%,+3.5
Richmond,79-55-1,59.0%,41.0%,+1.6
Delaware St,89-62-1,58.9%,41.1%,+3.2
Belmont,43-30-1,58.9%,41.1%,+3.4
Idaho St,94-66-4,58.8%,41.3%,+2.5
C Arkansas,85-60-2,58.6%,41.4%,+3.2
George Mason,75-53-0,58.6%,41.4%,+2.1
Dayton,52-37-2,58.4%,41.6%,+3.8
Auburn,56-40-1,58.3%,41.7%,+2.9
Wyoming,92-66-1,58.2%,41.8%,+2.8
Milwaukee,88-64-0,57.9%,42.1%,+2.2
Northeastern,82-60-1,57.8%,42.3%,+2.1
UTSA,94-69-1,57.7%,42.3%,+2.6
J Madison,72-53-0,57.6%,42.4%,+3.1
Drake,61-45-1,57.6%,42.5%,+3.7
Denver,96-71-3,57.5%,42.5%,+2.5
UC Irvine,50-37-2,57.5%,42.5%,+3.5
E Tennessee St,58-43-2,57.4%,42.6%,+0.9
SIU Edward,97-72-2,57.4%,42.6%,+1.7
Baylor,51-38-0,57.3%,42.7%,+3.2
BYU,56-42-0,57.1%,42.9%,+3.4
Youngstown St,80-60-0,57.1%,42.9%,+4.7
CS Bakersfield,69-52-0,57.0%,43.0%,+3.5
Bellarmine,45-34-1,57.0%,43.0%,+2.5
Navy,60-46-1,56.6%,43.4%,-0.2
Gardner-Webb,61-47-1,56.5%,43.5%,+2.9
Montana,57-44-0,56.4%,43.6%,+3.5
Missouri St,80-62-1,56.3%,43.7%,+2.0
E Texas A&M,36-28-0,56.3%,43.8%,+4.7
SC Upstate,78-61-0,56.1%,43.9%,+0.9
W Georgia,14-11-0,56.0%,44.0%,+1.7
S Dakota St,47-37-0,56.0%,44.1%,+2.8
Lipscomb,52-41-1,55.9%,44.1%,+3.7
Columbia,76-60-1,55.9%,44.1%,+3.7
Texas So,62-49-3,55.9%,44.1%,+3.2
UNLV,77-61-0,55.8%,44.2%,+3.2
Wofford,63-50-2,55.8%,44.3%,+3.2
Harvard,59-47-0,55.7%,44.3%,+1.5
Rice,85-68-1,55.6%,44.4%,+1.8
UCSD,30-24-1,55.6%,44.4%,+4.5
E Carolina,86-69-2,55.5%,44.5%,+1.8
Brown,67-54-0,55.4%,44.6%,+2.7
Air Force,105-85-2,55.3%,44.7%,+1.7
Delaware,79-64-2,55.2%,44.8%,+1.7
Alcorn St,64-52-0,55.2%,44.8%,+2.4
NJIT,75-61-0,55.2%,44.9%,+0.9
N Florida,61-50-3,55.0%,45.1%,+1.2
Utah Valley,50-41-1,55.0%,45.1%,+0.4
N Colorado,67-55-2,54.9%,45.1%,+1.4
Long Beach St,84-69-2,54.9%,45.1%,+1.8
Boston College,96-79-3,54.9%,45.1%,+1.7
Maine,74-61-1,54.8%,45.2%,+1.2
Purdue FW,64-53-2,54.7%,45.3%,+2.6
Hampton,70-58-2,54.7%,45.3%,+0.9
West Virginia,70-58-2,54.7%,45.3%,+2.3
Binghamton,65-54-1,54.6%,45.4%,+1.3
Ohio,66-55-2,54.6%,45.5%,+2.1
Minnesota,85-71-1,54.5%,45.5%,+1.6
W Carolina,85-71-1,54.5%,45.5%,+1.0
VCU,49-41-2,54.4%,45.6%,+0.3
Arkansas St,75-63-1,54.4%,45.7%,+3.3
Towson,63-53-1,54.3%,45.7%,+3.5
NC Greensboro,51-43-1,54.3%,45.7%,+0.6
Howard,64-54-3,54.2%,45.8%,+2.1
Tennessee St,71-60-1,54.2%,45.8%,+1.1
S Utah,84-71-3,54.2%,45.8%,+2.2
Saint Joseph's,84-71-2,54.2%,45.8%,+1.7
Xavier,59-50-1,54.1%,45.9%,+2.0
South Dakota,66-56-0,54.1%,45.9%,+2.2
North Carolina,53-45-0,54.1%,45.9%,+2.9
Boise St,54-46-1,54.0%,46.0%,+4.1
SMU,56-48-0,53.9%,46.2%,+1.1
Mississippi St,70-60-1,53.9%,46.2%,+1.1
Tenn Tech,88-76-0,53.7%,46.3%,+1.4
Stetson,67-58-1,53.6%,46.4%,+1.6
Boston U,60-52-0,53.6%,46.4%,-0.1
SE Louisiana,60-52-1,53.6%,46.4%,+1.4
UMass,83-72-0,53.6%,46.5%,+1.4
UCSB,53-46-2,53.5%,46.5%,-0.4
Colorado St,61-53-1,53.5%,46.5%,+2.7
N Texas,61-53-3,53.5%,46.5%,+1.2
Furman,46-40-2,53.5%,46.5%,+1.1
Florida Intl,85-74-2,53.5%,46.5%,+0.8
Syracuse,70-61-2,53.4%,46.6%,+2.3
Green Bay,94-82-1,53.4%,46.6%,+1.0
Wright St,55-48-1,53.4%,46.6%,+1.8
Iowa,64-56-1,53.3%,46.7%,+2.6
Cal Poly,106-93-2,53.3%,46.7%,+3.5
Michigan,58-51-1,53.2%,46.8%,+0.8
UAB,50-44-2,53.2%,46.8%,+1.8
Nicholls,42-37-0,53.2%,46.8%,+2.1
Penn,59-52-4,53.2%,46.9%,+0.8
Alabama,60-53-2,53.1%,46.9%,+1.6
LSU,69-61-2,53.1%,46.9%,+1.9
Oral Roberts,70-62-1,53.0%,47.0%,+0.1
Mercyhurst,9-8-0,52.9%,47.1%,+2.3
Utah Tech,47-42-0,52.8%,47.2%,+1.4
F Dickinson,66-59-2,52.8%,47.2%,+3.1
Texas,66-59-1,52.8%,47.2%,+1.9
Stanford,76-68-1,52.8%,47.2%,+1.7
Clemson,58-52-1,52.7%,47.3%,+1.0
