Team,ATS Record,Cover %,MOV,ATS +/-
W Georgia,5-1-0,83.3%,-11.1,+3.5
Mercyhurst,5-1-1,83.3%,-13.2,+3.6
Merrimack,29-13-2,69.1%,-2.5,+2.7
Texas A&M-CC,37-19-1,66.1%,-3.5,+2.5
UT Arlington,44-26-2,62.9%,0.0,+1.9
Weber St,59-35-4,62.8%,2.4,+2.4
Boston U,44-27-1,62.0%,-0.7,+1.6
Michigan St,167-104-5,61.6%,11.1,+1.9
Florida A&M,32-20-0,61.5%,-10.4,+2.9
Sam Houston,43-27-3,61.4%,0.0,+1.8
NW State,33-21-1,61.1%,-7.3,+0.5
South Dakota,59-38-3,60.8%,0.0,+1.9
SC Upstate,32-21-3,60.4%,-6.3,+1.1
Norfolk St,37-25-5,59.7%,-4.7,+1.5
Utah Tech,22-15-0,59.5%,-6.1,+1.3
E Texas A&M,13-9-0,59.1%,-10.2,+1.0
Middle Tenn,75-52-4,59.1%,0.7,+1.3
Baylor,98-68-5,59.0%,7.1,+1.9
Winthrop,33-23-1,58.9%,2.6,+2.3
Robert Morris,34-24-0,58.6%,-2.3,+0.2
NC Wilmington,75-53-4,58.6%,0.2,+1.4
VCU,103-73-1,58.5%,6.1,+2.0
Lipscomb,42-30-0,58.3%,-0.5,+2.2
Iowa St,98-70-2,58.3%,5.5,+1.9
Delaware,61-44-2,58.1%,0.9,+0.2
LIU,18-13-1,58.1%,-6.8,+2.1
Cal Poly,65-48-2,57.5%,-4.7,+0.9
NJIT,35-26-0,57.4%,-6.3,+0.4
Kent St,88-66-3,57.1%,4.2,+0.9
N Florida,36-27-0,57.1%,-7.1,+0.8
Incarnate Word,20-15-1,57.1%,-9.4,+0.4
Georgia St,53-40-1,57.0%,1.3,+1.4
Auburn,98-74-8,57.0%,6.9,+2.0
Southern,33-25-0,56.9%,-5.9,+1.9
New Mexico,116-88-4,56.9%,5.4,+1.1
UT Rio Grande,29-22-0,56.9%,-7.4,+2.0
S Dakota St,54-41-2,56.8%,-1.0,+1.1
Troy,59-45-2,56.7%,0.3,+1.0
Arizona,90-69-3,56.6%,11.6,+1.6
Villanova,142-109-0,56.6%,6.5,+0.9
