Team,Over Record,Over %,Under %,Total +/-
Miss Valley St,17-8-0,68.0%,32.0%,+3.8
New Orleans,56-31-2,64.4%,35.6%,+3.9
S Indiana,21-12-0,63.6%,36.4%,+4.1
Holy Cross,49-30-2,62.0%,38.0%,+0.6
Denver,69-43-0,61.6%,38.4%,+3.0
Mercyhurst,9-6-0,60.0%,40.0%,+2.6
Oral Roberts,82-56-1,59.4%,40.6%,+3.5
Morgan St,49-34-3,59.0%,41.0%,+2.8
E Illinois,66-46-3,58.9%,41.1%,+3.5
Hou Christian,40-28-2,58.8%,41.2%,+3.3
San Jose St,54-38-2,58.7%,41.3%,+2.6
UT Rio Grande,48-34-3,58.5%,41.5%,+1.0
Bucknell,69-49-2,58.5%,41.5%,+2.6
Iowa,115-82-4,58.4%,41.6%,+3.5
South Dakota,92-66-4,58.2%,41.8%,+4.4
N Colorado,97-70-2,58.1%,41.9%,+3.2
Wake Forest,90-65-2,58.1%,41.9%,+2.7
Santa Clara,98-71-3,58.0%,42.0%,+3.1
E Washington,102-74-1,58.0%,42.1%,+4.0
Cornell,63-46-2,57.8%,42.2%,+3.2
N Arizona,57-42-0,57.6%,42.4%,+2.7
Chicago St,23-17-0,57.5%,42.5%,+2.8
N Dakota St,100-74-2,57.5%,42.5%,+2.9
Ball St,89-66-1,57.4%,42.6%,+1.8
Lehigh,62-46-0,57.4%,42.6%,+2.9
W Illinois,59-44-1,57.3%,42.7%,+2.0
Bowling Green,83-62-1,57.2%,42.8%,+1.6
S Utah,74-56-3,56.9%,43.1%,+1.3
Niagara,70-53-2,56.9%,43.1%,+4.3
Lafayette,50-38-2,56.8%,43.2%,+1.1
Florida St,110-85-6,56.4%,43.6%,+1.2
Pepperdine,67-52-2,56.3%,43.7%,+3.1
Montana St,95-74-0,56.2%,43.8%,+2.7
Wofford,100-78-3,56.2%,43.8%,+1.6
Longwood,69-54-4,56.1%,43.9%,+1.4
Stetson,56-44-2,56.0%,44.0%,+2.7
McNeese,62-49-1,55.9%,44.1%,+1.1
Montana,111-88-1,55.8%,44.2%,+1.5
Penn,69-55-1,55.7%,44.4%,+2.6
UTEP,79-63-1,55.6%,44.4%,+1.1
Long Beach St,80-64-0,55.6%,44.4%,+3.3
Radford,75-60-1,55.6%,44.4%,+1.7
W Georgia,5-4-0,55.6%,44.4%,-2.6
Kennesaw St,52-42-2,55.3%,44.7%,+1.3
Oregon St,79-64-0,55.2%,44.8%,+0.2
Campbell,69-56-1,55.2%,44.8%,+1.1
Norfolk St,83-68-0,55.0%,45.0%,-0.1
Howard,52-43-0,54.7%,45.3%,+2.7
Grand Canyon,94-78-2,54.7%,45.4%,-0.1
Prairie View,53-44-1,54.6%,45.4%,-0.2
UL Monroe,60-50-1,54.6%,45.5%,+4.0
La Salle,67-56-0,54.5%,45.5%,-0.3
St Francis PA,55-46-0,54.5%,45.5%,+0.2
Furman,110-92-1,54.5%,45.5%,+0.5
Delaware,80-67-0,54.4%,45.6%,+1.6
Green Bay,68-57-3,54.4%,45.6%,+2.7
Fresno St,87-73-0,54.4%,45.6%,+0.8
High Point,69-58-3,54.3%,45.7%,+2.7
Indiana St,88-74-2,54.3%,45.7%,+1.1
American,58-49-0,54.2%,45.8%,+1.0
Purdue FW,91-77-2,54.2%,45.8%,+1.2
Utah,98-83-3,54.1%,45.9%,+2.5
Rice,72-61-0,54.1%,45.9%,+1.9
Abl Christian,72-61-2,54.1%,45.9%,+1.3
Utah St,112-95-2,54.1%,45.9%,+1.7
E Kentucky,79-67-4,54.1%,45.9%,+1.6
Temple,86-73-4,54.1%,45.9%,+2.0
Lindenwood,20-17-1,54.1%,46.0%,+1.5
Boston College,67-57-2,54.0%,46.0%,+1.1
G Washington,81-69-1,54.0%,46.0%,+3.5
Youngstown St,81-69-1,54.0%,46.0%,+1.1
Purdue,138-118-3,53.9%,46.1%,+1.7
NC Wilmington,98-84-2,53.9%,46.2%,+2.2
SC Upstate,42-36-0,53.9%,46.2%,+2.1
IU Indy,50-43-0,53.8%,46.2%,+3.1
Georgetown,72-62-0,53.7%,46.3%,+2.5
Florida Atlantic,89-77-1,53.6%,46.4%,+1.5
Austin Peay,82-71-0,53.6%,46.4%,+3.7
Columbia,45-39-5,53.6%,46.4%,0.0
Rhode Island,91-79-1,53.5%,46.5%,0.0
Gonzaga,162-141-1,53.5%,46.5%,+1.0
Tulsa,78-68-3,53.4%,46.6%,+1.0
Vanderbilt,79-69-2,53.4%,46.6%,+1.3
Portland,56-49-2,53.3%,46.7%,+2.5
Illinois Chicago,74-65-0,53.2%,46.8%,+0.8
Syracuse,99-87-1,53.2%,46.8%,+1.2
Yale,92-81-2,53.2%,46.8%,+2.4
Charlotte,67-59-6,53.2%,46.8%,+1.2
Oakland,93-82-1,53.1%,46.9%,+1.1
Idaho,60-53-0,53.1%,46.9%,+1.1
North Dakota,69-61-1,53.1%,46.9%,+1.8
Florida,115-102-2,53.0%,47.0%,+0.5
Missouri,80-71-1,53.0%,47.0%,+1.4
Wisconsin,116-103-4,53.0%,47.0%,+1.0
Colorado St,99-88-3,52.9%,47.1%,+0.3
Gardner-Webb,64-57-0,52.9%,47.1%,+0.6
SF Austin,74-66-1,52.9%,47.1%,+1.1
VMI,47-42-1,52.8%,47.2%,+1.1
Colgate,86-77-1,52.8%,47.2%,+1.2
Winthrop,87-78-2,52.7%,47.3%,+2.2
Cleveland St,79-71-3,52.7%,47.3%,+1.8
Detroit Mercy,50-45-3,52.6%,47.4%,+3.5
Arizona,132-119-4,52.6%,47.4%,+1.8
Florida Intl,61-55-2,52.6%,47.4%,+1.8
Washington,83-75-2,52.5%,47.5%,+0.9
LSU,95-86-2,52.5%,47.5%,+1.5
Ohio St,106-96-1,52.5%,47.5%,+2.0
Wright St,107-97-0,52.5%,47.6%,+1.1
TCU,97-88-1,52.4%,47.6%,+0.9
Nebraska,79-72-2,52.3%,47.7%,+0.2
Dayton,115-105-2,52.3%,47.7%,-0.1
DePaul,58-53-0,52.3%,47.8%,+0.4
NW State,47-43-1,52.2%,47.8%,+2.8
Charleston,109-100-2,52.2%,47.9%,+0.8
Georgia,85-78-0,52.2%,47.9%,+0.3
Sam Houston,73-67-0,52.1%,47.9%,+0.9
St Thomas,37-34-1,52.1%,47.9%,+1.7
Georgia St,87-80-0,52.1%,47.9%,+1.6
SE Missouri St,62-57-1,52.1%,47.9%,+2.2
Murray St,102-94-2,52.0%,48.0%,+0.6
Nevada,115-106-1,52.0%,48.0%,+0.8
New Mexico,91-84-1,52.0%,48.0%,+1.6
Le Moyne,13-12-0,52.0%,48.0%,+2.3
