Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,19-10-1,65.5%,-8.2,+2.7
Lipscomb,85-51-2,62.5%,-6.2,+2.7
SE Louisiana,93-62-1,60.0%,-8.8,+0.8
New Haven,3-2-0,60.0%,-20.6,+0.4
UT Arlington,113-79-4,58.9%,-6.1,+2.3
Colgate,50-35-3,58.8%,-8.1,+2.0
Florida A&M,118-83-0,58.7%,-11.1,+1.8
Arizona,97-69-1,58.4%,-3.0,+1.4
Tennessee,153-113-3,57.5%,-3.7,+1.9
Jacksonville St,187-140-10,57.2%,-6.8,+1.4
Miami,202-152-8,57.1%,-4.9,+1.5
Oakland,127-96-3,57.0%,-7.9,+0.7
N Florida,99-75-2,56.9%,-10.8,+1.2
Purdue FW,125-95-3,56.8%,-6.5,+0.9
Robert Morris,101-78-2,56.4%,-7.9,+0.6
NC Central,71-55-3,56.4%,-11.1,+0.5
Gardner-Webb,86-67-0,56.2%,-8.3,+1.4
Gonzaga,62-49-1,55.9%,-2.8,+2.0
Memphis,134-106-4,55.8%,-4.3,+1.3
Princeton,127-102-5,55.5%,-6.4,+0.8
S Carolina St,108-87-5,55.4%,-12.8,+0.8
Yale,146-118-11,55.3%,-7.3,+1.4
Charleston,131-106-6,55.3%,-4.9,+1.6
Norfolk St,74-60-2,55.2%,-10.3,+0.8
E Tennessee St,109-89-4,55.1%,-6.4,+1.2
Jackson St,88-72-3,55.0%,-12.6,+0.4
E Kentucky,183-150-7,55.0%,-7.9,+1.0
Marquette,172-142-6,54.8%,-5.0,+0.6
Cornell,194-161-11,54.7%,-7.7,+1.3
Creighton,129-108-4,54.4%,-3.3,+1.7
Hofstra,163-137-17,54.3%,-5.9,+1.2
Wisconsin,139-117-12,54.3%,-3.1,+1.7
Army,82-69-3,54.3%,-6.9,+0.3
Temple,177-149-8,54.3%,-5.2,+1.1
NW State,98-83-3,54.1%,-12.2,+0.1
Notre Dame,192-163-5,54.1%,-4.7,+1.4
Presbyterian,106-90-3,54.1%,-9.5,+0.1
Coastal Car,100-85-5,54.1%,-6.2,+0.4
W Kentucky,162-138-3,54.0%,-5.7,+1.0
Manhattan,210-179-7,54.0%,-6.7,+0.2
Lehigh,82-70-0,54.0%,-7.3,+1.1
Xavier,130-111-9,53.9%,-3.0,+1.6
Seton Hall,213-182-3,53.9%,-5.9,+0.7
Canisius,224-193-18,53.7%,-7.3,+0.4
UAB,167-144-6,53.7%,-4.7,+1.5
Kentucky,87-75-2,53.7%,-2.5,+2.1
UCSD,37-32-2,53.6%,-4.5,+2.2
Prairie View,82-71-3,53.6%,-12.2,+0.9
Saint Peter's,212-184-11,53.5%,-7.0,+0.8
Texas A&M-CC,76-66-2,53.5%,-8.2,+1.4
Providence,216-188-5,53.5%,-4.9,+1.4
Stony Brook,85-74-2,53.5%,-7.9,+0.5
Kent St,148-129-7,53.4%,-4.3,+1.4
Texas,152-133-3,53.3%,-4.8,+0.7
Wofford,185-162-3,53.3%,-7.7,+0.9
Siena,198-174-6,53.2%,-6.0,+0.9
Mississippi St,182-160-11,53.2%,-6.1,+0.4
SC Upstate,116-102-3,53.2%,-9.6,+0.6
Troy,183-161-8,53.2%,-6.4,+1.3
UConn,109-96-3,53.2%,-4.2,+1.1
Campbell,78-69-2,53.1%,-5.6,+1.3
Duke,35-31-2,53.0%,-0.9,+3.1
Hampton,114-101-1,53.0%,-8.0,+0.6
Weber St,148-132-1,52.9%,-6.8,+0.1
Radford,65-58-4,52.9%,-7.5,+1.7
Idaho,261-233-12,52.8%,-8.1,+0.7
N Illinois,271-242-15,52.8%,-8.8,0.0
Louisiana Tech,168-150-7,52.8%,-6.8,+0.2
Harvard,140-125-5,52.8%,-7.0,+0.9
Penn St,255-228-10,52.8%,-7.4,+0.7
Milwaukee,212-190-11,52.7%,-7.5,+0.7
E Texas A&M,39-35-2,52.7%,-10.4,-0.1
Kansas City,128-115-4,52.7%,-8.3,+0.9
Villanova,130-117-5,52.6%,-3.8,+1.4
Oregon,161-145-4,52.6%,-5.0,+1.2
Arkansas St,203-183-10,52.6%,-6.8,+0.5
Santa Clara,215-194-14,52.6%,-7.8,+0.1
Florida St,195-176-5,52.6%,-6.6,+0.5
Stetson,103-93-6,52.6%,-9.7,+0.3
Monmouth,114-103-4,52.5%,-8.8,+0.1
Boise St,166-150-5,52.5%,-5.2,+1.0
Wright St,178-161-9,52.5%,-6.3,+0.6
Michigan St,108-98-4,52.4%,-3.8,+1.0
Southern,65-59-4,52.4%,-13.1,+0.6
N Colorado,119-108-6,52.4%,-6.9,+1.1
Butler,152-138-9,52.4%,-5.5,+0.3
Omaha,131-119-2,52.4%,-10.0,-0.2
Long Beach St,241-219-11,52.4%,-8.9,0.0
Dayton,133-121-3,52.4%,-3.8,+1.7
Niagara,212-193-4,52.4%,-6.5,+0.6
Georgia Tech,245-223-7,52.4%,-6.6,+0.6
S Alabama,201-183-5,52.3%,-6.7,+0.5
Belmont,58-53-2,52.3%,-5.6,+1.1
N Texas,209-191-10,52.3%,-8.8,+0.4
South Dakota,117-107-3,52.2%,-7.9,+0.1
Saint Louis,205-188-2,52.2%,-6.7,+0.5
N Iowa,182-167-6,52.2%,-5.0,+0.8
Towson,208-191-10,52.1%,-8.6,+0.4
Tarleton St,49-45-0,52.1%,-8.5,+1.1
Clemson,162-149-10,52.1%,-6.6,+0.4
Fresno St,199-183-8,52.1%,-6.2,+0.9
Miami OH,230-212-13,52.0%,-6.3,+0.8
Portland St,191-176-12,52.0%,-7.0,+0.7
UMBC,78-72-2,52.0%,-7.3,+1.6
Utah Valley,71-66-1,51.8%,-6.5,+1.6
Illinois Chicago,257-239-9,51.8%,-7.5,+0.1
Maine,101-94-4,51.8%,-10.5,+0.2
Mt St Mary's,88-82-2,51.8%,-7.7,+1.1
Nevada,134-125-6,51.7%,-5.6,+0.9
UC Irvine,165-154-10,51.7%,-6.3,+1.1
Delaware,210-196-8,51.7%,-7.7,-0.1
Kansas St,195-182-7,51.7%,-6.2,+0.8
Lafayette,91-85-2,51.7%,-8.4,-0.1
UC Davis,155-145-3,51.7%,-7.5,+0.4
NC A&T,93-87-2,51.7%,-10.5,+0.4
Vanderbilt,217-203-10,51.7%,-6.2,+0.4
UC Riverside,234-219-13,51.7%,-8.3,+0.3
App State,187-175-12,51.7%,-6.9,+0.8
San Diego,233-218-6,51.7%,-8.2,+0.8
Saint Joseph's,192-180-12,51.6%,-6.0,+0.6
George Mason,176-165-3,51.6%,-5.6,+0.9
Mercer,99-93-3,51.6%,-6.5,+0.1
Wichita St,132-124-10,51.6%,-5.3,+0.5
Binghamton,104-98-4,51.5%,-9.8,+0.4
Boston College,242-228-15,51.5%,-7.2,+0.7
Texas A&M,193-182-6,51.5%,-7.4,+0.1
Tennessee St,211-199-9,51.5%,-9.6,0.0
St John's,211-199-9,51.5%,-7.0,+0.4
Rider,178-168-6,51.5%,-6.4,+0.6
Baylor,166-157-10,51.4%,-7.2,+0.5
S Dakota St,74-70-3,51.4%,-6.1,+0.9
Iowa St,188-178-11,51.4%,-6.9,+0.2
UCSB,151-143-6,51.4%,-6.3,+0.3
Maryland ES,99-94-4,51.3%,-15.0,-0.6
American,108-103-3,51.2%,-8.2,-0.1
NJIT,87-83-3,51.2%,-9.8,+0.2
Columbia,175-167-5,51.2%,-9.8,-0.4
Jacksonville,90-86-2,51.1%,-8.9,+0.2
Syracuse,138-132-7,51.1%,-4.4,+1.2
Grand Canyon,46-44-0,51.1%,-6.4,-0.3
Richmond,180-173-10,51.0%,-5.7,+0.9
Marist,222-214-10,50.9%,-7.6,+0.3
Drake,222-214-16,50.9%,-7.0,+0.3
NC Wilmington,201-194-18,50.9%,-7.8,+0.2
UNLV,143-138-6,50.9%,-5.8,+0.3
UMass Lowell,57-55-1,50.9%,-7.8,+0.7
Albany,87-84-3,50.9%,-7.3,+0.9
F Dickinson,88-85-0,50.9%,-9.0,+0.8
Alabama St,90-87-4,50.9%,-12.8,-0.4
Loyola MD,186-180-6,50.8%,-8.8,+0.1
USC,194-188-2,50.8%,-5.8,+0.6
Ohio,164-159-7,50.8%,-6.6,-0.2
UMass,200-194-4,50.8%,-6.3,+0.3
High Point,67-65-2,50.8%,-8.7,-0.9
Akron,137-133-3,50.7%,-6.4,-0.1
Drexel,172-167-10,50.7%,-6.0,+0.2
Middle Tenn,175-170-6,50.7%,-6.8,+0.3
Grambling,71-69-1,50.7%,-10.8,+1.4
Valparaiso,146-142-8,50.7%,-7.4,+0.2
San Francisco,184-179-10,50.7%,-7.9,+0.2
Brown,191-186-5,50.7%,-8.2,+0.6
Bucknell,80-78-2,50.6%,-8.0,+0.2
Oklahoma,160-156-5,50.6%,-5.5,+0.5
Boston U,82-80-4,50.6%,-6.8,+0.8
Cal Baptist,41-40-3,50.6%,-7.0,+0.2
Merrimack,41-40-3,50.6%,-8.2,+0.7
Incarnate Word,85-83-1,50.6%,-10.7,-0.3
Georgetown,178-174-7,50.6%,-6.3,+0.6
Mississippi,185-181-4,50.6%,-6.2,-0.1
Florida,93-91-5,50.5%,-3.9,+1.0
UCLA,142-139-3,50.5%,-5.2,+0.5
Chattanooga,167-164-5,50.5%,-7.6,+0.3
Indiana St,224-220-11,50.5%,-6.8,+0.3
Hawai'i,167-164-4,50.5%,-6.0,+0.8
