Team,Over Record,Over %,Under %,Total +/-
Queens,31-15-2,67.4%,32.6%,+3.6
Le Moyne,25-14-0,64.1%,35.9%,+3.2
Grand Canyon,50-31-0,61.7%,38.3%,+3.5
Idaho St,203-126-6,61.7%,38.3%,+3.5
NC Asheville,68-43-2,61.3%,38.7%,+2.6
Buffalo,145-97-4,59.9%,40.1%,+4.4
Incarnate Word,75-51-2,59.5%,40.5%,+3.4
North Dakota,121-83-1,59.3%,40.7%,+2.9
Omaha,116-83-0,58.3%,41.7%,+3.2
Belmont,60-43-1,58.3%,41.8%,+3.7
C Arkansas,89-65-2,57.8%,42.2%,+3.0
W Georgia,15-11-0,57.7%,42.3%,+2.8
SIU Edward,126-93-2,57.5%,42.5%,+1.7
Samford,152-113-2,57.4%,42.6%,+2.9
S Dakota St,75-56-1,57.3%,42.8%,+2.8
Youngstown St,180-135-1,57.1%,42.9%,+3.8
N Florida,72-55-4,56.7%,43.3%,+2.1
Harvard,113-87-1,56.5%,43.5%,+2.9
UTSA,118-91-2,56.5%,43.5%,+2.2
Portland St,142-110-2,56.4%,43.7%,+2.7
E Tennessee St,81-63-2,56.3%,43.8%,+0.6
E Texas A&M,36-28-0,56.3%,43.8%,+4.7
Bellarmine,45-35-1,56.3%,43.8%,+2.1
Gardner-Webb,73-57-2,56.2%,43.9%,+2.9
N Colorado,124-97-2,56.1%,43.9%,+3.5
Kentucky,107-84-2,56.0%,44.0%,+0.7
Delaware St,94-74-1,56.0%,44.1%,+2.6
Northeastern,149-118-4,55.8%,44.2%,+1.0
Oakland,111-88-2,55.8%,44.2%,+3.3
Lipscomb,63-50-2,55.8%,44.3%,+4.3
New Orleans,123-98-2,55.7%,44.3%,+2.4
Loyola MD,134-107-6,55.6%,44.4%,+2.1
SE Missouri St,175-140-6,55.6%,44.4%,+2.9
Boise St,125-100-4,55.6%,44.4%,+3.0
UCSD,30-24-1,55.6%,44.4%,+4.5
Auburn,151-122-3,55.3%,44.7%,+2.2
Nevada,121-98-2,55.3%,44.8%,+2.1
North Carolina,122-99-1,55.2%,44.8%,+2.6
BYU,107-87-3,55.2%,44.9%,+2.3
Utah Valley,59-48-1,55.1%,44.9%,+0.2
Weber St,119-97-3,55.1%,44.9%,+1.9
Milwaukee,157-128-2,55.1%,44.9%,+1.3
Hampton,77-63-2,55.0%,45.0%,+0.6
Missouri St,157-129-2,54.9%,45.1%,+1.7
Texas So,68-56-4,54.8%,45.2%,+3.0
SC Upstate,91-75-0,54.8%,45.2%,+0.6
UMass,171-141-3,54.8%,45.2%,+1.9
CS Bakersfield,74-61-0,54.8%,45.2%,+2.9
Wofford,126-104-4,54.8%,45.2%,+2.0
Maine,84-70-2,54.6%,45.5%,+0.5
Drake,140-117-6,54.5%,45.5%,+1.6
Oral Roberts,99-83-1,54.4%,45.6%,+0.7
Montana,106-89-3,54.4%,45.6%,+2.5
Baylor,119-100-3,54.3%,45.7%,+2.2
Mississippi,159-134-6,54.3%,45.7%,+2.8
Wyoming,172-145-4,54.3%,45.7%,+1.4
NJIT,77-65-0,54.2%,45.8%,+0.5
Florida Intl,175-148-2,54.2%,45.8%,+1.2
Troy,150-127-7,54.2%,45.9%,+1.8
S Utah,134-114-3,54.0%,46.0%,+1.6
George Mason,137-117-0,53.9%,46.1%,+1.4
Arkansas St,153-131-2,53.9%,46.1%,+2.9
Boston College,181-156-4,53.7%,46.3%,+1.8
Colorado St,146-126-4,53.7%,46.3%,+2.1
Nicholls,51-44-0,53.7%,46.3%,+2.5
Dayton,118-102-4,53.6%,46.4%,+2.3
Delaware,164-142-2,53.6%,46.4%,+1.4
West Virginia,142-123-5,53.6%,46.4%,+2.0
Providence,157-136-3,53.6%,46.4%,+2.2
Texas St,86-75-5,53.4%,46.6%,+0.2
VCU,96-84-2,53.3%,46.7%,+0.8
Illinois Chicago,184-161-0,53.3%,46.7%,+1.7
Utah Tech,48-42-0,53.3%,46.7%,+1.4
Alcorn St,73-64-0,53.3%,46.7%,+2.2
Ohio,132-116-5,53.2%,46.8%,+2.2
Duquesne,166-146-3,53.2%,46.8%,+2.2
Richmond,144-127-2,53.1%,46.9%,+1.2
Iowa St,146-129-7,53.1%,46.9%,+1.5
Austin Peay,147-130-7,53.1%,46.9%,+3.6
Marquette,130-115-1,53.1%,46.9%,+2.4
Green Bay,156-138-3,53.1%,46.9%,+1.3
Rhode Island,149-132-2,53.0%,47.0%,+1.1
South Carolina,163-145-7,52.9%,47.1%,+0.8
