Team,Over Record,Over %,Under %,Total +/-
Mercyhurst,5-2-0,71.4%,28.6%,+3.8
C Arkansas,41-18-1,69.5%,30.5%,+8.0
SC Upstate,36-18-0,66.7%,33.3%,+3.6
Holy Cross,35-18-1,66.0%,34.0%,+4.1
N Kentucky,40-21-1,65.6%,34.4%,+5.4
North Dakota,49-26-1,65.3%,34.7%,+4.8
New Orleans,49-27-3,64.5%,35.5%,+3.8
Lamar,33-19-0,63.5%,36.5%,+0.3
Milwaukee,87-51-0,63.0%,37.0%,+3.8
McNeese,31-19-1,62.0%,38.0%,+3.4
Le Moyne,14-9-0,60.9%,39.1%,+8.0
Stonehill,17-11-0,60.7%,39.3%,+2.1
NC A&T,37-24-0,60.7%,39.3%,+3.7
Oral Roberts,66-44-2,60.0%,40.0%,+2.2
Purdue FW,60-41-0,59.4%,40.6%,+5.2
St Thomas,19-13-1,59.4%,40.6%,+4.4
Tulane,71-49-4,59.2%,40.8%,+2.6
Queens,13-9-1,59.1%,40.9%,+3.5
Portland St,62-43-3,59.1%,41.0%,+4.0
South Dakota,56-39-1,59.0%,41.1%,+1.6
Marshall,71-50-2,58.7%,41.3%,+4.5
Evansville,79-56-0,58.5%,41.5%,+2.7
Providence,124-88-5,58.5%,41.5%,+3.2
NW State,29-21-3,58.0%,42.0%,+4.5
Stetson,30-22-2,57.7%,42.3%,+2.4
Iowa St,80-59-1,57.6%,42.5%,+2.3
Rhode Island,89-66-2,57.4%,42.6%,+2.1
Wake Forest,130-97-2,57.3%,42.7%,+2.2
Ball St,60-45-3,57.1%,42.9%,+3.2
Winthrop,32-24-1,57.1%,42.9%,+2.7
Idaho,58-44-3,56.9%,43.1%,+1.1
Yale,38-29-0,56.7%,43.3%,+2.3
Syracuse,115-88-2,56.7%,43.4%,+3.7
UTSA,30-23-0,56.6%,43.4%,+3.9
Denver,87-67-0,56.5%,43.5%,+1.6
Weber St,48-37-1,56.5%,43.5%,-0.6
Maine,35-27-0,56.5%,43.6%,+1.3
Utah Tech,22-17-0,56.4%,43.6%,+2.3
S Dakota St,53-41-1,56.4%,43.6%,+3.3
S Alabama,63-49-2,56.3%,43.8%,+2.7
Abl Christian,27-21-0,56.3%,43.8%,+3.7
