Team,ATS Record,Cover %,MOV,ATS +/-
New Haven,2-0-0,100.0%,-5.5,+15.0
Omaha,95-58-2,62.1%,-2.4,+1.5
St Thomas,48-30-2,61.5%,3.3,+2.6
UCSD,49-31-0,61.3%,3.6,+1.9
Penn St,77-51-2,60.2%,3.3,+1.8
Wisconsin,77-51-6,60.2%,6.5,+1.6
Nevada,100-68-4,59.5%,5.1,+0.8
Memphis,77-53-2,59.2%,5.7,+1.5
Stony Brook,86-60-5,58.9%,-0.1,+0.8
Utah Valley,91-65-2,58.3%,2.2,+2.9
Florida A&M,69-50-0,58.0%,-5.9,+0.9
Robert Morris,89-65-2,57.8%,-1.5,+0.9
Furman,108-79-1,57.8%,6.3,+1.4
Creighton,82-60-3,57.8%,6.1,+1.3
Mercyhurst,15-11-0,57.7%,-5.4,+2.5
Queens,35-26-2,57.4%,0.8,+1.3
Houston,88-66-3,57.1%,12.5,+2.8
Louisville,84-63-5,57.1%,4.5,+0.6
Hampton,74-56-1,56.9%,-2.7,+0.8
Colgate,75-57-3,56.8%,4.7,+2.1
Michigan,84-64-1,56.8%,7.5,+2.9
UCF,85-65-1,56.7%,3.2,+2.0
USC,107-82-0,56.6%,5.3,+1.4
Jackson St,75-58-1,56.4%,-1.8,+0.6
S Carolina St,68-53-4,56.2%,-5.1,+0.6
Drake,101-79-3,56.1%,2.7,+1.4
Tenn Tech,97-76-3,56.1%,-4.0,+0.4
Yale,90-71-7,55.9%,5.6,+0.9
Oakland,103-82-4,55.7%,1.4,-0.4
Rutgers,50-40-3,55.6%,0.4,+0.5
Maine,66-53-2,55.5%,-7.0,+1.4
Louisiana Tech,107-86-1,55.4%,4.3,+0.1
Presbyterian,68-55-4,55.3%,-5.6,+0.5
Auburn,107-87-2,55.2%,5.2,+0.2
Butler,81-66-4,55.1%,5.0,+0.9
Kansas St,93-76-2,55.0%,1.0,+0.5
Baylor,94-77-4,55.0%,7.0,+1.0
Belmont,101-83-6,54.9%,8.4,+0.9
Niagara,85-70-0,54.8%,-2.6,+0.3
San Diego St,92-76-7,54.8%,7.3,+0.8
Santa Clara,92-76-7,54.8%,-0.4,+0.8
Tarleton St,46-38-1,54.8%,-1.9,+1.5
NC Central,64-53-2,54.7%,0.3,+0.5
S Alabama,105-87-2,54.7%,-1.1,-0.1
South Carolina,94-78-2,54.7%,0.8,+0.5
Jacksonville St,101-84-4,54.6%,1.2,+1.2
Nebraska,66-55-1,54.6%,2.3,+0.5
SE Louisiana,73-61-3,54.5%,-1.9,+0.1
Lafayette,80-67-1,54.4%,-4.0,-0.2
UCSB,94-79-1,54.3%,3.2,+0.3
St Bonaventure,84-71-7,54.2%,4.7,+1.2
William & Mary,105-89-4,54.1%,-1.2,+0.6
Fresno St,81-69-1,54.0%,1.3,+0.6
Marist,75-64-2,54.0%,-1.4,+1.4
N Illinois,97-83-3,53.9%,-2.6,+0.9
NC Greensboro,107-92-2,53.8%,3.9,+1.0
UConn,73-63-3,53.7%,8.6,+0.9
Texas A&M-CC,73-63-3,53.7%,1.2,+1.2
San Jose St,74-64-2,53.6%,-8.9,0.0
Alcorn St,67-58-3,53.6%,-3.2,+0.5
Duke,92-80-3,53.5%,13.0,+0.8
E Tennessee St,102-89-5,53.4%,3.8,+0.4
NW State,72-63-2,53.3%,-5.6,+1.5
Virginia,89-78-6,53.3%,7.2,-0.5
Syracuse,84-74-4,53.2%,1.8,+0.4
Stetson,76-67-5,53.2%,-4.4,+1.2
