Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,9-2-1,81.8%,5.1,+7.0
Utah Tech,21-7-1,75.0%,5.6,+4.4
Queens,26-10-1,72.2%,3.9,+2.4
Maryland ES,37-16-1,69.8%,-4.8,+2.4
Florida A&M,24-12-0,66.7%,-8.6,+3.0
St Thomas,20-11-0,64.5%,8.5,+3.1
Saint Mary's,52-31-0,62.7%,15.2,+3.8
Portland St,30-19-1,61.2%,9.3,+1.3
UT Arlington,40-26-0,60.6%,3.1,+2.9
UC Riverside,49-32-1,60.5%,1.4,+1.8
NC Central,33-22-4,60.0%,6.6,+1.3
Manhattan,52-35-1,59.8%,-2.8,+0.8
Arkansas St,52-35-2,59.8%,1.2,+0.9
Jacksonville St,47-32-2,59.5%,3.9,+3.5
Tarleton St,19-13-0,59.4%,7.3,+1.7
Omaha,58-41-2,58.6%,0.1,+1.2
Wichita St,108-77-5,58.4%,8.4,+1.6
Penn,28-20-1,58.3%,0.3,+1.0
VCU,118-85-2,58.1%,6.9,+1.7
Furman,97-70-5,58.1%,8.5,+1.9
N Florida,51-38-2,57.3%,1.1,+1.5
Sam Houston,55-41-2,57.3%,6.2,+0.8
Jackson St,28-21-1,57.1%,-7.1,+1.5
Hofstra,48-36-0,57.1%,6.8,+1.8
NC Greensboro,89-67-2,57.1%,5.9,+1.9
Purdue FW,73-55-2,57.0%,5.1,+1.8
Kansas St,117-89-4,56.8%,1.1,+1.3
SE Louisiana,47-36-1,56.6%,-0.8,+0.6
Troy,43-33-1,56.6%,6.5,+1.6
Southern Miss,44-34-1,56.4%,-0.1,+1.6
Portland,31-24-0,56.4%,0.3,+0.9
Jacksonville,50-39-1,56.2%,3.8,+1.1
Toledo,129-101-1,56.1%,5.7,+1.1
NC Asheville,60-47-2,56.1%,4.8,+1.5
W Kentucky,47-37-3,56.0%,4.4,+0.1
Creighton,118-93-2,55.9%,7.6,+1.7
Michigan St,109-86-3,55.9%,8.3,+0.8
Coppin St,34-27-1,55.7%,-12.2,+1.7
Marist,44-35-1,55.7%,-1.9,+0.9
Long Beach St,49-39-3,55.7%,-3.5,-0.7
Maine,66-53-3,55.5%,-6.7,+0.6
Chicago St,42-34-0,55.3%,-10.6,+1.1
Drexel,42-34-3,55.3%,1.9,+1.7
Houston,100-81-3,55.3%,14.0,+2.5
Penn St,111-90-4,55.2%,1.2,+0.8
Arizona,64-52-4,55.2%,14.2,+2.2
Robert Morris,45-37-1,54.9%,-0.2,+0.4
Oregon,68-56-1,54.8%,7.9,+0.5
Niagara,40-33-1,54.8%,-0.7,+1.1
S Alabama,40-33-0,54.8%,1.7,-0.1
Cal Baptist,40-33-0,54.8%,7.3,+1.4
Virginia,93-77-5,54.7%,7.1,-0.8
Oakland,47-39-0,54.7%,3.3,+0.4
Louisville,100-83-8,54.6%,5.3,+1.0
Nevada,107-89-3,54.6%,5.9,+0.7
Army,90-75-2,54.6%,-0.6,-0.4
Indiana St,108-90-7,54.6%,2.7,+0.9
Boise St,102-85-4,54.6%,7.4,+1.6
Youngstown St,54-45-1,54.6%,4.0,+1.2
UCSD,12-10-1,54.6%,6.4,+2.6
CS Northridge,55-46-2,54.5%,-3.0,-0.7
NC Wilmington,38-32-3,54.3%,3.8,-0.4
Lipscomb,58-49-0,54.2%,5.6,+1.7
Detroit Mercy,58-49-1,54.2%,-5.9,-0.3
Colgate,78-66-0,54.2%,3.8,+0.5
UC Irvine,52-44-3,54.2%,8.0,+1.4
High Point,65-55-1,54.2%,3.4,-0.2
Grambling,33-28-1,54.1%,-2.4,+2.1
Vermont,68-58-2,54.0%,10.2,+0.2
New Hampshire,63-54-2,53.9%,-1.5,+0.7
Mercer,86-74-2,53.8%,1.6,+0.2
Providence,115-99-1,53.7%,3.5,+0.5
Norfolk St,29-25-1,53.7%,0.0,+2.0
BYU,58-50-2,53.7%,7.2,-0.2
S Florida,102-88-5,53.7%,-2.4,+0.3
Villanova,111-96-3,53.6%,8.9,+0.6
Austin Peay,45-39-4,53.6%,-2.4,+0.2
Ohio,108-94-3,53.5%,2.7,-0.3
UAB,62-54-1,53.5%,8.6,-0.3
Florida,117-102-2,53.4%,7.2,+1.2
Auburn,120-105-5,53.3%,6.1,+0.9
W Georgia,8-7-0,53.3%,-2.9,+1.3
Georgia Tech,115-101-1,53.2%,-1.2,+0.3
Fresno St,109-96-3,53.2%,1.0,+0.4
Wagner,42-37-2,53.2%,2.3,+0.5
Towson,34-30-1,53.1%,7.9,+0.9
Arkansas,121-107-2,53.1%,4.8,+0.1
Denver,52-46-1,53.1%,-1.3,+0.5
St Bonaventure,105-93-7,53.0%,4.4,+0.9
Kansas City,36-32-0,52.9%,-1.6,+1.4
Brown,27-24-1,52.9%,0.2,+1.3
E Texas A&M,9-8-0,52.9%,-1.1,-1.3
Clemson,100-89-5,52.9%,4.9,+0.8
E Tennessee St,83-74-4,52.9%,3.7,+0.6
UCF,102-91-1,52.9%,2.8,+1.5
Belmont,65-58-3,52.9%,5.9,+1.1
Baylor,84-75-6,52.8%,7.1,+0.7
N Kentucky,56-50-1,52.8%,6.4,+1.8
Stony Brook,57-51-5,52.8%,2.0,-0.9
