Team,Over Record,Over %,Under %,Total +/-
Tulane,2-0-0,100.0%,0.0%,+23.5
UCSB,2-0-0,100.0%,0.0%,+25.0
W Illinois,1-0-0,100.0%,0.0%,+3.0
Kansas City,3-0-0,100.0%,0.0%,+27.0
Oakland,1-0-0,100.0%,0.0%,+42.5
Robert Morris,1-0-0,100.0%,0.0%,+33.5
Miami OH,4-0-0,100.0%,0.0%,+18.9
Akron,2-0-1,100.0%,0.0%,+12.2
Alcorn St,2-0-0,100.0%,0.0%,+29.3
Jackson St,2-0-0,100.0%,0.0%,+11.0
Southern,3-0-0,100.0%,0.0%,+22.0
Chattanooga,1-0-0,100.0%,0.0%,+7.5
NC Wilmington,4-0-0,100.0%,0.0%,+3.4
Coppin St,5-0-0,100.0%,0.0%,+13.0
Hampton,1-0-0,100.0%,0.0%,+31.0
Indiana St,1-0-0,100.0%,0.0%,+15.0
S Illinois,3-0-0,100.0%,0.0%,+23.0
New Mexico,3-0-0,100.0%,0.0%,+5.5
Utah,5-0-0,100.0%,0.0%,+10.4
Denver,2-0-1,100.0%,0.0%,+16.5
Kansas St,2-0-0,100.0%,0.0%,+5.0
Baylor,4-0-0,100.0%,0.0%,+19.8
SE Missouri St,3-0-0,100.0%,0.0%,+10.8
Milwaukee,2-0-0,100.0%,0.0%,+21.0
Cornell,1-0-0,100.0%,0.0%,+13.5
UL Monroe,3-0-0,100.0%,0.0%,+22.5
Mississippi,4-0-0,100.0%,0.0%,+2.1
N Florida,1-0-0,100.0%,0.0%,+2.5
Seattle,3-0-0,100.0%,0.0%,+11.7
Tarleton St,2-0-0,100.0%,0.0%,+22.8
Incarnate Word,4-0-0,100.0%,0.0%,+16.5
CS Bakersfield,3-0-0,100.0%,0.0%,+16.2
UMass Lowell,2-0-0,100.0%,0.0%,+3.8
Maryland,5-1-0,83.3%,16.7%,+4.0
S Florida,5-1-0,83.3%,16.7%,+17.6
Lafayette,5-1-0,83.3%,16.7%,+2.9
CS Fullerton,5-1-0,83.3%,16.7%,+8.8
Gardner-Webb,5-1-0,83.3%,16.7%,+1.3
Vanderbilt,5-1-0,83.3%,16.7%,+12.1
UC Riverside,4-1-0,80.0%,20.0%,+5.1
UNLV,4-1-0,80.0%,20.0%,+13.2
New Orleans,4-1-0,80.0%,20.0%,+6.2
Texas A&M,4-1-0,80.0%,20.0%,+1.6
Providence,4-1-0,80.0%,20.0%,+17.0
High Point,4-1-0,80.0%,20.0%,+7.2
Purdue FW,4-1-0,80.0%,20.0%,+0.9
Kennesaw St,4-1-0,80.0%,20.0%,+13.8
Iona,3-1-0,75.0%,25.0%,+13.0
California,3-1-0,75.0%,25.0%,+1.9
Minnesota,3-1-0,75.0%,25.0%,+0.4
Indiana,3-1-0,75.0%,25.0%,0.0
Iowa,3-1-0,75.0%,25.0%,+1.8
Holy Cross,3-1-0,75.0%,25.0%,+1.3
Army,3-1-0,75.0%,25.0%,+3.0
CS Northridge,3-1-0,75.0%,25.0%,+5.0
Monmouth,3-1-0,75.0%,25.0%,+5.3
Temple,3-1-0,75.0%,25.0%,+5.8
Saint Joseph's,3-1-0,75.0%,25.0%,+6.0
NC Greensboro,3-1-0,75.0%,25.0%,+15.6
William & Mary,3-1-1,75.0%,25.0%,+2.8
E Washington,3-1-0,75.0%,25.0%,-0.3
Murray St,3-1-0,75.0%,25.0%,+2.3
Charleston So,3-1-0,75.0%,25.0%,+11.5
Columbia,3-1-0,75.0%,25.0%,+1.8
South Carolina,3-1-0,75.0%,25.0%,+11.6
FGCU,3-1-0,75.0%,25.0%,+18.3
S Indiana,3-1-0,75.0%,25.0%,+6.6
Marist,2-1-0,66.7%,33.3%,-1.2
TCU,2-1-0,66.7%,33.3%,-1.5
Penn St,2-1-0,66.7%,33.3%,+13.5
American,2-1-0,66.7%,33.3%,+2.0
Lehigh,4-2-0,66.7%,33.3%,+3.6
Cal Poly,2-1-0,66.7%,33.3%,+3.3
Sacred Heart,2-1-0,66.7%,33.3%,+21.5
Kent St,2-1-0,66.7%,33.3%,+27.0
Buffalo,4-2-0,66.7%,33.3%,+7.1
Miss Valley St,2-1-0,66.7%,33.3%,+8.0
Alabama St,2-1-0,66.7%,33.3%,-0.7
G Washington,4-2-0,66.7%,33.3%,+3.9
Duquesne,2-1-0,66.7%,33.3%,+6.5
Lipscomb,4-2-0,66.7%,33.3%,+2.1
Stetson,2-1-0,66.7%,33.3%,+7.8
Campbell,2-1-0,66.7%,33.3%,+6.3
W Carolina,2-1-0,66.7%,33.3%,+4.0
Davidson,2-1-0,66.7%,33.3%,-7.0
Hofstra,2-1-0,66.7%,33.3%,+2.7
Old Dominion,2-1-1,66.7%,33.3%,-0.1
Drexel,2-1-0,66.7%,33.3%,-4.7
UMBC,2-1-0,66.7%,33.3%,+4.3
Vermont,2-1-0,66.7%,33.3%,+18.2
Montana St,2-1-0,66.7%,33.3%,+3.8
Montana,2-1-0,66.7%,33.3%,+13.2
