Team,Over Record,Over %,Under %,Total +/-
Siena,1-0-0,100.0%,0.0%,+1.5
Maryland,5-0-0,100.0%,0.0%,+13.7
Virginia,1-0-0,100.0%,0.0%,+2.5
California,2-0-0,100.0%,0.0%,+20.0
Oregon St,1-0-0,100.0%,0.0%,+20.0
Northwestern,2-0-0,100.0%,0.0%,+7.0
Ohio St,1-0-0,100.0%,0.0%,+5.0
UC Irvine,1-0-0,100.0%,0.0%,+0.5
Valparaiso,4-0-0,100.0%,0.0%,+5.5
Akron,1-0-0,100.0%,0.0%,+12.0
Richmond,1-0-0,100.0%,0.0%,+4.0
E Tennessee St,2-0-0,100.0%,0.0%,+12.5
Chattanooga,3-0-0,100.0%,0.0%,+13.8
NC Wilmington,1-0-0,100.0%,0.0%,+6.5
N Iowa,1-0-0,100.0%,0.0%,+1.0
BYU,1-0-0,100.0%,0.0%,+14.5
New Mexico,4-0-0,100.0%,0.0%,+7.3
Montana,3-0-0,100.0%,0.0%,+16.7
Denver,6-0-1,100.0%,0.0%,+13.5
Florida Intl,3-0-0,100.0%,0.0%,+14.5
Baylor,1-0-0,100.0%,0.0%,+17.5
Nebraska,1-0-0,100.0%,0.0%,+6.5
Saint Mary's,1-0-0,100.0%,0.0%,+18.5
West Virginia,2-0-0,100.0%,0.0%,+18.5
St John's,1-0-0,100.0%,0.0%,+7.0
Yale,1-0-0,100.0%,0.0%,+34.5
Sam Houston,4-0-0,100.0%,0.0%,+9.1
Tennessee,1-0-0,100.0%,0.0%,+13.0
Georgia,2-0-0,100.0%,0.0%,+20.0
South Carolina,1-0-1,100.0%,0.0%,+8.3
Mississippi St,1-0-0,100.0%,0.0%,+27.0
Kennesaw St,2-0-0,100.0%,0.0%,+30.8
NW State,8-1-0,88.9%,11.1%,+8.2
UL Monroe,7-1-0,87.5%,12.5%,+14.2
NC Greensboro,6-1-0,85.7%,14.3%,+12.1
Old Dominion,6-1-1,85.7%,14.3%,+7.3
E Washington,6-1-0,85.7%,14.3%,+13.7
Southern,5-1-0,83.3%,16.7%,+20.8
Queens,5-1-0,83.3%,16.7%,+7.8
Chicago St,8-2-0,80.0%,20.0%,+5.4
Quinnipiac,4-1-0,80.0%,20.0%,+13.3
Ohio,4-1-0,80.0%,20.0%,+7.9
Gardner-Webb,8-2-0,80.0%,20.0%,+6.7
J Madison,4-1-0,80.0%,20.0%,+7.8
S Alabama,4-1-0,80.0%,20.0%,+6.8
Cornell,4-1-0,80.0%,20.0%,+16.5
Purdue FW,4-1-0,80.0%,20.0%,+5.1
Tarleton St,4-1-0,80.0%,20.0%,+13.7
Long Beach St,7-2-1,77.8%,22.2%,+8.6
Tulane,3-1-0,75.0%,25.0%,+17.3
American,3-1-0,75.0%,25.0%,+6.6
Idaho,3-1-0,75.0%,25.0%,+5.5
S Utah,6-2-0,75.0%,25.0%,+4.8
Campbell,3-1-1,75.0%,25.0%,+4.7
Wofford,3-1-0,75.0%,25.0%,+4.3
Drexel,3-1-0,75.0%,25.0%,+7.1
Arkansas St,3-1-0,75.0%,25.0%,+9.6
Murray St,3-1-0,75.0%,25.0%,+18.3
Virginia Tech,3-1-0,75.0%,25.0%,+17.4
Providence,3-1-0,75.0%,25.0%,+24.6
SMU,3-1-0,75.0%,25.0%,+3.4
Nevada,3-1-0,75.0%,25.0%,+10.3
Illinois Chicago,3-1-0,75.0%,25.0%,+7.0
Youngstown St,3-1-0,75.0%,25.0%,+7.5
Harvard,3-1-0,75.0%,25.0%,+7.1
