Team,ATS Record,Cover %,MOV,ATS +/-
New Haven,2-0-0,100.0%,-5.5,+15.0
St Thomas,48-30-2,61.5%,3.3,+2.6
UCSD,49-31-0,61.3%,3.6,+1.9
Omaha,112-78-2,59.0%,-2.5,+1.2
Memphis,244-171-8,58.8%,8.1,+1.6
Robert Morris,112-83-2,57.4%,0.8,+0.7
Queens,35-26-2,57.4%,0.8,+1.3
Mercyhurst,16-12-0,57.1%,-6.7,+1.9
Nevada,238-180-9,56.9%,2.8,+0.6
Stony Brook,100-76-5,56.8%,-1.0,+0.5
Hampton,90-69-1,56.6%,0.2,+0.8
S Carolina St,82-64-5,56.2%,-2.3,+0.8
Colgate,84-66-4,56.0%,0.0,+1.8
Jackson St,86-68-1,55.8%,-1.4,+0.2
Yale,227-180-11,55.8%,2.1,+0.9
Florida A&M,82-66-0,55.4%,-5.8,+0.5
Oakland,161-130-6,55.3%,0.9,-0.2
Creighton,234-189-10,55.3%,6.6,+0.8
Jacksonville St,199-162-10,55.1%,-1.7,+0.6
NC Central,77-63-2,55.0%,-0.3,+0.7
Louisville,216-177-13,55.0%,6.9,+0.9
Wisconsin,207-170-11,54.9%,7.0,+0.9
Butler,241-199-15,54.8%,6.7,+1.4
Tarleton St,46-38-1,54.8%,-1.9,+1.5
Utah Valley,99-82-2,54.7%,1.9,+2.0
Texas A&M,235-196-8,54.5%,1.4,+0.2
SE Louisiana,79-66-3,54.5%,-3.0,+0.3
Duke,244-204-10,54.5%,13.8,+1.2
VCU,249-212-15,54.0%,5.8,+0.8
Lafayette,95-81-1,54.0%,-2.4,-0.1
S Alabama,235-201-8,53.9%,-0.5,+0.1
Furman,210-180-4,53.9%,0.2,+0.5
Utah,251-216-14,53.8%,3.2,+0.6
Akron,247-213-10,53.7%,4.0,+0.6
Weber St,233-201-7,53.7%,2.1,+0.3
San Diego St,230-200-10,53.5%,4.8,+1.0
Florida St,171-149-13,53.4%,3.5,+0.5
UCF,159-139-5,53.4%,2.7,+0.8
Villanova,215-188-10,53.4%,7.1,+1.1
Presbyterian,80-70-4,53.3%,-7.6,-0.7
E Tennessee St,156-137-6,53.2%,2.6,+0.4
N Texas,238-209-15,53.2%,-1.4,+0.1
Cornell,201-177-9,53.2%,-1.3,+0.7
Miami,185-163-10,53.2%,3.5,+0.8
Michigan,199-176-2,53.1%,4.4,+1.5
S Dakota St,149-132-2,53.0%,3.6,+1.2
Campbell,89-79-1,53.0%,-3.9,+0.7
Sam Houston,80-71-4,53.0%,2.3,+1.0
Wichita St,206-183-10,53.0%,4.9,+0.1
Maine,72-64-2,52.9%,-4.5,+1.2
St Bonaventure,208-185-9,52.9%,1.0,+0.2
Houston,210-187-8,52.9%,4.0,+1.2
Ohio,255-227-10,52.9%,2.1,+0.2
Texas A&M-CC,83-74-5,52.9%,0.3,+1.1
Stanford,288-257-13,52.8%,4.4,+0.4
Gardner-Webb,93-83-2,52.8%,-1.3,+0.7
Davidson,186-166-8,52.8%,5.2,+0.6
Boston College,169-151-13,52.8%,0.1,+0.7
Towson,226-202-10,52.8%,-2.7,+0.4
UAB,256-229-10,52.8%,4.2,+0.6
New Hampshire,77-69-4,52.7%,-5.3,-0.3
Stetson,87-78-5,52.7%,-4.8,+0.6
C Arkansas,68-61-6,52.7%,-7.8,+0.1
Illinois Chicago,236-212-13,52.7%,-1.9,+0.1
Lipscomb,99-89-2,52.7%,0.3,0.0
Drake,228-206-11,52.5%,-0.2,+0.3
Kansas St,219-198-8,52.5%,2.3,+0.4
Wofford,221-200-6,52.5%,0.7,+0.6
North Carolina,223-202-12,52.5%,8.1,+0.4
Purdue FW,138-125-5,52.5%,-1.6,+0.2
Tenn Tech,213-194-10,52.3%,-2.3,-0.3
Temple,214-195-10,52.3%,2.9,+0.2
NW State,79-72-3,52.3%,-2.3,+0.7
Grambling,68-62-0,52.3%,-6.3,+1.6
Gonzaga,287-262-15,52.3%,13.5,+1.0
Princeton,224-205-9,52.2%,3.8,0.0
Xavier,214-196-11,52.2%,6.6,+0.5
Syracuse,215-197-8,52.2%,5.4,+0.3
F Dickinson,84-77-1,52.2%,-3.2,+1.5
Iowa St,233-214-11,52.1%,2.4,+0.3
Radford,86-79-2,52.1%,-1.2,+0.2
UConn,211-194-7,52.1%,8.1,+0.9
Louisiana Tech,248-228-5,52.1%,2.9,+0.2
Belmont,137-126-7,52.1%,6.8,+0.8
Tennessee,232-214-5,52.0%,4.8,+0.4
Navy,104-96-3,52.0%,-1.2,+0.7
Dayton,218-202-8,51.9%,4.8,+0.6
Northwestern,165-153-5,51.9%,-0.9,0.0
Idaho,235-218-9,51.9%,-3.3,+0.5
UTSA,126-117-6,51.9%,-2.0,+0.7
Iowa,183-170-8,51.8%,4.8,+0.9
NC Asheville,85-79-2,51.8%,-1.0,-0.2
Tulsa,213-198-12,51.8%,1.9,-0.1
Canisius,186-173-14,51.8%,-2.0,-0.2
Manhattan,158-147-9,51.8%,-1.2,-0.1
Green Bay,230-214-17,51.8%,-1.1,+0.4
N Illinois,236-220-11,51.8%,-4.3,0.0
Air Force,196-183-8,51.7%,-3.7,0.0
G Washington,185-173-8,51.7%,0.9,+0.2
West Virginia,217-203-8,51.7%,4.1,+0.5
Georgia So,202-189-9,51.7%,-0.9,+0.4
Kentucky,245-230-7,51.6%,9.4,+0.7
California,286-270-15,51.4%,0.6,-0.3
N Florida,91-86-3,51.4%,-3.8,+0.4
Santa Clara,239-226-12,51.4%,-1.0,-0.1
Pacific,260-246-12,51.4%,0.1,+0.2
