Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,13-7-0,65.0%,0.3,+3.9
Wofford,74-43-0,63.3%,6.1,+3.2
BYU,59-36-3,62.1%,8.1,+2.5
Syracuse,82-52-3,61.2%,3.5,+2.5
Stony Brook,68-44-3,60.7%,1.1,+1.5
Kansas,43-28-2,60.6%,9.6,+1.8
SE Louisiana,68-45-2,60.2%,-1.6,+0.8
Baylor,52-35-4,59.8%,7.3,+1.2
Mississippi St,78-53-3,59.5%,2.5,+1.2
UAB,57-39-2,59.4%,8.7,+1.8
Boise St,59-41-2,59.0%,8.9,+2.5
NC Central,53-37-3,58.9%,6.1,+1.3
W Kentucky,70-49-3,58.8%,3.6,+0.9
Liberty,40-28-0,58.8%,6.9,+0.8
Michigan St,54-38-2,58.7%,7.1,+1.2
Florida A&M,78-56-0,58.2%,-8.1,+1.4
NC Asheville,57-41-1,58.2%,2.5,+1.0
San Diego St,43-31-5,58.1%,10.3,+2.3
St Thomas,29-21-2,58.0%,6.4,+2.3
Utah Valley,53-39-1,57.6%,5.0,+2.5
Presbyterian,73-54-4,57.5%,-2.0,+0.9
Arkansas St,78-58-5,57.4%,1.4,+0.8
Dayton,51-38-4,57.3%,7.4,+1.3
Creighton,61-46-1,57.0%,6.6,+1.7
C Arkansas,82-62-5,56.9%,-4.0,+0.5
Robert Morris,70-53-2,56.9%,-1.6,+0.5
UC Davis,71-54-2,56.8%,2.1,+0.8
Saint Mary's,38-29-1,56.7%,9.3,+0.8
Norfolk St,47-36-0,56.6%,3.4,+2.0
Ohio,69-53-4,56.6%,4.1,+0.6
Queens,26-20-4,56.5%,0.5,+1.2
S Alabama,74-57-1,56.5%,2.5,+1.5
Valparaiso,85-66-3,56.3%,0.2,+0.7
Tarleton St,36-28-0,56.3%,3.0,+1.0
Colgate,42-33-1,56.0%,3.0,+0.8
UT Arlington,71-56-4,55.9%,1.6,+1.2
Georgia Tech,86-68-0,55.8%,-0.7,+0.4
NW State,67-53-3,55.8%,-6.3,+0.7
Campbell,59-47-0,55.7%,4.0,+1.4
Cornell,64-51-0,55.7%,-0.9,+0.9
Texas,70-56-2,55.6%,5.2,+1.1
Buffalo,66-53-2,55.5%,-0.6,0.0
Sam Houston,46-37-2,55.4%,4.3,+0.6
Saint Peter's,77-62-2,55.4%,0.7,+0.9
S Carolina St,78-63-3,55.3%,-6.6,+0.9
Penn St,79-64-1,55.2%,1.0,+1.1
Villanova,48-39-1,55.2%,7.7,-0.1
Gonzaga,22-18-1,55.0%,20.0,+1.7
Maryland,61-50-3,55.0%,4.3,+1.1
Lindenwood,28-23-0,54.9%,1.4,+0.2
Loyola Mymt,79-65-5,54.9%,-0.7,+0.3
Texas A&M-CC,52-43-1,54.7%,2.2,+0.9
Hou Christian,75-62-3,54.7%,-4.1,0.0
Lehigh,58-48-1,54.7%,-0.2,-0.4
UMass Lowell,58-48-1,54.7%,3.1,+1.8
Belmont,41-34-0,54.7%,7.4,+2.2
Nevada,54-45-1,54.6%,4.9,+1.0
UCSD,30-25-1,54.6%,1.3,+0.9
Alabama,62-52-3,54.4%,5.8,+2.0
Memphis,56-47-0,54.4%,4.9,+0.4
Charleston,50-42-0,54.4%,4.1,+0.7
Hampton,70-59-2,54.3%,-2.3,+0.5
S Dakota St,47-40-0,54.0%,6.8,+1.4
Montana,54-46-4,54.0%,5.7,+1.7
Indiana,68-58-1,54.0%,2.6,+0.5
N Texas,62-53-3,53.9%,1.6,+0.2
Austin Peay,76-65-4,53.9%,0.2,+0.1
West Virginia,70-60-2,53.9%,2.9,+0.8
Kentucky,49-42-1,53.9%,9.9,+1.3
Le Moyne,21-18-1,53.9%,0.9,+2.7
Houston,29-25-0,53.7%,14.8,+3.0
TCU,74-64-1,53.6%,0.9,+1.0
E Washington,67-58-2,53.6%,1.8,+2.5
Notre Dame,76-66-3,53.5%,0.8,+0.1
Cincinnati,54-47-2,53.5%,6.4,0.0
Wichita St,54-47-5,53.5%,4.1,-0.2
Temple,70-61-5,53.4%,0.8,0.0
South Carolina,70-61-1,53.4%,0.6,+1.3
High Point,55-48-1,53.4%,2.2,-0.3
Dartmouth,72-63-8,53.3%,-2.5,+0.8
Maine,75-66-2,53.2%,-5.5,+0.5
S Illinois,67-59-4,53.2%,1.5,0.0
St Bonaventure,52-46-6,53.1%,3.6,+0.9
Alcorn St,61-54-3,53.0%,-7.9,+0.1
Boston U,61-54-0,53.0%,1.4,0.0
Penn,61-54-2,53.0%,0.0,+0.6
E Texas A&M,35-31-0,53.0%,-3.5,0.0
E Tennessee St,53-47-5,53.0%,5.6,+1.1
Brown,62-55-5,53.0%,0.0,+0.4
N Arizona,98-87-2,53.0%,-5.0,-0.4
Niagara,90-80-1,52.9%,-3.1,+0.1
Hofstra,54-48-2,52.9%,4.4,+0.6
Siena,73-65-3,52.9%,-2.0,+0.7
Illinois,64-57-6,52.9%,3.4,+0.5
Bethune,55-49-4,52.9%,-3.5,-0.6
Duke,37-33-2,52.9%,13.1,+1.8
Miss Valley St,106-95-0,52.7%,-17.4,-0.2
Michigan,58-52-0,52.7%,5.3,+1.0
Oklahoma St,78-70-3,52.7%,-0.2,+1.1
NC A&T,69-62-2,52.7%,-6.7,+0.2
USC,61-55-0,52.6%,3.5,+1.1
Auburn,51-46-2,52.6%,4.8,+1.3
Virginia,41-37-4,52.6%,5.8,-0.9
Sacred Heart,62-56-0,52.5%,0.0,+1.1
Charlotte,84-76-4,52.5%,-2.7,+0.1
UMBC,53-48-2,52.5%,1.6,+1.3
Tennessee,53-48-1,52.5%,6.3,+0.5
Stonehill,32-29-2,52.5%,-4.2,+0.9
Kent St,54-49-4,52.4%,5.3,+0.7
Santa Clara,65-59-4,52.4%,1.7,+1.1
Wake Forest,76-69-4,52.4%,-0.4,+1.2
Manhattan,88-80-4,52.4%,-2.8,-0.3
Wright St,55-50-2,52.4%,7.7,+1.6
N Kentucky,58-53-0,52.3%,4.4,+1.1
VCU,48-44-2,52.2%,6.4,+0.8
Tenn Tech,85-78-4,52.2%,-2.2,-0.2
Army,61-56-3,52.1%,0.4,-0.6
Monmouth,73-67-4,52.1%,-2.7,+0.2
Oregon St,88-81-2,52.1%,-3.8,-0.3
Binghamton,63-58-2,52.1%,-2.5,+0.9
N Colorado,63-58-3,52.1%,2.3,+0.2
Washington,78-72-3,52.0%,-1.3,+0.1
New Hampshire,65-60-1,52.0%,0.9,+0.8
Elon,81-75-3,51.9%,-1.2,+0.8
Drake,56-52-1,51.9%,0.7,+0.3
Nicholls,42-39-1,51.9%,1.5,+1.3
UC Riverside,71-66-5,51.8%,0.7,+0.7
