Team,ATS Record,Cover %,MOV,ATS +/-
Arizona St,3-0-1,100.0%,9.0,+6.6
Lehigh,2-0-0,100.0%,-7.0,+12.5
Navy,2-0-0,100.0%,27.0,+15.5
Georgia So,2-0-0,100.0%,20.7,+7.8
William & Mary,4-0-0,100.0%,18.0,+5.3
Hofstra,5-0-0,100.0%,3.6,+3.2
Maryland ES,2-0-0,100.0%,-13.5,+17.3
Boston U,3-0-0,100.0%,8.7,+6.5
Portland St,5-0-0,100.0%,8.0,+3.2
Sacramento St,1-0-0,100.0%,8.5,+7.5
UT Martin,4-0-0,100.0%,14.6,+11.5
Rice,2-0-0,100.0%,25.7,+3.0
VMI,1-0-0,100.0%,36.7,+5.0
Harvard,2-0-0,100.0%,22.0,+15.0
Sam Houston,2-0-0,100.0%,25.0,+10.0
N Colorado,4-0-0,100.0%,6.8,+11.0
Abl Christian,1-0-1,100.0%,13.8,+4.5
SC Upstate,2-0-0,100.0%,-15.0,+7.0
S Dakota St,3-0-0,100.0%,10.5,+5.0
Tarleton St,3-0-0,100.0%,5.0,+5.7
Utah Tech,3-0-0,100.0%,21.4,+6.0
N Dakota St,6-1-0,85.7%,8.4,+7.8
Maryland,5-1-0,83.3%,7.3,+2.0
Akron,5-1-0,83.3%,21.6,+6.0
N Iowa,5-1-0,83.3%,17.4,+5.1
Kansas,5-1-0,83.3%,16.3,+7.8
Gonzaga,5-1-0,83.3%,27.5,+12.8
Syracuse,5-1-0,83.3%,19.0,+11.0
Villanova,5-1-0,83.3%,14.0,+4.1
Arkansas,5-1-0,83.3%,10.8,+5.6
North Carolina,4-1-0,80.0%,19.2,+4.3
Clemson,4-1-0,80.0%,16.0,+6.6
Saint Louis,4-1-1,80.0%,29.1,+6.4
Louisville,4-1-0,80.0%,18.8,+4.9
Illinois,4-1-0,80.0%,29.0,+14.6
Purdue,4-1-0,80.0%,30.8,+10.2
C Connecticut,4-1-0,80.0%,19.6,+8.0
Mt St Mary's,4-1-0,80.0%,-5.2,+5.0
Marshall,4-1-0,80.0%,7.6,+7.6
Prairie View,4-1-0,80.0%,10.3,+6.5
Florida Atlantic,4-1-0,80.0%,6.3,+2.1
NC A&T,4-1-0,80.0%,-3.0,+5.4
Indiana St,4-1-0,80.0%,3.6,+3.6
Missouri St,4-1-0,80.0%,3.9,+1.3
Nebraska,4-1-0,80.0%,23.8,+6.3
Tennessee St,4-1-0,80.0%,7.0,+6.4
Penn,4-1-0,80.0%,6.0,+7.7
Lamar,4-1-0,80.0%,13.3,+3.2
Bellarmine,4-1-0,80.0%,-6.5,+1.8
Iona,3-1-0,75.0%,7.3,+7.9
Idaho,3-1-0,75.0%,12.4,+6.1
CS Northridge,3-1-0,75.0%,14.0,+5.9
N Illinois,3-1-0,75.0%,-8.5,-3.4
Grambling,3-1-0,75.0%,7.2,+4.6
Troy,3-1-0,75.0%,12.8,-0.8
Mercer,3-1-0,75.0%,12.8,+2.8
App State,3-1-0,75.0%,1.8,+3.1
Charleston,3-1-0,75.0%,5.6,-1.0
Morgan St,3-1-0,75.0%,-17.5,-1.4
Wichita St,3-1-0,75.0%,8.0,+5.9
Stony Brook,3-1-0,75.0%,3.2,+3.4
Vermont,3-1-0,75.0%,4.8,+1.4
N Arizona,3-1-0,75.0%,12.7,+0.4
Denver,3-1-0,75.0%,-2.5,+4.1
