Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,24-14-1,63.2%,-2.3,+2.4
UCSD,83-60-2,58.0%,1.7,+1.9
Florida A&M,148-113-0,56.7%,-6.7,+1.1
SE Louisiana,140-108-4,56.5%,-1.2,+0.4
NC Central,149-115-5,56.4%,2.2,+1.0
Yale,329-264-17,55.5%,2.7,+1.1
Robert Morris,171-138-3,55.3%,0.4,+0.4
Tarleton St,80-65-1,55.2%,2.8,+1.2
St Thomas,71-58-2,55.0%,5.6,+1.4
Utah Valley,162-134-2,54.7%,3.8,+1.7
Sam Houston,152-126-7,54.7%,4.8,+0.9
S Dakota St,258-216-6,54.4%,3.8,+1.1
UT Arlington,217-182-9,54.4%,1.7,+0.6
Colgate,153-129-4,54.3%,0.2,+1.1
S Carolina St,145-123-7,54.1%,-3.6,+0.6
Villanova,483-411-12,54.0%,7.0,+0.7
Nevada,409-349-16,54.0%,3.7,+0.7
NW State,136-117-7,53.8%,-2.2,+0.2
Lipscomb,167-144-3,53.7%,1.7,+0.7
Texas A&M-CC,142-123-7,53.6%,1.8,+0.6
Norfolk St,158-137-6,53.6%,0.0,+1.0
Michigan St,495-431-15,53.5%,8.8,+0.6
Creighton,467-407-17,53.4%,7.1,+0.6
N Florida,155-136-3,53.3%,-3.4,+0.5
Iowa St,433-381-18,53.2%,4.7,+0.6
Stony Brook,159-140-8,53.2%,-0.1,0.0
E Tennessee St,260-230-12,53.1%,4.1,+0.6
Duke,510-453-19,53.0%,14.2,+0.7
Queens,54-48-4,52.9%,0.3,+0.5
Cornell,309-275-12,52.9%,-0.5,+0.6
Utah St,427-381-13,52.9%,7.8,+1.2
Oakland,269-240-7,52.9%,0.9,0.0
Davidson,390-348-14,52.9%,6.2,+0.4
Memphis,463-414-20,52.8%,7.7,+0.7
Louisiana Tech,393-352-13,52.8%,4.2,+0.2
Purdue FW,240-215-8,52.8%,0.5,+0.2
Utah Tech,77-69-3,52.7%,-2.9,0.0
Houston,426-383-16,52.7%,5.3,+1.1
New Mexico,426-384-19,52.6%,5.3,+0.2
Hampton,153-138-2,52.6%,0.3,+0.6
Wisconsin,473-427-22,52.6%,7.1,+0.7
Xavier,463-419-25,52.5%,7.0,+0.6
Jacksonville St,300-272-16,52.5%,0.0,+0.2
Kent St,431-391-27,52.4%,5.1,+0.5
Maryland ES,119-108-5,52.4%,-9.0,-0.4
Gonzaga,477-433-21,52.4%,14.4,+1.2
Illinois Chicago,422-383-18,52.4%,-1.1,-0.1
Wofford,361-329-9,52.3%,2.4,+0.4
BYU,442-403-18,52.3%,7.7,+1.0
NC Wilmington,405-370-25,52.3%,1.1,+0.3
Texas A&M,404-369-14,52.3%,3.1,-0.1
South Dakota,210-192-6,52.2%,1.3,0.0
Hofstra,361-331-21,52.2%,3.0,+0.5
Vermont,171-157-7,52.1%,6.0,+0.5
VCU,443-407-20,52.1%,6.3,+0.8
Weber St,358-329-12,52.1%,4.3,+0.2
Temple,459-422-19,52.1%,3.0,+0.2
UAB,429-395-16,52.1%,4.9,+0.3
Saint Peter's,343-316-14,52.1%,-2.3,+0.4
Wichita St,419-386-23,52.1%,5.8,+0.5
Butler,448-413-23,52.0%,5.6,+0.7
San Diego St,428-395-20,52.0%,5.5,+0.5
North Carolina,496-458-19,52.0%,9.3,+0.5
Akron,419-387-15,52.0%,5.5,+0.5
Miami,420-388-19,52.0%,4.0,+0.2
Princeton,346-320-10,52.0%,4.4,+0.1
Saint Louis,429-398-11,51.9%,2.3,+0.1
Belmont,236-219-9,51.9%,5.7,+0.7
UConn,460-428-12,51.8%,8.8,+0.4
Stanford,451-420-20,51.8%,5.1,+0.2
UCF,297-277-8,51.7%,2.6,+0.3
Middle Tenn,378-353-14,51.7%,2.6,+0.4
Penn St,413-386-21,51.7%,-0.1,+0.3
Mississippi St,420-393-26,51.7%,4.0,+0.3
Baylor,396-371-17,51.6%,5.6,+0.6
Auburn,411-385-20,51.6%,3.8,+0.3
Merrimack,95-89-3,51.6%,0.4,+0.4
Monmouth,210-197-8,51.6%,-2.3,-0.1
Kansas,490-460-14,51.6%,11.6,+0.6
N Texas,378-355-20,51.6%,0.8,0.0
S Alabama,387-364-13,51.5%,1.6,+0.1
Tulsa,409-385-19,51.5%,3.2,+0.1
Marquette,430-405-15,51.5%,5.4,+0.2
Vanderbilt,432-407-17,51.5%,3.0,+0.3
Manhattan,366-345-15,51.5%,-0.5,-0.2
N Alabama,105-99-3,51.5%,-0.1,+0.5
SC Upstate,141-133-8,51.5%,-2.9,+0.2
Omaha,195-184-2,51.5%,-2.9,0.0
Tennessee,449-424-11,51.4%,6.4,+0.4
E Washington,365-345-13,51.4%,0.9,+0.5
