Team,ATS Record,Cover %,MOV,ATS +/-
SE Louisiana,80-55-1,59.3%,-8.1,+1.0
Jacksonville St,172-119-10,59.1%,-5.3,+1.3
Gardner-Webb,87-63-2,58.0%,-6.7,+1.2
Saint Peter's,191-141-7,57.5%,-5.6,+1.3
Robert Morris,96-71-0,57.5%,-4.0,+0.5
Yale,182-135-13,57.4%,-2.4,+1.8
New Haven,4-3-0,57.1%,-16.4,+4.9
Lipscomb,90-68-2,57.0%,-4.4,+1.6
Hofstra,183-139-12,56.8%,-0.7,+1.5
NW State,79-60-3,56.8%,-9.0,+0.5
Lafayette,84-64-1,56.8%,-6.2,+0.7
Miami,168-129-10,56.6%,-1.9,+1.4
C Connecticut,82-63-2,56.6%,-5.7,+1.2
UC Davis,143-110-3,56.5%,-6.5,+1.4
Charleston,165-127-7,56.5%,1.3,+1.5
Norfolk St,79-61-2,56.4%,-6.1,+0.9
N Colorado,144-112-8,56.3%,-5.6,+1.6
Merrimack,54-42-3,56.3%,-3.7,+1.7
Stony Brook,87-68-3,56.1%,-4.8,+0.2
Marquette,167-131-4,56.0%,-1.9,+0.6
Saint Mary's,167-131-5,56.0%,1.5,+1.3
Princeton,181-142-7,56.0%,0.2,+0.6
Boston College,160-126-12,55.9%,-5.3,+1.6
Wichita St,170-134-8,55.9%,0.2,+0.7
Texas A&M-CC,72-57-1,55.8%,-5.5,+1.3
Colgate,83-66-2,55.7%,-4.9,+1.2
Campbell,70-56-3,55.6%,-8.7,+0.9
Cornell,177-142-9,55.5%,-5.3,+1.2
Providence,168-135-7,55.5%,-3.3,+1.3
Florida A&M,77-62-0,55.4%,-13.2,+0.6
Nevada,169-137-9,55.2%,-2.2,+0.9
Bucknell,86-70-2,55.1%,-3.4,+0.7
NJIT,76-62-2,55.1%,-10.7,+0.6
Oakland,138-113-3,55.0%,-4.6,+0.7
San Diego,182-149-4,55.0%,-5.6,+1.5
Loyola MD,166-136-5,55.0%,-7.4,+0.7
Temple,194-159-8,55.0%,-0.1,+0.7
Sam Houston,73-60-4,54.9%,-3.3,+0.6
N Illinois,210-173-9,54.8%,-8.5,+0.5
Seton Hall,167-138-5,54.8%,-3.7,+0.9
Stetson,76-63-5,54.7%,-10.3,-0.3
Hou Christian,71-59-1,54.6%,-14.5,-0.2
Purdue FW,131-109-1,54.6%,-7.5,+0.2
Jackson St,90-75-2,54.6%,-8.9,+0.1
UT Arlington,110-92-3,54.5%,-4.5,+1.4
Wofford,197-165-7,54.4%,-5.0,+0.9
SC Upstate,81-68-6,54.4%,-9.5,+0.8
Army,76-64-2,54.3%,-8.2,-0.2
UCSD,38-32-0,54.3%,-5.9,+1.7
Kent St,198-167-9,54.3%,-0.6,+0.7
Louisville,160-136-6,54.1%,0.9,+1.0
Navy,80-68-1,54.1%,-4.9,+1.2
Vanderbilt,161-137-8,54.0%,-4.7,+1.0
Penn,175-149-7,54.0%,-2.0,+0.6
F Dickinson,84-72-0,53.9%,-7.4,+0.8
Albany,77-66-5,53.9%,-4.5,+0.9
Brown,168-144-4,53.9%,-6.2,+1.2
S Dakota St,112-96-2,53.9%,-4.1,+0.3
Mercyhurst,14-12-1,53.9%,-12.5,+0.4
NC Central,71-61-2,53.8%,-8.8,0.0
Lehigh,80-69-0,53.7%,-5.0,+0.6
Columbia,153-132-4,53.7%,-6.7,+0.4
N Texas,183-158-14,53.7%,-7.0,+0.2
Bellarmine,44-38-1,53.7%,-8.8,+0.7
Santa Clara,170-147-6,53.6%,-4.5,+0.5
Milwaukee,201-174-13,53.6%,-4.8,+0.4
SMU,164-142-6,53.6%,-2.7,-0.1
Cal Baptist,45-39-2,53.6%,-4.4,+0.6
UC Irvine,203-176-13,53.6%,-2.0,+1.1
Canisius,181-157-15,53.6%,-6.1,0.0
Davidson,166-144-4,53.6%,0.3,+0.7
Saint Joseph's,185-161-10,53.5%,-1.7,+0.9
UMBC,77-67-2,53.5%,-6.5,+1.6
Georgetown,162-141-6,53.5%,-2.5,+1.1
S Florida,171-149-7,53.4%,-6.4,+0.7
Towson,159-139-8,53.4%,-6.6,+0.8
Boise St,184-161-6,53.3%,-1.3,+1.0
Binghamton,73-64-2,53.3%,-9.3,+0.4
Marist,171-150-7,53.3%,-6.0,+0.6
E Kentucky,181-160-5,53.1%,-6.6,+0.2
Mercer,95-84-2,53.1%,-5.4,+0.2
UNLV,147-130-4,53.1%,-1.8,+0.6
Memphis,157-139-6,53.0%,1.5,+0.8
Duke,149-132-4,53.0%,7.8,+0.5
San Francisco,176-156-10,53.0%,-4.0,+0.6
Radford,74-66-4,52.9%,-6.2,+0.8
S Alabama,187-167-6,52.8%,-4.9,+0.1
Idaho,190-170-9,52.8%,-7.7,+1.0
N Florida,86-77-1,52.8%,-10.7,-0.2
UC Riverside,176-158-11,52.7%,-8.9,-0.2
Belmont,110-99-3,52.6%,0.6,+0.8
E Tennessee St,120-108-6,52.6%,-2.6,+0.7
Arizona,161-145-6,52.6%,3.7,+0.6
St John's,152-137-8,52.6%,-4.7,+0.7
Texas A&M,142-128-8,52.6%,-5.7,-0.1
UMass Lowell,72-65-0,52.6%,-5.7,-0.1
E Texas A&M,31-28-2,52.5%,-12.1,-0.4
Niagara,187-169-3,52.5%,-4.9,+0.2
Rider,180-163-10,52.5%,-3.5,+0.9
USC,169-153-2,52.5%,-3.1,+0.3
Elon,162-147-3,52.4%,-8.5,+0.9
Boston U,88-80-7,52.4%,-2.4,+0.9
Kansas City,90-82-3,52.3%,-8.5,-0.1
Holy Cross,79-72-0,52.3%,-4.9,+0.5
Hampton,69-63-0,52.3%,-4.0,+0.2
Georgia,162-148-3,52.3%,-6.6,+0.2
Tennessee St,189-173-9,52.2%,-8.4,+0.1
Syracuse,142-130-4,52.2%,-0.2,+0.5
Tennessee,156-143-0,52.2%,-1.0,+0.1
Omaha,108-99-2,52.2%,-9.8,-0.3
W Georgia,12-11-0,52.2%,-13.8,+1.0
Wisconsin,163-150-7,52.1%,0.1,+0.5
Creighton,176-162-4,52.1%,0.1,+0.1
Long Beach St,205-189-4,52.0%,-7.1,0.0
Weber St,168-155-3,52.0%,-3.1,-0.1
Chattanooga,174-161-6,51.9%,-4.3,+0.2
VCU,161-149-5,51.9%,1.5,+0.4
Notre Dame,151-140-6,51.9%,-2.6,+0.9
CS Northridge,180-167-6,51.9%,-5.8,+0.5
S Illinois,185-172-10,51.8%,-3.0,-0.3
Winthrop,71-66-0,51.8%,-1.5,+0.8
Charleston So,71-66-2,51.8%,-9.8,+0.3
Utah Valley,74-69-2,51.8%,-4.6,+0.9
California,164-153-4,51.7%,-5.9,-0.4
Toledo,195-182-5,51.7%,-3.5,-0.1
J Madison,181-169-8,51.7%,-5.0,+0.1
Fresno St,183-171-6,51.7%,-4.1,+0.1
Louisiana Tech,185-173-8,51.7%,-2.9,-0.2
Northwestern,156-146-6,51.7%,-7.8,+0.6
South Carolina,157-147-1,51.6%,-5.9,0.0
Siena,175-164-3,51.6%,-2.8,+0.5
Mississippi,160-150-2,51.6%,-4.5,-0.5
Georgia Tech,162-152-4,51.6%,-5.8,+0.6
DePaul,166-156-8,51.6%,-8.2,+0.1
Fairfield,178-168-12,51.5%,-4.2,+0.4
Troy,142-134-6,51.5%,-5.5,+0.5
Texas St,89-84-7,51.5%,-5.7,+0.3
Maryland ES,73-69-2,51.4%,-15.2,-0.2
Florida,147-139-8,51.4%,1.5,+0.1
George Mason,167-158-7,51.4%,-1.7,+0.8
American,94-89-2,51.4%,-5.2,-0.1
Washington,159-151-4,51.3%,-4.8,-0.5
Air Force,159-151-9,51.3%,-8.7,-0.1
E Washington,201-191-7,51.3%,-6.0,+0.3
Tarleton St,40-38-0,51.3%,-8.2,+0.5
Jacksonville,82-78-2,51.3%,-7.4,-0.5
Baylor,143-136-6,51.3%,-4.8,-0.1
UMass,167-159-4,51.2%,-4.4,-0.1
Bowling Green,192-183-5,51.2%,-5.1,+0.1
Montana St,176-168-10,51.2%,-6.3,-0.4
Nicholls,66-63-3,51.2%,-10.6,+0.5
New Mexico,156-149-8,51.2%,-2.7,-0.2
N Arizona,178-170-8,51.2%,-7.7,-0.1
Coastal Car,71-68-3,51.1%,-6.5,-0.4
Vermont,73-70-3,51.1%,1.5,-0.1
Michigan St,147-141-6,51.0%,2.0,+0.1
Monmouth,100-96-5,51.0%,-5.8,-0.3
Villanova,161-155-6,51.0%,1.2,-0.1
New Orleans,139-134-7,50.9%,-9.4,-0.5
Mt St Mary's,84-81-3,50.9%,-6.8,+0.3
UCLA,145-140-6,50.9%,-0.4,+0.5
Kansas,148-143-5,50.9%,4.0,-0.4
Buffalo,182-176-6,50.8%,-4.6,+0.6
CS Fullerton,186-180-11,50.8%,-5.9,+0.6
Drexel,165-160-6,50.8%,-2.8,+0.1
Manhattan,171-166-7,50.7%,-4.3,-0.2
Grambling,69-67-1,50.7%,-13.4,+0.7
New Hampshire,70-68-1,50.7%,-8.9,-0.2
E Illinois,181-176-6,50.7%,-7.8,+0.4
S Utah,116-113-2,50.7%,-9.4,-0.2
San Diego St,155-151-9,50.7%,-1.3,+0.2
Richmond,170-166-7,50.6%,-2.6,+0.5
Illinois,146-143-9,50.5%,-0.7,+0.5
Idaho St,177-174-4,50.4%,-9.8,-0.1
High Point,60-59-2,50.4%,-6.7,-1.4
Valparaiso,128-126-8,50.4%,-3.2,-0.2
Kennesaw St,68-67-2,50.4%,-11.8,-0.6
Pittsburgh,143-141-8,50.4%,-2.3,+0.6
Prairie View,75-74-2,50.3%,-12.9,+0.1
Texas,149-147-1,50.3%,-1.4,-0.3
Gonzaga,147-145-7,50.3%,9.7,+1.4
Dartmouth,147-145-9,50.3%,-9.1,+0.4
Kentucky,147-145-3,50.3%,3.3,+1.0
Presbyterian,73-72-2,50.3%,-11.9,-0.7
Dayton,151-149-8,50.3%,-0.4,+0.2
Samford,155-153-8,50.3%,-5.5,-0.8
Quinnipiac,82-81-6,50.3%,-3.7,0.0
App State,169-167-11,50.3%,-5.1,+0.1
Coppin St,85-84-4,50.3%,-12.0,-0.8
Loyola Mymt,170-168-11,50.3%,-8.7,+0.4
UCSB,185-183-9,50.3%,-2.3,+0.1
Illinois Chicago,192-190-9,50.3%,-6.6,-0.7
South Dakota,96-95-2,50.3%,-6.9,-0.4
Mississippi St,142-141-10,50.2%,-3.9,-0.1
Penn St,156-155-4,50.2%,-7.9,+0.1
Duquesne,154-153-6,50.2%,-7.3,-0.2
UAB,170-169-7,50.2%,-1.4,+0.3
Indiana St,178-177-7,50.1%,-5.4,-0.2
Stanford,156-156-6,50.0%,-1.0,0.0
Akron,173-173-5,50.0%,-1.0,+0.1
Alabama St,69-69-3,50.0%,-9.1,-1.2
Xavier,155-155-9,50.0%,1.0,+0.2
NC Wilmington,184-184-13,50.0%,-4.9,-0.3
S Carolina St,81-81-1,50.0%,-10.2,-0.5
NC A&T,66-66-1,50.0%,-11.8,-0.5
Maine,79-79-1,50.0%,-8.3,-0.9
Portland St,170-170-10,50.0%,-6.0,+0.2
UTEP,154-154-9,50.0%,-5.2,-0.7
St Thomas,32-32-2,50.0%,-3.4,0.0
W Carolina,176-177-8,49.9%,-9.9,-0.4
Arkansas St,183-184-11,49.9%,-5.4,-0.1
Morehead St,180-181-11,49.9%,-6.3,+0.1
St Bonaventure,166-167-9,49.9%,-4.3,-0.2
Loyola Chi,170-171-9,49.9%,-5.2,-0.4
The Citadel,155-156-6,49.8%,-12.1,-0.4
Middle Tenn,159-160-6,49.8%,-3.4,0.0
Murray St,155-156-11,49.8%,2.2,+0.6
Virginia,150-151-7,49.8%,-2.7,-0.6
Kansas St,144-145-8,49.8%,-5.6,-0.2
UL Monroe,138-139-4,49.8%,-10.5,-0.5
N Kentucky,75-76-1,49.7%,-3.1,+0.5
UConn,145-147-1,49.7%,1.3,0.0
Northeastern,143-145-5,49.7%,-4.3,0.0
Green Bay,189-192-14,49.6%,-6.9,-0.5
Evansville,178-181-9,49.6%,-8.9,-1.6
Georgia So,169-172-6,49.6%,-6.2,-0.5
Missouri St,170-173-9,49.6%,-3.5,-0.5
Youngstown St,165-168-8,49.6%,-7.3,-0.1
Furman,162-165-5,49.5%,-4.5,+0.2
Houston,154-157-4,49.5%,-2.7,+0.3
BYU,154-157-6,49.5%,0.7,+0.5
Oregon,152-155-6,49.5%,-2.7,-0.4
NC Greensboro,167-171-3,49.4%,-5.6,+0.9
Iona,165-169-2,49.4%,-0.2,+0.4
N Iowa,166-170-7,49.4%,-2.8,-0.2
Miami OH,189-194-11,49.4%,-5.2,0.0
UCF,110-113-1,49.3%,-3.8,-0.4
Sacred Heart,73-75-1,49.3%,-7.1,-0.9
Montana,166-171-11,49.3%,-2.9,+0.1
Sacramento St,167-172-12,49.3%,-11.4,-0.7
Detroit Mercy,200-206-16,49.3%,-6.0,-0.4
Delaware,154-159-7,49.2%,-4.6,-0.5
Tulsa,154-159-8,49.2%,-3.9,-0.3
Ball St,179-185-5,49.2%,-4.5,0.0
Clemson,144-149-7,49.2%,-3.5,-0.3
McNeese,57-59-4,49.1%,-7.7,+0.5
Rhode Island,170-176-7,49.1%,-3.8,+0.1
Auburn,137-142-7,49.1%,-4.7,-0.8
Colorado St,155-161-7,49.1%,-4.5,-0.2
VMI,101-105-6,49.0%,-11.2,-1.1
Tenn Tech,173-180-8,49.0%,-7.6,-0.6
Florida Intl,164-171-6,49.0%,-8.6,-0.5
William & Mary,175-183-10,48.9%,-7.0,-0.1
Alcorn St,84-88-3,48.8%,-13.1,-1.2
Iowa St,143-150-7,48.8%,-5.7,-0.5
Tulane,142-149-9,48.8%,-8.0,-0.2
Alabama,140-147-6,48.8%,-3.7,-0.9
Louisiana,177-186-7,48.8%,-4.4,-0.5
IU Indy,117-123-3,48.8%,-7.7,-0.9
