Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,10-3-0,76.9%,14.4,+5.4
Southern,46-24-0,65.7%,14.7,+3.6
UCSD,37-22-2,62.7%,11.2,+1.4
Tarleton St,35-21-1,62.5%,14.5,+1.9
Bethune,41-26-1,61.2%,9.5,+1.4
Michigan St,99-63-2,61.1%,15.4,+1.7
Alabama A&M,54-35-0,60.7%,1.8,+2.3
Utah Tech,37-24-0,60.7%,6.0,+0.8
Arkansas St,77-50-2,60.6%,7.8,+1.2
NC Central,43-28-2,60.6%,19.0,+1.6
Houston,94-62-6,60.3%,20.6,+3.7
Nevada,91-61-3,59.9%,11.4,+1.7
Indiana St,76-52-6,59.4%,8.5,+1.9
Louisiana Tech,77-53-2,59.2%,14.8,+1.0
Utah Valley,58-40-0,59.2%,12.8,+3.1
South Dakota,68-47-2,59.1%,10.8,+1.4
Liberty,69-48-4,59.0%,17.4,+0.9
S Dakota St,69-48-1,59.0%,16.2,+3.0
Queens,23-16-1,59.0%,10.4,+1.7
S Carolina St,40-28-4,58.8%,5.7,+2.9
BYU,90-63-6,58.8%,14.8,+1.6
Indiana,107-75-0,58.8%,11.9,+0.8
Sam Houston,44-31-2,58.7%,15.3,+1.6
Virginia Tech,95-67-0,58.6%,12.0,+1.8
Hampton,52-37-1,58.4%,7.5,+1.6
St Thomas,28-20-0,58.3%,15.6,+2.6
Utah St,81-58-2,58.3%,14.9,+2.3
Auburn,89-64-4,58.2%,13.9,+2.5
Bradley,84-61-6,57.9%,9.5,+2.6
Florida A&M,42-31-0,57.5%,2.9,+1.4
UT Arlington,69-51-3,57.5%,10.4,+0.7
Iowa,97-72-5,57.4%,13.8,+1.8
Furman,70-52-2,57.4%,15.5,+1.6
C Arkansas,47-35-3,57.3%,4.9,+0.9
N Florida,52-39-2,57.1%,10.6,+2.0
Longwood,52-39-2,57.1%,7.4,+1.0
Lindenwood,20-15-1,57.1%,10.4,-0.4
Ohio,81-61-2,57.0%,10.6,+1.1
Norfolk St,38-29-1,56.7%,17.0,+3.6
Florida St,90-69-4,56.6%,10.6,+1.1
Middle Tenn,74-57-0,56.5%,9.3,+1.5
Tulsa,83-64-6,56.5%,7.2,+1.3
Clemson,90-70-3,56.3%,11.4,+1.6
UTSA,68-53-4,56.2%,6.1,+1.5
Southern Miss,65-51-2,56.0%,5.7,+1.8
Creighton,94-74-3,56.0%,14.6,+2.1
Miss Valley St,38-30-0,55.9%,-6.1,+0.8
Charlotte,81-64-3,55.9%,3.7,+1.1
New Mexico,81-64-4,55.9%,10.8,+1.4
Belmont,72-57-6,55.8%,13.1,+0.8
Texas A&M-CC,48-38-2,55.8%,11.4,+1.1
Maryland ES,29-23-3,55.8%,6.0,-0.2
Penn,63-50-1,55.8%,6.3,+0.5
NC Asheville,49-39-0,55.7%,11.8,+0.8
Purdue,87-70-4,55.4%,17.9,+2.5
UAB,83-67-4,55.3%,13.6,+0.3
Abl Christian,47-38-2,55.3%,14.2,+1.9
UC Irvine,63-51-5,55.3%,15.3,+1.0
