Team,ATS Record,Cover %,MOV,ATS +/-
New Haven,3-1-0,75.0%,4.8,+6.0
W Georgia,8-4-0,66.7%,-10.8,+1.3
UCSD,50-34-1,59.5%,7.6,+2.5
Florida A&M,53-37-0,58.9%,-3.3,+1.2
SC Upstate,60-42-3,58.8%,-1.1,+1.0
S Carolina St,56-40-3,58.3%,-1.1,+1.4
Maryland ES,40-29-2,58.0%,-6.5,-0.5
Southern,74-54-1,57.8%,3.5,+1.7
N Alabama,57-43-2,57.0%,2.7,+2.0
Oakland,164-125-5,56.8%,2.2,+0.3
Villanova,347-271-9,56.2%,7.5,+0.9
Jacksonville St,146-115-8,55.9%,1.8,+0.9
Yale,196-157-12,55.5%,3.3,+0.9
Kansas City,81-65-2,55.5%,-1.0,+0.4
Longwood,77-62-1,55.4%,-0.4,+0.9
N Florida,78-63-3,55.3%,-1.0,+0.7
Louisiana Tech,250-204-11,55.1%,4.5,+0.6
Indiana St,226-185-7,55.0%,1.4,+1.1
Iowa St,259-212-7,55.0%,6.7,+1.0
Sam Houston,94-77-5,55.0%,3.8,+1.2
LIU,40-33-1,54.8%,-0.2,+1.3
Lipscomb,104-86-1,54.7%,1.5,+1.4
Utah St,316-262-9,54.7%,8.3,+1.6
Jackson St,65-54-2,54.6%,1.0,+0.5
Gardner-Webb,78-65-1,54.6%,1.5,+1.3
Miami,257-215-11,54.5%,5.3,+0.6
Kennesaw St,56-47-2,54.4%,-1.9,+0.6
UConn,336-283-10,54.3%,9.6,+0.9
Illinois Chicago,197-166-10,54.3%,-0.3,-0.2
Purdue FW,140-118-4,54.3%,1.8,+0.6
Omaha,90-76-0,54.2%,-1.4,+0.6
Robert Morris,84-71-1,54.2%,1.8,+0.6
Towson,158-134-4,54.1%,0.1,+0.8
NC Central,80-68-2,54.1%,5.7,+0.9
Canisius,154-131-7,54.0%,-1.5,-0.2
Houston,269-229-10,54.0%,7.3,+1.2
Saint Peter's,162-138-5,54.0%,-0.9,+0.9
NC Wilmington,230-196-17,54.0%,2.4,+0.5
Lafayette,62-53-1,53.9%,-0.7,-0.4
NW State,62-53-4,53.9%,-0.3,+1.0
Colgate,97-83-1,53.9%,1.0,+1.2
Grambling,70-60-2,53.9%,-1.9,+1.1
Utah Tech,28-24-1,53.9%,-0.9,-0.2
Creighton,324-278-13,53.8%,7.1,+0.7
Vermont,129-111-6,53.8%,6.8,+0.4
Toledo,246-213-6,53.6%,4.4,+0.7
Mercer,112-97-4,53.6%,0.3,-0.3
Xavier,330-286-14,53.6%,6.6,+0.7
Southern Miss,200-174-8,53.5%,2.5,0.0
Merrimack,54-47-3,53.5%,1.8,+1.2
Davidson,263-229-9,53.5%,6.4,+0.4
Saint Louis,253-222-4,53.3%,2.8,+0.4
Wichita St,278-244-15,53.3%,7.0,+0.8
Oregon,303-266-13,53.3%,5.6,+0.8
Georgia So,180-158-7,53.3%,0.7,+0.2
Tarleton St,41-36-1,53.3%,3.2,+1.7
