Team,Over Record,Over %,Under %,Total +/-
Denver,13-0-1,100.0%,0.0%,+14.4
UL Monroe,12-2-0,85.7%,14.3%,+10.6
Duquesne,11-2-0,84.6%,15.4%,+10.9
E Washington,11-2-0,84.6%,15.4%,+10.2
New Mexico St,8-2-0,80.0%,20.0%,+6.6
Utah,11-3-0,78.6%,21.4%,+6.0
Queens,11-3-0,78.6%,21.4%,+10.4
Elon,10-3-0,76.9%,23.1%,+11.6
Long Beach St,9-3-1,75.0%,25.0%,+6.3
Miami OH,9-3-0,75.0%,25.0%,+8.0
N Colorado,9-3-0,75.0%,25.0%,+7.6
Oakland,11-4-0,73.3%,26.7%,+10.0
Akron,8-3-1,72.7%,27.3%,+10.2
Southern,8-3-0,72.7%,27.3%,+9.8
Florida Intl,8-3-0,72.7%,27.3%,+7.2
Jacksonville St,8-3-0,72.7%,27.3%,-2.4
Yale,8-3-0,72.7%,27.3%,+8.5
Cornell,8-3-0,72.7%,27.3%,+15.7
Sam Houston,8-3-0,72.7%,27.3%,+6.0
Lafayette,10-4-0,71.4%,28.6%,+4.6
Gardner-Webb,10-4-0,71.4%,28.6%,+3.5
Texas A&M,10-4-0,71.4%,28.6%,+7.6
Auburn,10-4-0,71.4%,28.6%,+7.8
Wagner,7-3-0,70.0%,30.0%,+12.5
Saint Louis,9-4-0,69.2%,30.8%,+4.5
Northwestern,9-4-1,69.2%,30.8%,+3.0
American,9-4-0,69.2%,30.8%,+5.2
UC Davis,9-4-0,69.2%,30.8%,+7.3
Alcorn St,9-4-0,69.2%,30.8%,+5.1
Jackson St,9-4-1,69.2%,30.8%,+4.1
St Bonaventure,9-4-0,69.2%,30.8%,+5.8
NC Greensboro,9-4-0,69.2%,30.8%,+8.3
Georgetown,9-4-0,69.2%,30.8%,+7.7
Tulsa,9-4-0,69.2%,30.8%,+6.9
FGCU,9-4-0,69.2%,30.8%,+8.9
Kent St,8-4-0,66.7%,33.3%,+10.7
Xavier,10-5-0,66.7%,33.3%,+2.3
Vermont,10-5-0,66.7%,33.3%,+8.8
Montana St,8-4-0,66.7%,33.3%,+0.4
Baylor,8-4-0,66.7%,33.3%,+9.9
Miami,8-4-1,66.7%,33.3%,+1.2
NW State,8-4-0,66.7%,33.3%,+5.3
Abl Christian,8-4-0,66.7%,33.3%,-1.2
Bellarmine,8-4-0,66.7%,33.3%,+6.4
Tarleton St,8-4-0,66.7%,33.3%,+9.7
Coppin St,11-6-0,64.7%,35.3%,+3.7
Maryland,9-5-0,64.3%,35.7%,+2.4
CS Fullerton,9-5-0,64.3%,35.7%,+5.9
CS Northridge,9-5-0,64.3%,35.7%,+3.1
Chicago St,9-5-0,64.3%,35.7%,+0.1
Old Dominion,9-5-1,64.3%,35.7%,+1.5
J Madison,9-5-0,64.3%,35.7%,+6.7
Drexel,9-5-1,64.3%,35.7%,-0.5
Northeastern,9-5-0,64.3%,35.7%,+9.7
New Orleans,9-5-0,64.3%,35.7%,+3.0
Oklahoma St,9-5-0,64.3%,35.7%,+3.1
Colorado,9-5-0,64.3%,35.7%,+11.1
Providence,9-5-0,64.3%,35.7%,+10.1
SMU,9-5-0,64.3%,35.7%,+6.0
High Point,9-5-0,64.3%,35.7%,+2.8
Georgia,9-5-0,64.3%,35.7%,+10.8
N Dakota St,9-5-1,64.3%,35.7%,+5.2
N Kentucky,9-5-0,64.3%,35.7%,+5.7
C Connecticut,7-4-0,63.6%,36.4%,+6.5
Santa Clara,10-6-0,62.5%,37.5%,+4.5
USC,8-5-0,61.5%,38.5%,+6.9
S Florida,8-5-0,61.5%,38.5%,+7.7
Army,8-5-0,61.5%,38.5%,+3.8
UC Riverside,8-5-0,61.5%,38.5%,+2.5
Florida Atlantic,8-5-0,61.5%,38.5%,+4.3
Campbell,8-5-1,61.5%,38.5%,+4.1
Wofford,8-5-0,61.5%,38.5%,+2.0
Hofstra,8-5-0,61.5%,38.5%,+4.3
Bethune,8-5-0,61.5%,38.5%,+6.0
New Mexico,8-5-0,61.5%,38.5%,-2.1
Texas,8-5-0,61.5%,38.5%,+6.2
San Jose St,8-5-0,61.5%,38.5%,+5.2
Cleveland St,8-5-0,61.5%,38.5%,+4.4
UCSD,8-5-0,61.5%,38.5%,+0.9
UMass Lowell,8-5-0,61.5%,38.5%,+2.9
Georgia Tech,9-6-0,60.0%,40.0%,-0.1
Robert Morris,9-6-0,60.0%,40.0%,+3.0
Texas So,6-4-0,60.0%,40.0%,+7.0
VCU,9-6-0,60.0%,40.0%,+5.5
Montana,6-4-1,60.0%,40.0%,+3.0
Virginia Tech,9-6-0,60.0%,40.0%,+6.8
S Dakota St,9-6-0,60.0%,40.0%,+4.1
Oregon St,10-7-0,58.8%,41.2%,+1.9
S Utah,7-5-0,58.3%,41.7%,+1.7
W Michigan,7-5-0,58.3%,41.7%,+1.3
Chattanooga,7-5-0,58.3%,41.7%,-0.6
Binghamton,7-5-0,58.3%,41.7%,+7.8
San Diego St,7-5-0,58.3%,41.7%,+15.5
Idaho St,7-5-0,58.3%,41.7%,+8.4
W Kentucky,7-5-0,58.3%,41.7%,+1.5
SE Missouri St,7-5-0,58.3%,41.7%,+1.0
Tenn Tech,7-5-0,58.3%,41.7%,+2.6
Columbia,7-5-0,58.3%,41.7%,-1.3
N Florida,7-5-0,58.3%,41.7%,+4.6
W Georgia,7-5-0,58.3%,41.7%,+5.2
Lindenwood,7-5-0,58.3%,41.7%,+2.1
Arizona,8-6-0,57.1%,42.9%,-0.3
Arizona St,8-6-0,57.1%,42.9%,+4.8
UCLA,8-6-0,57.1%,42.9%,+3.1
Oregon,8-6-0,57.1%,42.9%,+1.0
Charlotte,8-6-0,57.1%,42.9%,+5.8
Southern Miss,8-6-0,57.1%,42.9%,+2.8
Wisconsin,8-6-0,57.1%,42.9%,+0.5
Cal Poly,8-6-0,57.1%,42.9%,-1.8
Miss Valley St,8-6-0,57.1%,42.9%,+4.7
Richmond,8-6-0,57.1%,42.9%,+4.2
Temple,8-6-0,57.1%,42.9%,+0.9
UMass,8-6-0,57.1%,42.9%,+3.3
Norfolk St,8-6-0,57.1%,42.9%,-1.5
Kansas St,8-6-0,57.1%,42.9%,+2.0
Iowa St,8-6-0,57.1%,42.9%,+4.0
Nevada,8-6-0,57.1%,42.9%,+2.8
Coastal Car,8-6-1,57.1%,42.9%,-1.9
Charleston So,8-6-0,57.1%,42.9%,+1.8
Texas St,8-6-0,57.1%,42.9%,+3.1
Vanderbilt,8-6-0,57.1%,42.9%,+3.1
Tennessee,8-6-0,57.1%,42.9%,+0.9
Mississippi,8-6-0,57.1%,42.9%,-2.9
Arkansas,8-6-0,57.1%,42.9%,+5.9
Mississippi St,8-6-0,57.1%,42.9%,+4.5
Murray St,9-7-0,56.3%,43.8%,+5.5
Saint Mary's,9-7-0,56.3%,43.8%,+2.0
Alabama A&M,6-5-0,54.6%,45.5%,-1.9
Sacramento St,6-5-0,54.6%,45.5%,+3.0
Tennessee St,6-5-0,54.6%,45.5%,-2.3
Liberty,6-5-0,54.6%,45.5%,+3.8
Dartmouth,6-5-0,54.6%,45.5%,+0.5
McNeese,6-5-0,54.6%,45.5%,+1.3
Kennesaw St,6-5-0,54.6%,45.5%,+1.7
Incarnate Word,6-5-0,54.6%,45.5%,+3.0
Loyola MD,7-6-0,53.9%,46.2%,+5.2
Ohio St,7-6-0,53.9%,46.2%,+2.3
Lehigh,7-6-0,53.9%,46.2%,+3.7
UCSB,7-6-0,53.9%,46.2%,+4.5
St Francis PA,7-6-0,53.9%,46.2%,+2.9
Buffalo,7-6-0,53.9%,46.2%,+2.8
G Washington,7-6-0,53.9%,46.2%,+2.3
Troy,7-6-0,53.9%,46.2%,+13.0
Davidson,7-6-0,53.9%,46.2%,-0.6
Evansville,7-6-1,53.9%,46.2%,-2.4
Boston U,7-6-0,53.9%,46.2%,+9.3
Colorado St,7-6-0,53.9%,46.2%,+1.8
Wyoming,7-6-0,53.9%,46.2%,+0.9
Weber St,7-6-0,53.9%,46.2%,+5.5
Arkansas St,7-6-0,53.9%,46.2%,+4.5
E Kentucky,7-6-0,53.9%,46.2%,-0.8
Rice,7-6-0,53.9%,46.2%,+1.3
Radford,7-6-0,53.9%,46.2%,+3.0
Illinois Chicago,7-6-0,53.9%,46.2%,-1.3
Nicholls,7-6-0,53.9%,46.2%,+3.6
South Carolina,7-6-1,53.9%,46.2%,+3.0
Utah Valley,7-6-0,53.9%,46.2%,+1.0
Omaha,7-6-0,53.9%,46.2%,0.0
St Thomas,7-6-0,53.9%,46.2%,+0.6
Fairfield,8-7-0,53.3%,46.7%,+5.9
Wake Forest,8-7-0,53.3%,46.7%,-1.8
Georgia So,8-7-0,53.3%,46.7%,+4.1
Notre Dame,8-7-0,53.3%,46.7%,-2.5
LIU,8-7-0,53.3%,46.7%,+3.4
Virginia,7-7-0,50.0%,50.0%,+3.1
California,7-7-0,50.0%,50.0%,-1.5
Houston,7-7-0,50.0%,50.0%,-0.1
Louisville,7-7-0,50.0%,50.0%,-3.9
Tulane,7-7-0,50.0%,50.0%,-1.5
Indiana,7-7-0,50.0%,50.0%,-2.1
Penn St,7-7-0,50.0%,50.0%,+1.5
Iowa,7-7-0,50.0%,50.0%,+0.2
Utah St,6-6-0,50.0%,50.0%,+0.2
Marshall,7-7-0,50.0%,50.0%,+2.0
AR-Pine Bluff,6-6-0,50.0%,50.0%,+4.0
Charleston,7-7-0,50.0%,50.0%,-0.5
NC Wilmington,7-7-0,50.0%,50.0%,-5.4
George Mason,7-7-0,50.0%,50.0%,+2.0
NC A&T,6-6-0,50.0%,50.0%,+3.3
UNLV,6-6-0,50.0%,50.0%,-0.8
Portland St,5-5-0,50.0%,50.0%,+5.4
S Alabama,7-7-0,50.0%,50.0%,-0.6
Oklahoma,7-7-0,50.0%,50.0%,+0.4
Texas Tech,7-7-0,50.0%,50.0%,+1.2
Loyola Mymt,8-8-0,50.0%,50.0%,-3.3
Pittsburgh,7-7-1,50.0%,50.0%,-0.5
Rutgers,7-7-0,50.0%,50.0%,-2.3
Winthrop,7-7-0,50.0%,50.0%,+2.9
Detroit Mercy,6-6-0,50.0%,50.0%,+0.8
Butler,7-7-1,50.0%,50.0%,+3.1
Youngstown St,7-7-0,50.0%,50.0%,-1.9
